Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.124,-2.7355238108274154e-34,-1.7942165666194996e-34,9.884239776007986e-36
1529.124005000071,-2.7355868837408716e-34,-1.794249197920741e-34,9.883884928901749e-36
1529.124010000142,-2.7356499597478584e-34,-1.7942818302650435e-34,9.883530026830896e-36
1529.1240150002131,-2.7357130388396776e-34,-1.79431446364781e-34,9.883175069838037e-36
1529.1240200002842,-2.7357761210183595e-34,-1.7943470980699982e-34,9.88282005790535e-36
1529.1240250003552,-2.735839206287727e-34,-1.794379733533491e-34,9.882464991004905e-36
1529.1240300004265,-2.7359022946444453e-34,-1.7944123700364695e-34,9.882109869149139e-36
1529.124035000497,-2.7359653860869725e-34,-1.794445007578039e-34,9.88175469234032e-36
1529.124040000568,-2.7360284806227073e-34,-1.7944776461619342e-34,9.881399460530434e-36
1529.1240450006392,-2.7360915782483156e-34,-1.794510285786336e-34,9.881044173731856e-36
1529.1240500007102,-2.7361546789586728e-34,-1.7945429264484983e-34,9.880688831967038e-36
1529.1240550007813,-2.736217782764763e-34,-1.7945755681540074e-34,9.880333435167772e-36
1529.1240600008523,-2.7362808896560903e-34,-1.7946082108973404e-34,9.87997798338676e-36
1529.124065000923,-2.7363439996400588e-34,-1.7946408546822333e-34,9.879622476575908e-36
1529.1240700009944,-2.736407112713332e-34,-1.7946734995068638e-34,9.87926691474764e-36
1529.1240750010654,-2.7364702288779456e-34,-1.7947061453721919e-34,9.878911297884056e-36
1529.1240800011365,-2.7365333481341437e-34,-1.7947387922782481e-34,9.878555625977456e-36
1529.1240850012075,-2.7365964704803806e-34,-1.7947714402241386e-34,9.878199899030071e-36
1529.1240900012783,-2.7366595959204818e-34,-1.7948040892117467e-34,9.877844117014045e-36
1529.1240950013496,-2.73672272444932e-34,-1.7948367392383266e-34,9.87748827995179e-36
1529.1241000014204,-2.7367858560689297e-34,-1.794869390304835e-34,9.877132387825502e-36
1529.1241050014914,-2.736848990784928e-34,-1.7949020424140839e-34,9.876776440597103e-36
