Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
1529.124,-2.9061659794481404e-34,-1.9057474375563696e-34,1.046547039146482e-35
1529.124005000071,-2.906232992637862e-34,-1.9057820919681374e-34,1.0465092343784525e-35
1529.124010000142,-2.906300009114694e-34,-1.9058167474873035e-34,1.0464714237637622e-35
1529.1240150002131,-2.9063670288693904e-34,-1.9058514041089848e-34,1.0464336073069478e-35
1529.1240200002842,-2.906434051904113e-34,-1.9058860618341993e-34,1.0463957850061188e-35
1529.1240250003552,-2.9065010782229227e-34,-1.9059207206649463e-34,1.046357956858297e-35
1529.1240300004265,-2.9065681078222785e-34,-1.905955380599293e-34,1.0463201228648074e-35
1529.124035000497,-2.906635140700535e-34,-1.90599004163629e-34,1.0462822830258969e-35
1529.124040000568,-2.906702176865559e-34,-1.906024703779904e-34,1.046244437336451e-35
1529.1240450006392,-2.906769216313808e-34,-1.9060593670282015e-34,1.0462065857977869e-35
1529.1240500007102,-2.906836259039836e-34,-1.9060940313782673e-34,1.046168728412302e-35
1529.1240550007813,-2.9069033050553117e-34,-1.9061286968360347e-34,1.0461308651727285e-35
1529.1240600008523,-2.9069703543490865e-34,-1.9061633633956374e-34,1.0460929960846837e-35
1529.124065000923,-2.907037406929025e-34,-1.906198031061041e-34,1.0460551211430444e-35
1529.1240700009944,-2.9071044627915857e-34,-1.9062326998303138e-34,1.0460172403491393e-35
1529.1240750010654,-2.9071715219389284e-34,-1.9062673697044734e-34,1.0459793537010549e-35
1529.1240800011365,-2.9072385843713124e-34,-1.9063020406835525e-34,1.0459414611979823e-35
1529.1240850012075,-2.9073056500870967e-34,-1.9063367127666007e-34,1.0459035628401565e-35
1529.1240900012783,-2.9073727190903443e-34,-1.9063713859556191e-34,1.0458656586246099e-35
1529.1240950013496,-2.9074397913756102e-34,-1.9064060602476924e-34,1.0458277485537304e-35
1529.1241000014204,-2.907506866945055e-34,-1.9064407356438357e-34,1.0457898326256284e-35
1529.1241050014914,-2.9075739458046453e-34,-1.9064754121470338e-34,1.045751910836244e-35
1529.1241100015625,-2.9076410279470337e-34,-1.9065100897533864e-34,1.0457139831890548e-35
1529.1241150016335,-2.9077081133762825e-34,-1.9065447684648941e-34,1.04567604968108e-35
1529.1241200017046,-2.907775202092653e-34,-1.906579448281591e-34,1.0456381103114931e-35
1529.1241250017756,-2.9078422940945017e-34,-1.9066141292025257e-34,1.0456001650805455e-35
1529.1241300018469,-2.9079093893858947e-34,-1.9066488112297003e-34,1.0455622139852535e-35
1529.1241350019177,-2.9079764879632886e-34,-1.9066834943611812e-34,1.045524257026947e-35
1529.1241400019887,-2.9080435898269382e-34,-1.9067181785970007e-34,1.0454862942047947e-35
1529.1241450020598,-2.908110694980916e-34,-1.906752863939162e-34,1.045448325515814e-35
1529.1241500021308,-2.9081778034197687e-34,-1.9067875503847456e-34,1.0454103509624106e-35
1529.124155002202,-2.9082449151513704e-34,-1.9068222379377215e-34,1.0453723705394462e-35
1529.124160002273,-2.9083120301626566e-34,-1.9068569265912349e-34,1.0453343842536358e-35
1529.1241650023435,-2.9083791484691176e-34,-1.9068916163531916e-34,1.045296392095529e-35
1529.1241700024148,-2.9084462700633972e-34,-1.9069263072196896e-34,1.0452583940686086e-35
1529.1241750024858,-2.9085133949476612e-34,-1.9069609991917448e-34,1.0452203901709698e-35
1529.1241800025568,-2.908580523124074e-34,-1.906995692270379e-34,1.0451823804007026e-35
1529.124185002628,-2.9086476545890853e-34,-1.9070303864536526e-34,1.0451443647591354e-35
1529.124190002699,-2.908714789341055e-34,-1.907065081740618e-34,1.0451063432465162e-35
1529.12419500277,-2.908781927385955e-34,-1.907099778134261e-34,1.045068315858782e-35
1529.124200002841,-2.9088490687202354e-34,-1.907134475632646e-34,1.0450302825972641e-35
1529.124205002912,-2.9089162133498708e-34,-1.9071691742387597e-34,1.0449922434578904e-35
1529.124210002983,-2.9089833612617924e-34,-1.9072038739457462e-34,1.0449541984473862e-35
1529.124215003054,-2.9090505124695892e-34,-1.9072385747605272e-34,1.0449161475573685e-35
1529.1242200031252,-2.9091176669735254e-34,-1.9072732766831391e-34,1.0448780907870093e-35
1529.124225003196,-2.90918482476243e-34,-1.9073079797077068e-34,1.0448400281419489e-35
1529.124230003267,-2.9092519858479934e-34,-1.9073426838401739e-34,1.0448019596148903e-35
1529.124235003338,-2.9093191502228585e-34,-1.9073773890766316e-34,1.0447638852093102e-35
1529.124240003409,-2.9093863178929995e-34,-1.90741209542007e-34,1.0447258049211448e-35
1529.1242450034802,-2.909453488854866e-34,-1.9074468028685522e-34,1.0446877187517232e-35
1529.1242500035512,-2.909520663112531e-34,-1.9074815114240818e-34,1.0446496266980552e-35
1529.1242550036222,-2.909587840656729e-34,-1.9075162210817698e-34,1.0446115287647079e-35
1529.1242600036933,-2.9096550215029624e-34,-1.9075509318495243e-34,1.0445734249422089e-35
1529.1242650037643,-2.9097222056400586e-34,-1.9075856437214734e-34,1.0445353152362129e-35
1529.1242700038354,-2.909789393072093e-34,-1.907620356699619e-34,1.0444971996437207e-35
1529.1242750039064,-2.9098565837974173e-34,-1.9076550707830103e-34,1.0444590781649905e-35
1529.1242800039774,-2.9099237778162955e-34,-1.907689785971681e-34,1.0444209507991807e-35
1529.1242850040485,-2.9099909751327967e-34,-1.9077245022676339e-34,1.0443828175433085e-35
1529.1242900041193,-2.910058175741466e-34,-1.907759219667948e-34,1.0443446783997747e-35
1529.1242950041903,-2.9101253796463784e-34,-1.9077939381746264e-34,1.044306533365594e-35
1529.1243000042614,-2.910192586851604e-34,-1.907828657789673e-34,1.0442683824377657e-35
1529.1243050043324,-2.9102597973459674e-34,-1.9078633785072109e-34,1.0442302256219528e-35
1529.1243100044037,-2.9103270111449813e-34,-1.9078981003351542e-34,1.0441920629086603e-35
1529.1243150044745,-2.9103942282355614e-34,-1.9079328232666415e-34,1.0441538943046336e-35
