Wavelength (nm),Differential Scalar Polarizability,Differential Vector Polarizability,Differential Tensor Polarizability
600.0,1.8140863607034928e-38,-1.406378364032271e-38,1.1758747932329417e-39
600.010000083334,1.8138275875223502e-38,-1.4064809006686131e-38,1.1776083671096143e-39
600.0200001666681,1.813568612194153e-38,-1.4065832027039106e-38,1.1793438063643481e-39
600.0300002500021,1.813309434120953e-38,-1.4066852697597946e-38,1.181081114915816e-39
600.0400003333361,1.8130500527038536e-38,-1.4067871014565925e-38,1.1828202966916912e-39
600.0500004166702,1.8127904673430066e-38,-1.4068886974133257e-38,1.1845613556287185e-39
600.0600005000042,1.8125306774376147e-38,-1.4069900572477019e-38,1.1863042956726646e-39
600.0700005833382,1.8122706823859284e-38,-1.4070911805761122e-38,1.188049120778397e-39
600.0800006666723,1.8120104815852352e-38,-1.4071920670136272e-38,1.1897958349099003e-39
600.0900007500062,1.8117500744318735e-38,-1.4072927161739943e-38,1.1915444420402786e-39
600.1000008333402,1.8114894603211952e-38,-1.4073931276696335e-38,1.193294946151859e-39
600.1100009166743,1.8112286386475994e-38,-1.4074933011116326e-38,1.1950473512361642e-39
600.1200010000083,1.810967608804513e-38,-1.407593236109744e-38,1.196801661293897e-39
600.1300010833423,1.810706370184382e-38,-1.4076929322723805e-38,1.1985578803350883e-39
600.1400011666764,1.8104449221786783e-38,-1.4077923892066091e-38,1.2003160123790119e-39
600.1500012500104,1.8101832641778868e-38,-1.4078916065181548e-38,1.2020760614543134e-39
600.1600013333444,1.809921395571506e-38,-1.4079905838113872e-38,1.20383803159897e-39
600.1700014166785,1.809659315748057e-38,-1.4080893206893183e-38,1.2056019268602995e-39
600.1800015000125,1.809397024095051e-38,-1.408187816753607e-38,1.2073677512951153e-39
600.1900015833465,1.809134519999016e-38,-1.408286071604542e-38,1.2091355089696062e-39
600.2000016666806,1.8088718028454734e-38,-1.4083840848410497e-38,1.2109052039594609e-39
600.2100017500146,1.8086088720189414e-38,-1.408481856060682e-38,1.2126768403498908e-39
600.2200018333486,1.8083457269029364e-38,-1.4085793848596153e-38,1.2144504222355965e-39
600.2300019166827,1.8080823668799587e-38,-1.4086766708326484e-38,1.2162259537208896e-39
600.2400020000167,1.8078187913314989e-38,-1.4087737135731914e-38,1.2180034389196253e-39
600.2500020833508,1.8075549996380287e-38,-1.4088705126732693e-38,1.2197828819553448e-39
600.2600021666847,1.8072909911789948e-38,-1.4089670677235166e-38,1.2215642869611874e-39
