point_index,study_key,scan_variable,scan_value,s0,seff,detuning_n,cooling_power_w_per_beam,cooling_power_mw_per_beam,cooling_beam_diameter_m,cooling_beam_diameter_mm,cooling_beam_center_peak_intensity_w_per_m2,cooling_beam_center_on_resonance_saturation_parameter,cooling_beam_center_effective_saturation_parameter,cooling_detuning_n,cooling_detuning_hz,cooling_detuning_mhz,cooling_detuning_rad_per_s,natural_linewidth_hz,natural_linewidth_rad_per_s,repump_power_w_per_beam,repump_power_mw_per_beam,loading_rate_mean_atoms_per_s,loading_rate_from_mean_spectrum_atoms_per_s,loading_rate_sample_std_atoms_per_s,loading_rate_disc_cluster_sem_atoms_per_s,loading_rate_t95_lower_atoms_per_s,loading_rate_t95_upper_atoms_per_s,student_t_critical_95,confidence_level,disc_count,points_per_disc,capture_threshold_search_count,disc_radius_m,disc_radius_mm,phase_space,geometry_sha256,run_signature_sha256,point_elapsed_wall_time_s,statistics_directory,figures_directory,capture_cross_section_csv,capture_cross_section_plot,status
0,01_raw_saturation,s0,0.25,0.25,0.009832177129853618,-2.471169686985173,0.0002642796195667887,0.2642796195667887,0.0127,12.7,4.1725,0.25,0.009832177129853618,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,307706.99786792713,307706.997867927,563864.7445893968,112772.94891787934,74955.07080576525,540458.924930089,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,c9033a694c5231dd7d9824047a2d86179c64400ced903a4ef4af217f5e548b3d,1746.742717599991,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\000_s0_0p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\000_s0_0p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\000_s0_0p25\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\000_s0_0p25\capture_cross_section_vs_velocity.png,completed
1,01_raw_saturation,s0,0.5,0.5,0.019664354259707237,-2.471169686985173,0.0005285592391335774,0.5285592391335774,0.0127,12.7,8.345,0.5,0.019664354259707237,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,1561380.871026647,1561380.8710266473,1697972.2614524842,339594.45229049685,860492.3694074338,2262269.3726458605,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,0ff0c49363a1d36e9535825a375be14571def0a40b345394546a22a8e49fb654,1181.7682826000091,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\001_s0_0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\001_s0_0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\001_s0_0p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\001_s0_0p5\capture_cross_section_vs_velocity.png,completed
2,01_raw_saturation,s0,0.75,0.7500000000000001,0.02949653138956086,-2.471169686985173,0.0007928388587003662,0.7928388587003662,0.0127,12.7,12.517500000000004,0.7500000000000001,0.02949653138956086,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,3762741.288506412,3762741.288506412,2858762.787601412,571752.5575202823,2582702.007433157,4942780.5695796665,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,7fe2bb0e1b868054e01ff734005402766cdf90e049f1f3115e04f79467287944,972.8193948999979,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\002_s0_0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\002_s0_0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\002_s0_0p75\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\002_s0_0p75\capture_cross_section_vs_velocity.png,completed
3,01_raw_saturation,s0,1.0,1.0,0.039328708519414474,-2.471169686985173,0.0010571184782671547,1.0571184782671548,0.0127,12.7,16.69,1.0,0.039328708519414474,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,6371928.157209651,6371928.15720965,3358299.121334039,671659.8242668079,4985690.412002054,7758165.902417247,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,9a370ddd3135903871b4216e79af4b71f9bb83036c0c6218f0f2335ea5333b8e,872.0992903999868,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\003_s0_1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\003_s0_1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\003_s0_1\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\003_s0_1\capture_cross_section_vs_velocity.png,completed
4,01_raw_saturation,s0,2.0,2.0,0.07865741703882895,-2.471169686985173,0.0021142369565343095,2.1142369565343095,0.0127,12.7,33.38,2.0,0.07865741703882895,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,14580084.965370094,14580084.965370094,6528003.989046342,1305600.7978092683,11885457.356711144,17274712.574029043,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,e4e13c4d7b333bf2f2c48a9c3c05e3db65cdc27dea074e7eaff456d1d8f5e695,704.0442870999977,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\004_s0_2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\004_s0_2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\004_s0_2\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\004_s0_2\capture_cross_section_vs_velocity.png,completed
5,01_raw_saturation,s0,3.0,3.0000000000000004,0.11798612555824343,-2.471169686985173,0.0031713554348014646,3.1713554348014648,0.0127,12.7,50.070000000000014,3.0000000000000004,0.11798612555824343,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,19541557.94949271,19541557.949492715,8442364.128593212,1688472.8257186424,16056721.313143998,23026394.585841425,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,935de65b279a7b3c043529cd0741b454aa8cbfb6394f874ef14db38e074416b3,661.7688000999915,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\005_s0_3,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\005_s0_3,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\005_s0_3\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\005_s0_3\capture_cross_section_vs_velocity.png,completed
6,01_raw_saturation,s0,5.0,5.0,0.19664354259707237,-2.471169686985173,0.005285592391335773,5.285592391335773,0.0127,12.7,83.45,5.0,0.19664354259707237,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,26935191.506786704,26935191.5067867,11328490.913692743,2265698.1827385486,22259020.286349386,31611362.727224022,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,0887d7179f121334c9bbb2ca2c42ab7b2e4a8f466aa2716b87b3cd8a54181b85,625.6288044999819,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\006_s0_5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\006_s0_5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\006_s0_5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\006_s0_5\capture_cross_section_vs_velocity.png,completed
7,01_raw_saturation,s0,10.0,10.0,0.39328708519414474,-2.471169686985173,0.010571184782671546,10.571184782671546,0.0127,12.7,166.9,10.0,0.39328708519414474,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,38308464.91295875,38308464.91295874,14802623.907691991,2960524.781538398,32198242.074677527,44418687.75123997,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,905e3ad192a28bb252554d91b9b4467becf0191b5cf9f4a59d5416c3941fa370,615.9366454999836,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\007_s0_10,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\007_s0_10,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\007_s0_10\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\007_s0_10\capture_cross_section_vs_velocity.png,completed
8,01_raw_saturation,s0,15.0,14.999999999999998,0.589930627791217,-2.471169686985173,0.015856777174007318,15.856777174007318,0.0127,12.7,250.35,14.999999999999998,0.589930627791217,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,45551327.398347445,45551327.398347445,16881369.818932705,3376273.963786541,38583040.42082626,52519614.37586863,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,62b8eea010242b31dc479b2eb0c20c50afc39760d7fe019e4524f105d27a38b2,612.291412200022,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\008_s0_15,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\008_s0_15,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\008_s0_15\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\008_s0_15\capture_cross_section_vs_velocity.png,completed
9,01_raw_saturation,s0,20.0,20.0,0.7865741703882895,-2.471169686985173,0.021142369565343093,21.142369565343092,0.0127,12.7,333.8,20.0,0.7865741703882895,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,50684107.766064785,50684107.766064785,18341554.95292015,3668310.99058403,43113085.98899414,58255129.543135434,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,e986a8c6dc0e81badaa3d1c22e69f80205d9bebc9790d119e89f54d79bb3842b,624.9973782000015,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\009_s0_20,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\009_s0_20,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\009_s0_20\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\01_raw_saturation\points\009_s0_20\capture_cross_section_vs_velocity.png,completed
