velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2,capture_cross_section_sample_std_m2,capture_cross_section_disc_cluster_sem_m2,capture_cross_section_t95_lower_m2,capture_cross_section_t95_upper_m2,disc_count,student_t_critical_95
0.0,623,625,0.9968,0.0007045964003471188,7.828808551163145e-06,1.565761710232629e-06,0.0007013648270055175,0.0007068583470577034,25,2.0638985616280245
0.25,623,625,0.9968,0.0007045964003471188,7.828808551163145e-06,1.565761710232629e-06,0.0007013648270055175,0.0007068583470577034,25,2.0638985616280245
0.5,623,625,0.9968,0.0007045964003471188,7.828808551163145e-06,1.565761710232629e-06,0.0007013648270055175,0.0007068583470577034,25,2.0638985616280245
0.75,623,625,0.9968,0.0007045964003471188,7.828808551163145e-06,1.565761710232629e-06,0.0007013648270055175,0.0007068583470577034,25,2.0638985616280245
1.0,623,625,0.9968,0.0007045964003471188,7.828808551163145e-06,1.565761710232629e-06,0.0007013648270055175,0.0007068583470577034,25,2.0638985616280245
1.25,622,625,0.9952000000000002,0.0007034654269918266,9.3775356684849e-06,1.8755071336969802e-06,0.0006995945705162663,0.0007068583470577034,25,2.0638985616280245
1.5,620,625,0.992,0.0007012034802812418,1.1542948471456803e-05,2.3085896942913606e-06,0.0006964387853318046,0.000705968175230679,25,2.0638985616280245
1.75,618,625,0.9887999999999999,0.0006989415335706571,1.2956927524013196e-05,2.5913855048026393e-06,0.0006935931767546712,0.000704289890386643,25,2.0638985616280245
2.0,602,625,0.9632000000000001,0.00068084595988598,3.455180673070179e-05,6.910361346140358e-06,0.000666583675043351,0.000695108244728609,25,2.0638985616280245
2.25,587,625,0.9392,0.0006638813595565951,4.328220894745058e-05,8.656441789490116e-06,0.0006460153417984497,0.0006817473773147404,25,2.0638985616280245
2.5,573,625,0.9168,0.0006480477325825025,4.959439598175865e-05,9.918879196351729e-06,0.00062757617207619,0.000668519293088815,25,2.0638985616280245
2.75,547,625,0.8752000000000001,0.0006186424253449021,5.903854241331434e-05,1.1807708482662867e-05,0.0005942725127914112,0.000643012337898393,25,2.0638985616280245
3.0,502,625,0.8032,0.0005677486243567474,7.017505120744512e-05,1.4035010241489023e-05,0.0005387817869069036,0.0005967154618065912,25,2.0638985616280245
