disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,2.0631149346750393,1881478.2958262488
1,25,3.4309320388119637,3128872.7821149584
2,25,1.6939855475455874,1544847.0599396739
3,25,1.9460469296990746,1774716.958008368
4,25,9.41719284902407,8588103.190595992
5,25,2.080488139095081,1897321.96332915
6,25,5.542494238796359,5054533.046012728
7,25,1.206422196692938,1100208.7864960919
8,25,1.331801372350765,1214549.5795290035
9,25,3.1468151455440547,2869769.5401303563
10,25,1.8370612232421606,1675326.3531479207
11,25,2.9014040727615704,2645964.4581956416
12,25,8.733800801557845,7964876.978988692
13,25,10.598560849950118,9665463.55272051
14,25,1.0470639593801228,954880.4483962967
15,25,0.9746324824685193,888825.8387119909
16,25,4.618274295529923,4211681.426551469
17,25,9.223568791184308,8411525.794808442
18,25,2.1117055162789615,1925790.9626257617
19,25,1.0787970986406248,983819.8020763042
20,25,7.901370003921507,7205733.388776258
21,25,5.823600495653265,5310890.708015951
22,25,1.0761367813359506,981393.6991071336
23,25,6.132813544147291,5592880.639720564
24,25,7.2317612163195655,6595076.958834791
