point_index,study_key,scan_variable,scan_value,s0,seff,detuning_n,cooling_power_w_per_beam,cooling_power_mw_per_beam,cooling_beam_diameter_m,cooling_beam_diameter_mm,cooling_beam_center_peak_intensity_w_per_m2,cooling_beam_center_on_resonance_saturation_parameter,cooling_beam_center_effective_saturation_parameter,cooling_detuning_n,cooling_detuning_hz,cooling_detuning_mhz,cooling_detuning_rad_per_s,natural_linewidth_hz,natural_linewidth_rad_per_s,repump_power_w_per_beam,repump_power_mw_per_beam,loading_rate_mean_atoms_per_s,loading_rate_from_mean_spectrum_atoms_per_s,loading_rate_sample_std_atoms_per_s,loading_rate_disc_cluster_sem_atoms_per_s,loading_rate_t95_lower_atoms_per_s,loading_rate_t95_upper_atoms_per_s,student_t_critical_95,confidence_level,disc_count,points_per_disc,capture_threshold_search_count,disc_radius_m,disc_radius_mm,phase_space,geometry_sha256,run_signature_sha256,point_elapsed_wall_time_s,statistics_directory,figures_directory,capture_cross_section_csv,capture_cross_section_plot,status
0,03_detuning,detuning_n,-0.5,25.54112954704834,12.77056477352417,-0.5,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,12.77056477352417,-0.5,-3035000.0,-3.035,-19069467.407290045,6070000.0,38138934.81458009,0.0001,0.1,9532180.733537173,9532180.733537175,4242026.515841328,848405.3031682655,7781158.248650601,11283203.218423745,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,cb517de717ecf90b23031a23345033bf0ffa90bcd40c52e5f254b77aacd1f62e,870.6905141999887,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\000_detuning_n_m0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\000_detuning_n_m0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\000_detuning_n_m0p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\000_detuning_n_m0p5\capture_cross_section_vs_velocity.png,completed
1,03_detuning,detuning_n,-0.75,25.54112954704834,7.858809091399489,-0.75,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,7.858809091399489,-0.75,-4552500.0,-4.5525,-28604201.110935066,6070000.0,38138934.81458009,0.0001,0.1,14222219.352183443,14222219.35218344,6181590.013063619,1236318.0026127237,11670584.40487621,16773854.299490675,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,bf3fc18a863e107e1bd120771602fb9b535f856d745a2efc9de967b56b0d36e7,766.9289819999831,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\001_detuning_n_m0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\001_detuning_n_m0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\001_detuning_n_m0p75\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\001_detuning_n_m0p75\capture_cross_section_vs_velocity.png,completed
2,03_detuning,detuning_n,-1.0,25.54112954704834,5.108225909409668,-1.0,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,5.108225909409668,-1.0,-6070000.0,-6.07,-38138934.81458009,6070000.0,38138934.81458009,0.0001,0.1,19252887.864442322,19252887.864442322,8541305.549558656,1708261.1099117312,15727210.216810407,22778565.512074236,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,2185d597fc1fdca1d3e02ad9af7f1119dcb78a96972b27efc0812db63326af62,707.9490618999989,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\002_detuning_n_m1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\002_detuning_n_m1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\002_detuning_n_m1\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\002_detuning_n_m1\capture_cross_section_vs_velocity.png,completed
3,03_detuning,detuning_n,-1.25,25.54112954704834,3.5229144202825293,-1.25,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,3.5229144202825293,-1.25,-7587500.0,-7.5875,-47673668.51822511,6070000.0,38138934.81458009,0.0001,0.1,24914469.063470837,24914469.063470833,9880768.732455127,1976153.7464910254,20835888.188532177,28993049.938409496,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,2f38d4a15af3f9d641fe5071c0c39301d62169f543c6dab2389cf5503115804a,671.9985326000024,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\003_detuning_n_m1p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\003_detuning_n_m1p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\003_detuning_n_m1p25\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\003_detuning_n_m1p25\capture_cross_section_vs_velocity.png,completed
4,03_detuning,detuning_n,-1.5,25.54112954704834,2.554112954704834,-1.5,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,2.554112954704834,-1.5,-9105000.0,-9.105,-57208402.22187013,6070000.0,38138934.81458009,0.0001,0.1,30085860.930417348,30085860.930417344,11571871.421053125,2314374.284210625,25309227.17416615,34862494.686668545,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,09adb00fef8455bbc18c7deb66ebfba44330d75e6986e89dc414e61e3e2a128a,640.7071108000237,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\004_detuning_n_m1p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\004_detuning_n_m1p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\004_detuning_n_m1p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\004_detuning_n_m1p5\capture_cross_section_vs_velocity.png,completed
5,03_detuning,detuning_n,-1.75,25.54112954704834,1.927632418645158,-1.75,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,1.927632418645158,-1.75,-10622500.0,-10.6225,-66743135.92551515,6070000.0,38138934.81458009,0.0001,0.1,35622889.21993124,35622889.21993123,13495378.214625075,2699075.642925015,30052270.882773064,41193507.55708941,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,09585715924dbeab367fa09d1bb280ca9e1138cfe09b0874b18cd6c0cd34d425,618.6666887000029,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\005_detuning_n_m1p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\005_detuning_n_m1p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\005_detuning_n_m1p75\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\005_detuning_n_m1p75\capture_cross_section_vs_velocity.png,completed
6,03_detuning,detuning_n,-2.0,25.54112954704834,1.5024193851204906,-2.0,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,1.5024193851204906,-2.0,-12140000.0,-12.14,-76277869.62916018,6070000.0,38138934.81458009,0.0001,0.1,42115290.34072021,42115290.340720214,15602991.79067015,3120598.3581340304,35674691.877948605,48555888.80349181,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,c4fecc711c5d1f67e6583d33d93814aa6e3ca3b889f2d70b81b2383d837a99d4,628.7165799999784,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\006_detuning_n_m2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\006_detuning_n_m2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\006_detuning_n_m2\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\006_detuning_n_m2\capture_cross_section_vs_velocity.png,completed
7,03_detuning,detuning_n,-2.25,25.54112954704834,1.2019355080963925,-2.25,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,1.2019355080963925,-2.25,-13657500.0,-13.6575,-85812603.3328052,6070000.0,38138934.81458009,0.0001,0.1,48862450.3097635,48862450.3097635,17109320.190176126,3421864.038035225,41800070.043575935,55924830.57595106,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,3359217d5b0b4b9a07e759706dd804e2343a7140329535b16d186d04011a3a49,618.8864966999972,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\007_detuning_n_m2p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\007_detuning_n_m2p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\007_detuning_n_m2p25\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\007_detuning_n_m2p25\capture_cross_section_vs_velocity.png,completed
8,03_detuning,detuning_n,-2.5,25.54112954704834,0.9823511364249361,-2.5,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,0.9823511364249361,-2.5,-15175000.0,-15.175,-95347337.03645022,6070000.0,38138934.81458009,0.0001,0.1,55866809.215286925,55866809.215286925,19473408.1452418,3894681.62904836,47828581.403094925,63905037.027478926,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,79afe24ca4acaa8193109049438feb7f7bbad2643eb8c8050b698941b8e397d2,621.8200759999745,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\008_detuning_n_m2p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\008_detuning_n_m2p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\008_detuning_n_m2p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\008_detuning_n_m2p5\capture_cross_section_vs_velocity.png,completed
9,03_detuning,detuning_n,-2.75,25.54112954704834,0.8173161455055469,-2.75,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,0.8173161455055469,-2.75,-16692500.0,-16.6925,-104882070.74009524,6070000.0,38138934.81458009,0.0001,0.1,62675870.989525974,62675870.989525974,21401838.714161377,4280367.742832275,53841626.161855444,71510115.8171965,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,f3b6d206c261c408d8a7d73b6ec83f5a30d2bbccabb8aa8cd341cdc87f82ba1d,624.553525700001,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\009_detuning_n_m2p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\009_detuning_n_m2p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\009_detuning_n_m2p75\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\03_detuning\points\009_detuning_n_m2p75\capture_cross_section_vs_velocity.png,completed
