velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2,capture_cross_section_sample_std_m2,capture_cross_section_disc_cluster_sem_m2,capture_cross_section_t95_lower_m2,capture_cross_section_t95_upper_m2,disc_count,student_t_critical_95
0.0,396,625,0.6335999999999999,0.0004478654486957608,0.00011762485380914659,2.3524970761829317e-05,0.00039931229537807993,0.0004964186020134417,25,2.0638985616280245
0.25,561,625,0.8976000000000001,0.0006344760523189947,4.6944477489042754e-05,9.388895497808551e-06,0.0006150983244057917,0.0006538537802321976,25,2.0638985616280245
0.5,580,625,0.9279999999999999,0.0006559645460695487,3.5577756596498724e-05,7.115551319299745e-06,0.0006412787699364556,0.0006706503222026418,25,2.0638985616280245
0.75,483,625,0.7728,0.0005462601306061932,9.004979551325491e-05,1.800995910265098e-05,0.0005090894019192523,0.0005834308592931341,25,2.0638985616280245
1.0,318,625,0.5088,0.0003596495269829595,0.00013646089109997544,2.729217821999509e-05,0.000303321239611016,0.00041597781435490306,25,2.0638985616280245
1.25,196,625,0.3136,0.0002216707776372958,0.00014954245028139774,2.990849005627955e-05,0.00015994268802967435,0.00028339886724491724,25,2.0638985616280245
1.5,126,625,0.2016,0.000142502642766833,0.00013645112680594126,2.7290225361188252e-05,8.617838589737193e-05,0.00019882689963629407,25,2.0638985616280245
1.75,74,625,0.11839999999999999,8.369202829163208e-05,0.0001090426852483393,2.180853704966786e-05,3.8681420043611104e-05,0.00012870263653965306,25,2.0638985616280245
2.0,61,625,0.09759999999999999,6.898937467283185e-05,0.00010197069687279616,2.039413937455923e-05,2.689793975203759e-05,0.00011108080959362611,25,2.0638985616280245
2.25,44,625,0.07039999999999999,4.976282763286231e-05,8.05032734361238e-05,1.610065468722476e-05,1.6532709582629617e-05,8.2992945683095e-05,25,2.0638985616280245
2.5,38,625,0.06080000000000001,4.2976987501108374e-05,8.368438623086726e-05,1.6736877246173452e-05,8.43377062658617e-06,7.752020437563057e-05,25,2.0638985616280245
2.75,24,625,0.038400000000000004,2.7143360527015815e-05,6.13407530266079e-05,1.226815060532158e-05,1.8231421388566295e-06,5.2463578915174996e-05,25,2.0638985616280245
3.0,19,625,0.030400000000000003,2.1488493750554187e-05,4.848038358011846e-05,9.69607671602369e-06,1.4767749629179114e-06,4.150021253819046e-05,25,2.0638985616280245
3.25,14,625,0.0224,1.5833626974092556e-05,4.247428620324447e-05,8.494857240648894e-06,0.0,3.336615061430322e-05,25,2.0638985616280245
3.5,13,625,0.0208,1.470265361880023e-05,4.2505644115380926e-05,8.501128823076185e-06,0.0,3.224812116896171e-05,25,2.0638985616280245
3.75,10,625,0.016,1.1309733552923255e-05,3.5577756596498745e-05,7.115551319299749e-06,0.0,2.59955096860164e-05,25,2.0638985616280245
4.0,10,625,0.016,1.1309733552923255e-05,3.5577756596498745e-05,7.115551319299749e-06,0.0,2.59955096860164e-05,25,2.0638985616280245
4.25,9,625,0.0144,1.0178760197630929e-05,3.5465227827758666e-05,7.093045565551733e-06,0.0,2.481808673793519e-05,25,2.0638985616280245
4.5,8,625,0.0128,9.047786842338604e-06,3.1315234204652506e-05,6.263046840930501e-06,0.0,2.1974080208744008e-05,25,2.0638985616280245
4.75,7,625,0.0112,7.916813487046278e-06,2.770307633149626e-05,5.5406152662992526e-06,0.0,1.935208136569558e-05,25,2.0638985616280245
5.0,7,625,0.0112,7.916813487046278e-06,2.770307633149626e-05,5.5406152662992526e-06,0.0,1.935208136569558e-05,25,2.0638985616280245
5.25,5,625,0.008,5.6548667764616275e-06,1.9992973221712645e-05,3.998594644342529e-06,0.0,1.3907560511453695e-05,25,2.0638985616280245
5.5,3,625,0.0048000000000000004,3.392920065876977e-06,1.243213597581121e-05,2.486427195162242e-06,0.0,8.52465357756513e-06,25,2.0638985616280245
5.75,2,625,0.0032,2.261946710584651e-06,1.1309733552923255e-05,2.261946710584651e-06,0.0,6.930375273039553e-06,25,2.0638985616280245
6.0,2,625,0.0032,2.261946710584651e-06,1.1309733552923255e-05,2.261946710584651e-06,0.0,6.930375273039553e-06,25,2.0638985616280245
6.25,2,625,0.0032,2.261946710584651e-06,1.1309733552923255e-05,2.261946710584651e-06,0.0,6.930375273039553e-06,25,2.0638985616280245
6.5,2,625,0.0032,2.261946710584651e-06,1.1309733552923255e-05,2.261946710584651e-06,0.0,6.930375273039553e-06,25,2.0638985616280245
6.75,1,625,0.0016,1.1309733552923255e-06,5.6548667764616275e-06,1.1309733552923255e-06,0.0,3.4651876365197766e-06,25,2.0638985616280245
7.0,1,625,0.0016,1.1309733552923255e-06,5.6548667764616275e-06,1.1309733552923255e-06,0.0,3.4651876365197766e-06,25,2.0638985616280245
7.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
7.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
7.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
8.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
8.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
8.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
