disc_index,point_index,base_timeout_detected,base_evaluation_timeout_count,base_evaluation_timeout_speeds_m_per_s_json,accepted_max_simulation_time_s,accepted_coarse_time_step_s,accepted_time_step_s,adaptive_audit_level_count,adaptive_audit_evidence_json,adaptive_max_duration_s,adaptive_coarse_time_step_s,adaptive_fine_time_step_s,accepted_trapped_velocity_lower_m_per_s,accepted_untrapped_velocity_upper_m_per_s,accepted_lower_classification,accepted_upper_classification,base_capture_velocity_m_per_s,coarse_capture_velocity_m_per_s,fine_capture_velocity_m_per_s,coarse_trapped_velocity_lower_m_per_s,coarse_untrapped_velocity_upper_m_per_s,fine_trapped_velocity_lower_m_per_s,fine_untrapped_velocity_upper_m_per_s,coarse_lower_classification,coarse_upper_classification,fine_lower_classification,fine_upper_classification,timeout_node_coarse_results_json,timeout_node_fine_results_json,coarse_evaluation_timeout_count,coarse_evaluation_timeout_speeds_m_per_s_json,fine_evaluation_timeout_count,fine_evaluation_timeout_speeds_m_per_s_json,pre_adaptive_coarse_evaluation_timeout_count,pre_adaptive_coarse_evaluation_timeout_speeds_m_per_s_json,pre_adaptive_fine_evaluation_timeout_count,pre_adaptive_fine_evaluation_timeout_speeds_m_per_s_json,timeout_resolution_status,timeout_resolution_reason,zero_threshold_audit_status,zero_threshold_audit_reason,velocity_resolved_override
0,0,True,2,"[1.689453125,1.8359375]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,1.8359375,1.982421875,bounded_core_residence,escaped,1.54296875,1.8359375,1.8359375,1.8359375,1.982421875,1.8359375,1.982421875,bounded_core_residence,escaped,bounded_core_residence,escaped,"[{""speed_m_per_s"":1.689453125,""trapped"":true,""termination_reason"":""bounded_core_residence""},{""speed_m_per_s"":1.8359375,""trapped"":true,""termination_reason"":""bounded_core_residence""}]","[{""speed_m_per_s"":1.689453125,""trapped"":true,""termination_reason"":""bounded_core_residence""},{""speed_m_per_s"":1.8359375,""trapped"":true,""termination_reason"":""bounded_core_residence""}]",0,[],0,[],0,[],0,[],dual_step_research_recovered_boundary,"targeted timeout-node or endpoint evidence changed or remained non-definitive; complete 200 ms coarse/fine searches recovered compatible definitive brackets, and any internally censored nodes were resolved by the bounded adaptive dual-timestep hierarchy",not_applicable,positive scalar capture threshold,False
0,1,True,1,[2.275390625],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,2.275390625,2.421875,bounded_core_residence,escaped,2.12890625,2.275390625,2.275390625,2.275390625,2.421875,2.275390625,2.421875,bounded_core_residence,escaped,bounded_core_residence,escaped,"[{""speed_m_per_s"":2.275390625,""trapped"":true,""termination_reason"":""bounded_core_residence""}]","[{""speed_m_per_s"":2.275390625,""trapped"":true,""termination_reason"":""bounded_core_residence""}]",0,[],0,[],0,[],0,[],dual_step_research_recovered_boundary,"targeted timeout-node or endpoint evidence changed or remained non-definitive; complete 200 ms coarse/fine searches recovered compatible definitive brackets, and any internally censored nodes were resolved by the bounded adaptive dual-timestep hierarchy",not_applicable,positive scalar capture threshold,False
0,2,True,2,"[2.421875,2.5]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,2.5,2.63671875,two_core_entries,escaped,2.275390625,2.5,2.5,2.5,2.63671875,2.5,2.63671875,two_core_entries,escaped,two_core_entries,escaped,"[{""speed_m_per_s"":2.421875,""trapped"":true,""termination_reason"":""bounded_core_residence""},{""speed_m_per_s"":2.5,""trapped"":true,""termination_reason"":""two_core_entries""}]","[{""speed_m_per_s"":2.421875,""trapped"":true,""termination_reason"":""bounded_core_residence""},{""speed_m_per_s"":2.5,""trapped"":true,""termination_reason"":""two_core_entries""}]",0,[],0,[],0,[],0,[],dual_step_research_recovered_boundary,"targeted timeout-node or endpoint evidence changed or remained non-definitive; complete 200 ms coarse/fine searches recovered compatible definitive brackets, and any internally censored nodes were resolved by the bounded adaptive dual-timestep hierarchy",not_applicable,positive scalar capture threshold,False
0,3,True,2,"[2.5,2.568359375]",0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,2.5,2.63671875,two_core_entries,escaped,2.421875,2.5,2.5,2.5,2.63671875,2.5,2.63671875,two_core_entries,escaped,two_core_entries,escaped,"[{""speed_m_per_s"":2.5,""trapped"":true,""termination_reason"":""two_core_entries""},{""speed_m_per_s"":2.568359375,""trapped"":false,""termination_reason"":""escaped""}]","[{""speed_m_per_s"":2.5,""trapped"":true,""termination_reason"":""two_core_entries""},{""speed_m_per_s"":2.568359375,""trapped"":false,""termination_reason"":""escaped""}]",0,[],0,[],0,[],0,[],dual_step_research_recovered_boundary,"targeted timeout-node or endpoint evidence changed or remained non-definitive; complete 200 ms coarse/fine searches recovered compatible definitive brackets, and any internally censored nodes were resolved by the bounded adaptive dual-timestep hierarchy",not_applicable,positive scalar capture threshold,False
0,4,True,1,[0.0],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.0,2.5,escaped,escaped,0.0,0.0,0.0,0.0,2.5,0.0,2.5,escaped,escaped,escaped,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_velocity_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,5,True,1,[0.25],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.0,3.0,escaped,escaped,0.0,0.0,0.0,0.0,3.0,0.0,3.0,escaped,escaped,escaped,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_velocity_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,6,True,1,[3.046875],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,3.046875,3.18359375,two_core_entries,escaped,2.91015625,3.046875,3.046875,3.046875,3.18359375,3.046875,3.18359375,two_core_entries,escaped,two_core_entries,escaped,"[{""speed_m_per_s"":3.046875,""trapped"":true,""termination_reason"":""two_core_entries""}]","[{""speed_m_per_s"":3.046875,""trapped"":true,""termination_reason"":""two_core_entries""}]",0,[],0,[],0,[],0,[],dual_step_research_recovered_boundary,"targeted timeout-node or endpoint evidence changed or remained non-definitive; complete 200 ms coarse/fine searches recovered compatible definitive brackets, and any internally censored nodes were resolved by the bounded adaptive dual-timestep hierarchy",not_applicable,positive scalar capture threshold,False
0,7,True,1,[1.8359375],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,1.982421875,2.12890625,two_core_entries,escaped,1.689453125,1.982421875,1.982421875,1.982421875,2.12890625,1.982421875,2.12890625,two_core_entries,escaped,two_core_entries,escaped,"[{""speed_m_per_s"":1.8359375,""trapped"":true,""termination_reason"":""bounded_core_residence""}]","[{""speed_m_per_s"":1.8359375,""trapped"":true,""termination_reason"":""bounded_core_residence""}]",0,[],0,[],0,[],0,[],dual_step_research_recovered_boundary,"targeted timeout-node or endpoint evidence changed or remained non-definitive; complete 200 ms coarse/fine searches recovered compatible definitive brackets, and any internally censored nodes were resolved by the bounded adaptive dual-timestep hierarchy",not_applicable,positive scalar capture threshold,False
0,8,True,1,[0.25],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.0,0.25,escaped,escaped,0.0,0.0,0.0,0.0,0.25,0.0,0.25,escaped,escaped,escaped,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_velocity_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
0,9,True,1,[0.0],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,0.0,2.75,escaped,escaped,0.0,0.0,0.0,0.0,2.75,0.0,2.75,escaped,escaped,escaped,escaped,[],[],0,[],0,[],0,[],0,[],zero_threshold_velocity_resolved_capture,"base-search timeout evidence was superseded by the complete dual-timestep zero-threshold audit, including adaptive node-only escalation where required",velocity_resolved_capture,nonmonotone finite-speed capture retained as a direct boolean mask,True
