time_s,x_m,vx_m_per_s,Fx_n,effective_field_proxy_x_t,quantization_axis_x,y_m,vy_m_per_s,Fy_n,effective_field_proxy_y_t,quantization_axis_y,z_m,vz_m_per_s,Fz_n,effective_field_proxy_z_t,quantization_axis_z,radius_m,speed_m_per_s,total_780_scattering_rate_per_s,reference_vector_shift_hz,applied_reference_transition_shift_hz,total_trapping_intensity_w_per_m2
0.0,0.015,-25.0,1.0613075227597073e-21,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,9.184850993605148e-19,-1.5308084989341915e-15,-2.367633885323211e-41,0.0,1.0,0.015,25.0,1717907.173954319,0.0,0.0,0.0
1.25e-06,0.014968761490700793,-24.990807439365348,1.0633037596311337e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5322889708428414e-11,-1.2258312501530809e-05,1.0796451964298666e-31,0.0,1.0,0.014968761490700793,24.990807439368357,1720764.7383343526,0.0,0.0,0.0
2.5e-06,0.014937534493715494,-24.981597588239403,1.0653126408231783e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.596866979141778e-11,-2.4516624066391487e-05,2.263044949201306e-31,0.0,1.0,0.014937534493715494,24.981597588251432,1723641.0087019594,0.0,0.0,0.0
3.7500000000000005e-06,0.014906319030794117,-24.972370337102834,1.067334443160429e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.193733804922453e-11,-3.67749346062454e-05,3.5572927990274963e-31,0.0,1.0,0.014906319030794117,24.972370337129913,1726536.4237144913,0.0,0.0,0.0
5e-06,0.014875115123826568,-24.963125574038596,1.0693694531515863e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5322889308057576e-10,-4.903324402508098e-05,4.969888987513415e-31,0.0,1.0,0.014875115123826568,24.963125574086753,1729451.437599874,0.0,0.0,0.0
6.25e-06,0.014843922794845758,-24.953863184648025,1.0714179673293446e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2984333335606368e-10,-6.129155222039033e-05,6.508760991450807e-31,0.0,1.0,0.01484392279484576,24.9538631847233,1732386.520700428,0.0,0.0,0.0
7.5e-06,0.014812742066030803,-24.94458305196403,1.0734802926007041e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2178065720956255e-10,-7.354985908279908e-05,8.182284992823597e-31,0.0,1.0,0.014812742066030806,24.944583052072463,1735342.160033183,0.0,0.0,0.0
8.750000000000001e-06,0.014781572959710351,-24.93528505636123,1.0755567466079128e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2904086282915984e-10,-8.580816449567782e-05,9.99930831790019e-31,0.0,1.0,0.014781572959710358,24.935285056508874,1738318.8598670177,0.0,0.0,0.0
1e-05,0.014750415498366021,-24.925969075462973,1.0776476581002975e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.516239482475774e-10,-9.806646833473402e-05,1.1969172907222276e-30,0.0,1.0,0.014750415498366032,24.925969075655882,1741317.1423170073,0.0,0.0,0.0
1.125e-05,0.014719269704635964,-24.91663498404513,1.0797533673172131e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.895299113320568e-10,-0.00011032477046758357,1.4101739831506652e-30,0.0,1.0,0.014719269704635982,24.916634984289377,1744337.5479563447,0.0,0.0,0.0
