x_mm,force_x_trapping_on_n,force_x_trapping_off_n,effective_field_x_trapping_on_g
-2.0,2.780241181904405e-21,-3.101835718232311e-36,-4.340276519499165
-1.99,2.764761154508912e-21,1.3782671263391321e-36,-4.314987570525139
-1.98,2.749300423999118e-21,4.0789653973533377e-36,-4.289756982682245
-1.97,2.733859088845939e-21,5.4807424107089155e-37,-4.264584344645744
-1.96,2.7184372420991073e-21,-1.8029144605736835e-36,-4.239469247142714
-1.95,2.703034971477299e-21,-1.4664292026508037e-36,-4.214411282934252
-1.94,2.687652359457193e-21,7.890505829894605e-37,-4.189410046797794
-1.93,2.6722894833610204e-21,-2.539067797776141e-36,-4.164465135509568
-1.92,2.656946415442961e-21,7.581938562803754e-37,-4.139576147827223
-1.91,2.641623222974173e-21,5.632087308377285e-36,-4.114742684472517
-1.9,2.6263199683267224e-21,-2.6683721763665926e-36,-4.089964348114233
-1.89,2.6110367090560783e-21,5.204501238265678e-36,-4.065240743351154
-1.88,2.5957734979826085e-21,8.25784781452657e-37,-4.040571476695219
-1.87,2.5805303832716236e-21,-1.2078204454699004e-36,-4.015956156554749
-1.8599999999999999,2.565307408512434e-21,3.0665708877076425e-36,-3.9913943932178735
-1.85,2.5501046127961207e-21,4.566795552944587e-36,-3.9668857988360284
-1.84,2.5349220307921783e-21,2.224623058931179e-36,-3.942429987407616
-1.83,2.5197596928239204e-21,3.070978991523226e-37,-3.918026574761767
-1.82,2.5046176249429368e-21,-1.764710894171959e-36,-3.8936751785422072
-1.81,2.4894958490022302e-21,6.115509360152951e-36,-3.86937541819131
-1.8,2.474394382728324e-21,-3.3795462586140766e-37,-3.8451269149341996
-1.79,2.4593132397924033e-21,7.993361585591555e-37,-3.8209292917630324
-1.78,2.4442524298801162e-21,-4.293493116378405e-36,-3.7967821734213305
-1.77,2.4292119587605465e-21,-3.0254285854288625e-36,-3.7726851863885
-1.76,2.414191828354058e-21,-6.465218929522581e-37,-3.7486379588644074
