time_s,trapping_x_incident_beq_x_t,trapping_x_incident_beq_y_t,trapping_x_incident_beq_z_t,trapping_x_retro_beq_x_t,trapping_x_retro_beq_y_t,trapping_x_retro_beq_z_t,trapping_y_incident_beq_x_t,trapping_y_incident_beq_y_t,trapping_y_incident_beq_z_t,trapping_y_retro_beq_x_t,trapping_y_retro_beq_y_t,trapping_y_retro_beq_z_t,trapping_z_incident_beq_x_t,trapping_z_incident_beq_y_t,trapping_z_incident_beq_z_t,trapping_z_retro_beq_x_t,trapping_z_retro_beq_y_t,trapping_z_retro_beq_z_t
0.0,-8.061749299336185e-05,-0.0,-0.0,0.0019850294631589497,0.0,0.0,-0.0,-3.5540307631665354e-45,-0.0,0.0,3.5540307631665354e-45,0.0,0.0,0.0,3.554030763166636e-45,-0.0,-0.0,-3.5540307631665354e-45
2.5e-06,-8.089023494759096e-05,-0.0,-0.0,0.002019165323299396,0.0,0.0,-0.0,-6.067855659930099e-45,-0.0,0.0,6.067855659930099e-45,0.0,0.0,0.0,6.067848793045862e-45,-0.0,-0.0,-6.067862526580469e-45
5e-06,-8.116389731724638e-05,-0.0,-0.0,0.002054111479318951,0.0,0.0,-0.0,-1.0332484163840428e-44,-0.0,0.0,1.0332484163840428e-44,0.0,0.0,0.0,1.0332449174422366e-44,-0.0,-0.0,-1.0332519153376091e-44
7.500000000000001e-06,-8.14385260675819e-05,-0.0,-0.0,0.0020898992249344106,0.0,0.0,-0.0,-1.7549842143594035e-44,-0.0,0.0,1.7549842143594035e-44,0.0,0.0,0.0,1.7549723774294845e-44,-0.0,-0.0,-1.7549960513330346e-44
1e-05,-8.17141669427967e-05,-0.0,-0.0,0.002126561306432701,0.0,0.0,-0.0,-2.973600457686888e-44,-0.0,0.0,2.973600457686888e-44,0.0,0.0,0.0,2.973567190486866e-44,-0.0,-0.0,-2.973633725194512e-44
1.25e-05,-8.199086555020195e-05,-0.0,-0.0,0.0021641320037712576,0.0,0.0,-0.0,-5.026590176169114e-44,-0.0,0.0,5.026590176169114e-44,0.0,0.0,0.0,5.026506253721614e-44,-0.0,-0.0,-5.026674099797888e-44
1.5e-05,-8.226866744334059e-05,-0.0,-0.0,0.0022026471637763383,0.0,0.0,-0.0,-8.477835353293041e-44,-0.0,0.0,8.477835353293041e-44,0.0,0.0,0.0,8.477638241466276e-44,-0.0,-0.0,-8.478032469468769e-44
1.7500000000000002e-05,-8.254761823597798e-05,-0.0,-0.0,0.0022421443929189354,0.0,0.0,-0.0,-1.426773479539245e-43,-0.0,0.0,1.426773479539245e-43,0.0,0.0,0.0,1.4267294885192863e-43,-0.0,-0.0,-1.4268174718963111e-43
2e-05,-8.282776367976561e-05,-0.0,-0.0,0.0022826631339643486,0.0,0.0,-0.0,-2.396185176484588e-43,-0.0,0.0,2.396185176484588e-43,0.0,0.0,0.0,2.3960907096869425e-43,-0.0,-0.0,-2.396279646857846e-43
2.25e-05,-8.31091497713221e-05,-0.0,-0.0,0.0023242447861625435,0.0,0.0,-0.0,-4.0162126538379265e-43,-0.0,0.0,4.0162126538379265e-43,0.0,0.0,0.0,4.016015836984716e-43,-0.0,-0.0,-4.0164094801980944e-43
2.5e-05,-8.339182282455892e-05,-0.0,-0.0,0.002366932834983401,0.0,0.0,-0.0,-6.718598475673396e-43,-0.0,0.0,6.718598475673396e-43,0.0,0.0,0.0,6.718198319219953e-43,-0.0,-0.0,-6.718998655349614e-43
2.75e-05,-8.36758295368821e-05,-0.0,-0.0,0.0024107729919286367,0.0,0.0,-0.0,-1.1218637672301314e-42,-0.0,0.0,1.1218637672301314e-42,0.0,0.0,0.0,1.1217840395523444e-42,-0.0,-0.0,-1.1219435004698042e-42
3e-05,-8.396121704671958e-05,-0.0,-0.0,0.002455813342894867,0.0,0.0,-0.0,-1.869967027971787e-42,-0.0,0.0,1.869967027971787e-42,0.0,0.0,0.0,1.8698108662964957e-42,-0.0,-0.0,-1.8701232025365192e-42
3.2500000000000004e-05,-8.424803292351675e-05,-0.0,-0.0,0.002502104505897484,0.0,0.0,-0.0,-3.1116613264009175e-42,-0.0,0.0,3.1116613264009175e-42,0.0,0.0,0.0,3.1113598963427884e-42,-0.0,-0.0,-3.111962785172214e-42
3.5000000000000004e-05,-8.45363251302042e-05,-0.0,-0.0,0.002549699797274788,0.0,0.0,-0.0,-5.1694772740546424e-42,-0.0,0.0,5.1694772740546424e-42,0.0,0.0,0.0,5.1689027838775706e-42,-0.0,-0.0,-5.1700518271434555e-42
3.7500000000000003e-05,-8.482614193775085e-05,-0.0,-0.0,0.0025986554037829585,0.0,0.0,-0.0,-8.574868972873753e-42,-0.0,0.0,8.574868972873753e-42,0.0,0.0,0.0,8.573786200909073e-42,-0.0,-0.0,-8.575951879389193e-42
4e-05,-8.51175317288033e-05,-0.0,-0.0,0.002649030561076913,0.0,0.0,-0.0,-1.420249736167561e-41,-0.0,0.0,1.420249736167561e-41,0.0,0.0,0.0,1.4200476662296225e-41,-0.0,-0.0,-1.4204518344044356e-41
4.25e-05,-8.541054276892968e-05,-0.0,-0.0,0.0027008877342171492,0.0,0.0,-0.0,-2.349022733471362e-41,-0.0,0.0,2.349022733471362e-41,0.0,0.0,0.0,2.3486489370590363e-41,-0.0,-0.0,-2.3493965883937673e-41
4.5e-05,-8.570522286162914e-05,-0.0,-0.0,0.002754292799699638,0.0,0.0,-0.0,-3.8799210913649574e-41,-0.0,0.0,3.8799210913649574e-41,0.0,0.0,0.0,3.8792350940071574e-41,-0.0,-0.0,-3.880607208138151e-41
4.75e-05,-8.600161891595414e-05,-0.0,-0.0,0.002809315224131968,0.0,0.0,-0.0,-6.400271979052587e-41,-0.0,0.0,6.400271979052587e-41,0.0,0.0,0.0,6.399022033294225e-41,-0.0,-0.0,-6.401522165291353e-41
5e-05,-8.62997764359347e-05,-0.0,-0.0,0.002866028240082406,0.0,0.0,-0.0,-1.0544818184907234e-40,-0.0,0.0,1.0544818184907234e-40,0.0,0.0,0.0,1.0542555510744916e-40,-0.0,-0.0,-1.0547081337133485e-40
5.25e-05,-8.659973895386903e-05,-0.0,-0.0,0.002924509014063864,0.0,0.0,-0.0,-1.7352756161215943e-40,-0.0,0.0,1.7352756161215943e-40,0.0,0.0,0.0,1.734868463579326e-40,-0.0,-0.0,-1.7356828627649485e-40
5.5e-05,-8.690154740315784e-05,-0.0,-0.0,0.002984838808396689,0.0,0.0,-0.0,-2.8523847809378477e-40,-0.0,0.0,2.8523847809378477e-40,0.0,0.0,0.0,2.851656151159942e-40,-0.0,-0.0,-2.8531135940449177e-40
5.75e-05,-8.720523949398518e-05,-0.0,-0.0,0.0030471031351925752,0.0,0.0,-0.0,-4.68357301933644e-40,-0.0,0.0,4.68357301933644e-40,0.0,0.0,0.0,4.6822756766124395e-40,-0.0,-0.0,-4.684870715911353e-40
6e-05,-8.751084911410055e-05,-0.0,-0.0,0.0031113919064959922,0.0,0.0,-0.0,-7.68232442170499e-40,-0.0,0.0,7.68232442170499e-40,0.0,0.0,0.0,7.680025307279132e-40,-0.0,-0.0,-7.6846242134786e-40
6.25e-05,-8.781840579797445e-05,-0.0,-0.0,0.0031777995842547464,0.0,0.0,-0.0,-1.2588322060692643e-39,-0.0,0.0,1.2588322060692643e-39,0.0,0.0,0.0,1.2584265440366006e-39,-0.0,-0.0,-1.2592379968179432e-39
6.500000000000001e-05,-8.81279343414892e-05,-0.0,-0.0,0.0032464253359524723,0.0,0.0,-0.0,-2.0606935428415524e-39,-0.0,0.0,2.0606935428415524e-39,0.0,0.0,0.0,2.0599807091125633e-39,-0.0,-0.0,-2.06140661939728e-39
6.750000000000001e-05,-8.84394545592558e-05,-0.0,-0.0,0.003317373207031337,0.0,0.0,-0.0,-3.370051087152395e-39,-0.0,0.0,3.370051087152395e-39,0.0,0.0,0.0,3.3688033054122224e-39,-0.0,-0.0,-3.3712993237624355e-39
7.000000000000002e-05,-8.875298122160593e-05,-0.0,-0.0,0.003390752317720512,0.0,0.0,-0.0,-5.506057796041605e-39,-0.0,0.0,5.506057796041605e-39,0.0,0.0,0.0,5.503881551350737e-39,-0.0,-0.0,-5.5082348875811056e-39
7.250000000000003e-05,-8.906852423236823e-05,-0.0,-0.0,0.0034666770987877233,0.0,0.0,-0.0,-8.987243777996467e-39,-0.0,0.0,8.987243777996467e-39,0.0,0.0,0.0,8.983461310191785e-39,-0.0,-0.0,-8.991027813231984e-39
7.500000000000003e-05,-8.938608896534289e-05,-0.0,-0.0,0.003545267586298382,0.0,0.0,-0.0,-1.4655165330582388e-38,-0.0,0.0,1.4655165330582388e-38,0.0,0.0,0.0,1.464861279022287e-38,-0.0,-0.0,-1.466172075514601e-38
