time_s,x_m,vx_m_per_s,Fx_n,effective_field_proxy_x_t,quantization_axis_x,y_m,vy_m_per_s,Fy_n,effective_field_proxy_y_t,quantization_axis_y,z_m,vz_m_per_s,Fz_n,effective_field_proxy_z_t,quantization_axis_z,radius_m,speed_m_per_s,total_780_scattering_rate_per_s,reference_vector_shift_hz,applied_reference_transition_shift_hz,total_trapping_intensity_w_per_m2,cooling_x_incident_absorption_rate_per_s,cooling_x_retro_absorption_rate_per_s,cooling_y_incident_absorption_rate_per_s,cooling_y_retro_absorption_rate_per_s,cooling_z_incident_absorption_rate_per_s,cooling_z_retro_absorption_rate_per_s,repump_x_incident_absorption_rate_per_s,repump_x_retro_absorption_rate_per_s,repump_y_incident_absorption_rate_per_s,repump_y_retro_absorption_rate_per_s,repump_z_incident_absorption_rate_per_s,repump_z_retro_absorption_rate_per_s,effective_field_proxy_magnitude_t
0.0,0.015,-17.0,2.2328087204127355e-21,0.0019044119701655876,1.0,0.0,-0.0,0.0,0.0,0.0,9.184850993605148e-19,-1.0409497792752501e-15,1.7207945141908754e-41,1.0079900713018464e-58,5.292920266691047e-56,0.015,17.0,3609063.029453865,26654201.530853726,26654201.547185265,21353.19843464948,3112920.0904686614,486609.6522794378,51.61884487064126,51.61884487064126,51.61884487064127,51.61884487064125,5704.210204912264,3622.2906899199365,0.07760786247125503,0.07760786247125503,0.07760786247125502,0.07760786247125503,0.0019044119701655876
2.5e-06,0.014957596697842556,-16.96132086297738,2.060831621246401e-21,0.0019382750883518043,1.0,0.0,0.0,0.0,0.0,0.0,-6.129156158411728e-11,-2.4516625001040946e-05,2.3033103373253837e-31,-1.3733534606959547e-50,-7.085441426499342e-48,0.014957596697842556,16.9613208629951,3447168.749856057,27128150.650444724,27128150.66706666,21708.719180388976,2930921.962555401,506910.5098954007,54.65333552082945,54.65333552082945,54.653471047245354,54.65319999610311,5526.11052244823,3591.245821967029,0.07692968874446607,0.07692968874446607,0.07692973238289019,0.07692964509827319,0.0019382750883518043
5e-06,0.01491528264559256,-16.925620899998016,1.8937347491908565e-21,0.0019729475820017043,1.0,0.0,0.0,0.0,0.0,0.0,-1.8387467661160904e-10,-4.90332460109967e-05,5.0663480599154765e-31,-6.997895372534194e-50,-3.5469241232624647e-47,0.01491528264559256,16.92562090006904,3295051.949424751,27613427.810953915,27613427.827873193,22072.644909059105,2756683.056243205,529228.8432532629,57.902285384569765,57.902285384569765,57.90258349555039,57.90198727789384,5349.524496604129,3558.610693194699,0.07639923564930749,0.07639923564930749,0.0763993240601181,0.07639914720994653,0.0019729475820017043
7.500000000000001e-06,0.014873050606666388,-16.89281557046898,1.7312385060335958e-21,0.0020084606988668282,1.0,0.0,0.0,0.0,0.0,0.0,-3.677493321979053e-10,-7.35498622345185e-05,8.01731293463247e-31,-2.3673903549955164e-49,-1.1787088272781219e-46,0.014873050606666393,16.892815570629093,3152838.1360825123,28110470.356758475,28110470.373982303,22445.299996209564,2590101.337086008,553791.9802208703,61.3432287655937,61.3432287655937,61.3437005194571,61.34275701409836,5174.7183200869185,3524.423278258101,0.07606555605802269,0.07606555605802269,0.07606568973739483,0.07606542231985662,0.0020084606988668282
1e-05,0.014830893543723135,-16.862825177301165,1.5730375431360719e-21,0.0020448471394899042,1.0,0.0,0.0,0.0,0.0,0.0,-6.129155155630516e-10,-9.806647334605851e-05,1.074860314276611e-30,-6.653470764586283e-49,-3.253774150690804e-46,0.014830893543723148,16.86282517758632,3020651.7993509592,28619735.96554037,28619735.983076233,22827.0237440546,2431059.189912397,580841.9700374298,64.9301669067229,64.9301669067229,64.93079936855237,64.92953443448627,5001.920470100764,3488.6943290271092,0.0759835970162183,0.0759835970162183,0.07598377575514635,0.07598341818182502,0.0020448471394899042
1.25e-05,0.01478880460544067,-16.835575312986126,1.4188054353656905e-21,0.0020821411382210553,1.0,0.0,0.0,0.0,0.0,0.0,-9.193732148784543e-10,-0.00012258307972616109,1.2800238181339939e-30,-1.6784607627564858e-48,-8.061224726535747e-46,0.014788804605440698,16.8355753134324,2898615.8914175634,29141703.782191448,29141703.80004713,23218.17129201243,2279425.918223598,610632.58610455,68.59643757961906,68.59643757961906,68.59719073981076,68.59568438193915,4831.308106736164,3451.3883735423055,0.0762147140909279,0.0762147140909279,0.07621493691054367,0.07621449113498852,0.0020821411382210553
1.5e-05,0.014746777112378906,-16.810997224705996,1.2682007662317354e-21,0.0021203784963329973,1.0,0.0,0.0,0.0,0.0,0.0,-1.2871224212589511e-09,-0.00014709968255219866,1.3814107670348304e-30,-3.9422800249313827e-48,-1.859234109263605e-45,0.014746777112378961,16.810997225349574,2786849.260730383,29676874.8822946,29676874.90047819,23619.114605838222,2135060.0419337363,643424.4658919723,72.26454637639382,72.26454637639382,72.26535915051046,72.26373352769568,4662.988081878939,3412.3993284835265,0.07682722035807998,0.07682722035807998,0.07682748544997242,0.07682695508593379,0.0021203784963329973
1.7500000000000002e-05,0.01470480454219383,-16.78902807403007,1.1208742945190558e-21,0.002159596774682957,1.0,0.0,0.0,0.0,0.0,0.0,-1.7161631303137048e-09,-0.00017161628362190144,1.3733313377429285e-30,-8.798337702473631e-48,-4.074065031776724e-45,0.01470480454219393,16.789028074907197,2685460.9415971623,30225774.96862521,30225774.987145126,24030.24355039924,1997810.6459662686,679478.0259641313,75.86370946508714,75.86370946508714,75.86451742855506,75.86290139577672,4496.976223241793,3371.5270179618456,0.07789695130989334,0.07789695130989334,0.0778972559839278,0.07789664640820769,0.002159596774682957
2e-05,0.014662880514512672,-16.769611072463174,9.764787741598187e-22,0.0021998353702845823,1.0,0.0,0.0,0.0,0.0,0.0,-2.206495342392617e-09,-0.00019613288483156488,1.2974793652321307e-30,-1.8893717090366317e-47,-8.588695929515001e-45,0.014662880514512838,16.769611073610132,2594541.6563960724,30788955.442853693,30788955.461718675,24451.967050923686,1867518.8727218972,719043.3924123094,79.35281318097822,79.35281318097822,79.35357646372577,79.35204979345426,4333.18987211366,3328.4721056020207,0.07950788284394819,0.07950788284394819,0.07950822348521594,0.07950754192181991,0.0021998353702845823
2.25e-05,0.014620998775895462,-16.752695446883557,8.346813075025866e-22,0.002241135636391221,1.0,0.0,0.0,0.0,0.0,0.0,-2.7581190607806636e-09,-0.00022064948735521853,1.248500578338791e-30,-3.936432133779009e-47,-1.7564452904410693e-44,0.014620998775895722,16.75269544833664,2514151.377742773,31366995.08623428,31366995.105453443,24884.71434651705,1744018.899615116,762346.8246673713,82.74318656518842,82.74318656518842,82.74392102000198,82.74245206883687,4171.47682082189,3282.876882087673,0.08175278938036981,0.08175278938036981,0.08175316141365224,0.08175241700240601,0.002241135636391221
2.5e-05,0.014579153185418001,-16.738236190984043,6.951789012476219e-22,0.0022835410121588417,1.0,0.0,0.0,0.0,0.0,0.0,-3.3710342875990036e-09,-0.0002451660907273359,1.3631581799557193e-30,-8.003361296599847e-47,-3.50480295908219e-44,0.014579153185418392,16.738236192779524,2444302.476235091,31960501.874370806,31960501.89395362,25328.936338450523,1627138.5517443628,809572.9954400278,86.11439303853513,86.11439303853513,86.11519502706184,86.11359115630893,4011.7009043255425,3234.4316382889942,0.08473395668524351,0.08473395668524351,0.08473435454052469,0.08473355840301501,0.0022835410121588417
2.75e-05,0.014537337701549911,-16.726193547236388,5.5771770501518225e-22,0.0023270971623917543,1.0,0.0,0.0,0.0,0.0,0.0,-4.045241017882078e-09,-0.00026968269211322983,1.7973584612025766e-30,-1.5946091745975338e-46,-6.852353225159792e-44,0.014537337701550473,16.726193549410485,2384937.911652286,32570114.93310161,32570114.953057945,25785.107033763834,1516699.5860774314,860842.6080958466,89.61872869945728,89.61872869945728,89.61978635193802,89.6176713928917,3853.8679300825206,3183.0203779082494,0.08856396837915935,0.08856396837915935,0.08856438544970283,0.0885635507694316,0.0023270971623917543
3e-05,0.01449554637116095,-16.716532155584247,4.221162328607043e-22,0.002371852125848147,1.0,0.0,0.0,0.0,0.0,0.0,-4.780739232825665e-09,-0.000294199285977435,2.702264619857833e-30,-3.123362400235217e-46,-1.3168453320496693e-43,0.014495546371161738,16.7165321581731,2335904.1423824616,33196506.614187796,33196506.634527933,26253.725082025547,1412517.7308242307,916185.0984460607,93.4751735567612,93.4751735567612,93.47676397265664,93.4735838099221,3698.2209307040994,3128.818020167266,0.09336660087817118,0.09336660087817118,0.09336702946968438,0.09336617158930302,0.002371852125848147
3.2500000000000004e-05,0.01445377332166128,-16.709219799867867,2.8829238222195013e-22,0.0024178564729739668,1.0,0.0,0.0,0.0,0.0,0.0,-5.577528893240349e-09,-0.00031871586416587315,4.210088291840992e-30,-6.028888294253683e-46,-2.4934847711775636e-43,0.014453773321662358,16.7092198029075,2296918.9800693286,33840384.70296096,33840384.72369561,26735.315399585837,1314402.5510480278,975506.7183239608,97.95795577395833,97.95795577395833,97.96043386295587,97.95547874353937,3545.2276736295953,3072.254088045367,0.0992778778980379,0.0992778778980379,0.09927830918184409,0.09927744569152266,0.0024178564729739668
3.5000000000000004e-05,0.014412012757445787,-16.704225686197226,1.5629326150418558e-22,0.0024651634721445837,1.0,0.0,0.0,0.0,0.0,0.0,-6.43560993382573e-09,-0.00034323241623415246,6.433025690799585e-30,-1.1490432658846745e-45,-4.6611240141614525e-43,0.014412012757447223,16.704225689723536,2267535.596522429,34502494.745045975,34502494.76618632,27230.43087142654,1222157.1474361059,1038555.1585269894,103.38605340303369,103.38605340303369,103.38984010375006,103.38226819854448,3395.462389455085,3013.858165397258,0.10644734349962912,0.10644734349962912,0.10644776749161106,0.10644691826489966,0.0024651634721445837
3.7500000000000003e-05,0.01437025896193424,-16.70151820461935,2.6325911355086313e-23,0.0025138292618452074,1.0,0.0,0.0,0.0,0.0,0.0,-7.3549822583114716e-09,-0.0003677489297942965,9.471013856160376e-30,-2.165678480120105e-45,-8.61505796352473e-43,0.014370258961936121,16.701518208668062,2247105.0470813196,35183622.45620281,35183622.477760494,27739.654116060603,1135577.649583189,1104882.9036312182,110.1178333298117,110.1178333298117,110.12340839530961,110.112260230255,3249.466949532761,2954.0954236435446,0.11503961313775224,0.11503961313775224,0.1150400187190691,0.1150392058641141,0.0025138292618452074
4e-05,0.014328506306537743,-16.701062158598372,-1.0121383056878492e-22,0.002563913029348109,1.0,0.0,0.0,0.0,0.0,0.0,-8.33564573512925e-09,-0.0003922653907271109,1.3419729020387137e-29,-4.041681748129888e-45,-1.576372404939769e-42,0.014328506306540166,16.70106216320503,2234740.7109485236,35884596.22309775,35884596.24508493,28263.59929434594,1054452.5050602646,1173812.546465916,118.55143205048626,118.55143205048626,118.55933153914337,118.54353501105373,3107.670543529677,2893.282203095707,0.12523626722726322,0.12523626722726322,0.1252366422099107,0.12523588992971957,0.002563913029348109
4.25e-05,0.01428674926780157,-16.702815494468734,-2.257177660813083e-22,0.002615477191448219,1.0,0.0,0.0,0.0,0.0,0.0,-9.377600193269234e-09,-0.00041678178325599383,1.8369308269470764e-29,-7.47651334730732e-45,-2.858565684209806e-42,0.014286749267804648,16.702815499668667,2229288.931433732,36606289.632883675,36606289.65531305,28802.91393915048,978561.6711573309,1244408.229875357,129.12810498531636,129.12810498531636,129.13891799213377,129.11729488942632,2970.380469048241,2831.5885564934074,0.1372381634737659,0.1372381634737659,0.13723849470629332,0.13723782907723212,0.002615477191448219
