time_s,trapping_x_incident_beq_x_t,trapping_x_incident_beq_y_t,trapping_x_incident_beq_z_t,trapping_x_retro_beq_x_t,trapping_x_retro_beq_y_t,trapping_x_retro_beq_z_t,trapping_y_incident_beq_x_t,trapping_y_incident_beq_y_t,trapping_y_incident_beq_z_t,trapping_y_retro_beq_x_t,trapping_y_retro_beq_y_t,trapping_y_retro_beq_z_t,trapping_z_incident_beq_x_t,trapping_z_incident_beq_y_t,trapping_z_incident_beq_z_t,trapping_z_retro_beq_x_t,trapping_z_retro_beq_y_t,trapping_z_retro_beq_z_t
0.0,-7.471204316030111e-23,-0.0,-0.0,2.8503983932917506e-119,0.0,0.0,-0.0,-6.661759491164033e-17,-0.0,0.0,1.757814323458901e-266,0.0,0.0,0.0,7.838308911837619e-07,-0.0,-0.0,-1.1325854869346632e-136
2.5e-06,-8.856695960577192e-23,-0.0,-0.0,3.922810531966554e-118,0.0,0.0,-0.0,-7.366599822935453e-17,-0.0,0.0,2.3804447659109008e-262,0.0,0.0,0.0,7.957956988724399e-07,-0.0,-0.0,-2.38578543517503e-139
5e-06,-1.0491286569758276e-22,-0.0,-0.0,5.247769108851709e-117,0.0,0.0,-0.0,-8.142119855133585e-17,-0.0,0.0,2.68901987107317e-258,0.0,0.0,0.0,8.080009123056125e-07,-0.0,-0.0,-4.136689365587026e-142
7.500000000000001e-06,-1.2418073576167856e-22,-0.0,-0.0,6.825423756345577e-116,0.0,0.0,-0.0,-8.994859035405292e-17,-0.0,0.0,2.5435369114299645e-254,0.0,0.0,0.0,8.20452778282264e-07,-0.0,-0.0,-5.859439213940688e-145
1e-05,-1.4687252034748487e-22,-0.0,-0.0,8.632808727058689e-115,0.0,0.0,-0.0,-9.931885421345063e-17,-0.0,0.0,2.0221004866257838e-250,0.0,0.0,0.0,8.331577317840255e-07,-0.0,-0.0,-6.727014453041984e-148
1.25e-05,-1.7357208463406414e-22,-0.0,-0.0,1.0620146414130798e-113,0.0,0.0,-0.0,-1.0960827765353105e-16,-0.0,0.0,1.355992140071855e-246,0.0,0.0,0.0,8.461224335266895e-07,-0.0,-0.0,-6.208531052586437e-151
1.5e-05,-2.0495767839801899e-22,-0.0,-0.0,1.2710168108657364e-112,0.0,0.0,-0.0,-1.208990801869728e-16,-0.0,0.0,7.697121781607377e-243,0.0,0.0,0.0,8.593537619372232e-07,-0.0,-0.0,-4.5671187181639095e-154
1.7500000000000002e-05,-2.4181612091675364e-22,-0.0,-0.0,1.4801279685283044e-111,0.0,0.0,-0.0,-1.3327974008971478e-16,-0.0,0.0,3.7110986246503525e-239,0.0,0.0,0.0,8.728588210315763e-07,-0.0,-0.0,-2.654075532637633e-157
2e-05,-2.850588999292523e-22,-0.0,-0.0,1.677480496118792e-110,0.0,0.0,-0.0,-1.4684531996932314e-16,-0.0,0.0,1.5248469948989364e-235,0.0,0.0,0.0,8.866449482845168e-07,-0.0,-0.0,-1.2071747739806658e-160
2.25e-05,-3.3574039994058523e-22,-0.0,-0.0,1.8505777150632184e-109,0.0,0.0,-0.0,-1.6169778773200626e-16,-0.0,0.0,5.356832539637199e-232,0.0,0.0,0.0,9.007197227948259e-07,-0.0,-0.0,-4.2561099634779306e-164
2.5e-05,-3.950784905118694e-22,-0.0,-0.0,1.9875980983118034e-108,0.0,0.0,-0.0,-1.7794632915128832e-16,-0.0,0.0,1.6140583254329074e-228,0.0,0.0,0.0,9.150909736957833e-07,-0.0,-0.0,-1.151506634248021e-167
2.75e-05,-4.64477721044083e-22,-0.0,-0.0,2.078736284624956e-107,0.0,0.0,-0.0,-1.957076477132501e-16,-0.0,0.0,4.184033645423249e-225,0.0,0.0,0.0,9.297667883923905e-07,-0.0,-0.0,-2.3657818801478226e-171
3e-05,-5.455553826358018e-22,-0.0,-0.0,2.1173685917871934e-106,0.0,0.0,-0.0,-2.1510624695379305e-16,-0.0,0.0,9.35915461733085e-222,0.0,0.0,0.0,9.447555210512511e-07,-0.0,-0.0,-3.650843950933893e-175
3.2500000000000004e-05,-6.401707107818981e-22,-0.0,-0.0,2.1008497789309742e-105,0.0,0.0,-0.0,-2.362746900392757e-16,-0.0,0.0,1.8118020225138263e-218,0.0,0.0,0.0,9.600658010631466e-07,-0.0,-0.0,-4.183914095435806e-179
3.5000000000000004e-05,-7.504575142262939e-22,-0.0,-0.0,2.030807894606988e-104,0.0,0.0,-0.0,-2.5935383105453404e-16,-0.0,0.0,3.044053269167726e-215,0.0,0.0,0.0,9.75706541396795e-07,-0.0,-0.0,-3.5188571865515503e-183
3.7500000000000003e-05,-8.788605243607295e-22,-0.0,-0.0,1.912892516023139e-103,0.0,0.0,-0.0,-2.8449301182288293e-16,-0.0,0.0,4.4510714943517186e-212,0.0,0.0,0.0,9.91686946891835e-07,-0.0,-0.0,-2.145353438663934e-187
4e-05,-1.0281757655751554e-21,-0.0,-0.0,1.7560285433826203e-102,0.0,0.0,-0.0,-3.118502180606861e-16,-0.0,0.0,5.679641824703487e-209,0.0,0.0,0.0,1.008016522361471e-06,-0.0,-0.0,-9.360652175562425e-192
4.25e-05,-1.2015952500994335e-21,-0.0,-0.0,1.571311149209608e-101,0.0,0.0,-0.0,-3.415921883365209e-16,-0.0,0.0,6.341113981101344e-206,0.0,0.0,0.0,1.0247051079488727e-06,-0.0,-0.0,-2.8842301364414947e-196
4.5e-05,-1.4027563001931528e-21,-0.0,-0.0,1.370729781916308e-100,0.0,0.0,-0.0,-3.7389446936122484e-16,-0.0,0.0,6.210329256104827e-203,0.0,0.0,0.0,1.0417628449022642e-06,-0.0,-0.0,-6.189322613636778e-201
4.75e-05,-1.6357957955139343e-21,-0.0,-0.0,1.1659211580832964e-99,0.0,0.0,-0.0,-4.089414107628679e-16,-0.0,0.0,5.348814431154238e-200,0.0,0.0,0.0,1.0592001463822696e-06,-0.0,-0.0,-9.117506347138818e-206
5e-05,-1.905409632963009e-21,-0.0,-0.0,9.67124151021643e-99,0.0,0.0,-0.0,-4.469260936812833e-16,-0.0,0.0,4.0612332583830974e-197,0.0,0.0,0.0,1.0770277912092317e-06,-0.0,-0.0,-9.082535643207241e-211
5.25e-05,-2.216917674637592e-21,-0.0,-0.0,7.824535907637615e-98,0.0,0.0,-0.0,-4.880501869228469e-16,-0.0,0.0,2.7249271051365187e-194,0.0,0.0,0.0,1.0952568928478146e-06,-0.0,-0.0,-6.023548485851966e-216
5.5e-05,-2.576334437792233e-21,-0.0,-0.0,6.175407703919832e-97,0.0,0.0,-0.0,-5.325237257070007e-16,-0.0,0.0,1.6194366521294055e-191,0.0,0.0,0.0,1.11389890405602e-06,-0.0,-0.0,-2.6167064416479085e-221
5.75e-05,-2.990445760238332e-21,-0.0,-0.0,4.755221254158344e-96,0.0,0.0,-0.0,-5.805648089894763e-16,-0.0,0.0,8.544336947311996e-189,0.0,0.0,0.0,1.1329656212244588e-06,-0.0,-0.0,-7.321040247450184e-227
6e-05,-3.4668916460339836e-21,-0.0,-0.0,3.573069316354118e-95,0.0,0.0,-0.0,-6.32399212000526e-16,-0.0,0.0,4.011160694898356e-186,0.0,0.0,0.0,1.152469187429211e-06,-0.0,-0.0,-1.296180391406032e-232
6.25e-05,-4.014255467752236e-21,-0.0,-0.0,2.6202685434088567e-94,0.0,0.0,-0.0,-6.882599123213121e-16,-0.0,0.0,1.6791553963665228e-183,0.0,0.0,0.0,1.172422094228979e-06,-0.0,-0.0,-1.4258696443304427e-238
6.500000000000001e-05,-4.642159667670565e-21,-0.0,-0.0,1.8756532588552866e-93,0.0,0.0,-0.0,-7.483865292781559e-16,-0.0,0.0,6.281649167343946e-181,0.0,0.0,0.0,1.1928371830506298e-06,-0.0,-0.0,-9.561674593108034e-245
6.750000000000001e-05,-5.361368066578909e-21,-0.0,-0.0,1.3107848578264368e-92,0.0,0.0,-0.0,-8.130246779947029e-16,-0.0,0.0,2.1044243756875403e-178,0.0,0.0,0.0,1.2137276443074592e-06,-0.0,-0.0,-3.831767857083359e-251
7.000000000000002e-05,-6.183894855678748e-21,-0.0,-0.0,8.944443763720143e-92,0.0,0.0,-0.0,-8.824252409080922e-16,-0.0,0.0,6.32656345290436e-176,0.0,0.0,0.0,1.235107063287426e-06,-0.0,-0.0,-8.988355125294652e-258
7.250000000000003e-05,-7.123120312166644e-21,-0.0,-0.0,5.960611018068213e-91,0.0,0.0,-0.0,-9.568435619770451e-16,-0.0,0.0,1.7102496949566846e-173,0.0,0.0,0.0,1.2569893351147234e-06,-0.0,-0.0,-1.2077941970921555e-264
7.500000000000003e-05,-8.19391324301557e-21,-0.0,-0.0,3.8798770734365847e-90,0.0,0.0,-0.0,-1.036538568818742e-15,-0.0,0.0,4.165581647700689e-171,0.0,0.0,0.0,1.2793886316924369e-06,-0.0,-0.0,-9.089493119335305e-272
7.750000000000004e-05,-9.412760134479319e-21,-0.0,-0.0,2.4672384124348604e-89,0.0,0.0,-0.0,-1.1217718312931855e-15,-0.0,0.0,9.15945660851846e-169,0.0,0.0,0.0,1.302319514710517e-06,-0.0,-0.0,-3.7418096925313986e-279
8.000000000000005e-05,-1.0797900950044643e-20,-0.0,-0.0,1.5330230803470545e-88,0.0,0.0,-0.0,-1.212806564495433e-15,-0.0,0.0,1.8217219587678336e-166,0.0,0.0,0.0,1.3257968765737811e-06,-0.0,-0.0,-8.220700681787476e-287
8.250000000000005e-05,-1.2369471484634722e-20,-0.0,-0.0,9.309183225304142e-88,0.0,0.0,-0.0,-1.309906585500623e-15,-0.0,0.0,3.2835294959465352e-164,0.0,0.0,0.0,1.349835934715376e-06,-0.0,-0.0,-9.393030333623887e-295
8.500000000000006e-05,-1.414965216324323e-20,-0.0,-0.0,5.525648498729453e-87,0.0,0.0,-0.0,-1.4133352330052611e-15,-0.0,0.0,5.373567704142303e-162,0.0,0.0,0.0,1.3744522244360668e-06,-0.0,-0.0,-0.0
8.750000000000007e-05,-1.6162823112907702e-20,-0.0,-0.0,3.2066379699523216e-86,0.0,0.0,-0.0,-1.5233542597356014e-15,-0.0,0.0,7.99931925164879e-160,0.0,0.0,0.0,1.3996615927732125e-06,-0.0,-0.0,-0.0
9.000000000000007e-05,-1.8435725324941383e-20,-0.0,-0.0,1.8197034793588497e-85,0.0,0.0,-0.0,-1.640222705653106e-15,-0.0,0.0,1.0851926414891218e-157,0.0,0.0,0.0,1.4254801912547536e-06,-0.0,-0.0,-0.0
9.250000000000008e-05,-2.099762766227964e-20,-0.0,-0.0,1.0100135746046204e-84,0.0,0.0,-0.0,-1.7641957592680344e-15,-0.0,0.0,1.3440301424511024e-155,0.0,0.0,0.0,1.451924520104804e-06,-0.0,-0.0,-0.0
9.500000000000009e-05,-2.388049939629202e-20,-0.0,-0.0,5.484340414034589e-84,0.0,0.0,-0.0,-1.8955236148649614e-15,-0.0,0.0,1.5224200496349293e-153,0.0,0.0,0.0,1.479011362188787e-06,-0.0,-0.0,-0.0
9.750000000000009e-05,-2.711918793603099e-20,-0.0,-0.0,2.9140011005089255e-83,0.0,0.0,-0.0,-2.0344503289735576e-15,-0.0,0.0,1.5799688234512135e-151,0.0,0.0,0.0,1.5067576678020525e-06,-0.0,-0.0,-0.0
0.0001000000000000001,-3.0751601281162896e-20,-0.0,-0.0,1.5153862059507517e-82,0.0,0.0,-0.0,-2.1812126810290506e-15,-0.0,0.0,1.5048964089257343e-149,0.0,0.0,0.0,1.5351807558966137e-06,-0.0,-0.0,-0.0
0.0001025000000000001,-3.4818894696413156e-20,-0.0,-0.0,7.714859078079982e-82,0.0,0.0,-0.0,-2.3360390398973662e-15,-0.0,0.0,1.3178153431670283e-147,0.0,0.0,0.0,1.5642982296531965e-06,-0.0,-0.0,-0.0
0.00010500000000000011,-3.936566097501114e-20,-0.0,-0.0,3.84599586898569e-81,0.0,0.0,-0.0,-2.4991482380688424e-15,-0.0,0.0,1.0627431843317348e-145,0.0,0.0,0.0,1.5941279761736972e-06,-0.0,-0.0,-0.0
0.00010750000000000012,-4.4440123544511927e-20,-0.0,-0.0,1.8779024042429107e-80,0.0,0.0,-0.0,-2.6707484535923993e-15,-0.0,0.0,7.905945690098542e-144,0.0,0.0,0.0,1.6246881679767565e-06,-0.0,-0.0,-0.0
0.00011000000000000013,-5.009433161544515e-20,-0.0,-0.0,8.983172711612049e-80,0.0,0.0,-0.0,-2.851036099902785e-15,-0.0,0.0,5.434338645871774e-142,0.0,0.0,0.0,1.6559972657253251e-06,-0.0,-0.0,-0.0
0.00011250000000000013,-5.638435636552961e-20,-0.0,-0.0,4.211044008280063e-79,0.0,0.0,-0.0,-3.0401947231963387e-15,-0.0,0.0,3.457100833272781e-140,0.0,0.0,0.0,1.688074022710626e-06,-0.0,-0.0,-0.0
0.00011500000000000014,-6.337048711390455e-20,-0.0,-0.0,1.9349299091977214e-78,0.0,0.0,-0.0,-3.2383939073002315e-15,-0.0,0.0,2.038656911390136e-138,0.0,0.0,0.0,1.720937641373422e-06,-0.0,-0.0,-0.0
0.00011750000000000015,-7.11174262357005e-20,-0.0,-0.0,8.71704570521715e-78,0.0,0.0,-0.0,-3.4457881865178404e-15,-0.0,0.0,1.1161591775788505e-136,0.0,0.0,0.0,1.7546073457115547e-06,-0.0,-0.0,-0.0
0.00012000000000000015,-7.969448153876494e-20,-0.0,-0.0,3.8513769346197545e-77,0.0,0.0,-0.0,-3.662515965986221e-15,-0.0,0.0,5.682373128044108e-135,0.0,0.0,0.0,1.7891027944313978e-06,-0.0,-0.0,-0.0
