time_s,cooling_x_incident_sigma_plus_fraction,cooling_x_incident_pi_fraction,cooling_x_incident_sigma_minus_fraction,cooling_x_retro_sigma_plus_fraction,cooling_x_retro_pi_fraction,cooling_x_retro_sigma_minus_fraction,cooling_y_incident_sigma_plus_fraction,cooling_y_incident_pi_fraction,cooling_y_incident_sigma_minus_fraction,cooling_y_retro_sigma_plus_fraction,cooling_y_retro_pi_fraction,cooling_y_retro_sigma_minus_fraction,cooling_z_incident_sigma_plus_fraction,cooling_z_incident_pi_fraction,cooling_z_incident_sigma_minus_fraction,cooling_z_retro_sigma_plus_fraction,cooling_z_retro_pi_fraction,cooling_z_retro_sigma_minus_fraction,repump_x_incident_sigma_plus_fraction,repump_x_incident_pi_fraction,repump_x_incident_sigma_minus_fraction,repump_x_retro_sigma_plus_fraction,repump_x_retro_pi_fraction,repump_x_retro_sigma_minus_fraction,repump_y_incident_sigma_plus_fraction,repump_y_incident_pi_fraction,repump_y_incident_sigma_minus_fraction,repump_y_retro_sigma_plus_fraction,repump_y_retro_pi_fraction,repump_y_retro_sigma_minus_fraction,repump_z_incident_sigma_plus_fraction,repump_z_incident_pi_fraction,repump_z_incident_sigma_minus_fraction,repump_z_retro_sigma_plus_fraction,repump_z_retro_pi_fraction,repump_z_retro_sigma_minus_fraction,trapping_x_incident_sigma_plus_fraction,trapping_x_incident_pi_fraction,trapping_x_incident_sigma_minus_fraction,trapping_x_retro_sigma_plus_fraction,trapping_x_retro_pi_fraction,trapping_x_retro_sigma_minus_fraction,trapping_y_incident_sigma_plus_fraction,trapping_y_incident_pi_fraction,trapping_y_incident_sigma_minus_fraction,trapping_y_retro_sigma_plus_fraction,trapping_y_retro_pi_fraction,trapping_y_retro_sigma_minus_fraction,trapping_z_incident_sigma_plus_fraction,trapping_z_incident_pi_fraction,trapping_z_incident_sigma_minus_fraction,trapping_z_retro_sigma_plus_fraction,trapping_z_retro_pi_fraction,trapping_z_retro_sigma_minus_fraction
0.0,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.24999999995750508,0.5000000000000001,0.2500000000424949,0.2500000000424949,0.5000000000000001,0.24999999995750508,1.640626162920173e-53,3.611629174191935e-21,1.0,1.0,3.611629174191935e-21,1.640626162920173e-53,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.24999999995750508,0.5000000000000001,0.2500000000424949,0.2500000000424949,0.5000000000000001,0.24999999995750508,1.640626162920173e-53,3.611629174191935e-21,1.0,1.0,3.611629174191935e-21,1.640626162920173e-53,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.24999999995750508,0.5000000000000001,0.2500000000424949,0.2500000000424949,0.5000000000000001,0.24999999995750508,1.640626162920173e-53,3.611629174191935e-21,1.0,1.0,3.611629174191935e-21,1.640626162920173e-53
2.5e-06,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.24999999995371547,0.5,0.2500000000462845,0.2500000000462845,0.5,0.24999999995371547,2.653452314596363e-53,4.284508272978652e-21,1.0,1.0,4.284508272978652e-21,2.653452314596363e-53,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.24999999995371547,0.5,0.2500000000462845,0.2500000000462845,0.5,0.24999999995371547,2.653452314596363e-53,4.284508272978652e-21,1.0,1.0,4.284508272978652e-21,2.653452314596363e-53,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.24999999995371547,0.5,0.2500000000462845,0.2500000000462845,0.5,0.24999999995371547,2.653452314596363e-53,4.284508272978652e-21,1.0,1.0,4.284508272978652e-21,2.653452314596363e-53
5e-06,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.2499999999496156,0.5000000000000001,0.25000000005038436,0.25000000005038436,0.5000000000000001,0.2499999999496156,4.279815883620217e-53,5.077165078142726e-21,1.0,1.0,5.077165078142726e-21,4.279815883620217e-53,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.2499999999496156,0.5000000000000001,0.25000000005038436,0.25000000005038436,0.5000000000000001,0.2499999999496156,4.279815883620217e-53,5.077165078142726e-21,1.0,1.0,5.077165078142726e-21,4.279815883620217e-53,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.2499999999496156,0.5000000000000001,0.25000000005038436,0.25000000005038436,0.5000000000000001,0.2499999999496156,4.279815883620217e-53,5.077165078142726e-21,1.0,1.0,5.077165078142726e-21,4.279815883620217e-53
7.500000000000001e-06,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.24999999994518352,0.5,0.25000000005481643,0.25000000005481643,0.5,0.24999999994518352,6.883714174724733e-53,6.009682767721277e-21,1.0,1.0,6.009682767721277e-21,6.883714174724733e-53,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.24999999994518352,0.5,0.25000000005481643,0.25000000005481643,0.5,0.24999999994518352,6.883714174724733e-53,6.009682767721277e-21,1.0,1.0,6.009682767721277e-21,6.883714174724733e-53,0.24999999999999992,0.5000000000000001,0.25000000000000006,0.25000000000000006,0.5000000000000001,0.24999999999999992,0.24999999994518352,0.5,0.25000000005481643,0.25000000005481643,0.5,0.24999999994518352,6.883714174724733e-53,6.009682767721277e-21,1.0,1.0,6.009682767721277e-21,6.883714174724733e-53
1e-05,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.2499999999403961,0.5000000000000001,0.2500000000596039,0.2500000000596039,0.5000000000000001,0.2499999999403961,1.1040165635002673e-52,7.105243202267612e-21,1.0,1.0,7.105243202267612e-21,1.1040165635002673e-52,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.2499999999403961,0.5000000000000001,0.2500000000596039,0.2500000000596039,0.5000000000000001,0.2499999999403961,1.1040165635002673e-52,7.105243202267612e-21,1.0,1.0,7.105243202267612e-21,1.1040165635002673e-52,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.2499999999403961,0.5000000000000001,0.2500000000596039,0.2500000000596039,0.5000000000000001,0.2499999999403961,1.1040165635002673e-52,7.105243202267612e-21,1.0,1.0,7.105243202267612e-21,1.1040165635002673e-52
1.25e-05,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.24999999993522903,0.5,0.2500000000647709,0.2500000000647709,0.5,0.24999999993522903,1.7654427358693552e-52,8.390547332029732e-21,1.0,1.0,8.390547332029732e-21,1.7654427358693552e-52,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.24999999993522903,0.5,0.2500000000647709,0.2500000000647709,0.5,0.24999999993522903,1.7654427358693552e-52,8.390547332029732e-21,1.0,1.0,8.390547332029732e-21,1.7654427358693552e-52,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.24999999993522903,0.5,0.2500000000647709,0.2500000000647709,0.5,0.24999999993522903,1.7654427358693552e-52,8.390547332029732e-21,1.0,1.0,8.390547332029732e-21,1.7654427358693552e-52
1.5e-05,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.24999999992965694,0.5,0.250000000070343,0.250000000070343,0.5,0.24999999992965694,2.8146633507905166e-52,9.896281328350354e-21,1.0,1.0,9.896281328350354e-21,2.8146633507905166e-52,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.24999999992965694,0.5,0.250000000070343,0.250000000070343,0.5,0.24999999992965694,2.8146633507905166e-52,9.896281328350354e-21,1.0,1.0,9.896281328350354e-21,2.8146633507905166e-52,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.24999999992965694,0.5,0.250000000070343,0.250000000070343,0.5,0.24999999992965694,2.8146633507905166e-52,9.896281328350354e-21,1.0,1.0,9.896281328350354e-21,2.8146633507905166e-52
1.7500000000000002e-05,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.2499999999236533,0.5,0.25000000007634665,0.25000000007634665,0.5,0.2499999999236533,4.473657816143379e-52,1.1657630027114866e-20,1.0,1.0,1.1657630027114866e-20,4.473657816143379e-52,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.2499999999236533,0.5,0.25000000007634665,0.25000000007634665,0.5,0.2499999999236533,4.473657816143379e-52,1.1657630027114866e-20,1.0,1.0,1.1657630027114866e-20,4.473657816143379e-52,0.24999999999999986,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999986,0.2499999999236533,0.5,0.25000000007634665,0.25000000007634665,0.5,0.2499999999236533,4.473657816143379e-52,1.1657630027114866e-20,1.0,1.0,1.1657630027114866e-20,4.473657816143379e-52
2e-05,0.24999999999999983,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999983,0.24999999991719044,0.5000000000000001,0.25000000008280954,0.25000000008280954,0.5000000000000001,0.24999999991719044,7.088110219277551e-52,1.3714839708247343e-20,1.0,1.0,1.3714839708247343e-20,7.088110219277551e-52,0.24999999999999983,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999983,0.24999999991719044,0.5000000000000001,0.25000000008280954,0.25000000008280954,0.5000000000000001,0.24999999991719044,7.088110219277551e-52,1.3714839708247343e-20,1.0,1.0,1.3714839708247343e-20,7.088110219277551e-52,0.24999999999999983,0.5000000000000001,0.2500000000000001,0.2500000000000001,0.5000000000000001,0.24999999999999983,0.24999999991719044,0.5000000000000001,0.25000000008280954,0.25000000008280954,0.5000000000000001,0.24999999991719044,7.088110219277551e-52,1.3714839708247343e-20,1.0,1.0,1.3714839708247343e-20,7.088110219277551e-52
2.25e-05,0.24999999999999978,0.5,0.25000000000000017,0.25000000000000017,0.5,0.24999999999999978,0.24999999991023966,0.5000000000000001,0.2500000000897603,0.2500000000897603,0.5000000000000001,0.24999999991023966,1.1194293309391681e-51,1.6113831415533963e-20,1.0,1.0,1.6113831415533963e-20,1.1194293309391681e-51,0.24999999999999978,0.5,0.25000000000000017,0.25000000000000017,0.5,0.24999999999999978,0.24999999991023966,0.5000000000000001,0.2500000000897603,0.2500000000897603,0.5000000000000001,0.24999999991023966,1.1194293309391681e-51,1.6113831415533963e-20,1.0,1.0,1.6113831415533963e-20,1.1194293309391681e-51,0.24999999999999978,0.5,0.25000000000000017,0.25000000000000017,0.5,0.24999999999999978,0.24999999991023966,0.5000000000000001,0.2500000000897603,0.2500000000897603,0.5000000000000001,0.24999999991023966,1.1194293309391681e-51,1.6113831415533963e-20,1.0,1.0,1.6113831415533963e-20,1.1194293309391681e-51
