time_s,x_m,vx_m_per_s,Fx_n,effective_field_proxy_x_t,quantization_axis_x,y_m,vy_m_per_s,Fy_n,effective_field_proxy_y_t,quantization_axis_y,z_m,vz_m_per_s,Fz_n,effective_field_proxy_z_t,quantization_axis_z,radius_m,speed_m_per_s,total_780_scattering_rate_per_s,reference_vector_shift_hz,applied_reference_transition_shift_hz,total_trapping_intensity_w_per_m2,cooling_x_incident_absorption_rate_per_s,cooling_x_retro_absorption_rate_per_s,cooling_y_incident_absorption_rate_per_s,cooling_y_retro_absorption_rate_per_s,cooling_z_incident_absorption_rate_per_s,cooling_z_retro_absorption_rate_per_s,repump_x_incident_absorption_rate_per_s,repump_x_retro_absorption_rate_per_s,repump_y_incident_absorption_rate_per_s,repump_y_retro_absorption_rate_per_s,repump_z_incident_absorption_rate_per_s,repump_z_retro_absorption_rate_per_s,effective_field_proxy_magnitude_t
0.0,0.004285714285714285,-4.857142857142857,2.9418944170213867e-25,-7.47120431603011e-23,-9.531653319693617e-17,0.006428571428571428,-7.285714285714286,2.2014988835307708e-24,-6.661759491164032e-17,-8.498975437295242e-11,0.012857142857142855,-14.571428571428571,2.9770701720185515e-21,7.838308911837618e-07,1.0,0.014999999999999998,17.0,3524297.9017060464,10970.518389413442,10970.51839613529,7.994035676954055,426.420654763076,80.10556939524362,2782.9481745670932,191.40645454879888,3512325.6683269,7960.8195752541005,1.3334711160345831,1.3380608708556723,2.07677978731762,2.0837137817262157,335.8256307380096,187.87529432434718,7.838308911837618e-07
2.5e-06,0.0042735714413121,-4.857137760873918,3.121045080999872e-25,-8.856695960577191e-23,-1.1129358921047468e-16,0.006410357238199027,-7.2856761489602535,2.320532562052089e-24,-7.366599822935452e-17,-9.256898263427614e-11,0.012820843154527724,-14.519881046052513,3.055507458485725e-21,7.957956988724397e-07,1.0,0.0149576105036309,16.955819348151554,3617176.1611115607,11137.978161987861,11137.978168812317,8.11625174827382,452.38712396925195,84.9826786209668,2933.420821443214,201.75602511516672,3604829.8606208735,8133.815939617164,1.4039363894475918,1.408837229862185,2.1725098108899923,2.179842384639325,341.70917870947585,191.0635973969275,7.957956988724397e-07
5e-06,0.004261428610426448,-4.857132354260749,3.310111286830189e-25,-1.0491286569758274e-22,-1.2984250896229341e-16,0.006392143148323588,-7.285635950175597,2.445310812664184e-24,-8.142119855133584e-17,-1.007686963112483e-10,0.01278467571766564,-14.466974744833628,3.1362333527981004e-21,8.080009123056124e-07,1.0,0.014915334425895073,16.910516969417333,3712767.071943442,11308.802659875564,11308.802666804686,8.240930420634143,479.7906963583117,90.12964597469058,3091.155487614715,212.60526671139618,3700032.583032022,8311.312528418537,1.4773591891381408,1.482589980628518,2.271517520954566,2.279268548541677,347.6860992578591,194.2984518453529,8.080009123056124e-07
7.500000000000001e-06,0.004249285793876132,-4.857126620126568,3.5095710693709228e-25,-1.2418073576167856e-22,-1.5135634743253452e-16,0.0063739291643489715,-7.285593589846598,2.5760658319061474e-24,-8.994859035405291e-17,-1.0963286704004252e-10,0.012748644042610585,-14.412670022021873,3.2192935017692152e-21,8.204527782822638e-07,1.0,0.01487317476786198,16.86406268145502,3811125.117121762,11483.079313444377,11483.07932048028,8.368135981219408,508.7006502924967,95.5594761320153,3256.445738447402,223.97440955431253,3797987.7440374214,8493.484853650842,1.5538023932609408,1.5593829380951651,2.373830280449975,2.382020370901805,353.7582369867434,197.58068329487446,8.204527782822638e-07
1e-05,0.004237142992524965,-4.857120540466495,3.7199209063674785e-25,-1.4687252034748485e-22,-1.7628417134530987e-16,0.006355715291937879,-7.285548964437184,2.7130365440056246e-24,-9.931885421345062e-17,-1.1920774473373845e-10,0.012712751726507777,-14.356926441123528,3.304728627477035e-21,8.331577317840253e-07,1.0,0.014831134618467424,16.816425913185746,3912299.0161355464,11660.898186871555,11660.898194016412,8.497934812211758,539.1889366099664,101.28567517928863,3429.5936494457296,235.8842743726416,3898743.4655343285,8680.519144073984,1.633324956242836,1.6392760204058463,2.4794684296590894,2.4881189313050074,359.9275530621321,200.9111801363775,8.331577317840253e-07
1.25e-05,0.004225000207283927,-4.857114096415595,3.9416762210400633e-25,-1.7357208463406412e-22,-2.0513826103227778e-16,0.006337501537022198,-7.285501966272374,2.8564686984197294e-24,-1.0960827765353104e-16,-1.295418645226993e-10,0.012677002469357245,-14.299702860212829,3.3925733112549096e-21,8.461224335266894e-07,1.0,0.014789217156137699,16.767575797846767,4016330.29556299,11842.352503715789,11842.352510971825,8.630395467516504,571.3302514354442,107.3222642620811,3610.9099301118813,248.35628144590697,4002340.6522538266,8872.613211830589,1.7159813925480758,1.722324731776646,2.588444730103234,2.597577733461843,366.1961394031995,204.29090208622029,8.461224335266894e-07
1.5e-05,0.004212857439113387,-4.85710726821606,4.175371909688223e-25,-2.0495767839801894e-22,-2.3850210178400474e-16,0.006319287905813648,-7.285452483420047,3.0066149793507247e-24,-1.2089908018697277e-16,-1.4068604286368927e-10,0.012641400075511474,-14.240957538308603,3.482854604111668e-21,8.593537619372231e-07,1.0,0.014747425650193905,16.71748128490166,4123251.6554417023,12027.538534627267,12027.538541996772,8.765588751562793,605.2021126217269,113.68379392011046,3800.714063007557,261.4124607501489,4108811.3569264547,9069.977393815336,1.8018212522697874,1.8085796367363258,2.70076381971598,2.710402158052102,372.56623451188034,207.72088975398103,8.593537619372231e-07
1.7500000000000002e-05,0.004200714689025428,-4.857100035183479,4.421562901073048e-25,-2.4181612091675364e-22,-2.770392130894279e-16,0.006301074404814721,-7.285400399570814,3.163735131577227e-24,-1.3327974008971475e-16,-1.526933530123462e-10,0.012605948454846918,-14.180648265822734,3.575590447924515e-21,8.728588210315761e-07,1.0,0.014705763461985323,16.666111273264296,4233085.113073863,12216.555707605694,12216.555715091012,8.903587800029248,640.8849407953712,120.38535928567146,3999.33446348325,275.075463565038,4218176.922773622,9272.835571729018,1.8908885945769356,1.8980858321272034,2.8164216880656796,2.826588935600487,379.0402410372699,211.2022752954062,8.728588210315761e-07
2e-05,0.004188571958086248,-4.857092375672132,4.680824754881704e-25,-2.8505889992925226e-22,-3.2150287494536016e-16,0.006282861040829932,-7.285345593915705,3.328096106996375e-24,-1.468453199693231e-16,-1.656190792644112e-10,0.012570651623541021,-14.118732522358428,3.670787893855179e-21,8.866449482845166e-07,1.0,0.014664234045693609,16.61343476847882,4345839.9083311185,12409.506718146717,12409.50672575026,9.044468162296475,678.4621460671028,127.44261634631539,4207.108665640867,289.36857593413725,4330445.887378418,9481.426274599084,1.9832214662616963,1.9908824240324319,2.935405181659404,2.946125649339719,385.62074517680014,214.73629421540687,8.866449482845166e-07
2.25e-05,0.0041764292474186495,-4.857084267039252,4.953754307595798e-25,-3.357403999405852e-22,-3.727468061860828e-16,0.006264647820977379,-7.285287941021316,3.499972236779461e-24,-1.6169778773200623e-16,-1.7952064736661623e-10,0.012535513704377594,-14.05516766537101,3.7684411066461776e-21,9.007197227948257e-07,1.0,0.014622840948742107,16.559421066643655,4461510.157120206,12606.49764352222,12606.497651246464,9.188307885376412,718.0202216131617,134.8717994983906,4424.383540730302,304.3157344078114,4445611.634585817,9696.003866537578,2.078851393804993,2.0870020180655917,3.057691550583738,3.068990279351327,392.3105379868902,218.32429837340442,9.007197227948257e-07
