axis,speed_m_per_s,pair_scalar_shift_hz,pair_vector_shift_hz,pair_tensor_shift_hz,pair_scalar_plus_tensor_shift_hz,pair_total_shift_hz
x,-25.0,-5451905.229627191,-156465.45693642367,5448325.709288779,-3579.5203384123743,-160044.97727483604
x,-24.875,-5451851.833328007,-155682.66718164366,5448307.426874502,-3544.4064535051584,-159227.07363514882
x,-24.75,-5451798.437733734,-154899.87730620243,5448289.144704439,-3509.2930292952806,-158409.1703354977
x,-24.625,-5451745.729313901,-154116.63297783583,5448271.098776386,-3474.630537514575,-157591.2635153504
x,-24.5,-5451693.318021569,-153333.192599562,5448253.154998208,-3440.163023361005,-156773.355622923
x,-24.375,-5451640.906710549,-152549.75194192305,5448235.211213632,-3405.6954969177023,-155955.44743884075
x,-24.25,-5451588.918338472,-151766.59172032122,5448217.411657619,-3371.5066808527336,-155138.09840117395
x,-24.125,-5451537.619697423,-150983.88912059087,5448199.847309029,-3337.7723883939907,-154321.66150898486
x,-24.0,-5451486.3213036405,-150201.18666646536,5448182.283046054,-3304.0382575867698,-153505.22492405213
x,-23.875,-5451435.022662591,-149418.48406673595,5448164.71869746,-3270.303965130821,-152688.78803186677
x,-23.75,-5451383.724745051,-148635.78162472043,5448147.154599454,-3236.57014559675,-151872.35177031718
x,-23.625,-5451333.271780275,-147852.52011817135,5448129.880940294,-3203.390839980915,-151055.91095815226
x,-23.5,-5451282.960532872,-147069.16527757235,5448112.655995772,-3170.304537099786,-150239.46981467213
x,-23.375,-5451232.648808875,-146285.81042509992,5448095.430886161,-3137.217922714539,-149423.02834781446
x,-23.25,-5451182.935085343,-145502.85203976464,5448078.40973952,-3104.525345822796,-148607.37738558743
x,-23.125,-5451133.733702509,-144720.23307844717,5448061.56333833,-3072.170364178717,-147792.4034426259
x,-23.0,-5451084.53233722,-143937.61439619958,5448044.7169431485,-3039.815394071862,-146977.42979027145
x,-22.875,-5451035.330954385,-143154.9954348812,5448027.870541959,-3007.4604124259204,-146162.4558473071
x,-22.75,-5450986.144495014,-142372.3665920766,5448011.029269043,-2975.115225970745,-145347.48181804735
x,-22.625,-5450937.932323955,-141589.0941033028,5447994.522842467,-2943.4094814881682,-144532.50358479097
x,-22.5,-5450889.720135706,-140805.82133522537,5447978.016410004,-2911.703725701198,-143717.52506092656
x,-22.375,-5450841.507717775,-140022.54870111123,5447961.509897947,-2879.9978198278695,-142902.5465209391
x,-22.25,-5450794.067383159,-139239.78790781554,5447945.266768995,-2848.800614164211,-142088.58852197975
x,-22.125,-5450746.962630131,-138457.2493312247,5447929.1381168775,-2817.824513253756,-141275.07384447847
x,-22.0,-5450699.857400946,-137674.7107435139,5447913.00929982,-2786.84810112603,-140461.55884463992
x,-21.875,-5450652.752401441,-136892.17202183977,5447896.880562356,-2755.871839085594,-139648.04386092536
x,-21.75,-5450605.81948055,-136109.51954170316,5447880.810955463,-2725.008525086567,-138834.52806678973
x,-21.625,-5450559.706199599,-135326.32560352422,5447865.023001449,-2694.6831981502473,-138021.00880167447
x,-21.5,-5450513.592902206,-134543.13138606772,5447849.2350418065,-2664.35786039941,-137207.48924646713
x,-21.375,-5450467.4793747775,-133759.93730280641,5447833.447002446,-2634.0323723312467,-136393.96967513766
x,-21.25,-5450422.31093172,-132977.3697165111,5447817.981416114,-2604.329515606165,-135581.69923211727
x,-21.125,-5450377.302293943,-132194.90779994708,5447802.570353462,-2574.7319404808804,-134769.63974042796
x,-21.0,-5450332.293442182,-131412.4462965941,5447787.15921659,-2545.134225592017,-133957.58052218612
x,-20.875,-5450287.284804406,-130629.98438003007,5447771.748153939,-2515.5366504667327,-133145.5210304968
x,-20.75,-5450242.606611397,-129847.30433798023,5447756.45062466,-2486.15598673746,-132333.4603247177
x,-20.625,-5450198.592020437,-129064.18561907858,5447741.38109207,-2457.210928367451,-131521.39654744603
x,-20.5,-5450154.577429479,-128281.06690017413,5447726.31155948,-2428.2658699993044,-130709.33277017344
x,-20.375,-5450110.577971542,-127497.95794383343,5447711.247190944,-2399.330780598335,-129897.28872443177
x,-20.25,-5450067.664682724,-126715.5695638666,5447696.553469978,-2371.111212745309,-129086.6807766119
x,-20.125,-5450024.751869984,-125933.18119402789,5447681.859913927,-2342.8919560573995,-128276.07315008529
x,-20.0,-5449981.839026639,-125150.79226620868,5447667.1663473975,-2314.6726792417467,-127465.46494545043
x,-19.875,-5449938.9262139,-124368.4038963709,5447652.472791346,-2286.4534225538373,-126654.85731892474
x,-19.75,-5449896.501983898,-123585.69223010167,5447637.947073329,-2258.5549105685204,-125844.2471406702
x,-19.625,-5449854.585519516,-122802.64491094742,5447623.595784454,-2230.989735062234,-125033.63464600965
x,-19.5,-5449812.668839336,-122019.59800568316,5447609.244420733,-2203.42441860307,-124223.02242428623
x,-19.375,-5449770.941378525,-121236.67625219654,5447594.957638072,-2175.9837404536083,-123412.65999265015
x,-19.25,-5449730.1242152415,-120454.35756927636,5447580.981544804,-2149.1426704376936,-122603.50023971405
x,-19.125,-5449689.306821215,-119672.03902101982,5447567.005371574,-2122.301449640654,-121794.34047066048
x,-19.0,-5449648.489657931,-118889.72033810057,5447553.029278306,-2095.4603796247393,-120985.1807177253
x,-18.875,-5449607.672249349,-118107.40151087847,5447539.053100094,-2068.619149254635,-120176.0206601331
x,-18.75,-5449567.502741078,-117324.65431955364,5447525.29945373,-2042.2032873481512,-119366.85760690179
x,-18.625,-5449527.684296941,-116541.67536328733,5447511.66638819,-2016.0179087510332,-118557.69327203836
x,-18.5,-5449487.865838606,-115758.69612782169,5447498.033317789,-1989.8325208164752,-117748.52864863817
x,-18.375,-5449448.409863749,-114975.9574106019,5447484.523984816,-1963.8858789326623,-116939.84328953456
x,-18.25,-5449409.687547501,-114193.70496927295,5447471.2650924465,-1938.4224550547078,-116132.12742432766
x,-18.125,-5449370.965231255,-113411.45252794214,5447458.006200078,-1912.9590311767533,-115324.41155911889
x,-18.0,-5449332.243146107,-112629.19995171297,5447444.747387791,-1887.4957583155483,-114516.69571002852
