axis_pair,quantization_axis,coordinate_m,coordinate_mm,scalar_shift_hz,vector_shift_hz,tensor_shift_hz,scalar_plus_tensor_shift_hz,total_shift_hz,scalar_shift_hz_per_watt_path,vector_shift_hz_per_watt_path,tensor_shift_hz_per_watt_path,total_shift_hz_per_watt_path
x,x,-0.0005,-0.5,-5487583.739354588,-1406627.0027403953,5487516.238682434,-67.50067215412855,-1406694.5034125494,-143299578.81077036,-36731841.664845765,143297816.13737008,-36733604.33824604
x,x,-0.000495,-0.495,-5486764.099970581,-1392421.8364838958,5486696.609380498,-67.49059008341283,-1392489.3270739792,-143278175.2233112,-36360896.192634575,143276412.81318825,-36362658.6027575
x,x,-0.00049,-0.49,-5485952.832323083,-1378220.8783139838,5485885.351712094,-67.48061098903418,-1378288.3589249728,-143256990.25052333,-35990060.60795572,143255228.1009887,-35991822.75749036
x,x,-0.000485,-0.48500000000000004,-5485149.932319551,-1364024.0846976088,5485082.461584728,-67.47073482256383,-1364091.5554324314,-143236023.78553653,-35619333.77401236,143234261.89390236,-35621095.66564652
x,x,-0.00048,-0.48000000000000004,-5484355.395910376,-1349831.4121332597,5484287.934948842,-67.46096153371036,-1349898.8730947934,-143215275.72260162,-35248714.554831274,143213514.08618146,-35250476.19125144
x,x,-0.000475,-0.475,-5483569.219088847,-1335642.8171506505,5483501.767797774,-67.45129107311368,-1335710.2684417237,-143194745.95708972,-34878201.815254636,143192984.57319835,-34879963.199146
x,x,-0.00047,-0.47,-5482791.397891106,-1321458.2563103763,5482723.956167715,-67.44172339141369,-1321525.6980337678,-143174434.38549092,-34507794.420931004,143172673.25144446,-34509555.554977484
x,x,-0.000465,-0.465,-5482021.928396106,-1307277.6862036139,5481954.496137664,-67.43225844204426,-1307345.118462056,-143154340.90541324,-34137491.238307565,143152580.01852897,-34139252.12519184
x,x,-0.00046,-0.46,-5481260.806725562,-1293101.0634517213,5481193.383829388,-67.42289617378265,-1293168.486347895,-143134465.41558143,-33767291.13461961,143132704.773178,-33769051.77702305
x,x,-0.000455,-0.455,-5480508.0290439315,-1278928.3447059682,5480440.615407389,-67.4136365428567,-1278995.758342511,-143114807.81583637,-33397192.977883544,143113047.41523358,-33398953.37848635
x,x,-0.00045,-0.45,-5479763.591558348,-1264759.486647158,5479696.187078847,-67.40447950176895,-1264826.8911266597,-143095368.00713333,-33027195.636886995,143093607.8456522,-33028955.79836814
x,x,-0.00044500000000000003,-0.445,-5479027.490518596,-1250594.4459853033,5478960.095093593,-67.39542500302196,-1250661.8414103063,-143076145.89154133,-32657297.981180344,143074385.96650413,-32659057.90621756
x,x,-0.00044,-0.44,-5478299.722217068,-1236433.1794593297,5478232.335744064,-67.38647300377488,-1236500.5659323335,-143057141.3722421,-32287498.881068982,143055381.6809722,-32289258.57233888
x,x,-0.000435,-0.435,-5477580.282988723,-1222275.6438366827,5477512.905365268,-67.37762345559895,-1222343.0214601383,-143038354.35352883,-31917797.207603056,143036594.8933509,-31919556.667780984
x,x,-0.00043,-0.43,-5476869.1692110505,-1208121.7959130416,5476801.800334733,-67.36887631751597,-1208189.164789359,-143019784.74080545,-31548191.832569998,143018025.50904518,-31549951.06433024
x,x,-0.00042500000000000003,-0.42500000000000004,-5476166.377304031,-1193971.5925119538,5476099.017072488,-67.36023154295981,-1194038.9527434967,-143001432.44058535,-31178681.628484964,142999673.43456972,-31180440.634500578
x,x,-0.00042,-0.42000000000000004,-5475471.903730098,-1179824.9904845348,5475404.552041009,-67.35168908908963,-1179892.3421736239,-142983297.36049062,-30809265.468583018,142981538.57754767,-30811024.251525946
x,x,-0.000415,-0.415,-5474785.7449940955,-1165681.946709117,5474718.401745184,-67.34324891120195,-1165749.2899580281,-142965379.40925074,-30439942.22680994,142963620.8467097,-30441700.789350957
x,x,-0.00041,-0.41,-5474107.897643252,-1151542.4180909302,5474040.562732282,-67.33491097018123,-1151609.7530019004,-142947678.49670205,-30070710.777813904,142945920.1518932,-30072469.122622766
x,x,-0.000405,-0.40499999999999997,-5473438.358267138,-1137406.36156175,5473371.031591915,-67.32667522318661,-1137473.6882369732,-142930194.5337866,-29701569.99693627,142928436.40404123,-29703328.12668161
x,x,-0.0004,-0.4,-5472777.123497625,-1123273.7340795975,5472709.804955999,-67.31854162551463,-1123341.052621223,-142912927.432551,-29332518.760203768,142911169.5152017,-29334276.677553058
x,x,-0.000395,-0.395,-5472124.190008858,-1109144.4926283946,5472056.879498718,-67.31051013991237,-1109211.8031385345,-142895877.10614583,-28963555.94431949,142894119.39852607,-28965313.65193922
x,x,-0.00039,-0.39,-5471479.554517213,-1095018.5942176245,5471412.251936488,-67.30258072540164,-1095085.89679835,-142879043.4688244,-28594680.42665401,142877285.9682688,-28596437.927209612
x,x,-0.00038500000000000003,-0.385,-5470843.213781275,-1080895.995882025,5470775.919027934,-67.29475334100425,-1080963.290635366,-142862426.4359423,-28225891.085237395,142860669.13978648,-28227648.38139322
x,x,-0.00038,-0.38,-5470215.164601784,-1066776.654681229,5470147.877573837,-67.28702794760466,-1066843.9417091766,-142846025.92395595,-27857186.79874981,142844268.82953656,-27858943.893169194
x,x,-0.000375,-0.375,-5469595.403821617,-1052660.527699479,5469528.124417109,-67.27940450794995,-1052727.8071039869,-142829841.850422,-27488566.446514044,142828084.9550767,-27490323.341859348
x,x,-0.00037,-0.37,-5468983.928325749,-1038547.572045262,5468916.656442769,-67.27188298013061,-1038614.8439282421,-142813874.13399655,-27120028.90848602,142812117.43506405,-27121785.607418507
x,x,-0.000365,-0.365,-5468380.735041222,-1024437.744850995,5468313.470577892,-67.26446332968771,-1024505.0093143247,-142798122.6944341,-26751573.06524653,142796366.18925405,-26753329.57042657
x,x,-0.00035999999999999997,-0.36,-5467785.820937108,-1010331.0032726964,5467718.563791589,-67.25714551936835,-1010398.2604182158,-142782587.45258683,-26383197.797992688,142780831.13849983,-26384954.112079673
x,x,-0.000355,-0.355,-5467199.183024481,-996227.3044896703,5467131.933094972,-67.24992950912565,-996294.5544191794,-142767268.3304036,-26014901.988529686,142765512.2047513,-26016658.114181966
x,x,-0.00035,-0.35,-5466620.818356392,-982126.6057041595,5466553.575541125,-67.24281526729465,-982193.8485194268,-142752165.2509295,-25646684.51926171,142750409.3110544,-25648440.459136803
x,x,-0.00034500000000000004,-0.34500000000000003,-5466050.724027814,-968028.8641410321,5465983.48822506,-67.23580275475979,-968096.0999437869,-142737278.13830438,-25278544.273183778,142735522.38154995,-25280300.029938187
x,x,-0.00034,-0.34,-5465488.897175645,-953934.0370474681,5465421.668283708,-67.22889193706214,-954001.2659394052,-142722606.91776282,-24910480.133873552,142720851.3414735,-24912235.710162874
x,x,-0.000335,-0.335,-5464935.334978651,-939842.0816925922,5464868.112895872,-67.22208277881145,-939909.303775371,-142708151.51563272,-24542490.98548173,142706396.11715382,-24544246.383960646
x,x,-0.00033,-0.33,-5464390.034657443,-925752.9553671917,5464322.819282195,-67.21537524834275,-925820.17074244,-142693911.8593348,-24174575.712724708,142692156.63601243,-24176330.936047066
x,x,-0.000325,-0.325,-5463852.993474458,-911666.6153833764,5463785.784705148,-67.20876931026578,-911733.8241526866,-142679887.8773819,-23806733.200875685,142678132.82656318,-23808488.251694407
x,x,-0.00031999999999999997,-0.31999999999999995,-5463324.20873392,-897583.0190742426,5463257.00646899,-67.2022649301216,-897650.2213391727,-142666079.49937806,-23438962.335755885,142664324.61841094,-23440717.216722995
x,x,-0.00031499999999999996,-0.31499999999999995,-5462803.677781809,-883502.1237935731,5462736.481919732,-67.19586207717657,-883569.3196556503,-142652486.65601778,-23071262.003726725,142650731.94225106,-23073016.71749345
x,x,-0.00031,-0.31,-5462291.398005847,-869423.8869154779,5462224.208445125,-67.18956072162837,-869491.0764761996,-142639109.27908552,-22703631.091680437,142637354.72986874,-22705385.64089722
x,x,-0.000305,-0.305,-5461787.366835451,-855348.265834108,5461720.183474625,-67.18336082529277,-855415.4491949333,-142625947.3014546,-22336068.4870326,142624192.91413832,-22337822.87434888
x,x,-0.00030000000000000003,-0.30000000000000004,-5461291.58174172,-841275.2179633174,5461224.404479358,-67.17726236209273,-841342.3952256795,-142613000.65708676,-21968573.07771329,142611246.4290222,-21970327.30577784
x,x,-0.000295,-0.29500000000000004,-5460804.040237412,-827204.7007363122,5460736.8689721115,-67.1712653003633,-827271.8720016126,-142600269.28103155,-21601143.752157945,142598515.20957077,-21602897.823618703
x,x,-0.00029,-0.29,-5460324.7398769,-813136.6716053793,5460257.5745072905,-67.16536960937083,-813203.8369749887,-142587753.10942534,-21233779.399300262,142585999.19192123,-21235533.316804368
x,x,-0.000285,-0.285,-5459853.67825616,-799071.0880415207,5459786.518680899,-67.15957526024431,-799138.2476167809,-142575452.0794908,-20866478.90856266,142573698.31329697,-20868232.67475649
x,x,-0.00028,-0.27999999999999997,-5459390.8530127425,-785007.9075341569,5459323.699130518,-67.15388222411275,-785075.061416381,-142563366.12953636,-20499241.16984852,142561612.51200718,-20500994.787377708
x,x,-0.00027499999999999996,-0.27499999999999997,-5458936.261825748,-770947.0875907736,5458869.113535276,-67.14829047210515,-771014.2358812457,-142551495.19895533,-20132065.07353297,142549741.7274459,-20133818.54504239
x,x,-0.00027,-0.27,-5458489.902415801,-756888.585736665,5458422.7596158255,-67.1427999753505,-756955.7285366403,-142539839.22822547,-19764949.51045618,142538085.9000917,-19766702.838589948
x,x,-0.000265,-0.265,-5458051.772545029,-742832.3595145289,5457984.635134323,-67.13741070684046,-742899.4969252357,-142528398.15890825,-19397893.371912785,142526644.9715067,-19399646.559314325
x,x,-0.00026,-0.25999999999999995,-5457621.8700170275,-728778.3664841894,5457554.737894388,-67.13212263956666,-728845.498606829,-142517171.93364802,-19030895.549644653,142515418.884336,-19032648.59895667
x,x,-0.00025499999999999996,-0.25499999999999995,-5457200.192676862,-714726.5642222902,5457133.065741114,-67.12693574745208,-714793.6911580376,-142506160.4961721,-18663954.935832858,142504407.58230758,-18665707.849697385
x,x,-0.00025,-0.25,-5456786.738411011,-700676.9103219258,5456719.616561007,-67.12185000441968,-700744.0321719302,-142495363.7912892,-18297070.423088074,142493611.01023084,-18298823.204146456
x,x,-0.000245,-0.245,-5456381.505147377,-686629.3623923734,5456314.388281993,-67.11686538439244,-686696.4792577578,-142484781.7648898,-17930240.904443547,142483029.1139969,-17931993.555336457
x,x,-0.00023999999999999998,-0.24,-5455984.490855242,-672583.8780587334,5455917.378873378,-67.11198186408728,-672650.9900405975,-142474414.36394486,-17563465.273345735,142472661.84057736,-17565217.796713226
x,x,-0.00023499999999999997,-0.23499999999999996,-5455595.693545258,-658540.4149616295,5455528.586345841,-67.10719941649586,-658607.522161046,-142464261.53650573,-17196742.423646446,142462509.1380243,-17198494.822127875
