axis,coordinate_m,coordinate_mm,quantization_axis_x,quantization_axis_y,quantization_axis_z,total_intensity_w_per_m2,total_intensity_per_watt_path_m_inv2,scalar_shift_hz,vector_shift_hz,tensor_shift_hz,total_shift_hz,scalar_shift_hz_per_watt_path,vector_shift_hz_per_watt_path,tensor_shift_hz_per_watt_path,total_shift_hz_per_watt_path,bare_stretched_transition_frequency_hz,shifted_stretched_transition_frequency_hz,fixed_carrier_effective_detuning_hz,center_compensated_effective_detuning_hz
x,-0.002,-2.0,1.0,0.0,0.0,15394.720322003583,402008.79710168793,-8167581.883518462,-6074662.775722751,5135586.973597238,-9106657.685643975,-213283495.87032086,-158630220.24351236,134107739.43818082,-237805976.67565238,384228115000000.0,384228105893342.3,-5893342.314356025,-22233033.74204999
x,-0.00199,-1.99,1.0,0.0,0.0,15445.208690074356,403327.221060761,-8194368.201928796,-6039268.294223816,5111001.125982672,-9122635.370169941,-213982978.25244182,-157705949.2834815,133465718.87408325,-238223208.6618401,384228115000000.0,384228105877364.6,-5877364.629830059,-22217056.05752402
x,-0.00198,-1.98,1.0,0.0,0.0,15496.548736430275,404667.88525257417,-8221606.3734411625,-6003955.495122133,5086260.752370065,-9139301.116193227,-214694260.06438127,-156783811.3301943,132819663.10770243,-238658408.28687307,384228115000000.0,384228105860698.9,-5860698.8838067725,-22200390.311500736
x,-0.00197,-1.97,1.0,0.0,0.0,15548.741889776957,406030.82698551705,-8249297.156047242,-5968723.802726479,5061365.217018786,-9156655.741754938,-215417361.09989432,-155863791.35038412,132169555.53767626,-239111596.91260222,384228115000000.0,384228105843344.25,-5843344.258245062,-22183035.685939025
x,-0.00196,-1.96,1.0,0.0,0.0,15601.789416224348,407416.0793220506,-8277441.221474523,-5933572.644217363,5036313.929327671,-9174699.936364213,-216152298.90008292,-154945874.38577494,131515380.74138853,-239582792.5444693,384228115000000.0,384228105825300.06,-5825300.063635787,-22164991.491329752
x,-0.0019500000000000001,-1.9500000000000002,1.0,0.0,0.0,15655.69241596237,408823.6709918962,-8306039.153422553,-5898501.449622116,5011106.3447040375,-9193434.25834063,-216899088.70733857,-154030045.55243114,130857124.49766177,-240072009.76210794,384228115000000.0,384228105806565.75,-5806565.741659369,-22146257.169353332
x,-0.00194,-1.9400000000000002,1.0,0.0,0.0,15710.451819952881,410253.62630565185,-8335091.44580788,-5863509.651790141,4985741.9654284,-9212859.13216962,-217657743.41951147,-153116290.040111,130194773.80933806,-240579259.65028435,384228115000000.0,384228105787140.9,-5787140.867830381,-22126832.295524344
x,-0.00193,-1.9300000000000002,1.0,0.0,0.0,15766.068386639841,411705.96506888315,-8364598.501018663,-5828596.686368346,4960220.341514518,-9232974.845872493,-218428273.5443326,-152204593.1116252,129528316.92573771,-241104549.73022017,384228115000000.0,384228105767025.1,-5767025.154127507,-22106716.58182147
x,-0.00192,-1.9200000000000002,1.0,0.0,0.0,15822.542698679812,413180.7024967456,-8394560.628180046,-5793761.991776857,4934541.071564188,-9253781.548392715,-219210687.1541167,-151294940.10220262,128857743.36498088,-241647883.89133847,384228115000000.0,384228105746218.44,-5746218.451607285,-22085909.87930125
x,-0.00191,-1.91,1.0,0.0,0.0,15879.875159694631,414677.84912918584,-8424978.041431323,-5759005.009184764,4908703.803616267,-9275279.24699982,-220004989.84077308,-150387316.41885707,128183043.93615839,-242209262.32347178,384228115000000.0,384228105724720.75,-5724720.753000179,-22064412.18069414
x,-0.0019,-1.9,1.0,0.0,0.0,15938.065991048305,416197.4107467751,-8455850.858215908,-5724325.182486216,4882708.235989351,-9297467.804712765,-220811184.6711509,-149481707.53976288,127504210.76133706,-242788681.44957653,384228115000000.0,384228105702532.2,-5702532.195287235,-22042223.622981198
x,-0.00189,-1.89,1.0,0.0,0.0,15997.115228650191,417739.38828722946,-8487179.09758531,-5689721.958276601,4856554.118117669,-9320346.937744241,-221629272.14275023,-148578099.013633,126821237.29738767,-243386133.85899556,384228115000000.0,384228105679653.06,-5679653.062255759,-22019344.48994972
x,-0.00188,-1.88,1.0,0.0,0.0,16057.022719786455,419303.7777626685,-8518962.67851807,-5655194.785828961,4830241.2513795225,-9343916.212967511,-222459250.13982373,-147676476.4591031,126134118.35761844,-244001608.24130848,384228115000000.0,384228105656083.8,-5656083.787032489,-21995775.21472645
x,-0.0018700000000000001,-1.87,1.0,0.0,0.0,16117.788119981913,420890.570177667,-8551201.41825482,-5620743.117070523,4803769.489917824,-9368175.04540752,-223301113.88989922,-146776825.56411868,125442850.13320193,-244635089.32081604,384228115000000.0,384228105631824.94,-5631824.954592479,-21971516.382286444
x,-0.00186,-1.86,1.0,0.0,0.0,16179.410889894281,422499.75144815346,-8583895.030650567,-5586366.406559496,4777138.741452148,-9393122.695757916,-224154855.92075235,-145879132.08532917,124747430.21438065,-245286557.7917009,384228115000000.0,384228105606877.3,-5606877.304242084,-21946568.731936045
x,-0.00185,-1.85,1.0,0.0,0.0,16241.890292243006,424131.3023212111,-8617043.12454527,-5552064.111461978,4750348.968081719,-9418758.267925527,-225020466.01785666,-144983381.84748495,124047857.61143574,-245955990.2539058,384228115000000.0,384228105581241.75,-5581241.732074473,-21920933.159768436
x,-0.00184,-1.84,1.0,0.0,0.0,16305.225388774632,425785.1982958334,-8650645.202153869,-5517835.691529092,4723400.187078808,-9445080.706604153,-225897931.18234184,-144089560.74284014,123344132.77540526,-246643359.14977673,384228115000000.0,384228105554919.3,-5554919.293395847,-21894610.72108981
x,-0.00183,-1.83,1.0,0.0,0.0,16369.415037267026,427461.4095446942,-8684700.657476857,-5483680.609074242,4696292.47167196,-9472088.794879138,-226787235.5894883,-143197654.7305589,122636257.61853696,-247348632.70151022,384228115000000.0,384228105527911.2,-5527911.2051208615,-21867602.632814825
x,-0.00182,-1.82,1.0,0.0,0.0,16434.457888574383,429159.9008369823,-8719208.774732554,-5449598.328950556,4669025.951818483,-9499781.151864627,-227688360.54778838,-142307649.83612618,121924235.53446059,-248071774.84945396,384228115000000.0,384228105500218.9,-5500218.848135373,-21839910.275829338
x,-0.00181,-1.81,1.0,0.0,0.0,16500.352383715253,430880.63146236056,-8754168.726812158,-5415588.318528541,4641600.814965664,-9528156.23037504,-228601284.45860255,-141419532.1507644,121208071.41806592,-248812745.19130117,384228115000000.0,384228105471843.75,-5471843.76962496,-21811535.197318923
x,-0.0018,-1.8,1.0,0.0,0.0,16567.096751005756,432623.5551561036,-8789579.5737588,-5381650.047673865,4614017.306800086,-9557212.314632578,-229525982.77644238,-140533287.83085304,120487771.68506983,-249571498.92222556,384228115000000.0,384228105442787.7,-5442787.685367422,-21782479.113061383
x,-0.00179,-1.79,1.0,0.0,0.0,16634.689003240033,434388.62002547045,-8825440.261271635,-5347782.988725321,4586275.731984551,-9586947.518012404,-230462427.96990716,-139648903.09735343,119763344.29126003,-250347986.77600053,384228115000000.0,384228105413052.5,-5413052.481987596,-21752743.90968156
x,-0.0017800000000000001,-1.78,1.0,0.0,0.0,16703.126934920158,436175.7684773673,-8861749.619236205,-5313986.616472931,4558376.45488194,-9617359.7808272,-231410589.48330653,-138766364.23523682,119034798.75139748,-251142154.967146,384228115000000.0,384228105382640.25,-5382640.2191728,-21722331.64686676
x,-0.00177,-1.77,1.0,0.0,0.0,16772.408119537715,437984.937147361,-8898506.360282177,-5280260.408136255,4530319.900265526,-9648446.868152905,-232370433.69899842,-137885657.5929181,118302146.157765,-251953945.1341515,384228115000000.0,384228105351553.1,-5351553.131847095,-21691244.559541058
x,-0.00176,-1.76,1.0,0.0,0.0,16842.529906908996,439816.05683009134,-8935709.078369562,-5246603.843342823,4502106.554015136,-9680206.367697248,-233341923.90047005,-137006769.5816923,117565399.19834661,-252783294.28381577,384228115000000.0,384228105319793.6,-5319793.632302752,-21659485.059996717
x,-0.00175,-1.75,1.0,0.0,0.0,16913.489420566304,441669.05241114926,-8973356.247404674,-5213016.404106765,4473736.963798549,-9712635.68771289,-234325020.23619613,-136129686.67517698,116824572.174621,-253630134.7367521,384228115000000.0,384228105287364.3,-5287364.312287111,-21627055.739981074
x,-0.00174,-1.74,1.0,0.0,0.0,16985.28355520721,443543.8428004683,-9011446.219886849,-5179497.574807562,4445211.73973763,-9745732.05495678,-235319679.6842999,-135254395.4087569,116079681.01895669,-254494394.07410008,384228115000000.0,384228105254267.94,-5254267.945043219,-21593959.372737184
x,-0.00173,-1.73,1.0,0.0,0.0,17057.90897420408,445440.34086728987,-9049977.22558716,-5146046.842168975,4416531.555058551,-9779492.512697583,-236325856.01804987,-134380882.3790341,115330743.31159143,-255375995.08549252,384228115000000.0,384228105220507.5,-5220507.487302417,-21560198.914996378
x,-0.00172,-1.72,1.0,0.0,0.0,17131.36210717604,447358.45337675855,-9088947.370260194,-5112663.695238087,4387697.1467255615,-9813913.918772722,-237343499.77222016,-133509134.24328047,114577778.29718216,-256274855.71831852,384228115000000.0,384228105186086.06,-5186086.081227278,-21525777.508921243
