signed_speed_along_scan_m_per_s,horizontal_x_incident_trapping_projected_speed_m_per_s,horizontal_x_incident_trapping_doppler_shift_hz,horizontal_x_incident_trapping_atom_frame_wavelength_nm,horizontal_x_retro_trapping_projected_speed_m_per_s,horizontal_x_retro_trapping_doppler_shift_hz,horizontal_x_retro_trapping_atom_frame_wavelength_nm,horizontal_y_incident_trapping_projected_speed_m_per_s,horizontal_y_incident_trapping_doppler_shift_hz,horizontal_y_incident_trapping_atom_frame_wavelength_nm,horizontal_y_retro_trapping_projected_speed_m_per_s,horizontal_y_retro_trapping_doppler_shift_hz,horizontal_y_retro_trapping_atom_frame_wavelength_nm,vertical_z_incident_trapping_projected_speed_m_per_s,vertical_z_incident_trapping_doppler_shift_hz,vertical_z_incident_trapping_atom_frame_wavelength_nm,vertical_z_retro_trapping_projected_speed_m_per_s,vertical_z_retro_trapping_doppler_shift_hz,vertical_z_retro_trapping_atom_frame_wavelength_nm
-25.0,-10.91089451179962,7134712.964710893,1529.2688253425265,10.91089451179962,-7134712.964710893,1529.2689366574778,21.82178902359924,-14269425.929421786,1529.2689923149594,-21.82178902359924,14269425.929421786,1529.2687696850567,-5.45544725589981,3567356.4823554466,1529.2688531712624,5.45544725589981,-3567356.4823554466,1529.2689088287382
-24.875,-10.85634003924062,7099039.399887338,1529.2688256208135,10.85634003924062,-7099039.399887338,1529.26893637919,21.71268007848124,-14198078.799774677,1529.2689917583846,-21.71268007848124,14198078.799774677,1529.2687702416315,-5.42817001962031,3549519.699943669,1529.2688533104065,5.42817001962031,-3549519.699943669,1529.2689086895946
-24.75,-10.801785566681623,7063365.835063783,1529.268825899101,10.801785566681623,-7063365.835063783,1529.268936100903,21.603571133363246,-14126731.670127567,1529.2689912018097,-21.603571133363246,14126731.670127567,1529.268770798206,-5.400892783340812,3531682.9175318917,1529.26885344955,5.400892783340812,-3531682.9175318917,1529.268908550451
-24.625,-10.747231094122625,7027692.27024023,1529.2688261773885,10.747231094122625,-7027692.27024023,1529.2689358226155,21.49446218824525,-14055384.54048046,1529.268990645235,-21.49446218824525,14055384.54048046,1529.2687713547807,-5.373615547061313,3513846.135120115,1529.2688535886937,5.373615547061313,-3513846.135120115,1529.2689084113072
-24.5,-10.692676621563628,6992018.705416676,1529.2688264556757,10.692676621563628,-6992018.705416676,1529.268935544328,21.385353243127255,-13984037.410833351,1529.26899008866,-21.385353243127255,13984037.410833351,1529.2687719113553,-5.346338310781814,3496009.352708338,1529.2688537278375,5.346338310781814,-3496009.352708338,1529.2689082721636
-24.375,-10.638122149004628,6956345.14059312,1529.2688267339631,10.638122149004628,-6956345.14059312,1529.2689352660407,21.276244298009257,-13912690.28118624,1529.2689895320852,-21.276244298009257,13912690.28118624,1529.2687724679301,-5.319061074502314,3478172.57029656,1529.268853866981,5.319061074502314,-3478172.57029656,1529.2689081330197
-24.25,-10.58356767644563,6920671.575769566,1529.2688270122505,10.58356767644563,-6920671.575769566,1529.2689349877533,21.16713535289126,-13841343.151539132,1529.2689889755104,-21.16713535289126,13841343.151539132,1529.2687730245048,-5.291783838222815,3460335.787884783,1529.2688540061247,5.291783838222815,-3460335.787884783,1529.2689079938762
-24.125,-10.529013203886633,6884998.010946011,1529.2688272905377,10.529013203886633,-6884998.010946011,1529.2689347094658,21.058026407773266,-13769996.021892022,1529.2689884189356,-21.058026407773266,13769996.021892022,1529.2687735810794,-5.264506601943316,3442499.0054730056,1529.2688541452685,5.264506601943316,-3442499.0054730056,1529.2689078547326
-24.0,-10.474458731327635,6849324.446122457,1529.2688275688251,10.474458731327635,-6849324.446122457,1529.2689344311784,20.94891746265527,-13698648.892244915,1529.2689878623607,-20.94891746265527,13698648.892244915,1529.2687741376542,-5.237229365663818,3424662.2230612286,1529.268854284412,5.237229365663818,-3424662.2230612286,1529.2689077155887
-23.875,-10.419904258768637,6813650.881298903,1529.2688278471123,10.419904258768637,-6813650.881298903,1529.268934152891,20.839808517537275,-13627301.762597807,1529.268987305786,-20.839808517537275,13627301.762597807,1529.2687746942288,-5.209952129384319,3406825.4406494517,1529.2688544235557,5.209952129384319,-3406825.4406494517,1529.2689075764451
-23.75,-10.365349786209638,6777977.316475348,1529.2688281254,10.365349786209638,-6777977.316475348,1529.2689338746038,20.730699572419276,-13555954.632950695,1529.268986749211,-20.730699572419276,13555954.632950695,1529.2687752508034,-5.182674893104819,3388988.658237674,1529.2688545626997,5.182674893104819,-3388988.658237674,1529.2689074373013
-23.625,-10.31079531365064,6742303.751651794,1529.2688284036874,10.31079531365064,-6742303.751651794,1529.2689335963164,20.62159062730128,-13484607.503303587,1529.2689861926362,-20.62159062730128,13484607.503303587,1529.268775807378,-5.15539765682532,3371151.875825897,1529.268854701843,5.15539765682532,-3371151.875825897,1529.2689072981577
-23.5,-10.256240841091643,6706630.18682824,1529.2688286819746,10.256240841091643,-6706630.18682824,1529.2689333180288,20.512481682183285,-13413260.37365648,1529.2689856360614,-20.512481682183285,13413260.37365648,1529.268776363953,-5.128120420545821,3353315.09341412,1529.2688548409867,5.128120420545821,-3353315.09341412,1529.2689071590141
-23.375,-10.201686368532645,6670956.622004685,1529.268828960262,10.201686368532645,-6670956.622004685,1529.2689330397416,20.40337273706529,-13341913.24400937,1529.2689850794866,-20.40337273706529,13341913.24400937,1529.2687769205274,-5.100843184266322,3335478.3110023425,1529.2688549801303,5.100843184266322,-3335478.3110023425,1529.2689070198703
-23.25,-10.147131895973645,6635283.05718113,1529.2688292385494,10.147131895973645,-6635283.05718113,1529.2689327614542,20.29426379194729,-13270566.11436226,1529.2689845229118,-20.29426379194729,13270566.11436226,1529.268777477102,-5.073565947986823,3317641.528590565,1529.2688551192743,5.073565947986823,-3317641.528590565,1529.2689068807265
-23.125,-10.092577423414648,6599609.492357575,1529.2688295168366,10.092577423414648,-6599609.492357575,1529.2689324831667,20.185154846829295,-13199218.98471515,1529.268983966337,-20.185154846829295,13199218.98471515,1529.2687780336767,-5.046288711707324,3299804.7461787877,1529.268855258418,5.046288711707324,-3299804.7461787877,1529.268906741583
-23.0,-10.03802295085565,6563935.927534021,1529.268829795124,10.03802295085565,-6563935.927534021,1529.2689322048793,20.0760459017113,-13127871.855068043,1529.268983409762,-20.0760459017113,13127871.855068043,1529.2687785902517,-5.019011475427825,3281967.9637670107,1529.2688553975615,5.019011475427825,-3281967.9637670107,1529.268906602439
-22.875,-9.983468478296652,6528262.362710468,1529.2688300734117,9.983468478296652,-6528262.362710468,1529.268931926592,19.966936956593305,-13056524.725420935,1529.2689828531873,-19.966936956593305,13056524.725420935,1529.2687791468263,-4.991734239148326,3264131.181355234,1529.2688555367054,4.991734239148326,-3264131.181355234,1529.2689064632955
-22.75,-9.928914005737655,6492588.797886913,1529.2688303516986,9.928914005737655,-6492588.797886913,1529.2689316483045,19.85782801147531,-12985177.595773825,1529.2689822966124,-19.85782801147531,12985177.595773825,1529.268779703401,-4.964457002868827,3246294.3989434564,1529.268855675849,4.964457002868827,-3246294.3989434564,1529.2689063241519
-22.625,-9.874359533178655,6456915.233063358,1529.2688306299863,9.874359533178655,-6456915.233063358,1529.268931370017,19.74871906635731,-12913830.466126716,1529.2689817400376,-19.74871906635731,12913830.466126716,1529.2687802599758,-4.937179766589328,3228457.616531679,1529.2688558149925,4.937179766589328,-3228457.616531679,1529.268906185008
-22.5,-9.819805060619657,6421241.668239803,1529.2688309082735,9.819805060619657,-6421241.668239803,1529.2689310917297,19.639610121239315,-12842483.336479606,1529.2689811834628,-19.639610121239315,12842483.336479606,1529.2687808165504,-4.909902530309829,3210620.8341199015,1529.2688559541364,4.909902530309829,-3210620.8341199015,1529.2689060458645
-22.375,-9.76525058806066,6385568.103416249,1529.2688311865609,9.76525058806066,-6385568.103416249,1529.2689308134422,19.53050117612132,-12771136.206832498,1529.268980626888,-19.53050117612132,12771136.206832498,1529.268781373125,-4.88262529403033,3192784.0517081246,1529.26885609328,4.88262529403033,-3192784.0517081246,1529.2689059067206
-22.25,-9.710696115501662,6349894.538592695,1529.2688314648483,9.710696115501662,-6349894.538592695,1529.268930535155,19.421392231003324,-12699789.07718539,1529.268980070313,-19.421392231003324,12699789.07718539,1529.2687819296996,-4.855348057750831,3174947.2692963476,1529.2688562324236,4.855348057750831,-3174947.2692963476,1529.268905767577
-22.125,-9.656141642942663,6314220.9737691395,1529.2688317431355,9.656141642942663,-6314220.9737691395,1529.2689302568674,19.312283285885325,-12628441.947538279,1529.2689795137383,-19.312283285885325,12628441.947538279,1529.2687824862744,-4.828070821471331,3157110.4868845697,1529.2688563715674,4.828070821471331,-3157110.4868845697,1529.2689056284335
-22.0,-9.601587170383665,6278547.408945586,1529.268832021423,9.601587170383665,-6278547.408945586,1529.2689299785802,19.20317434076733,-12557094.817891171,1529.2689789571634,-19.20317434076733,12557094.817891171,1529.268783042849,-4.800793585191832,3139273.704472793,1529.268856510711,4.800793585191832,-3139273.704472793,1529.2689054892896
-21.875,-9.547032697824667,6242873.844122031,1529.2688322997105,9.547032697824667,-6242873.844122031,1529.2689297002928,19.094065395649334,-12485747.688244062,1529.2689784005886,-19.094065395649334,12485747.688244062,1529.2687835994236,-4.773516348912334,3121436.9220610154,1529.2688566498546,4.773516348912334,-3121436.9220610154,1529.2689053501458
-21.75,-9.49247822526567,6207200.279298477,1529.2688325779975,9.49247822526567,-6207200.279298477,1529.2689294220054,18.98495645053134,-12414400.558596954,1529.2689778440138,-18.98495645053134,12414400.558596954,1529.2687841559982,-4.746239112632835,3103600.1396492384,1529.2688567889986,4.746239112632835,-3103600.1396492384,1529.2689052110022
-21.625,-9.437923752706672,6171526.714474923,1529.2688328562851,9.437923752706672,-6171526.714474923,1529.268929143718,18.875847505413343,-12343053.428949846,1529.268977287439,-18.875847505413343,12343053.428949846,1529.2687847125733,-4.718961876353336,3085763.3572374615,1529.2688569281422,4.718961876353336,-3085763.3572374615,1529.2689050718586
-21.5,-9.383369280147672,6135853.149651367,1529.2688331345726,9.383369280147672,-6135853.149651367,1529.2689288654306,18.766738560295344,-12271706.299302734,1529.268976730864,-18.766738560295344,12271706.299302734,1529.2687852691479,-4.691684640073836,3067926.5748256836,1529.2688570672858,4.691684640073836,-3067926.5748256836,1529.2689049327148
-21.375,-9.328814807588675,6100179.584827813,1529.2688334128597,9.328814807588675,-6100179.584827813,1529.2689285871431,18.65762961517735,-12200359.169655627,1529.2689761742893,-18.65762961517735,12200359.169655627,1529.2687858257223,-4.664407403794337,3050089.7924139067,1529.2688572064296,4.664407403794337,-3050089.7924139067,1529.2689047935712
-21.25,-9.274260335029677,6064506.020004259,1529.2688336911472,9.274260335029677,-6064506.020004259,1529.2689283088557,18.548520670059354,-12129012.040008519,1529.2689756177144,-18.548520670059354,12129012.040008519,1529.2687863822973,-4.637130167514838,3032253.0100021297,1529.2688573455732,4.637130167514838,-3032253.0100021297,1529.2689046544274
-21.125,-9.21970586247068,6028832.455180705,1529.2688339694344,9.21970586247068,-6028832.455180705,1529.2689280305683,18.43941172494136,-12057664.91036141,1529.2689750611396,-18.43941172494136,12057664.91036141,1529.268786938872,-4.60985293123534,3014416.2275903523,1529.2688574847168,4.60985293123534,-3014416.2275903523,1529.2689045152838
-21.0,-9.16515138991168,5993158.89035715,1529.2688342477218,9.16515138991168,-5993158.89035715,1529.268927752281,18.33030277982336,-11986317.7807143,1529.2689745045648,-18.33030277982336,11986317.7807143,1529.2687874954465,-4.58257569495584,2996579.445178575,1529.2688576238606,4.58257569495584,-2996579.445178575,1529.2689043761402
-20.875,-9.110596917352682,5957485.325533595,1529.2688345260092,9.110596917352682,-5957485.325533595,1529.2689274739937,18.221193834705364,-11914970.65106719,1529.26897394799,-18.221193834705364,11914970.65106719,1529.2687880520211,-4.555298458676341,2978742.6627667975,1529.2688577630042,4.555298458676341,-2978742.6627667975,1529.2689042369964
-20.75,-9.056042444793684,5921811.760710041,1529.2688348042964,9.056042444793684,-5921811.760710041,1529.268927195706,18.11208488958737,-11843623.521420082,1529.2689733914153,-18.11208488958737,11843623.521420082,1529.268788608596,-4.528021222396842,2960905.8803550205,1529.2688579021478,4.528021222396842,-2960905.8803550205,1529.2689040978528
-20.625,-9.001487972234687,5886138.195886487,1529.268835082584,9.001487972234687,-5886138.195886487,1529.2689269174189,18.002975944469373,-11772276.391772974,1529.2689728348403,-18.002975944469373,11772276.391772974,1529.2687891651706,-4.500743986117343,2943069.0979432436,1529.2688580412914,4.500743986117343,-2943069.0979432436,1529.268903958709
-20.5,-8.946933499675689,5850464.631062932,1529.2688353608714,8.946933499675689,-5850464.631062932,1529.2689266391315,17.893866999351378,-11700929.262125865,1529.2689722782657,-17.893866999351378,11700929.262125865,1529.2687897217452,-4.473466749837844,2925232.315531466,1529.2688581804352,4.473466749837844,-2925232.315531466,1529.2689038195654
-20.375,-8.89237902711669,5814791.0662393775,1529.2688356391586,8.89237902711669,-5814791.0662393775,1529.268926360844,17.78475805423338,-11629582.132478755,1529.2689717216906,-17.78475805423338,11629582.132478755,1529.2687902783198,-4.446189513558345,2907395.5331196887,1529.2688583195788,4.446189513558345,-2907395.5331196887,1529.2689036804218
-20.25,-8.837824554557692,5779117.501415823,1529.268835917446,8.837824554557692,-5779117.501415823,1529.2689260825566,17.675649109115383,-11558235.002831645,1529.268971165116,-17.675649109115383,11558235.002831645,1529.2687908348948,-4.418912277278846,2889558.7507079113,1529.2688584587224,4.418912277278846,-2889558.7507079113,1529.268903541278
-20.125,-8.783270081998694,5743443.936592269,1529.2688361957335,8.783270081998694,-5743443.936592269,1529.2689258042692,17.566540163997388,-11486887.873184538,1529.2689706085412,-17.566540163997388,11486887.873184538,1529.2687913914694,-4.391635040999347,2871721.9682961344,1529.2688585978665,4.391635040999347,-2871721.9682961344,1529.2689034021341
-20.0,-8.728715609439696,5707770.371768715,1529.2688364740206,8.728715609439696,-5707770.371768715,1529.2689255259818,17.457431218879393,-11415540.74353743,1529.268970051966,-17.457431218879393,11415540.74353743,1529.268791948044,-4.364357804719848,2853885.1858843574,1529.26885873701,4.364357804719848,-2853885.1858843574,1529.2689032629905
-19.875,-8.674161136880697,5672096.806945159,1529.268836752308,8.674161136880697,-5672096.806945159,1529.2689252476944,17.348322273761394,-11344193.613890318,1529.2689694953915,-17.348322273761394,11344193.613890318,1529.268792504619,-4.337080568440348,2836048.4034725795,1529.2688588761537,4.337080568440348,-2836048.4034725795,1529.268903123847
-19.75,-8.619606664321699,5636423.242121605,1529.2688370305953,8.619606664321699,-5636423.242121605,1529.268924969407,17.239213328643398,-11272846.48424321,1529.2689689388164,-17.239213328643398,11272846.48424321,1529.2687930611935,-4.3098033321608495,2818211.6210608026,1529.2688590152975,4.3098033321608495,-2818211.6210608026,1529.2689029847033
-19.625,-8.565052191762701,5600749.677298051,1529.268837308883,8.565052191762701,-5600749.677298051,1529.2689246911195,17.130104383525403,-11201499.354596103,1529.2689683822418,-17.130104383525403,11201499.354596103,1529.268793617768,-4.282526095881351,2800374.8386490257,1529.268859154441,4.282526095881351,-2800374.8386490257,1529.2689028455595
-19.5,-8.510497719203704,5565076.1124744965,1529.2688375871703,8.510497719203704,-5565076.1124744965,1529.2689244128323,17.020995438407407,-11130152.224948993,1529.268967825667,-17.020995438407407,11130152.224948993,1529.2687941743427,-4.255248859601852,2782538.0562372482,1529.2688592935847,4.255248859601852,-2782538.0562372482,1529.2689027064157
-19.375,-8.455943246644706,5529402.547650943,1529.2688378654575,8.455943246644706,-5529402.547650943,1529.2689241345447,16.911886493289412,-11058805.095301885,1529.2689672690922,-16.911886493289412,11058805.095301885,1529.2687947309175,-4.227971623322353,2764701.2738254713,1529.2688594327285,4.227971623322353,-2764701.2738254713,1529.268902567272
-19.25,-8.401388774085707,5493728.982827387,1529.268838143745,8.401388774085707,-5493728.982827387,1529.2689238562575,16.802777548171413,-10987457.965654774,1529.2689667125173,-16.802777548171413,10987457.965654774,1529.2687952874921,-4.200694387042853,2746864.4914136934,1529.268859571872,4.200694387042853,-2746864.4914136934,1529.2689024281283
