parameter_index,parameter_key,run_signature,model,indexed_state_count,cooling_specification_state_count,repumper_fprime0_extension,cooling_power_w_per_beam,repump_power_w_per_beam,beam_diameter_mm,cooling_peak_intensity_w_per_m2,cooling_peak_intensity_ratio,repump_peak_intensity_w_per_m2,sampling_disc_radius_mm,spectrum_velocity_min_m_per_s,spectrum_velocity_max_m_per_s,spectrum_velocity_step_m_per_s,maximum_capture_threshold_m_per_s,loading_rate_atoms_per_s,simulation_replicate_count,launch_disc_count,points_per_disc,capture_threshold_simulation_count,replicate_loading_rate_mean_atoms_per_s,replicate_loading_rate_sample_std_atoms_per_s,replicate_loading_rate_standard_error_atoms_per_s,replicate_loading_rate_95_percent_half_width_atoms_per_s,loading_rate_disc_cluster_standard_error_atoms_per_s,loading_integral_m6_per_s4,capture_velocity_mean_m_per_s,capture_velocity_std_m_per_s,valid_bracket_count,zero_capture_no_bracket_count,upper_escaped_count,upper_timeout_count,upper_other_count,sample_count,geometry_sha256,elapsed_s
0,000_diameter_mm_5p576470588,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.0038560387155376387,0.0001,5.576470588235294,315.7640386223976,18.90802626481423,1.5788201931119883,12.0,0.0,32.25,0.25,31.875,3400692.5966616822,10,10,25,250,3400692.596661682,2965706.5166863916,937838.7464333157,2121538.6377401575,937838.7464333157,3.7289931539340344,6.349970703125,5.915164102783439,236,14,244,6,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.046999999998661224
1,001_diameter_mm_6p594117647,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.005391826839017,0.0001,6.594117647058823,315.7640386223976,18.90802626481423,1.5788201931119883,12.0,0.0,32.75,0.25,32.5,6463028.860236152,10,10,25,250,6463028.860236151,4590312.208908291,1451584.1751428854,3283711.539120952,1451584.1751428857,7.086965283824019,9.24767578125,6.827453241931958,245,5,248,2,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
2,002_diameter_mm_7p611764706,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.007184445649168115,0.0001,7.6117647058823525,315.7640386223976,18.90802626481423,1.5788201931119883,12.0,0.0,34.5,0.25,34.0625,11391101.585680371,10,10,25,250,11391101.585680373,6864102.159715826,2170619.691678288,4910282.883116682,2170619.691678288,12.490790808456918,12.4484765625,7.353452335073755,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.031000000002677552
3,003_diameter_mm_8p629411765,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.009233895145990982,0.0001,8.629411764705882,315.76403862239755,18.908026264814225,1.5788201931119883,12.0,0.0,36.25,0.25,35.9375,18290279.25256991,10,10,25,250,18290279.25256991,9482947.43369243,2998771.282211663,6783691.935477101,2998771.282211662,20.05601040897617,15.540703125,7.585499395578531,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
4,004_diameter_mm_9p647058824,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.011540175329485607,0.0001,9.647058823529411,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,37.0,0.25,36.71875,26623645.3155623,10,10,25,250,26623645.3155623,11875149.903804587,3755252.125195192,8494970.492908634,3755252.1251951926,29.193873980835015,18.3609375,7.580419916685437,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.0319999999992433
5,005_diameter_mm_10p66470588,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.014103286199651986,0.0001,10.66470588235294,315.7640386223977,18.908026264814236,1.5788201931119883,12.0,0.0,37.75,0.25,37.5,36372017.80546432,10,10,25,250,36372017.80546431,14664253.907512773,4637244.25347645,10490175.303381255,4637244.25347645,39.8833477405416,20.80625,7.478201394302643,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.0319999999992433
6,006_diameter_mm_11p68235294,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.016923227756490113,0.0001,11.68235294117647,315.7640386223976,18.90802626481423,1.5788201931119883,12.0,0.0,38.5,0.25,38.125,46863290.42508376,10,10,25,250,46863290.42508375,16985251.90142193,5371208.264019906,12150517.247026237,5371208.264019906,51.38744070472801,22.91125,7.297431349240292,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
7,007_diameter_mm_12p7,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.02,0.0001,12.7,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,39.0,0.25,38.59375,56389808.8598485,10,10,25,250,56389808.8598485,19266494.09174352,6092600.38560866,13782419.602023158,6092600.385608663,61.833642769253586,24.6390625,6.9790088795907295,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
8,008_diameter_mm_13p71764706,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.023333602930181642,0.0001,13.717647058823529,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,39.5,0.25,39.21875,65520147.911930025,10,10,25,250,65520147.911930025,21366246.205960423,6756600.305876603,15284491.777716734,6756600.305876604,71.8454185621409,26.030625,6.689428723039435,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
9,009_diameter_mm_14p73529412,69056d998af1ef45d5425a111e4bf4bfa0f2e50a540471686918e368a355d56f,multilevel steady-state population-rate MOT,24,23,True,0.026924036547035037,0.0001,14.735294117647058,315.76403862239766,18.908026264814232,1.5788201931119883,12.0,0.0,40.25,0.25,39.921875,73514095.88400368,10,10,25,250,73514095.8840037,23632058.931955818,7473113.202430649,16905356.558852762,7473113.202430647,80.61109685074311,27.1140625,6.431353444564079,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.0470000000022992
