velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2
0.0,250,250,1.0,0.0004523893421169302
0.25,250,250,1.0,0.0004523893421169302
0.5,250,250,1.0,0.0004523893421169302
0.75,250,250,1.0,0.0004523893421169302
1.0,250,250,1.0,0.0004523893421169302
1.25,250,250,1.0,0.0004523893421169302
1.5,250,250,1.0,0.0004523893421169302
1.75,250,250,1.0,0.0004523893421169302
2.0,250,250,1.0,0.0004523893421169302
2.25,250,250,1.0,0.0004523893421169302
2.5,250,250,1.0,0.0004523893421169302
2.75,250,250,1.0,0.0004523893421169302
3.0,250,250,1.0,0.0004523893421169302
3.25,250,250,1.0,0.0004523893421169302
3.5,250,250,1.0,0.0004523893421169302
3.75,250,250,1.0,0.0004523893421169302
4.0,250,250,1.0,0.0004523893421169302
4.25,250,250,1.0,0.0004523893421169302
4.5,249,250,0.996,0.0004505797847484625
4.75,249,250,0.996,0.0004505797847484625
5.0,248,250,0.992,0.00044877022737999474
5.25,246,250,0.984,0.0004451511126430593
5.5,246,250,0.984,0.0004451511126430593
5.75,246,250,0.984,0.0004451511126430593
6.0,243,250,0.972,0.00043972244053765613
6.25,241,250,0.964,0.0004361033258007207
6.5,238,250,0.952,0.0004306746536953175
6.75,237,250,0.948,0.0004288650963268498
7.0,236,250,0.944,0.00042705553895838207
7.25,231,250,0.924,0.0004180077521160435
7.5,227,250,0.908,0.00041076952264217266
7.75,223,250,0.892,0.00040353129316830175
8.0,220,250,0.88,0.0003981026210628986
8.25,218,250,0.872,0.00039448350632596314
8.5,216,250,0.864,0.0003908643915890277
8.75,212,250,0.848,0.0003836261621151568
9.0,201,250,0.804,0.0003637210310620119
9.25,196,250,0.784,0.0003546732442196733
9.5,191,250,0.764,0.0003456254573773347
9.75,189,250,0.756,0.00034200634264039924
10.0,188,250,0.752,0.0003401967852719315
10.25,181,250,0.724,0.0003275298836926575
10.5,176,250,0.704,0.00031848209685031887
10.75,173,250,0.692,0.00031305342474491566
11.0,169,250,0.676,0.00030581519527104486
11.25,166,250,0.664,0.00030038652316564165
11.5,160,250,0.64,0.00028952917895483534
11.75,154,250,0.616,0.000278671834744029
12.0,152,250,0.608,0.0002750527200070936
12.25,145,250,0.58,0.0002623858184278195
12.5,144,250,0.576,0.00026057626105935176
12.75,136,250,0.544,0.00024609980211161005
13.0,132,250,0.528,0.00023886157263773916
13.25,131,250,0.524,0.00023705201526927144
13.5,125,250,0.5,0.0002261946710584651
13.75,123,250,0.492,0.00022257555632152964
14.0,117,250,0.468,0.00021171821211072334
14.25,109,250,0.436,0.00019724175316298157
14.5,108,250,0.432,0.00019543219579451384
14.75,102,250,0.408,0.0001845748515837075
15.0,99,250,0.396,0.00017914617947830438
15.25,96,250,0.384,0.0001737175073729012
15.5,94,250,0.376,0.00017009839263596574
15.75,92,250,0.368,0.00016647927789903032
16.0,89,250,0.356,0.00016105060579362713
16.25,88,250,0.352,0.00015924104842515943
16.5,85,250,0.34,0.00015381237631975628
16.75,83,250,0.332,0.00015019326158282082
17.0,82,250,0.328,0.00014838370421435312
17.25,75,250,0.3,0.00013571680263507906
17.5,75,250,0.3,0.00013571680263507906
17.75,74,250,0.296,0.00013390724526661133
18.0,72,250,0.288,0.00013028813052967588
18.25,72,250,0.288,0.00013028813052967588
18.5,69,250,0.276,0.00012485945842427275
18.75,69,250,0.276,0.00012485945842427275
19.0,65,250,0.26,0.00011762122895040185
19.25,63,250,0.252,0.00011400211421346641
19.5,62,250,0.248,0.00011219255684499869
19.75,61,250,0.244,0.00011038299947653097
20.0,59,250,0.236,0.00010676388473959552
20.25,53,250,0.212,9.59065405287892e-05
20.5,49,250,0.196,8.866831105491833e-05
20.75,49,250,0.196,8.866831105491833e-05
21.0,48,250,0.192,8.68587536864506e-05
21.25,48,250,0.192,8.68587536864506e-05
21.5,48,250,0.192,8.68587536864506e-05
21.75,48,250,0.192,8.68587536864506e-05
22.0,48,250,0.192,8.68587536864506e-05
22.25,46,250,0.184,8.323963894951516e-05
22.5,46,250,0.184,8.323963894951516e-05
