replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,22.375,5.733367304738261,36394691.25691238
2,1,1.3384844104219924,0.8609172676841867,25,20.103125,5.421706139301309,24160587.907569055
3,2,1.5673420794615047,0.24216107092987377,25,23.79375,6.211882462181519,45837747.732331485
4,3,0.40060196789834845,1.0446245108769725,25,19.975,7.874968997954849,34107802.295440495
5,4,1.146840186104423,0.13255032373604866,25,23.9625,7.23502179434059,51784729.35266544
6,5,0.9404099994359895,0.6007277038522987,25,26.059375,9.303822684061554,81061112.29996206
7,6,0.9259539759492723,0.5056439283308706,25,22.975,7.537811586636071,47413012.27589289
8,7,0.24976483536291105,0.9156687054618924,25,26.11875,7.178107540611477,67977039.53933494
9,8,0.8986655624347945,1.290641528889039,25,20.6125,7.206993493013111,33936169.12689108
10,9,1.3592910432132472,1.0202241064044864,25,23.1375,6.825985315017411,45960012.463837676
