replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,27.9625,2.075578013118675,64798054.682692155
2,1,1.3384844104219924,0.8609172676841867,25,33.65,3.0317734728414325,136401165.4312363
3,2,1.5673420794615047,0.24216107092987377,25,27.16875,2.3672089864261388,58228592.39593888
4,3,0.40060196789834845,1.0446245108769725,25,28.725,3.021623459885982,74051620.59343822
5,4,1.146840186104423,0.13255032373604866,25,29.56875,2.576261953109906,81376205.35736573
6,5,0.9404099994359895,0.6007277038522987,25,36.903125,3.430455613493029,197056460.83275282
7,6,0.9259539759492723,0.5056439283308706,25,35.1625,3.8592168489863328,165261632.42292604
8,7,0.24976483536291105,0.9156687054618924,25,28.925,1.8697408883541413,73385234.35820419
9,8,0.8986655624347945,1.290641528889039,25,33.0,3.1884827937502918,127103157.21466775
10,9,1.3592910432132472,1.0202241064044864,25,32.075,2.212248396710912,111148435.19853772
