parameter_index,parameter_key,run_signature,n,model,indexed_state_count,cooling_specification_state_count,repumper_fprime0_extension,cooling_power_w_per_beam,repump_power_w_per_beam,beam_diameter_mm,cooling_peak_intensity_w_per_m2,cooling_peak_intensity_ratio,repump_peak_intensity_w_per_m2,sampling_disc_radius_mm,spectrum_velocity_min_m_per_s,spectrum_velocity_max_m_per_s,spectrum_velocity_step_m_per_s,maximum_capture_threshold_m_per_s,loading_rate_atoms_per_s,simulation_replicate_count,launch_disc_count,points_per_disc,capture_threshold_simulation_count,replicate_loading_rate_mean_atoms_per_s,replicate_loading_rate_sample_std_atoms_per_s,replicate_loading_rate_standard_error_atoms_per_s,replicate_loading_rate_95_percent_half_width_atoms_per_s,loading_rate_disc_cluster_standard_error_atoms_per_s,loading_integral_m6_per_s4,capture_velocity_mean_m_per_s,capture_velocity_std_m_per_s,valid_bracket_count,zero_capture_no_bracket_count,upper_escaped_count,upper_timeout_count,upper_other_count,sample_count,geometry_sha256,elapsed_s
0,000_n_1,3229ef003dde8d82c45c819ed79d423cd023d18787130404661b344ca2c6b4ed,1.0,multilevel steady-state population-rate MOT,24,23,True,0.0010577518626160264,0.0001,12.7,16.7,1.0,1.5788201931119883,12.0,0.0,30.0,0.25,29.6875,6999608.51150742,10,10,25,250,6999608.51150742,2914671.406687117,921700.0276098215,2085030.3193561274,921700.0276098214,7.675345970774398,12.67109375,5.493720280867426,250,0,249,1,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.046999999998661224
1,001_n_2,3229ef003dde8d82c45c819ed79d423cd023d18787130404661b344ca2c6b4ed,2.0,multilevel steady-state population-rate MOT,24,23,True,0.0021155037252320527,0.0001,12.7,33.4,2.0,1.5788201931119883,12.0,0.0,31.5,0.25,31.09375,15219512.704703009,10,10,25,250,15219512.704703009,6123311.854362927,1936361.2283296096,4380353.422319771,1936361.2283296103,16.68879414086474,16.25875,6.271161176369174,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.06199999999989814
2,002_n_3,3229ef003dde8d82c45c819ed79d423cd023d18787130404661b344ca2c6b4ed,3.0,multilevel steady-state population-rate MOT,24,23,True,0.003173255587848079,0.0001,12.7,50.099999999999994,3.0,1.5788201931119883,12.0,0.0,33.25,0.25,32.8125,20911541.5259303,10,10,25,250,20911541.525930297,8026626.317700427,2538242.109098364,5741902.567867666,2538242.109098364,22.930327564729044,18.1125,6.446848491220342,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
3,003_n_4,3229ef003dde8d82c45c819ed79d423cd023d18787130404661b344ca2c6b4ed,4.0,multilevel steady-state population-rate MOT,24,23,True,0.004231007450464105,0.0001,12.7,66.8,4.0,1.5788201931119883,12.0,0.0,34.5,0.25,34.0625,25697321.383820377,10,10,25,250,25697321.38382038,9565607.025484238,3024910.5402638502,6842823.045308591,3024910.54026385,28.17812336486291,19.363125,6.565892396982302,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.046999999998661224
4,004_n_5,3229ef003dde8d82c45c819ed79d423cd023d18787130404661b344ca2c6b4ed,5.0,multilevel steady-state population-rate MOT,24,23,True,0.005288759313080132,0.0001,12.7,83.5,5.0,1.5788201931119883,12.0,0.0,35.25,0.25,35.0,30076530.068065066,10,10,25,250,30076530.06806507,11049500.701999217,3494158.922594695,7904336.634502935,3494158.922594694,32.980097885943536,20.305,6.686166806362222,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.030999999999039574
5,005_n_6,3229ef003dde8d82c45c819ed79d423cd023d18787130404661b344ca2c6b4ed,6.0,multilevel steady-state population-rate MOT,24,23,True,0.006346511175696158,0.0001,12.7,100.19999999999999,6.0,1.5788201931119883,12.0,0.0,36.0,0.25,35.625,33871440.543848395,10,10,25,250,33871440.543848395,12087747.887953049,3822481.510782143,8647053.929060832,3822481.510782142,37.14136644573051,21.0303125,6.787598130333458,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.031000000000858563
6,006_n_7,3229ef003dde8d82c45c819ed79d423cd023d18787130404661b344ca2c6b4ed,7.0,multilevel steady-state population-rate MOT,24,23,True,0.0074042630383121845,0.0001,12.7,116.89999999999999,7.0,1.5788201931119883,12.0,0.0,36.5,0.25,36.09375,36910483.75079272,10,10,25,250,36910483.75079273,12946092.228812885,4093913.8241654444,9261076.480980225,4093913.8241654444,40.4737968230983,21.595,6.832129718058272,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.04700000000048021
7,007_n_8,3229ef003dde8d82c45c819ed79d423cd023d18787130404661b344ca2c6b4ed,8.0,multilevel steady-state population-rate MOT,24,23,True,0.00846201490092821,0.0001,12.7,133.6,8.0,1.5788201931119883,12.0,0.0,36.75,0.25,36.40625,39512506.85481976,10,10,25,250,39512506.85481976,13746607.323827473,4347058.924324664,9833730.482518189,4347058.924324664,43.32701747315645,22.0653125,6.868301914695237,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.04700000000048021
8,008_n_9,3229ef003dde8d82c45c819ed79d423cd023d18787130404661b344ca2c6b4ed,9.0,multilevel steady-state population-rate MOT,24,23,True,0.009519766763544239,0.0001,12.7,150.3,9.000000000000002,1.5788201931119883,12.0,0.0,37.0,0.25,36.71875,42041956.95921501,10,10,25,250,42041956.95921501,14451680.144519629,4570022.527291335,10338109.193999782,4570022.527291336,46.10065897541011,22.4840625,6.90862267642084,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.06300000000010186
9,009_n_10,3229ef003dde8d82c45c819ed79d423cd023d18787130404661b344ca2c6b4ed,10.0,multilevel steady-state population-rate MOT,24,23,True,0.010577518626160264,0.0001,12.7,167.0,10.0,1.5788201931119883,12.0,0.0,37.5,0.25,37.03125,44170874.44683497,10,10,25,250,44170874.44683496,15150965.177844059,4791155.87118853,10838347.571817689,4791155.871188529,48.43510071366613,22.8275,6.922842737091462,250,0,250,0,0,250,c7390fac66b2f9801ddf5c74afa7bce9326f05b148a90714e542c0f18f1d5000,0.031000000000858563
