velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2
0.0,250,250,1.0,0.0004523893421169302
0.25,250,250,1.0,0.0004523893421169302
0.5,250,250,1.0,0.0004523893421169302
0.75,250,250,1.0,0.0004523893421169302
1.0,250,250,1.0,0.0004523893421169302
1.25,250,250,1.0,0.0004523893421169302
1.5,250,250,1.0,0.0004523893421169302
1.75,250,250,1.0,0.0004523893421169302
2.0,250,250,1.0,0.0004523893421169302
2.25,250,250,1.0,0.0004523893421169302
2.5,250,250,1.0,0.0004523893421169302
2.75,250,250,1.0,0.0004523893421169302
3.0,250,250,1.0,0.0004523893421169302
3.25,250,250,1.0,0.0004523893421169302
3.5,250,250,1.0,0.0004523893421169302
3.75,250,250,1.0,0.0004523893421169302
4.0,250,250,1.0,0.0004523893421169302
4.25,250,250,1.0,0.0004523893421169302
4.5,250,250,1.0,0.0004523893421169302
4.75,250,250,1.0,0.0004523893421169302
5.0,250,250,1.0,0.0004523893421169302
5.25,250,250,1.0,0.0004523893421169302
5.5,250,250,1.0,0.0004523893421169302
5.75,250,250,1.0,0.0004523893421169302
6.0,250,250,1.0,0.0004523893421169302
6.25,250,250,1.0,0.0004523893421169302
6.5,250,250,1.0,0.0004523893421169302
6.75,250,250,1.0,0.0004523893421169302
7.0,250,250,1.0,0.0004523893421169302
7.25,250,250,1.0,0.0004523893421169302
7.5,250,250,1.0,0.0004523893421169302
7.75,250,250,1.0,0.0004523893421169302
8.0,250,250,1.0,0.0004523893421169302
8.25,250,250,1.0,0.0004523893421169302
8.5,250,250,1.0,0.0004523893421169302
8.75,250,250,1.0,0.0004523893421169302
9.0,250,250,1.0,0.0004523893421169302
9.25,250,250,1.0,0.0004523893421169302
9.5,249,250,0.996,0.0004505797847484625
9.75,248,250,0.992,0.00044877022737999474
10.0,248,250,0.992,0.00044877022737999474
10.25,248,250,0.992,0.00044877022737999474
10.5,246,250,0.984,0.0004451511126430593
10.75,246,250,0.984,0.0004451511126430593
11.0,246,250,0.984,0.0004451511126430593
11.25,245,250,0.98,0.0004433415552745916
11.5,242,250,0.968,0.00043791288316918843
11.75,242,250,0.968,0.00043791288316918843
12.0,240,250,0.96,0.000434293768432253
12.25,237,250,0.948,0.0004288650963268498
12.5,237,250,0.948,0.0004288650963268498
12.75,234,250,0.936,0.00042343642422144667
13.0,229,250,0.916,0.00041438863737910806
13.25,227,250,0.908,0.00041076952264217266
13.5,224,250,0.896,0.00040534085053676945
13.75,223,250,0.892,0.00040353129316830175
14.0,221,250,0.884,0.0003999121784313663
14.25,218,250,0.872,0.00039448350632596314
14.5,218,250,0.872,0.00039448350632596314
14.75,218,250,0.872,0.00039448350632596314
15.0,215,250,0.86,0.00038905483422056
15.25,208,250,0.832,0.0003763879326412859
15.5,204,250,0.816,0.000369149703167415
15.75,203,250,0.812,0.00036734014579894737
16.0,197,250,0.788,0.000356482801588141
16.25,196,250,0.784,0.0003546732442196733
16.5,190,250,0.76,0.00034381590000886694
16.75,183,250,0.732,0.0003311489984295929
17.0,179,250,0.716,0.000323910768955722
17.25,174,250,0.696,0.0003148629821133834
17.5,170,250,0.68,0.00030762475263951256
17.75,164,250,0.656,0.00029676740842870625
18.0,155,250,0.62,0.00028048139211249673
18.25,150,250,0.6,0.0002714336052701581
18.5,148,250,0.592,0.00026781449053322266
18.75,145,250,0.58,0.0002623858184278195
19.0,144,250,0.576,0.00026057626105935176
19.25,141,250,0.564,0.0002551475889539486
19.5,140,250,0.56,0.00025333803158548095
19.75,134,250,0.536,0.0002424806873746746
20.0,132,250,0.528,0.00023886157263773916
20.25,129,250,0.516,0.00023343290053233598
20.5,127,250,0.508,0.00022981378579540055
20.75,125,250,0.5,0.0002261946710584651
21.0,119,250,0.476,0.00021533732684765876
21.25,118,250,0.472,0.00021352776947919104
21.5,114,250,0.456,0.00020628954000532018
21.75,113,250,0.452,0.00020447998263685245
22.0,113,250,0.452,0.00020447998263685245
22.25,113,250,0.452,0.00020447998263685245
22.5,113,250,0.452,0.00020447998263685245
22.75,109,250,0.436,0.00019724175316298157
