replicate_index,disc_index,theta_rad,phi_rad,point_count,capture_velocity_mean_m_per_s,capture_velocity_sample_std_m_per_s,loading_rate_atoms_per_s
1,0,1.457732450100625,1.2321308014259056,25,24.9875,5.542090072327557,51108141.4985991
2,1,1.3384844104219924,0.8609172676841867,25,22.65625,6.266417240021739,39631855.200794
3,2,1.5673420794615047,0.24216107092987377,25,26.16875,4.870791452628618,57466916.82928859
4,3,0.40060196789834845,1.0446245108769725,25,23.2125,8.202142798340871,53250306.72234409
5,4,1.146840186104423,0.13255032373604866,25,26.225,6.3126224719967485,64697348.472650886
6,5,0.9404099994359895,0.6007277038522987,25,28.99375,9.148087231765995,110532976.87244377
7,6,0.9259539759492723,0.5056439283308706,25,25.875,7.744889738226856,69494854.27988954
8,7,0.24976483536291105,0.9156687054618924,25,29.8125,4.585256462065853,90683420.02451122
9,8,0.8986655624347945,1.290641528889039,25,23.3,7.356941830608581,49306072.73098849
10,9,1.3592910432132472,1.0202241064044864,25,25.80625,6.912580761659015,65026432.98257026
