point_index,study_key,scan_variable,scan_value,s0,seff,detuning_n,cooling_power_w_per_beam,cooling_power_mw_per_beam,cooling_beam_diameter_m,cooling_beam_diameter_mm,cooling_beam_center_peak_intensity_w_per_m2,cooling_beam_center_on_resonance_saturation_parameter,cooling_beam_center_effective_saturation_parameter,cooling_detuning_n,cooling_detuning_hz,cooling_detuning_mhz,cooling_detuning_rad_per_s,natural_linewidth_hz,natural_linewidth_rad_per_s,repump_power_w_per_beam,repump_power_mw_per_beam,loading_rate_mean_atoms_per_s,loading_rate_from_mean_spectrum_atoms_per_s,loading_rate_sample_std_atoms_per_s,loading_rate_disc_cluster_sem_atoms_per_s,loading_rate_t95_lower_atoms_per_s,loading_rate_t95_upper_atoms_per_s,student_t_critical_95,confidence_level,disc_count,points_per_disc,capture_threshold_search_count,disc_radius_m,disc_radius_mm,phase_space,geometry_sha256,run_signature_sha256,point_elapsed_wall_time_s,statistics_directory,figures_directory,capture_cross_section_csv,capture_cross_section_plot,status
0,03_detuning,detuning_n,-0.1,25.54112954704834,24.5587784106234,-0.1,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,24.5587784106234,-0.1,-607000.0,-0.607,-3813893.4814580088,6070000.0,38138934.81458009,0.0001,0.1,78442.86123146057,78442.86123146059,189131.49935136607,48833.543148738645,0.0,183180.3945007349,2.144786687917804,0.95,15,15,225,0.015,15.0,full_sphere,2770343e502a0dbef7fd67bb2c5ef9fab2cb41025910ae45707ffa16a5662be1,27543cc4d60aa5584ec7dae488872eee789cae7ba68a14a58ef756a5362b0952,3171.2515332999756,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\000_detuning_n_m0p1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\000_detuning_n_m0p1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\000_detuning_n_m0p1\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\000_detuning_n_m0p1\capture_cross_section_vs_velocity.png,completed
1,03_detuning,detuning_n,-0.25,25.54112954704834,20.43290363763867,-0.25,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,20.43290363763867,-0.25,-1517500.0,-1.5175,-9534733.703645023,6070000.0,38138934.81458009,0.0001,0.1,850253.939945293,850253.939945293,1266480.1654532668,327003.7726068344,148900.60155925388,1551607.2783313321,2.144786687917804,0.95,15,15,225,0.015,15.0,full_sphere,2770343e502a0dbef7fd67bb2c5ef9fab2cb41025910ae45707ffa16a5662be1,7c1aef24ef10297918efd1480e16da600a0b3d517a7e3f9604301cadda6fa077,2562.134918499971,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\001_detuning_n_m0p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\001_detuning_n_m0p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\001_detuning_n_m0p25\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\001_detuning_n_m0p25\capture_cross_section_vs_velocity.png,completed
2,03_detuning,detuning_n,-0.5,25.54112954704834,12.77056477352417,-0.5,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,12.77056477352417,-0.5,-3035000.0,-3.035,-19069467.407290045,6070000.0,38138934.81458009,0.0001,0.1,9463271.928045074,9463271.928045072,3681900.584188838,950662.6429969819,7424303.346644391,11502240.509445757,2.144786687917804,0.95,15,15,225,0.015,15.0,full_sphere,2770343e502a0dbef7fd67bb2c5ef9fab2cb41025910ae45707ffa16a5662be1,28d29d1008bd5fa487d5826b4f60d69f953ad5a31fc73c941b73da203e4e48fe,320.44823669997277,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\002_detuning_n_m0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\002_detuning_n_m0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\002_detuning_n_m0p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\002_detuning_n_m0p5\capture_cross_section_vs_velocity.png,completed
3,03_detuning,detuning_n,-0.75,25.54112954704834,7.858809091399489,-0.75,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,7.858809091399489,-0.75,-4552500.0,-4.5525,-28604201.110935066,6070000.0,38138934.81458009,0.0001,0.1,14528831.089268535,14528831.089268535,5493307.915981591,1418366.0049457382,11486738.563265758,17570923.61527131,2.144786687917804,0.95,15,15,225,0.015,15.0,full_sphere,2770343e502a0dbef7fd67bb2c5ef9fab2cb41025910ae45707ffa16a5662be1,412f273faf4d6c49615cfe4a77a8f4ae68d845f004c959449b367fb7a35f2a3f,284.37274150003213,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\003_detuning_n_m0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\003_detuning_n_m0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\003_detuning_n_m0p75\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\003_detuning_n_m0p75\capture_cross_section_vs_velocity.png,completed
4,03_detuning,detuning_n,-1.0,25.54112954704834,5.108225909409668,-1.0,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,5.108225909409668,-1.0,-6070000.0,-6.07,-38138934.81458009,6070000.0,38138934.81458009,0.0001,0.1,19401502.041839562,19401502.041839562,7306164.23667409,1886443.494219665,15355483.147928078,23447520.935751047,2.144786687917804,0.95,15,15,225,0.015,15.0,full_sphere,2770343e502a0dbef7fd67bb2c5ef9fab2cb41025910ae45707ffa16a5662be1,ba6fbb7dfaf88e8df984127e1a55edd4429d4460d53039140e3532d75ae776b3,267.7384677999653,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\004_detuning_n_m1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\004_detuning_n_m1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\004_detuning_n_m1\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\004_detuning_n_m1\capture_cross_section_vs_velocity.png,completed
5,03_detuning,detuning_n,-2.0,25.54112954704834,1.5024193851204906,-2.0,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,1.5024193851204906,-2.0,-12140000.0,-12.14,-76277869.62916018,6070000.0,38138934.81458009,0.0001,0.1,42499274.116439626,42499274.11643962,15196041.479954198,3923601.038675981,34083986.83998691,50914561.39289234,2.144786687917804,0.95,15,15,225,0.015,15.0,full_sphere,2770343e502a0dbef7fd67bb2c5ef9fab2cb41025910ae45707ffa16a5662be1,c10f5d896db9bfc5bd1d483a916d6d4eb1d165615c9bb42ab263de7ee037d1ca,251.59690420003608,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\005_detuning_n_m2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\005_detuning_n_m2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\005_detuning_n_m2\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\005_detuning_n_m2\capture_cross_section_vs_velocity.png,completed
6,03_detuning,detuning_n,-2.5,25.54112954704834,0.9823511364249361,-2.5,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,0.9823511364249361,-2.5,-15175000.0,-15.175,-95347337.03645022,6070000.0,38138934.81458009,0.0001,0.1,56530538.08449211,56530538.084492095,19212454.427838966,4960634.402585951,45891035.45419867,67170040.71478555,2.144786687917804,0.95,15,15,225,0.015,15.0,full_sphere,2770343e502a0dbef7fd67bb2c5ef9fab2cb41025910ae45707ffa16a5662be1,8bcc0f09495ed363cc4ef87ef80aa6aaccd70e47b3f0de830fd6d7f9c39a1aec,251.4768431999837,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\006_detuning_n_m2p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\006_detuning_n_m2p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\006_detuning_n_m2p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\006_detuning_n_m2p5\capture_cross_section_vs_velocity.png,completed
7,03_detuning,detuning_n,-3.0,25.54112954704834,0.690300798568874,-3.0,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,0.690300798568874,-3.0,-18210000.0,-18.21,-114416804.44374026,6070000.0,38138934.81458009,0.0001,0.1,72205423.15541081,72205423.15541081,21805358.5476156,5630119.3675331175,60130018.08453757,84280828.22628404,2.144786687917804,0.95,15,15,225,0.015,15.0,full_sphere,2770343e502a0dbef7fd67bb2c5ef9fab2cb41025910ae45707ffa16a5662be1,e05935cdd7c7362533d32aa31a02438bf0042da7bd8469102eb9ddd3b9ded565,266.5103957000538,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\007_detuning_n_m3,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\007_detuning_n_m3,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\007_detuning_n_m3\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\007_detuning_n_m3\capture_cross_section_vs_velocity.png,completed
8,03_detuning,detuning_n,-4.0,25.54112954704834,0.39294045456997445,-4.0,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,0.39294045456997445,-4.0,-24280000.0,-24.28,-152555739.25832036,6070000.0,38138934.81458009,0.0001,0.1,75171706.0761918,75171706.0761918,33471287.98908855,8642249.397190154,56635924.615432695,93707487.5369509,2.144786687917804,0.95,15,15,225,0.015,15.0,full_sphere,2770343e502a0dbef7fd67bb2c5ef9fab2cb41025910ae45707ffa16a5662be1,4fd89d6623c23ee61d9b09c56c61322fd438322f0aebf14da029a54591cf8043,378.1794290000107,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\008_detuning_n_m4,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\008_detuning_n_m4,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\008_detuning_n_m4\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\008_detuning_n_m4\capture_cross_section_vs_velocity.png,completed
9,03_detuning,detuning_n,-5.0,25.54112954704834,0.25288247076285486,-5.0,0.027,27.0,0.0127,12.7,426.2814521402368,25.54112954704834,0.25288247076285486,-5.0,-30350000.0,-30.35,-190694674.07290044,6070000.0,38138934.81458009,0.0001,0.1,24801624.0389082,24801624.0389082,30693998.91487446,7925156.441721153,7803854.003038637,41799394.07477776,2.144786687917804,0.95,15,15,225,0.015,15.0,full_sphere,2770343e502a0dbef7fd67bb2c5ef9fab2cb41025910ae45707ffa16a5662be1,e68a3965dbdf4bc4eeecb13203312cfc1c5c94d844a6966d51cb7e4d752bf52d,428.1322430000291,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\009_detuning_n_m5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\009_detuning_n_m5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\009_detuning_n_m5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\detuning_loading_temperature_full_sphere_15x15_r15mm_27mW_repump0p1mW\03_detuning\points\009_detuning_n_m5\capture_cross_section_vs_velocity.png,completed
