velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2,capture_cross_section_sample_std_m2,capture_cross_section_disc_cluster_sem_m2,capture_cross_section_t95_lower_m2,capture_cross_section_t95_upper_m2,disc_count,student_t_critical_95
0.0,121,225,0.5377777777777778,0.00038013271108436493,9.33458662323942e-05,2.41017990236912e-05,0.0003284394933834817,0.00043182592878524814,15,2.144786687917804
0.25,114,225,0.5066666666666666,0.0003581415625092364,8.689215940942749e-05,2.2435459087247518e-05,0.0003100222885215834,0.00040626083649688936,15,2.144786687917804
0.5,105,225,0.4666666666666666,0.0003298672286269282,7.763702983817616e-05,2.0045794907484304e-05,0.00028687327456062536,0.0003728611826932311,15,2.144786687917804
0.75,102,225,0.45333333333333337,0.0003204424506661589,8.005119076740041e-05,2.066912857908098e-05,0.0002761115788388846,0.0003647733224934332,15,2.144786687917804
1.0,99,225,0.43999999999999984,0.0003110176727053894,7.92546416908842e-05,2.046346049189537e-05,0.0002671279150536403,0.0003549074303571385,15,2.144786687917804
1.25,99,225,0.43999999999999984,0.0003110176727053894,7.92546416908842e-05,2.046346049189537e-05,0.0002671279150536403,0.0003549074303571385,15,2.144786687917804
1.5,91,225,0.4044444444444444,0.0002858849314766711,7.443841682537814e-05,1.9219916578849034e-05,0.000244662310255465,0.0003271075526978772,15,2.144786687917804
1.75,87,225,0.38666666666666666,0.000273318560862312,6.944067051573657e-05,1.7929504030461608e-05,0.0002348635992968093,0.00031177352242781466,15,2.144786687917804
2.0,86,225,0.38222222222222224,0.0002701769682087222,7.22761413963696e-05,1.8661619463751463e-05,0.00023015177520788025,0.0003102021612095641,15,2.144786687917804
2.25,85,225,0.37777777777777777,0.0002670353755551324,7.271374059978043e-05,1.877460709222638e-05,0.00022676784819283807,0.0003073029029174267,15,2.144786687917804
2.5,83,225,0.36888888888888893,0.00026075219024795286,7.736413960949713e-05,1.997533495341653e-05,0.00021790935775316587,0.00030359502274273986,15,2.144786687917804
2.75,76,225,0.33777777777777773,0.00023876104167282425,9.66846694741079e-05,2.4963874313785902e-05,0.00018521885636576304,0.00029230322697988546,15,2.144786687917804
3.0,76,225,0.33777777777777773,0.00023876104167282425,9.66846694741079e-05,2.4963874313785902e-05,0.00018521885636576304,0.00029230322697988546,15,2.144786687917804
3.25,75,225,0.33333333333333337,0.00023561944901923448,9.916832061673028e-05,2.5605150281330267e-05,0.00018070186355370252,0.00029053703448476644,15,2.144786687917804
3.5,72,225,0.31999999999999995,0.00022619467105846505,9.458377988769832e-05,2.4421426955093576e-05,0.00017381591962522332,0.00027857342249170677,15,2.144786687917804
3.75,71,225,0.31555555555555553,0.00022305307840487528,8.810073149363655e-05,2.2747511057569708e-05,0.00017426451950533674,0.0002718416373044138,15,2.144786687917804
4.0,70,225,0.3111111111111111,0.0002199114857512855,8.846008335163374e-05,2.2840295308333164e-05,0.00017092392442586107,0.00026889904707670995,15,2.144786687917804
4.25,67,225,0.29777777777777775,0.00021048670779051613,8.517135219544584e-05,2.199114857512855e-05,0.00016332038507455783,0.0002576530305064744,15,2.144786687917804
4.5,66,225,0.2933333333333333,0.0002073451151369263,8.12313702572545e-05,2.0973849613063677e-05,0.00016236068169243735,0.00025232954858141524,15,2.144786687917804
4.75,64,225,0.2844444444444444,0.00020106192982974672,8.628152528434529e-05,2.2277794034109562e-05,0.00015328081374921387,0.0002488430459102796,15,2.144786687917804
5.0,62,225,0.2755555555555556,0.00019477874452256718,8.328818613993192e-05,2.1504917190385317e-05,0.00014865528440785402,0.00024090220463728035,15,2.144786687917804
5.25,48,225,0.21333333333333335,0.00015079644737231007,9.289162574486378e-05,2.3984514634132634e-05,9.935477966885263e-05,0.0002022381150757675,15,2.144786687917804
5.5,44,225,0.1955555555555555,0.00013823007675795086,9.831155880992946e-05,2.538393533403652e-05,8.378695016654297e-05,0.00019267320334935876,15,2.144786687917804
5.75,42,225,0.18666666666666662,0.00013194689145077127,0.00010262688653295596,2.6498148161017112e-05,7.511401602054813e-05,0.00018877976688099442,15,2.144786687917804
6.0,40,225,0.17777777777777776,0.0001256637061435917,0.00010022897453742154,2.587900994605872e-05,7.015875011479252e-05,0.00018116866217239092,15,2.144786687917804
6.25,40,225,0.17777777777777776,0.0001256637061435917,0.00010022897453742154,2.587900994605872e-05,7.015875011479252e-05,0.00018116866217239092,15,2.144786687917804
6.5,40,225,0.17777777777777776,0.0001256637061435917,0.00010022897453742154,2.587900994605872e-05,7.015875011479252e-05,0.00018116866217239092,15,2.144786687917804
6.75,40,225,0.17777777777777776,0.0001256637061435917,0.00010022897453742154,2.587900994605872e-05,7.015875011479252e-05,0.00018116866217239092,15,2.144786687917804
7.0,38,225,0.1688888888888889,0.00011938052083641214,9.402311235225265e-05,2.4276663219924227e-05,6.731225673525489e-05,0.00017144878493756939,15,2.144786687917804
7.25,37,225,0.16444444444444445,0.00011623892818282234,9.402311235225265e-05,2.4276663219924227e-05,6.41706640816651e-05,0.0001683071922839796,15,2.144786687917804
7.5,34,225,0.15111111111111108,0.00010681415022205295,9.502993226871607e-05,2.4536623004530408e-05,5.418832783547838e-05,0.00015943997260862752,15,2.144786687917804
