disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,15,4.765916253071874,4346324.986151427
1,15,7.425565480300651,6771818.695414981
2,15,13.218265014738362,12054528.962840797
3,15,11.06755774359592,10093169.959849736
4,15,13.890925431193772,12667968.356231472
5,15,3.915567595176113,3570841.024096808
6,15,8.501058104522535,7752624.949000371
7,15,15.09943576747246,13770081.442504184
8,15,18.18038053921601,16579779.836543433
9,15,10.444804827155462,9525244.210172694
10,15,8.905937474347846,8121858.739106262
11,15,6.122312766820455,5583304.350829583
12,15,13.368782868689145,12191795.224929752
13,15,8.20230737662851,7480176.235190136
14,15,12.543929501090446,11439561.947814442
