point_index,detuning_n,detuning_rad_per_s,detuning_hz,detuning_mhz,cooling_power_w_per_beam,requested_ensemble_count,temperature_ensemble_count,valid_temperature_ensemble_count,requested_atom_count,complete_atom_count,trapped_atom_count,complete_outside_core_count,escaped_atom_count,other_incomplete_atom_count,failed_atom_count,duration_complete_fraction,trapped_fraction,trapped_fraction_sem,trapped_fraction_ci_low,trapped_fraction_ci_high,trapped_fraction_pooled_wilson_low,trapped_fraction_pooled_wilson_high,minimum_survivors_per_ensemble,median_survivors_per_ensemble,maximum_survivors_per_ensemble,initial_temperature_mean_k,plateau_temperature_x_k,plateau_temperature_y_k,plateau_temperature_z_k,plateau_temperature_mean_k,temperature_sem_k,temperature_ci_low_k,temperature_ci_high_k,final_temperature_mean_k,final_temperature_sem_k,cooling_beam_center_on_resonance_saturation_parameter,cooling_beam_center_effective_saturation_parameter,doppler_temperature_k,plateau_over_doppler,stationarity_pass_count,statistics_pass_count,plateau_max_radius_median_m,plateau_max_radius_p90_m,plateau_max_radius_max_m,valid,quality_status,termination_counts_json,boundedness_counts_json,point_wall_time_s
0,-0.1,-3813893.481458009,-607000.0000000001,-0.6070000000000001,0.027,15,9,0,225,225,27,198,0,0,0,1.0,0.11999999999999998,0.018630350160153915,0.08004187298525453,0.15995812701474543,0.08379544170650682,0.16896233705776453,0,2.0,3,0.0026667294625908403,0.0024056219879627903,0.0025632542451836664,0.0028548255818545754,0.002607900605000344,8.154662212868889e-05,0.0024198537571596557,0.002795947452841032,0.002241840324653133,0.00035268519975775254,25.54112954704834,24.5587784106234,0.009321604907302149,0.2797694850762689,0,5,0.0028116319024762693,0.003599529825625161,0.004255729652682658,False,incomplete_ensemble_statistics,"{""duration"": 225}","{""complete_final_plateau_core"": 27, ""complete_outside_final_plateau_core"": 198}",87.56757809995906
1,-0.25,-9534733.703645023,-1517500.0,-1.5175,0.027,15,15,5,225,225,122,103,0,0,0,1.0,0.5422222222222222,0.036726742511694145,0.46345119379255567,0.6209932506518887,0.47695949135727983,0.6060674221133566,5,8.0,13,0.0016654980920684493,0.0010318600007161976,0.0011039833054909145,0.0011429818055943676,0.0010929417039338266,1.4139215655582284e-05,0.0010626161024181347,0.0011232673054495186,0.0012516376855696266,6.356506278685443e-05,25.54112954704834,20.43290363763867,0.0031582672846496994,0.3460573806548646,5,15,0.0019060265949554767,0.0026929933399892246,0.0029325138765439306,False,nonstationary,"{""duration"": 225}","{""complete_final_plateau_core"": 122, ""complete_outside_final_plateau_core"": 103}",90.10862920002546
2,-0.5,-19069467.407290045,-3035000.0,-3.035,0.027,15,15,12,225,225,225,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9832134489943798,1.0,15,15.0,15,0.0018901654042609737,0.0006761845557532949,0.0006916646419530645,0.0006954163954670015,0.0006877551977244536,4.796362283289979e-06,0.0006774680237488222,0.000698042371700085,0.0007478564415286849,4.022259370374988e-05,25.54112954704834,12.77056477352417,0.0010757182773953639,0.6393450889295244,12,15,0.0005069019582980317,0.0008978897554984343,0.0013212889470752493,False,nonstationary,"{""duration"": 225}","{""complete_final_plateau_core"": 225}",93.31338250002591
3,-0.75,-28604201.11093507,-4552500.000000001,-4.552500000000001,0.027,15,15,7,225,225,225,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9832134489943798,1.0,15,15.0,15,0.0018901654042609737,0.0006142537077418015,0.0006099770274986732,0.0006495211325640323,0.0006245839559348357,4.394839049974176e-06,0.0006151579636449097,0.0006340099482247617,0.0005976137547336738,4.681541427553359e-05,25.54112954704834,7.858809091399489,0.0005393587026152704,1.1580121965332546,7,15,0.000323708281279042,0.00047881213801947645,0.0006586627385511866,False,nonstationary,"{""duration"": 225}","{""complete_final_plateau_core"": 225}",93.7397559999954
4,-1.0,-38138934.81458009,-6070000.0,-6.07,0.027,15,15,7,225,225,225,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9832134489943798,1.0,15,15.0,15,0.0018901654042609737,0.0005617767573331884,0.0005733186432741111,0.0006560239906644415,0.0005970397970905802,5.5646593015601445e-06,0.0005851047898977961,0.0006089748042833644,0.0006184779585774751,3.21452186029714e-05,25.54112954704834,5.108225909409668,0.0003680835340258616,1.6220225625431863,7,15,0.0002938160774953961,0.0004571066331233163,0.0005261351299727813,False,nonstationary,"{""duration"": 225}","{""complete_final_plateau_core"": 225}",95.39501239999663
5,-2.0,-76277869.62916018,-12140000.0,-12.14,0.027,15,15,9,225,225,225,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9832134489943798,1.0,15,15.0,15,0.0018901654042609737,0.0006235240319122151,0.0006135906158052186,0.0006915271155986507,0.0006428805877720282,5.365374603578758e-06,0.0006313730037465802,0.0006543881717974762,0.0006656845331762583,2.9157619170029882e-05,25.54112954704834,1.5024193851204906,0.000336875925426438,1.9083601387016034,9,15,0.00032315988263278094,0.00046675800801455105,0.0006435385158715348,False,nonstationary,"{""duration"": 225}","{""complete_final_plateau_core"": 225}",96.27314309997018
6,-2.5,-95347337.03645022,-15175000.0,-15.175,0.027,15,15,9,225,225,225,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9832134489943798,1.0,15,15.0,15,0.0018901654042609737,0.000699419627158613,0.0006975342549989641,0.0007115224557057242,0.0007028254459544338,8.827676693550555e-06,0.0006838919624968643,0.0007217589294120033,0.0006963133493413955,3.346062157207795e-05,25.54112954704834,0.9823511364249361,0.00039301690530587046,1.7882829885077103,9,15,0.00037073183195956186,0.0005572230602842374,0.0006798832821876111,False,nonstationary,"{""duration"": 225}","{""complete_final_plateau_core"": 225}",98.787479599996
7,-3.0,-114416804.44374028,-18210000.000000004,-18.210000000000004,0.027,15,15,6,225,225,225,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9832134489943798,1.0,15,15.0,15,0.0018901654042609737,0.0007814173654333235,0.000760044703426228,0.0007934138567630635,0.0007782919752075383,9.56309990909705e-06,0.000757781165827279,0.0007988027845877975,0.000772523127586441,4.5029635139965956e-05,25.54112954704834,0.690300798568874,0.0004574880973432589,1.701228905685772,6,15,0.0004219253701418851,0.0005915462937963578,0.0007409443938644453,False,nonstationary,"{""duration"": 225}","{""complete_final_plateau_core"": 225}",96.75390660000267
8,-4.0,-152555739.25832036,-24280000.0,-24.28,0.027,15,15,4,225,225,225,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9832134489943798,1.0,15,15.0,15,0.0018901654042609737,0.0009171314626493398,0.000956720084488033,0.0009831538258708175,0.0009523351243360636,1.2701724868872087e-05,0.0009250926339237122,0.0009795776147484149,0.0009028755143069798,4.071907427322195e-05,25.54112954704834,0.39294045456997445,0.0005953088316035314,1.5997329012755306,4,15,0.0005979308408845146,0.0008480544785122448,0.001010674811761182,False,nonstationary,"{""duration"": 225}","{""complete_final_plateau_core"": 225}",96.93612649996066
9,-5.0,-190694674.07290044,-30350000.0,-30.35,0.027,15,15,1,225,225,225,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9832134489943798,1.0,15,15.0,15,0.0018901654042609737,0.001204716208576424,0.0011649570569005,0.0010705918604888675,0.001146755041988597,2.4693919360935714e-05,0.0010937918524707463,0.0011997182315064477,0.001214701266067527,6.454983361843061e-05,25.54112954704834,0.25288247076285486,0.000737409692742417,1.5551125151662029,1,15,0.0007847365682479424,0.0011326434803628483,0.0014511872947276547,False,nonstationary,"{""duration"": 225}","{""complete_final_plateau_core"": 225}",96.98613300005672
