point_index,deterministic_evaluation_count,detuning_n,detuning_rad_per_s,detuning_hz,detuning_mhz,linewidth_rad_per_s,model_state_count,restoring_slope_x_n_per_m,restoring_slope_x_coarse_n_per_m,restoring_slope_x_relative_change,restoring_slope_x_numerical_uncertainty_n_per_m,restoring_slope_x_converged,turnaround_velocity_x_m_per_s,turnaround_velocity_x_coarse_m_per_s,turnaround_velocity_x_absolute_change_m_per_s,turnaround_velocity_x_numerical_uncertainty_m_per_s,turnaround_force_x_n,turnaround_x_interior,turnaround_x_converged,restoring_slope_y_n_per_m,restoring_slope_y_coarse_n_per_m,restoring_slope_y_relative_change,restoring_slope_y_numerical_uncertainty_n_per_m,restoring_slope_y_converged,turnaround_velocity_y_m_per_s,turnaround_velocity_y_coarse_m_per_s,turnaround_velocity_y_absolute_change_m_per_s,turnaround_velocity_y_numerical_uncertainty_m_per_s,turnaround_force_y_n,turnaround_y_interior,turnaround_y_converged,restoring_slope_z_n_per_m,restoring_slope_z_coarse_n_per_m,restoring_slope_z_relative_change,restoring_slope_z_numerical_uncertainty_n_per_m,restoring_slope_z_converged,turnaround_velocity_z_m_per_s,turnaround_velocity_z_coarse_m_per_s,turnaround_velocity_z_absolute_change_m_per_s,turnaround_velocity_z_numerical_uncertainty_m_per_s,turnaround_force_z_n,turnaround_z_interior,turnaround_z_converged,all_converged,point_wall_time_s
0,1,-0.5,-19069467.407290045,-3035000.0,-3.035,38138934.81458009,24,-4.106955105043026e-19,-4.1069922611688715e-19,9.047122477622247e-06,3.7156125845420196e-24,True,3.3347331386162242,3.337533792312332,0.0028006536961076023,0.0028006536961076023,-8.628207427736044e-21,True,True,-4.106955105043027e-19,-4.10699226116895e-19,9.04712249649722e-06,3.7156125922938876e-24,True,3.334733138616243,3.3375337923123305,0.0028006536960876183,0.0028006536960876183,-8.628207427736047e-21,True,True,-8.213607666010041e-19,-8.212774660608084e-19,0.00010141772480860042,8.330054019572172e-23,True,3.991319771623049,3.996096106260084,0.0047763346370350845,0.0047763346370350845,-2.6638542321356176e-21,True,True,True,1.4738462000022992
1,1,-0.8958333333333333,-34166129.104728,-5437708.333333334,-5.437708333333334,38138934.81458009,24,-5.110247918276556e-19,-5.110407346162371e-19,3.11976812797672e-05,1.594278858149858e-23,True,4.676316792413456,4.678551795848916,0.0022350034354605697,0.0022350034354605697,-1.2531152220377915e-20,True,True,-5.110247918276242e-19,-5.110407346162434e-19,3.119768135344838e-05,1.594278861915051e-23,True,4.676316792413456,4.678551795848915,0.0022350034354596815,0.0022350034354596815,-1.2531152220377915e-20,True,True,-1.022021722445979e-18,-1.0219700554058044e-18,5.055375931822235e-05,5.1667040174529066e-23,True,5.179569145333439,5.182521030130263,0.002951884796823734,0.002951884796823734,-4.373543336572448e-21,True,True,True,1.549452300001576
2,1,-1.2916666666666665,-49262790.80216595,-7840416.666666667,-7.840416666666667,38138934.81458009,24,-5.017033776912551e-19,-5.017286731818436e-19,5.041921524398322e-05,2.52954905884488e-23,True,6.327355964097379,6.3281189780509,0.0007630139535210745,0.0007630139535210745,-1.4713670542952664e-20,True,True,-5.017033776912554e-19,-5.017286731818291e-19,5.0419215214616507e-05,2.5295490573715435e-23,True,6.327355964097403,6.3281189780509,0.0007630139534970937,0.0007630139534970937,-1.4713670542952682e-20,True,True,-1.0033869788258537e-18,-1.003378269423255e-18,8.680003610274245e-06,8.709402598710578e-24,True,6.6762110630876315,6.677974411870265,0.0017633487826334004,0.0017633487826334004,-5.722536878089653e-21,True,True,True,1.483581200001936
3,1,-1.6875,-64359452.499603905,-10243125.0,-10.243125000000001,38138934.81458009,24,-4.491346256667098e-19,-4.491642171555614e-19,6.588556562003534e-05,2.959148885159402e-23,True,8.10434622055856,8.104437659183356,9.143862479632503e-05,9.143862479632503e-05,-1.6059039718531162e-20,True,True,-4.491346256666942e-19,-4.491642171555446e-19,6.588556561746478e-05,2.959148885043846e-23,True,8.10434622055856,8.10443765918336,9.143862479987774e-05,9.143862479987774e-05,-1.6059039718531162e-20,True,True,-8.982562077671946e-19,-8.982762890353485e-19,2.2355835651653698e-05,2.00812681539211e-23,True,8.338754486871363,8.339366669471602,0.0006121826002392083,0.0006121826002392083,-6.796850334591095e-21,True,True,True,1.5410185999971873
4,1,-2.083333333333333,-79456114.19704184,-12645833.333333332,-12.645833333333332,38138934.81458009,24,-3.8508315635157014e-19,-3.8511281963660056e-19,7.703085565065284e-05,2.966328503041558e-23,True,9.931733097913499,9.932293724580813,0.0005606266673137128,0.0005606266673137128,-1.697038159057006e-20,True,True,-3.8508315635154876e-19,-3.8511281963660056e-19,7.703085570617195e-05,2.9663285051793403e-23,True,9.931733097913499,9.932293724580795,0.0005606266672959492,0.0005606266672959492,-1.6970381590570023e-20,True,True,-7.701575624286456e-19,-7.701906669680466e-19,4.2984112623131667e-05,3.310453940098946e-23,True,10.090275898628056,10.090613234875047,0.00033733624699117115,0.00033733624699117115,-7.659712592767913e-21,True,True,True,1.5105685999988054
5,1,-2.4791666666666665,-94552775.8944798,-15048541.666666666,-15.048541666666667,38138934.81458009,24,-3.2320780642505216e-19,-3.2323497201449576e-19,8.404991743260736e-05,2.716558944359978e-23,True,11.781246418410886,11.781418125018117,0.00017170660723131448,0.00017170660723131448,-1.7625551107630556e-20,True,True,-3.232078064250694e-19,-3.2323497201449576e-19,8.404991737927164e-05,2.7165589426362704e-23,True,11.78124641841088,11.7814181250181,0.00017170660721887998,0.00017170660721887998,-1.762555110763052e-20,True,True,-6.464093447230578e-19,-6.464448994458108e-19,5.500341701934535e-05,3.555472275300411e-23,True,11.890186176057947,11.890349802545362,0.00016362648741541364,0.00016362648741541364,-8.350370606120661e-21,True,True,True,1.530628100001195
6,1,-2.875,-109649437.59191775,-17451250.0,-17.45125,38138934.81458009,24,-2.6859900240795286e-19,-2.686225537425935e-19,8.768213742242257e-05,2.3551334640659734e-23,True,13.641222173768801,13.641381699962693,0.00015952619389203448,0.00015952619389203448,-1.811356918107033e-20,True,True,-2.6859900240793356e-19,-2.6862255374259834e-19,8.768213751223663e-05,2.3551334664782006e-23,True,13.6412221737688,13.641381699962688,0.00015952619388848177,0.00015952619388848177,-1.8113569181070355e-20,True,True,-5.371931454863778e-19,-5.372256965660344e-19,6.059474125856718e-05,3.2551079656622896e-23,True,13.717215612618883,13.7175722253848,0.00035661276591625324,0.00035661276591625324,-8.898080322856323e-21,True,True,True,1.5152698999991117
7,1,-3.270833333333333,-124746099.2893557,-19853958.333333332,-19.85395833333333,38138934.81458009,24,-2.22456937933927e-19,-2.2247669452184427e-19,8.881084177804362e-05,1.975658791727806e-23,True,15.506655220990641,15.506759897395714,0.00010467640507272336,0.00010467640507272336,-1.848544674860975e-20,True,True,-2.2245693793391765e-19,-2.2247669452184417e-19,8.881084181960354e-05,1.9756587926522523e-23,True,15.506655220990666,15.506759897395709,0.00010467640504252529,0.00010467640504252529,-1.8485446748609823e-20,True,True,-4.449098491814129e-19,-4.449373067991905e-19,6.171501446444147e-05,2.745761777760337e-23,True,15.56018341716801,15.560348621150974,0.00016520398296293592,0.00016520398296293592,-9.328679447136579e-21,True,True,True,1.479075199997169
8,1,-3.6666666666666665,-139842760.98679367,-22256666.666666668,-22.256666666666668,38138934.81458009,24,-1.8433015121043396e-19,-1.8434641353328658e-19,8.822388928684924e-05,1.6262322852617503e-23,True,17.375146225280034,17.37514767454854,1.4492685060929489e-06,1.4492685060929489e-06,-1.8773465358492833e-20,True,True,-1.8433015121045011e-19,-1.8434641353328446e-19,8.82238891877136e-05,1.6262322834345243e-23,True,17.375146225280012,17.37514767454853,1.44926851675109e-06,1.44926851675109e-06,-1.8773465358492833e-20,True,True,-3.686568123239232e-19,-3.6867888917020807e-19,5.988454721803682e-05,2.2076846284862916e-23,True,17.413082316827566,17.413228658770276,0.00014634194270968237,0.00014634194270968237,-9.665497254466951e-21,True,True,True,1.5159187000026577
9,1,-4.0625,-154939422.6842316,-24659375.0,-24.659375,38138934.81458009,24,-1.53172344236098e-19,-1.5318559863925795e-19,8.653261282932776e-05,1.3254403159942782e-23,True,19.24545447454174,19.2455345182321,8.004369035674586e-05,8.004369035674586e-05,-1.8999368535666237e-20,True,True,-1.531723442360918e-19,-1.5318559863925795e-19,8.653261286988118e-05,1.3254403166153906e-23,True,19.24545447454173,19.24553451823208,8.004369034964043e-05,8.004369034964043e-05,-1.899936853566619e-20,True,True,-3.063415833555641e-19,-3.0635879734603347e-19,5.6192144340385286e-05,1.7213990469378028e-23,True,19.272306021049484,19.27239781927412,9.179822463423193e-05,9.179822463423193e-05,-9.928706814086732e-21,True,True,True,1.5045562999985123
