disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,50,57.82215574466509,52731493.15290477
1,50,79.44594025318887,72451519.67329812
2,50,63.21543284817132,57649946.14021832
3,50,63.18175018904642,57619228.90240277
4,50,47.29455469433171,43130742.09904274
5,50,82.25667200576989,75014794.6023819
6,50,76.00469752275568,69313243.95285226
7,50,81.44617441467928,74275653.21921091
8,50,50.436509871743766,45996079.54263545
9,50,71.99397913140173,65655629.20867312
10,50,47.58270475530166,43393523.4286449
11,50,63.03070940667566,57481485.75051194
12,50,74.83772775772579,68249014.20593561
13,50,52.68330914871672,48045070.6112637
14,50,87.20020338076425,79523097.47512177
15,50,73.1023871247325,66666452.96227105
16,50,71.16165375760261,64896581.76078328
17,50,68.72293394482207,62672566.84031994
18,50,59.57010590588935,54325553.78193485
19,50,67.5990545674873,61647633.803365715
20,50,51.642370125589636,47095775.859732725
21,50,57.19604722768076,52160507.229755744
22,50,51.64780510732807,47100732.3456789
23,50,61.483444577351726,56070442.11676168
24,50,90.08277763341718,82151889.89057113
25,50,57.88963978897264,52793035.901951484
26,50,62.120603575914224,56651505.637090735
27,50,71.05665218076214,64800824.52276784
28,50,53.947990010289594,49198408.9697837
29,50,57.53489181881396,52469519.94308558
30,50,62.33149332951537,56843828.65678483
31,50,65.75450262164325,59965476.21083378
32,50,51.90982122728572,47339680.566435486
33,50,57.57062474548823,52502106.94289545
34,50,53.887797513680425,49143515.820576
35,50,76.26309857270726,69548895.37436612
36,50,72.55493329008091,66167196.96322219
37,50,51.592799061966716,47050569.03255117
38,50,90.03751967382526,82110616.44174169
39,50,75.82634923410335,69150597.44753289
40,50,49.366430181233106,45020209.66807734
41,50,58.25348980059275,53124852.55854857
42,50,58.35364813815637,53216192.95607308
43,50,79.92456111939023,72888002.75843912
44,50,71.16759982061612,64902004.33240908
45,50,69.3935933405865,63284181.38288127
46,50,86.61888345500061,78992956.95562236
47,50,72.8882162383663,66471137.68074053
48,50,53.75597525439076,49023299.1929942
49,50,55.93143344026342,51007230.04018263
