point_index,study_key,scan_variable,scan_value,s0,seff,detuning_n,cooling_power_w_per_beam,cooling_power_mw_per_beam,cooling_beam_diameter_m,cooling_beam_diameter_mm,cooling_beam_center_peak_intensity_w_per_m2,cooling_beam_center_on_resonance_saturation_parameter,cooling_beam_center_effective_saturation_parameter,cooling_detuning_n,cooling_detuning_hz,cooling_detuning_mhz,cooling_detuning_rad_per_s,natural_linewidth_hz,natural_linewidth_rad_per_s,repump_power_w_per_beam,repump_power_mw_per_beam,loading_rate_mean_atoms_per_s,loading_rate_from_mean_spectrum_atoms_per_s,loading_rate_sample_std_atoms_per_s,loading_rate_disc_cluster_sem_atoms_per_s,loading_rate_t95_lower_atoms_per_s,loading_rate_t95_upper_atoms_per_s,student_t_critical_95,confidence_level,disc_count,points_per_disc,capture_threshold_search_count,disc_radius_m,disc_radius_mm,phase_space,geometry_sha256,run_signature_sha256,point_elapsed_wall_time_s,statistics_directory,figures_directory,capture_cross_section_csv,capture_cross_section_plot,status
0,01_raw_saturation,s0,0.25,0.25,0.009832177129853618,-2.471169686985173,0.0002642796195667887,0.2642796195667887,0.0127,12.7,4.1725,0.25,0.009832177129853618,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,236509.71490534802,236509.71490534802,299068.5260407521,54602.19265078037,124835.69197053152,348183.7378401645,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,0bad289d83a65e4acf16254cada06ecb1d822ca0df9235cd5ab5f3b927f88b52,2387.731602899963,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\000_s0_0p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\000_s0_0p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\000_s0_0p25\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\000_s0_0p25\capture_cross_section_vs_velocity.png,completed
1,01_raw_saturation,s0,0.5,0.5,0.019664354259707237,-2.471169686985173,0.0005285592391335774,0.5285592391335774,0.0127,12.7,8.345,0.5,0.019664354259707237,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,1691311.1154857075,1691311.1154857075,1930672.5387251242,352490.96687183896,970386.1414554055,2412236.0895160097,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,0640f7519607e93254c1cfa0697c13e9caf342be70174e734b63cf8436779958,1597.543565400003,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\001_s0_0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\001_s0_0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\001_s0_0p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\001_s0_0p5\capture_cross_section_vs_velocity.png,completed
2,01_raw_saturation,s0,0.75,0.7500000000000001,0.02949653138956086,-2.471169686985173,0.0007928388587003662,0.7928388587003662,0.0127,12.7,12.517500000000004,0.7500000000000001,0.02949653138956086,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,4085485.854007549,4085485.854007549,3084067.0111174607,563071.023615523,2933876.305883078,5237095.40213202,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,8312316252fbe06f6fac11ffc645d7234029b1c9c91ae474d19b4dd583391c91,1343.7858921000152,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\002_s0_0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\002_s0_0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\002_s0_0p75\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\002_s0_0p75\capture_cross_section_vs_velocity.png,completed
3,01_raw_saturation,s0,1.0,1.0,0.039328708519414474,-2.471169686985173,0.0010571184782671547,1.0571184782671548,0.0127,12.7,16.69,1.0,0.039328708519414474,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,7288014.269738849,7288014.269738848,3900935.807261317,712210.1790055494,5831380.900208061,8744647.639269639,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,476f864708d7bcce52b1de47b9fb72b13eab8adce3450d906ad6b17e91f80eba,1188.4146675000084,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\003_s0_1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\003_s0_1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\003_s0_1\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\003_s0_1\capture_cross_section_vs_velocity.png,completed
4,01_raw_saturation,s0,2.0,2.0,0.07865741703882895,-2.471169686985173,0.0021142369565343095,2.1142369565343095,0.0127,12.7,33.38,2.0,0.07865741703882895,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,15256291.696643593,15256291.696643593,5378520.273476129,981978.9599272436,13247919.219849752,17264664.173437435,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,9fed78c64809f0cd563490dd6bc6b943928e5346a854d683b9cd19ce0fdcfb40,965.3299299000064,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\004_s0_2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\004_s0_2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\004_s0_2\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\004_s0_2\capture_cross_section_vs_velocity.png,completed
5,01_raw_saturation,s0,3.0,3.0000000000000004,0.11798612555824343,-2.471169686985173,0.0031713554348014646,3.1713554348014648,0.0127,12.7,50.070000000000014,3.0000000000000004,0.11798612555824343,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,20492219.023184106,20492219.0231841,6638220.474617168,1211967.6985468243,18013466.76080879,22970971.285559423,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,7c05b89db222cfd0d05bd4ca144be054ebcd931d2d5920269471397c5a5ab988,895.2121426999802,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\005_s0_3,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\005_s0_3,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\005_s0_3\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\005_s0_3\capture_cross_section_vs_velocity.png,completed
6,01_raw_saturation,s0,5.0,5.0,0.19664354259707237,-2.471169686985173,0.005285592391335773,5.285592391335773,0.0127,12.7,83.45,5.0,0.19664354259707237,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,28907245.566704027,28907245.566704024,9476743.374315662,1730208.7059334374,25368571.434252895,32445919.69915516,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,c0a5eda8a2a12a61715271746412de4a48278bb625fd580e1ed1365d19b7e1ec,852.3512760999729,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\006_s0_5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\006_s0_5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\006_s0_5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\006_s0_5\capture_cross_section_vs_velocity.png,completed
7,01_raw_saturation,s0,10.0,10.0,0.39328708519414474,-2.471169686985173,0.010571184782671546,10.571184782671546,0.0127,12.7,166.9,10.0,0.39328708519414474,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,41867135.35109634,41867135.35109633,12520218.6529798,2285868.7270446606,37192008.87252045,46542261.82967223,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,17013d47a83591e4e23c0d026587c97fb67d9329780db802136bdbc0b3c317f1,827.3380210000323,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\007_s0_10,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\007_s0_10,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\007_s0_10\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\007_s0_10\capture_cross_section_vs_velocity.png,completed
8,01_raw_saturation,s0,15.0,14.999999999999998,0.589930627791217,-2.471169686985173,0.015856777174007318,15.856777174007318,0.0127,12.7,250.35,14.999999999999998,0.589930627791217,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,49836153.2923762,49836153.292376205,14294352.681808425,2609779.8029203136,44498554.28000432,55173752.30474807,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,4e23016a3e8a4c72a7166333e36cdc80c2e6dd7fa0091bd77403ab2bc7e376de,809.0779817000148,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\008_s0_15,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\008_s0_15,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\008_s0_15\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\008_s0_15\capture_cross_section_vs_velocity.png,completed
9,01_raw_saturation,s0,20.0,20.0,0.7865741703882895,-2.471169686985173,0.021142369565343093,21.142369565343092,0.0127,12.7,333.8,20.0,0.7865741703882895,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,55332685.6955601,55332685.6955601,15481939.596073654,2826602.5169006535,49551634.44146797,61113736.949652225,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,f62e94b116b5b0741f334089ed8fca66307058ad49bd67888ff40fb3a5a2b30c,821.2415785999619,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\009_s0_20,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\009_s0_20,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\009_s0_20\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\01_raw_saturation\points\009_s0_20\capture_cross_section_vs_velocity.png,completed
