disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,30,0.2078425716306967,189544.11162433017
1,30,0.6535729085609744,596032.3496912662
2,30,0.11848886892409259,108057.10890401548
3,30,0.04620652405580866,42138.501677935266
4,30,0.04064188690240303,37063.77517951547
5,30,0.23744328364687498,216538.7769546041
6,30,0.07460031578643267,68032.50398459514
7,30,0.2547127519227548,232287.84124347544
8,30,0.8380216284085067,764242.2042434218
9,30,0.08350119268995505,76149.74768553142
10,30,0.1274196013730306,116201.57966814899
11,30,0.07021773058894279,64035.761587892266
12,30,0.033966664045293235,30976.23894274562
13,30,0.0524127695120746,47798.34928423155
14,30,0.6004395195965142,547576.824291237
15,30,0.16278766926396251,148455.84286196326
16,30,0.05936468807844275,54138.220940016654
17,30,1.5669234316517386,1428971.4927291195
18,30,0.32112928478341296,292857.0625510813
19,30,0.07772571078953402,70882.73921162346
20,30,0.3835942192430965,349822.5841809343
21,30,0.427681821122032,390028.7135904483
22,30,0.05661298779231502,51628.780347079606
23,30,0.08143993273772118,74269.96105949221
24,30,0.0389229970461234,35496.21638618269
25,30,0.3906220544682151,356231.6887928334
26,30,0.044894102472638205,40941.625690947134
27,30,0.04515909702155803,41183.29011978006
28,30,0.11797348360516588,107587.09810856708
29,30,0.5659463744324598,516120.455627426
