velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2,capture_cross_section_sample_std_m2,capture_cross_section_disc_cluster_sem_m2,capture_cross_section_t95_lower_m2,capture_cross_section_t95_upper_m2,disc_count,student_t_critical_95
0.0,900,900,1.0,0.0007068583470577034,0.0,0.0,0.0007068583470577034,0.0007068583470577034,30,2.045229642132704
0.25,900,900,1.0,0.0007068583470577034,0.0,0.0,0.0007068583470577034,0.0007068583470577034,30,2.045229642132704
0.5,900,900,1.0,0.0007068583470577034,0.0,0.0,0.0007068583470577034,0.0007068583470577034,30,2.045229642132704
0.75,900,900,1.0,0.0007068583470577034,0.0,0.0,0.0007068583470577034,0.0007068583470577034,30,2.045229642132704
1.0,900,900,1.0,0.0007068583470577034,0.0,0.0,0.0007068583470577034,0.0007068583470577034,30,2.045229642132704
1.25,900,900,1.0,0.0007068583470577034,0.0,0.0,0.0007068583470577034,0.0007068583470577034,30,2.045229642132704
1.5,900,900,1.0,0.0007068583470577034,0.0,0.0,0.0007068583470577034,0.0007068583470577034,30,2.045229642132704
1.75,900,900,1.0,0.0007068583470577034,0.0,0.0,0.0007068583470577034,0.0007068583470577034,30,2.045229642132704
2.0,899,900,0.9988888888888887,0.0007060729488943059,4.301802907159113e-06,7.853981633974494e-07,0.0007044666292896489,0.0007068583470577034,30,2.045229642132704
2.25,898,900,0.9977777777777777,0.0007052875507309084,5.9778570203433655e-06,1.09140237852756e-06,0.0007030553822348497,0.0007068583470577034,30,2.045229642132704
2.5,896,900,0.9955555555555555,0.0007037167544041136,8.146445931672904e-06,1.4873307334244797e-06,0.0007006748215004589,0.0007067586873077682,30,2.045229642132704
2.75,895,900,0.9944444444444444,0.0007029313562407161,8.931132166531052e-06,1.630594183889681e-06,0.0006995964166815358,0.0007062662957998965,30,2.045229642132704
3.0,893,900,0.992222222222222,0.0007013605599139212,1.3390742837966463e-05,2.444803971368326e-06,0.0006963603743624749,0.0007063607454653674,30,2.045229642132704
3.25,890,900,0.9888888888888888,0.0006990043654237289,1.7862264333062074e-05,3.2611883677793563e-06,0.0006923344863053681,0.0007056742445420896,30,2.045229642132704
3.5,887,900,0.9855555555555553,0.0006966481709335364,2.1150007161229576e-05,3.86144533786708e-06,0.0006887506284670555,0.0007045457134000173,30,2.045229642132704
3.75,878,900,0.9755555555555555,0.0006895795874629595,2.391142808137342e-05,4.365609514110233e-06,0.0006806509134787247,0.0006985082614471943,30,2.045229642132704
4.0,873,900,0.9700000000000001,0.0006856525966459723,2.5019925573398577e-05,4.567992541216926e-06,0.0006763100028956344,0.0006949951903963103,30,2.045229642132704
4.25,860,900,0.9555555555555554,0.0006754424205218054,2.9241786974109597e-05,5.338795449160187e-06,0.0006645233578158997,0.000686361483227711,30,2.045229642132704
