disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,30,36.744860629640016,33509843.09980651
1,30,75.64691108251026,68986957.03080605
2,30,60.929254275103986,55565042.72872383
3,30,37.19690454219575,33922089.06630084
4,30,60.29425519958713,54985948.971815474
5,30,38.31848008128942,34944921.094932705
6,30,63.3987115644414,57817088.99830798
7,30,65.07493797850285,59345740.43887545
8,30,74.6598777302837,68086822.09490952
9,30,43.24387691467747,39436685.99110927
10,30,50.127821902002225,45714568.46174995
11,30,65.86221792422126,60063708.25817282
12,30,42.6048804392274,38853946.76535782
13,30,40.21571389691168,36675122.445427574
14,30,77.19404572016245,70397881.93495935
15,30,41.999428598132596,38301798.904353
16,30,36.4063062031633,33201095.0050368
17,30,82.34563068854548,75095921.36272594
18,30,43.57278440631008,39736636.46717854
19,30,60.34214072917962,55029618.65938264
20,30,48.54548579335762,44271541.22411042
21,30,82.37984737612807,75127125.61313376
22,30,62.744336106457894,57220324.75564534
23,30,44.63260837493003,40703153.53360119
24,30,41.13663361194865,37514964.38875269
25,30,69.66973482300428,63536011.36918698
26,30,29.801341137635497,27177631.063878067
27,30,45.240902005365996,41257892.99281357
28,30,44.577647414214844,40653031.33586737
29,30,74.51147497079342,67951484.71436477
