point_index,study_key,scan_variable,scan_value,s0,seff,detuning_n,cooling_power_w_per_beam,cooling_power_mw_per_beam,cooling_beam_diameter_m,cooling_beam_diameter_mm,cooling_beam_center_peak_intensity_w_per_m2,cooling_beam_center_on_resonance_saturation_parameter,cooling_beam_center_effective_saturation_parameter,cooling_detuning_n,cooling_detuning_hz,cooling_detuning_mhz,cooling_detuning_rad_per_s,natural_linewidth_hz,natural_linewidth_rad_per_s,repump_power_w_per_beam,repump_power_mw_per_beam,loading_rate_mean_atoms_per_s,loading_rate_from_mean_spectrum_atoms_per_s,loading_rate_sample_std_atoms_per_s,loading_rate_disc_cluster_sem_atoms_per_s,loading_rate_t95_lower_atoms_per_s,loading_rate_t95_upper_atoms_per_s,student_t_critical_95,confidence_level,disc_count,points_per_disc,capture_threshold_search_count,disc_radius_m,disc_radius_mm,phase_space,geometry_sha256,run_signature_sha256,point_elapsed_wall_time_s,statistics_directory,figures_directory,capture_cross_section_csv,capture_cross_section_plot,status
0,02_effective_saturation,seff,0.25,6.356679621874399,0.25000000000000006,-2.471169686985173,0.006719763488707697,6.719763488707697,0.0127,12.7,106.09298288908373,6.356679621874399,0.25000000000000006,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,33134831.260194555,33134831.26019455,10505262.583599169,1917989.7631840885,29212101.743223373,37057560.77716574,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,c77b544914fa95cff0d44be997fbdd1c0db5a12d08a0825d51cc9394bd830f4a,816.1708209000062,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\000_seff_0p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\000_seff_0p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\000_seff_0p25\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\000_seff_0p25\capture_cross_section_vs_velocity.png,completed
1,02_effective_saturation,seff,0.5,12.713359243748798,0.5000000000000001,-2.471169686985173,0.013439526977415394,13.439526977415394,0.0127,12.7,212.18596577816746,12.713359243748798,0.5000000000000001,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,46763701.48433688,46763701.484336875,13646881.220998092,2491568.228111433,41667872.288807325,51859530.67986644,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,39c9e5499654d565080d0d616137dcb7c5df06fc796c4605cf8ca4846fa04830,806.7810599000077,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\001_seff_0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\001_seff_0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\001_seff_0p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\001_seff_0p5\capture_cross_section_vs_velocity.png,completed
2,02_effective_saturation,seff,0.75,19.070038865623193,0.75,-2.471169686985173,0.020159290466123088,20.15929046612309,0.0127,12.7,318.27894866725114,19.070038865623193,0.75,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,54525302.955214545,54525302.95521455,15316332.004430924,2796366.8456883775,48806090.59213555,60244515.31829354,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,d74060d194bca2c1b89edca7dc7fe92e6b047ea7d31e01db5e3c283614a34db3,815.5032645000028,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\002_seff_0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\002_seff_0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\002_seff_0p75\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\002_seff_0p75\capture_cross_section_vs_velocity.png,completed
3,02_effective_saturation,seff,1.0,25.426718487497595,1.0000000000000002,-2.471169686985173,0.026879053954830787,26.879053954830788,0.0127,12.7,424.3719315563349,25.426718487497595,1.0000000000000002,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,59531559.082442574,59531559.08244257,16271212.101220438,2970703.301929822,53455788.631354205,65607329.53353094,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,ac3006d636096bacd5e7d4a8172fad52612782f42a3158435431c4906b014899,832.1806821999489,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\003_seff_1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\003_seff_1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\003_seff_1\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\003_seff_1\capture_cross_section_vs_velocity.png,completed
4,02_effective_saturation,seff,2.0,50.85343697499519,2.0000000000000004,-2.471169686985173,0.053758107909661575,53.758107909661575,0.0127,12.7,848.7438631126698,50.85343697499519,2.0000000000000004,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,69480314.6679515,69480314.66795148,17754451.031744707,3241504.4420691486,62850693.69792684,76109935.63797615,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,63750d627769492f7d2a5bc2017292e1c4a459a02b9f134661408b2f03d47b5c,869.1478535999777,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\004_seff_2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\004_seff_2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\004_seff_2\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\004_seff_2\capture_cross_section_vs_velocity.png,completed
5,02_effective_saturation,seff,3.0,76.28015546249277,3.0,-2.471169686985173,0.08063716186449235,80.63716186449236,0.0127,12.7,1273.1157946690046,76.28015546249277,3.0,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,73065318.66436528,73065318.66436526,18467727.983301517,3371730.4007745436,66169355.7034212,79961281.62530935,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,f459bb5260c4f811c33298e771295a52d4e0979dbe2704f867def9a3e5d8fa8b,879.5275180999888,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\005_seff_3,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\005_seff_3,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\005_seff_3\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\005_seff_3\capture_cross_section_vs_velocity.png,completed
6,02_effective_saturation,seff,4.0,101.70687394999038,4.000000000000001,-2.471169686985173,0.10751621581932315,107.51621581932315,0.0127,12.7,1697.4877262253397,101.70687394999038,4.000000000000001,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,74210159.60652547,74210159.60652547,17805709.120190006,3250862.8458345104,67561398.55171685,80858920.66133408,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,7a60e53a23c9df3a7df666536f19cb455aeb91d062e27c772ad493ea74b86a9e,887.0651474000188,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\006_seff_4,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\006_seff_4,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\006_seff_4\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\006_seff_4\capture_cross_section_vs_velocity.png,completed
7,02_effective_saturation,seff,5.0,127.13359243748796,5.0,-2.471169686985173,0.13439526977415392,134.39526977415392,0.0127,12.7,2121.8596577816743,127.13359243748796,5.0,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,74402623.7188907,74402623.7188907,17815330.140883483,3252619.3958545243,67750270.11591326,81054977.32186814,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,f3410dbb3365d089509d559e1d5ca80611150b28fc422f0117cd5dc56e3ce778,924.6639544999925,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\007_seff_5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\007_seff_5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\007_seff_5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\007_seff_5\capture_cross_section_vs_velocity.png,completed
8,02_effective_saturation,seff,7.0,177.98702941248314,7.0,-2.471169686985173,0.1881533776838155,188.15337768381548,0.0127,12.7,2970.603520894344,177.98702941248314,7.0,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,73713305.41486295,73713305.41486292,17045677.170257553,3112100.6313669635,67348344.95429133,80078265.87543456,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,fd502cfe54cc96ce7f67c79a27e323bd936effb7b1073ca83e8c38e43878ecf8,1001.5159365999862,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\008_seff_7,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\008_seff_7,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\008_seff_7\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\008_seff_7\capture_cross_section_vs_velocity.png,completed
9,02_effective_saturation,seff,10.0,254.26718487497592,10.0,-2.471169686985173,0.26879053954830784,268.79053954830783,0.0127,12.7,4243.719315563349,254.26718487497592,10.0,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,70169738.5777991,70169738.5777991,15560757.964900203,2840992.716418008,64359256.061097875,75980221.09450032,2.045229642132704,0.95,30,30,900,0.015,15.0,full_sphere,3d0a416d8a0d787ae13a30fcb60dff123ad278c89cc7dd093cbeee6bde166ec4,a13d01dec527a323f44694a091b29c89c80c1118d08b537c18fe42956869d2da,1149.145958899986,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\009_seff_10,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\009_seff_10,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\009_seff_10\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\loading_relationship_sweeps_full_sphere_30x30_r15mm_repump0p1mW\02_effective_saturation\points\009_seff_10\capture_cross_section_vs_velocity.png,completed
