disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,30,40.35610204714801,36803150.822917104
1,30,81.19347689547868,74045203.18960074
2,30,65.1877793631185,59448647.26798954
3,30,40.48057914120084,36916668.95360952
4,30,66.13973961428141,60316796.93864007
5,30,42.18057209723624,38466994.52979556
6,30,69.33633947761555,63231968.15000628
7,30,77.59049308379389,70759426.07269667
8,30,84.52716222787724,77085390.86533493
9,30,46.98192579332603,42845637.0464816
10,30,54.80661307679999,49981438.86151852
11,30,71.70755036287017,65394417.62892307
12,30,46.37847102021151,42295310.431592084
13,30,44.04570040962406,40167916.94556076
14,30,83.59041682644097,76231116.52904111
15,30,45.93276775930159,41888846.885772675
16,30,40.035651685023,36510912.91067357
17,30,86.1955851109984,78606925.7978261
18,30,47.45238090342818,43274673.28869036
19,30,65.56991783690333,59797142.27054236
20,30,52.56870958872262,47940560.39653148
21,30,89.29695326470086,81435249.4992766
22,30,68.4744219948924,62445933.88246207
23,30,50.86490098567704,46386755.10289803
24,30,47.46140265584789,43282900.76602704
25,30,74.74297866966673,68162606.82758927
26,30,32.64339133481806,29769467.16170068
27,30,49.891944022569334,45499457.27082233
28,30,48.89527088236299,44590531.23387975
29,30,79.14496373529171,72177041.12803663
