disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,100,65.18649971677748,59447480.28171239
1,100,75.43467466240403,68793405.90512599
2,100,51.33074028611506,46811581.91132549
3,100,89.5666744987529,81681224.4758827
4,100,66.23446268479967,60403180.5900299
5,100,62.991682382562765,57445894.66560194
6,100,51.067619442828764,46571626.22708212
7,100,73.92045080680232,67412494.31777145
8,100,67.71455514875359,61752965.71345732
9,100,54.81666754596935,49990608.13522221
10,100,76.21881882505517,69508514.01569732
11,100,60.747920658288436,55399673.72353272
12,100,69.09980033057779,63016253.909473725
13,100,82.01020067267783,74790022.60545526
14,100,70.65593450605486,64435386.03214179
15,100,67.27022157939298,61347751.27154322
16,100,68.54513363027029,62510420.06546129
17,100,68.54779772365333,62512849.612062894
18,100,53.918391552216576,49171416.35995943
19,100,71.56620526649988,65265516.55483723
20,100,66.74226015745381,60866271.57319158
21,100,62.18641566863655,56711523.633169785
22,100,65.50620694712488,59739040.487500004
23,100,65.3114253524399,59561407.46441109
24,100,77.14460153077229,70352790.8120031
25,100,59.855390740286396,54585722.13951158
26,100,64.57990660359732,58894291.62621661
27,100,63.430890595406396,57846434.987386815
28,100,62.89524369082728,57357946.436286844
29,100,79.08418475766796,72121613.13160287
30,100,81.00954014363026,73877460.22938505
31,100,91.01048271080363,82997919.81294447
32,100,64.80192800435466,59096766.26285128
33,100,56.23066027858864,51280112.94766169
34,100,62.747558059463046,57223263.04790792
35,100,65.45942405767386,59696376.36363625
36,100,61.42829876850921,56020151.34492966
37,100,69.48447988203552,63367066.273221105
38,100,66.97753029607836,61080828.52881162
39,100,54.881338022274946,50049585.02279386
40,100,75.92141460538201,69237293.26352417
41,100,75.49533690620487,68848727.44498259
42,100,59.664688988672985,54411809.77011021
43,100,61.80206461690226,56361010.84803018
44,100,58.86753150433731,53684834.03069545
45,100,81.78606399806492,74585618.92367528
46,100,59.11751180920843,53912806.06952572
47,100,63.004288655640195,57457391.08239763
48,100,56.354971367909116,51393479.6886784
49,100,76.54307485570008,69804222.54540426
50,100,71.9457963871923,65611688.47326389
51,100,50.359436870732424,45925792.04863314
52,100,65.89940515404672,60097621.524284445
53,100,69.08184543090276,62999879.759166084
54,100,79.80057224502153,72774929.86456983
55,100,74.42243805804327,67870286.61141314
56,100,54.51216757001478,49712916.33715068
57,100,61.66969849789325,56240298.24213873
58,100,56.1652854690501,51220493.736354925
59,100,76.00838675116347,69316608.38159104
60,100,59.559692534350944,54316057.203626685
61,100,61.6738471930829,56244081.68620388
62,100,61.68206739302479,56251578.17974289
63,100,65.25587588412313,59510748.57128493
64,100,57.94893487850855,52847110.65180466
65,100,58.82743415187753,53648266.84914623
66,100,70.17839920852798,63999892.94220918
67,100,58.746805767838666,53574736.98803815
68,100,67.87092451769533,61895568.32315743
69,100,65.8780451062381,60078142.0150849
70,100,87.81293552770983,80081884.68385026
71,100,68.98974270087588,62915885.75349077
72,100,60.13639707775751,54841988.67903174
73,100,69.45985672091585,63344610.93520642
74,100,61.48917067148973,56075664.08557177
75,100,73.67561956197679,67189218.01574035
76,100,87.0148026354305,79354019.4114072
77,100,67.77575471925928,61808777.2737757
78,100,44.17848567322612,40289011.79455529
79,100,63.29729273291541,57724599.08070954
80,100,60.64871737839421,55309204.300400384
81,100,85.9829286817142,78412991.64057608
82,100,70.35632387925236,64162153.12492298
83,100,86.61546962975405,78989843.68355049
84,100,52.774695781304544,48128411.56471849
85,100,68.92386844940293,62855811.0711175
86,100,69.32380567763052,63220537.82577193
87,100,56.66308545408741,51674467.41070955
88,100,75.53966904938,68889156.58627258
89,100,64.90436187367715,59190181.85431861
90,100,57.479533563015195,52419035.42812734
91,100,72.2548631313585,65893544.9812737
92,100,81.01127594071613,73879043.20689549
93,100,75.07278063618409,68463373.02897444
94,100,63.823078687978054,58204094.84028847
95,100,65.96251285592857,60155173.22409262
96,100,77.47546158720861,70654521.94907077
97,100,68.9400578522528,62870575.15894047
98,100,85.43570705886246,77913947.40940021
99,100,53.63344021822223,48911552.14140995
