velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2,capture_cross_section_sample_std_m2,capture_cross_section_disc_cluster_sem_m2,capture_cross_section_t95_lower_m2,capture_cross_section_t95_upper_m2,disc_count,student_t_critical_95
0.0,9972,10000,0.9971999999999996,0.0012531184776638962,8.200542199861268e-06,8.200542199861268e-07,0.0012514913121793798,0.0012547456431484126,100,1.984216951586417
0.25,9971,10000,0.9970999999999997,0.0012529928139577526,8.433561240131147e-06,8.433561240131147e-07,0.0012513194124402615,0.0012546662154752438,100,1.984216951586417
0.5,9970,10000,0.9969999999999996,0.0012528671502516089,8.472245339863083e-06,8.472245339863083e-07,0.0012511860729694734,0.0012545482275337443,100,1.984216951586417
0.75,9970,10000,0.9969999999999996,0.0012528671502516089,8.472245339863083e-06,8.472245339863083e-07,0.0012511860729694734,0.0012545482275337443,100,1.984216951586417
1.0,9967,10000,0.9966999999999996,0.0012524901591331782,8.940348909997813e-06,8.940348909997813e-07,0.0012507161999471468,0.0012542641183192096,100,1.984216951586417
1.25,9966,10000,0.9965999999999996,0.0012523644954270346,8.969738989173015e-06,8.969738989173014e-07,0.0012505847046116723,0.001254144286242397,100,1.984216951586417
1.5,9947,10000,0.9946999999999997,0.0012499768850103064,1.0931057159115729e-05,1.0931057159115729e-06,0.0012478079261189186,0.0012521458439016943,100,1.984216951586417
1.75,9932,10000,0.9931999999999997,0.0012480919294181527,1.3705382643973964e-05,1.3705382643973965e-06,0.0012453724841611376,0.0012508113746751677,100,1.984216951586417
2.0,9909,10000,0.9908999999999999,0.0012452016641768503,1.769011679766718e-05,1.7690116797667182e-06,0.0012416915612143027,0.0012487117671393978,100,1.984216951586417
2.25,9893,10000,0.9892999999999998,0.0012431910448785527,1.9340733915229585e-05,1.9340733915229585e-06,0.0012393534236694807,0.0012470286660876248,100,1.984216951586417
2.5,9876,10000,0.9875999999999998,0.0012410547618741117,2.0295699462016473e-05,2.0295699462016473e-06,0.001237027654782428,0.0012450818689657952,100,1.984216951586417
2.75,9853,10000,0.9852999999999998,0.001238164496632809,2.3319118913221173e-05,2.3319118913221174e-06,0.0012335374775284417,0.0012427915157371763,100,1.984216951586417
3.0,9837,10000,0.9836999999999998,0.0012361538773345115,2.433663841454198e-05,2.4336638414541982e-06,0.0012313249602858352,0.0012409827943831878,100,1.984216951586417
3.25,9816,10000,0.9815999999999999,0.0012335149395054962,2.5618017759079615e-05,2.5618017759079617e-06,0.0012284317689951355,0.001238598110015857,100,1.984216951586417
3.5,9793,10000,0.9793000000000001,0.0012306246742641938,2.7161442461949488e-05,2.7161442461949488e-06,0.0012252352548079398,0.0012360140937204478,100,1.984216951586417
3.75,9770,10000,0.9769999999999999,0.001227734409022891,2.9538329442366898e-05,2.95383294423669e-06,0.0012218733636227821,0.0012335954544229998,100,1.984216951586417
4.0,9759,10000,0.9759,0.0012263521082553116,3.0210812011353574e-05,3.021081201135357e-06,0.0012203576277238998,0.0012323465887867234,100,1.984216951586417
4.25,9735,10000,0.9735,0.0012233361793078654,3.280678808703288e-05,3.280678808703288e-06,0.0012168266008029261,0.0012298457578128047,100,1.984216951586417
4.5,9707,10000,0.9706999999999998,0.0012198175955358446,3.5012008741085515e-05,3.5012008741085515e-06,0.0012128704534105292,0.00122676473766116,100,1.984216951586417
4.75,9675,10000,0.9674999999999998,0.0012157963569392497,3.709665496540897e-05,3.7096654965408966e-06,0.001208435575776298,0.0012231571381022014,100,1.984216951586417
5.0,9657,10000,0.9656999999999999,0.0012135344102286651,3.6702416979864905e-05,3.6702416979864906e-06,0.001206251854435101,0.0012208169660222292,100,1.984216951586417
5.25,9601,10000,0.9601,0.001206497242684624,3.882450015389338e-05,3.882450015389338e-06,0.0011987936195504015,0.0012142008658188467,100,1.984216951586417
5.5,9561,10000,0.9561,0.0012014706944388804,3.908655693743483e-05,3.908655693743483e-06,0.0011937150735534397,0.001209226315324321,100,1.984216951586417
5.75,9505,10000,0.9505,0.0011944335268948393,4.0152643393166026e-05,4.015264339316603e-06,0.001186466371327667,0.0012024006824620118,100,1.984216951586417
6.0,9443,10000,0.9443000000000001,0.0011866423771139368,4.066108984666903e-05,4.066108984666902e-06,0.0011785743347395628,0.0011947104194883107,100,1.984216951586417
6.25,9414,10000,0.9414000000000001,0.0011829981296357726,4.2305461446887336e-05,4.230546144688734e-06,0.0011746038082610126,0.0011913924510105326,100,1.984216951586417
6.5,9364,10000,0.9364000000000001,0.0011767149443285931,4.303441046247825e-05,4.303441046247825e-06,0.0011681759836544754,0.0011852539050027108,100,1.984216951586417
6.75,9308,10000,0.9308000000000001,0.0011696777767845519,4.3298985415345315e-05,4.3298985415345315e-06,0.0011610863186997898,0.001178269234869314,100,1.984216951586417
7.0,9244,10000,0.9244000000000001,0.001161635299591362,4.426949744755753e-05,4.426949744755753e-06,0.0011528512708639965,0.0011704193283187275,100,1.984216951586417
7.25,9191,10000,0.9191,0.0011549751231657516,4.4869851711003374e-05,4.486985171100337e-06,0.0011460719711277375,0.0011638782752037657,100,1.984216951586417
7.5,9102,10000,0.9101999999999999,0.0011437910533189718,4.31994058415903e-05,4.31994058415903e-06,0.0011352193539820373,0.0011523627526559062,100,1.984216951586417
7.75,9022,10000,0.9022,0.0011337379568274845,4.3844449453511364e-05,4.3844449453511364e-06,0.0011250382668436215,0.0011424376468113476,100,1.984216951586417
8.0,8926,10000,0.8925999999999998,0.0011216742410376996,4.388226897105319e-05,4.3882268971053195e-06,0.0011129670468410559,0.0011303814352343433,100,1.984216951586417
8.25,8811,10000,0.8811,0.0011072229148311867,4.479157518122738e-05,4.479157518122738e-06,0.0010983352945549017,0.0011161105351074716,100,1.984216951586417
8.5,8706,10000,0.8705999999999998,0.0010940282256861093,4.574036153548795e-05,4.574036153548795e-06,0.0010849523456130687,0.0011031041057591499,100,1.984216951586417
8.75,8579,10000,0.8578999999999999,0.0010780689350058732,4.689319552852423e-05,4.689319552852423e-06,0.0010687643076576978,0.0010873735623540487,100,1.984216951586417
9.0,8305,10000,0.8305,0.0010436370795225292,5.58961340100918e-05,5.589613401009181e-06,0.001032546073859432,0.0010547280851856264,100,1.984216951586417
9.25,8143,10000,0.8143,0.0010232795591272675,6.492329998511467e-05,6.4923299985114676e-06,0.001010397367888928,0.001036161750365607,100,1.984216951586417
9.5,7987,10000,0.7986999999999997,0.0010036760209688668,7.232417750575984e-05,7.232417750575984e-06,0.0009893253350672195,0.0010180267068705142,100,1.984216951586417
9.75,7846,10000,0.7846,0.0009859574384026206,7.75963942486324e-05,7.75963942486324e-06,0.0009705606303176087,0.0010013542464876325,100,1.984216951586417
10.0,7795,10000,0.7795000000000001,0.0009795485893892976,7.944408588474205e-05,7.944408588474205e-06,0.0009637851591977184,0.0009953120195808768,100,1.984216951586417
10.25,7571,10000,0.7571000000000002,0.0009513999192131331,9.072812691959543e-05,9.072812691959543e-06,0.0009333974904711786,0.0009694023479550877,100,1.984216951586417
10.5,7362,10000,0.7361999999999999,0.000925136204629122,9.764595083540129e-05,9.76459508354013e-06,0.0009057611295389843,0.0009445112797192598,100,1.984216951586417
10.75,7232,10000,0.7232,0.0009087999228304552,0.0001025710234739303,1.0257102347393029e-05,0.0008884476064786012,0.0009291522391823093,100,1.984216951586417
11.0,6997,10000,0.6997000000000001,0.0008792689518867114,0.00010856315475586532,1.0856315475586532e-05,0.0008577276666882827,0.0009008102370851401,100,1.984216951586417
11.25,6885,10000,0.6885000000000001,0.0008651946167986291,0.00011253000277934279,1.1253000277934279e-05,0.0008428662228909452,0.000887523010706313,100,1.984216951586417
11.5,6686,10000,0.6686000000000001,0.0008401875392760544,0.00011690497931534292,1.1690497931534292e-05,0.0008169910551078181,0.0008633840234442907,100,1.984216951586417
11.75,6470,10000,0.647,0.0008130441787490384,0.00012147491593880535,1.2147491593880534e-05,0.0007889409200092072,0.0008371474374888697,100,1.984216951586417
12.0,6371,10000,0.6371,0.0008006034718408228,0.0001243532070432464,1.243532070432464e-05,0.0007759290977008884,0.0008252778459807573,100,1.984216951586417
12.25,6156,10000,0.6156,0.0007735857750199507,0.00012709397189036265,1.2709397189036265e-05,0.0007483675736730202,0.0007988039763668812,100,1.984216951586417
12.5,6006,10000,0.6005999999999998,0.0007547362190984116,0.00012542001228741436,1.2542001228741436e-05,0.0007298501676535252,0.000779622270543298,100,1.984216951586417
12.75,5795,10000,0.5795000000000001,0.0007282211771021143,0.00012515972335791587,1.2515972335791587e-05,0.0007033867726278499,0.0007530555815763786,100,1.984216951586417
13.0,5576,10000,0.5576,0.0007007008254566674,0.00012536022359155,1.2536022359155e-05,0.0006758266373861657,0.0007255750135271691,100,1.984216951586417
13.25,5472,10000,0.5472,0.000687631800017734,0.00012409363686781912,1.2409363686781912e-05,0.0006630089302320204,0.0007122546698034476,100,1.984216951586417
13.5,5268,10000,0.5268000000000002,0.0006619964039644414,0.00012256488896570785,1.2256488896570786e-05,0.000637676870928935,0.0006863159369999479,100,1.984216951586417
13.75,5148,10000,0.5147999999999999,0.0006469167592272102,0.000119915181399032,1.19915181399032e-05,0.0006231229856587582,0.0006707105327956621,100,1.984216951586417
14.0,4948,10000,0.49479999999999996,0.0006217840179984918,0.00011629567398272674,1.1629567398272674e-05,0.0005987084332272224,0.0006448596027697612,100,1.984216951586417
14.25,4768,10000,0.4768,0.0005991645508926453,0.00011255133379544914,1.1255133379544913e-05,0.0005768319244485861,0.0006214971773367045,100,1.984216951586417
14.5,4655,10000,0.4655,0.0005849645520984195,0.00011227456690025496,1.1227456690025496e-05,0.0005626868422108686,0.0006072422619859704,100,1.984216951586417
14.75,4477,10000,0.4477,0.0005625964124048601,0.00011218189885448081,1.121818988544808e-05,0.0005403370898680387,0.0005848557349416815,100,1.984216951586417
15.0,4381,10000,0.43810000000000004,0.0005505326966150754,0.00011333958869559708,1.1333958869559708e-05,0.0005280436632975118,0.0005730217299326389,100,1.984216951586417
15.25,4189,10000,0.41890000000000005,0.0005264052650355058,0.00011225353853399501,1.1225353853399502e-05,0.0005041317276320346,0.000548678802438977,100,1.984216951586417
15.5,4009,10000,0.4009,0.0005037857979296592,0.00010747989263491182,1.0747989263491182e-05,0.00048245945543757114,0.0005251121404217471,100,1.984216951586417
15.75,3934,10000,0.3934000000000001,0.00049436101996889,0.00010709519848503256,1.0709519848503256e-05,0.0004731110091421386,0.0005156110307956413,100,1.984216951586417
16.0,3787,10000,0.3787,0.00047588845516578185,0.00010181831200428075,1.0181831200428075e-05,0.000455685493099701,0.0004960914172318627,100,1.984216951586417
16.25,3710,10000,0.371,0.0004662123497927253,9.990226718096818e-05,9.990226718096819e-06,0.00044638957258848606,0.00048603512699696454,100,1.984216951586417
16.5,3579,10000,0.35789999999999994,0.00044975040428791473,9.412787855278578e-05,9.412787855278578e-06,0.00043107339106378424,0.0004684274175120452,100,1.984216951586417
16.75,3445,10000,0.3445,0.00043291146766467344,9.184780584525517e-05,9.184780584525517e-06,0.00041468687033225613,0.00045113606499709076,100,1.984216951586417
17.0,3374,10000,0.33740000000000003,0.0004239893445284785,9.059309256221258e-05,9.059309256221257e-06,0.00040601370953262053,0.00044196497952433646,100,1.984216951586417
17.25,3284,10000,0.32839999999999997,0.0004126796109755552,8.593231200331461e-05,8.593231200331462e-06,0.0003956287759589562,0.0004297304459921542,100,1.984216951586417
17.5,3213,10000,0.32130000000000003,0.00040375748783936025,8.311930453280604e-05,8.311930453280604e-06,0.0003872648145335535,0.000420250161145167,100,1.984216951586417
17.75,3096,10000,0.30960000000000004,0.00038905483422056004,7.885046716872389e-05,7.885046716872388e-06,0.000373409190860891,0.0004047004775802291,100,1.984216951586417
18.0,3005,10000,0.30050000000000004,0.0003776194369614932,7.582804200235829e-05,7.582804200235829e-06,0.0003625735083268246,0.0003926653655961618,100,1.984216951586417
18.25,2958,10000,0.29579999999999995,0.00037171324277274426,7.506279746983251e-05,7.5062797469832516e-06,0.0003568191552554303,0.00038660733029005824,100,1.984216951586417
18.5,2877,10000,0.2877,0.0003615344825751134,7.298719025770955e-05,7.298719025770956e-06,0.00034705224055931236,0.0003760167245909144,100,1.984216951586417
18.75,2831,10000,0.28309999999999996,0.0003557539520925081,7.143743593168176e-05,7.143743593168176e-06,0.00034157921495715695,0.0003699286892278593,100,1.984216951586417
19.0,2736,10000,0.2736,0.000343815900008867,6.989861987881931e-05,6.989861987881931e-06,0.00032994649736326214,0.00035768530265447185,100,1.984216951586417
19.25,2641,10000,0.2641,0.00033187784792522575,6.808544318754743e-05,6.808544318754744e-06,0.0003183682188723252,0.0003453874769781263,100,1.984216951586417
19.5,2610,10000,0.26099999999999995,0.00032798227303477436,6.823533282650724e-05,6.823533282650724e-06,0.0003144429026256247,0.000341521643443924,100,1.984216951586417
19.75,2542,10000,0.2542,0.00031943714101701013,6.716756589080305e-05,6.716756589080305e-06,0.00030610963873327725,0.000332764643300743,100,1.984216951586417
20.0,2512,10000,0.2512,0.0003156672298327024,6.731227210673438e-05,6.731227210673438e-06,0.00030231101469630443,0.00032902344496910037,100,1.984216951586417
20.25,2444,10000,0.2444,0.0003071220978149382,6.659853097763499e-05,6.659853097763499e-06,0.0002939075044032805,0.0003203366912265958,100,1.984216951586417
20.5,2364,10000,0.23640000000000003,0.00029706900132345085,6.55654240551621e-05,6.556542405516211e-06,0.0002840593987386304,0.0003100786039082713,100,1.984216951586417
20.75,2342,10000,0.23420000000000002,0.00029430439978829183,6.415528183915809e-05,6.415528183915809e-06,0.0002815746000123857,0.000307034199564198,100,1.984216951586417
21.0,2281,10000,0.22810000000000002,0.00028663891371353276,6.19934517857624e-05,6.199345178576239e-06,0.00027433806792146625,0.0002989397595055993,100,1.984216951586417
21.25,2247,10000,0.22470000000000004,0.00028236634770465065,6.203871994645889e-05,6.203871994645889e-06,0.00027005651972740203,0.00029467617568189927,100,1.984216951586417
21.5,2187,10000,0.21869999999999998,0.0002748265253360351,6.196668687405596e-05,6.196668687405596e-06,0.0002625309902831201,0.00028712206038895003,100,1.984216951586417
21.75,2140,10000,0.21399999999999997,0.00026892033114728626,6.117250577358338e-05,6.117250577358338e-06,0.00025678237885459006,0.00028105828343998247,100,1.984216951586417
22.0,2114,10000,0.2114,0.0002656530747875529,6.122515509528896e-05,6.1225155095288955e-06,0.00025350467572719495,0.0002778014738479109,100,1.984216951586417
22.25,2066,10000,0.20660000000000003,0.00025962121689266054,6.020582048470233e-05,6.020582048470233e-06,0.000247675075933669,0.0002715673578516521,100,1.984216951586417
22.5,2055,10000,0.20550000000000002,0.000258238916125081,5.9650998474686774e-05,5.9650998474686776e-06,0.0002464028638898281,0.0002700749683603339,100,1.984216951586417
22.75,2017,10000,0.20169999999999996,0.00025346369529162446,5.958892860805608e-05,5.958892860805608e-06,0.0002416399590645267,0.00026528743151872224,100,1.984216951586417
23.0,1973,10000,0.1973,0.00024793449222130647,6.040776280895036e-05,6.040776280895035e-06,0.0002359482815240134,0.00025992070291859954,100,1.984216951586417
23.25,1957,10000,0.19569999999999999,0.000245923872923009,6.1022519665490625e-05,6.1022519665490625e-06,0.0002338156811281308,0.0002580320647178872,100,1.984216951586417
