disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,100,73.17643082323227,66733977.8535549
1,100,64.46702271909004,58791346.03890135
2,100,95.62440142730472,87205629.12564482
3,100,88.50933047688054,80716969.02169597
4,100,73.98246110596017,67469045.23019144
5,100,41.59282947913048,37930996.77178783
6,100,60.69045048306127,55347263.222532555
7,100,42.67990668851161,38922367.70365505
8,100,70.77419542596633,64543235.26066425
9,100,57.607158551530084,52535424.31265338
10,100,63.209821961212405,57644829.23574726
11,100,96.43821983686917,87947798.9624312
12,100,65.06366920419424,59335463.76745698
13,100,59.526771242663294,54286034.30245922
14,100,58.27060350303172,53140459.570624806
15,100,69.30052733865762,63199308.9117622
16,100,50.5020886020519,46055884.72152725
17,100,114.62262422531705,104531248.38852014
18,100,65.77679886275452,59985809.49087761
19,100,65.61304128720462,59836469.13227913
20,100,60.4208017162539,55101354.3331549
21,100,43.7128063440407,39864330.87351136
22,100,66.41432124505928,60567204.40264426
23,100,64.90299477438298,59188935.1144463
24,100,77.47337281703284,70652617.07422127
25,100,99.8970313578829,91102096.71713488
26,100,83.39212935667769,76050286.28811578
27,100,55.107972744367004,50256266.823952936
28,100,69.14842890228067,63060601.22172388
29,100,105.76224777367356,96450939.47967935
30,100,59.70471934714609,54448315.855823345
31,100,75.78432246540231,69112270.71554829
32,100,102.13881801228379,93146516.47448233
33,100,84.48219260781157,77044380.37061983
34,100,91.50366978053125,83447686.69305328
35,100,57.7711407793964,52684969.54517834
36,100,71.33828624988513,65057663.528445244
37,100,57.972634870865704,52868724.09683469
38,100,48.233290720486735,43986831.80545508
39,100,67.37455983328633,61442903.5855638
40,100,54.93572094112021,50099180.06946398
41,100,86.34951574865201,78747304.38214068
42,100,59.56640545836073,54322179.12180665
43,100,79.02598898640497,72068540.91604188
44,100,70.93183351985553,64686994.89676745
45,100,65.91476814306333,60111631.95574803
46,100,58.302779857940834,53169803.11924772
47,100,63.644319642945106,58041073.74158022
48,100,81.1866646358194,74038990.68128186
49,100,64.32552679594627,58662307.416831166
50,100,64.37841865729665,58710542.678708255
51,100,87.54470806276473,79837271.96491893
52,100,59.654208564174226,54402252.04218433
53,100,54.0333596677511,49276262.682602294
54,100,74.65351802734553,68081022.30021803
55,100,60.69344140080871,55349990.81988151
56,100,97.89173561980694,89273347.21583913
57,100,66.6177629848625,60752735.1316752
58,100,45.23336977999449,41251023.90456378
59,100,68.03912782173293,62048963.00830757
60,100,78.98382480759446,72030088.87153384
61,100,73.18715791980156,66743760.53654224
62,100,63.76224253096999,58148614.69854339
63,100,72.15210530622248,65799833.95506265
64,100,95.23739335741482,86852693.24622801
65,100,65.30693551304412,59557312.910475716
66,100,72.47844859656733,66097445.98212554
67,100,50.40373987700515,45966194.61823362
68,100,73.81252604228862,67314071.24952553
69,100,63.12660117586961,57568935.20834605
70,100,59.77538741741104,54512762.309182175
71,100,44.25019691481002,40354409.578430146
72,100,67.29302845375884,61368550.22868991
73,100,63.21393806076671,57648582.953896806
74,100,70.13462946890817,63959976.690465495
75,100,60.137618572662696,54843102.63352547
76,100,58.91643555020093,53729432.56436124
77,100,86.81560450809792,79172358.68720497
78,100,56.046819286103684,51112457.31615511
79,100,67.69209669307992,61732484.50022116
80,100,61.573753343103775,56152800.09877692
81,100,57.533542083907136,52468289.03883995
82,100,87.2818252267973,79597533.33383006
83,100,70.80263790121259,64569173.66038983
84,100,58.74170712057533,53570087.225679874
85,100,76.145046732649,69441236.8183066
86,100,58.391447743124246,53250664.683819585
87,100,78.07411344622969,71200468.49842362
88,100,53.21269401674657,48527848.4355122
89,100,71.02758093399683,64774312.708567746
90,100,50.52141437286829,46073509.05148097
91,100,66.30383138109299,60466442.06630156
92,100,78.79631189397395,71859084.59482849
93,100,58.68268796969178,53516264.12084011
94,100,67.53691560501849,61590965.55515266
95,100,70.92898962648385,64684401.379768215
96,100,64.83239802661168,59124553.704348795
97,100,66.6266439602224,60760834.22596441
98,100,80.38841268035503,73311016.82797657
99,100,88.53909480602587,80744112.89930336
