disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,83.67193569927846,76305458.48031399
1,25,87.58814834179331,79876887.76178183
2,25,78.4563309220539,71549035.54767627
3,25,88.83358439983891,81012675.6292771
4,25,74.49801961580623,67939213.96883065
5,25,87.44521890986867,79746541.83704384
6,25,62.405723965102226,56911524.027214624
7,25,42.38805502818507,38656210.663503654
8,25,92.94388048901126,84761101.25075871
9,25,69.78131941260489,63637772.051519156
10,25,42.386406927938744,38654707.66200302
11,25,71.82700447072828,65503354.997125365
12,25,86.17039074244107,78583949.54147656
13,25,109.81377196130552,100145767.47783218
14,25,64.15992327770957,58511283.632340014
15,25,41.54762163777019,37889769.02878091
16,25,78.03682848398265,71166466.10425282
17,25,54.82819746613413,50001122.96121568
18,25,127.93313651513918,116669903.17634633
19,25,62.294115832640486,56809741.87473482
20,25,90.59911170599482,82622765.91139904
21,25,96.80247589464852,88279985.91688366
22,25,51.80837793635942,47247168.34284234
23,25,91.40500100862533,83357704.71982595
24,25,72.15036633704125,65798248.08472814
