disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,81.99076914141364,74772301.82620358
1,25,88.97912369141262,81145401.64162065
2,25,77.8196660433732,70968422.64491463
3,25,89.71391634928256,81815503.15389171
4,25,73.96165725404549,67450072.94939932
5,25,86.28678381077489,78690095.36407427
6,25,61.01614929441689,55644287.510536425
7,25,41.23589746623536,37605489.053307995
8,25,85.68517585712252,78141452.97466145
9,25,66.94538289896275,61051511.38853807
10,25,41.4952501014111,37842008.28248287
11,25,70.48537935226436,64279846.55409101
12,25,86.64494894101024,79016727.6362437
13,25,101.0076715535894,92114956.15001139
14,25,53.64315325881595,48920410.04590979
15,25,37.87095631793511,34536797.3237041
16,25,77.43438136498177,70617058.42960878
17,25,54.90842294900962,50074285.39257881
18,25,131.58578335358047,120000970.98713124
19,25,61.85760942982807,56411665.495626
20,25,89.17853293109879,81327254.89184485
21,25,99.02168559313259,90303816.39351319
22,25,49.46374885991348,45108960.410286695
23,25,86.84734140191043,79201301.46488623
24,25,69.21316386697313,63119636.92012482
