disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,82.78348988786797,75495231.43814008
1,25,87.70145328835086,79980217.34084445
2,25,77.9429684612477,71080869.51791945
3,25,89.67321310713068,81778383.4251789
4,25,74.43928653530611,67885651.74873775
5,25,87.13315779006085,79461954.5782239
6,25,61.958360431361214,56503546.378984176
7,25,42.193671583920306,38478940.737671964
8,25,92.6876979852832,84527473.05465886
9,25,68.17706923942174,62174760.06358305
10,25,42.368207973478356,38638110.94349332
11,25,71.71553602498194,65401700.233342536
12,25,86.1478184493316,78563364.51305245
13,25,102.66047372002865,93622245.61371733
14,25,64.49433561500965,58816254.3074642
15,25,39.011236086133096,35576686.861109935
16,25,77.41571754230135,70600037.76987714
17,25,55.0098192963417,50166754.80549178
18,25,129.9551605118141,118513908.180354
19,25,62.29966082202259,56814798.683251716
20,25,89.72057060290675,81821571.56702684
21,25,97.94046719931893,89317788.46709089
22,25,50.83109151776261,46355922.22053879
23,25,91.54828433683232,83488373.38381761
24,25,71.18858250392827,64921139.700282425
