disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,21.618100774250376,19714843.182085373
1,25,37.82552212902875,34495363.16078906
2,25,23.000659902586712,20975681.804762978
3,25,27.283166307161192,24881156.34547872
4,25,32.35877719854486,29509910.45398497
5,25,27.445619097182337,25029306.791866403
6,25,21.14844565062956,19286536.495548137
7,25,13.940587153202472,12713257.860234527
8,25,30.346642874811153,27674924.43611278
9,25,24.807455730125312,22623407.32764508
10,25,14.680874689764885,13388370.482077984
11,25,20.10160318693462,18331858.042356897
12,25,36.12737331592545,32946719.369191375
13,25,30.633690089735282,27936700.014234986
14,25,13.621943676544982,12422667.755261961
15,25,13.67551375188671,12471521.521170603
16,25,32.062311210176105,29239545.3312322
17,25,24.11426169543603,21991242.095769845
18,25,53.12715786185913,48449842.883701056
19,25,25.943029647234088,23659005.3170916
20,25,36.830234575544374,33587700.72351345
21,25,54.333482657003884,49549962.843881264
22,25,15.150272438726475,13816442.453220995
23,25,31.55653196633066,28778294.89201491
24,25,21.259117728347388,19387465.003543682
