point_index,detuning_n,detuning_rad_per_s,detuning_hz,detuning_mhz,cooling_power_w_per_beam,requested_ensemble_count,temperature_ensemble_count,valid_temperature_ensemble_count,requested_atom_count,complete_atom_count,trapped_atom_count,complete_outside_core_count,escaped_atom_count,other_incomplete_atom_count,failed_atom_count,duration_complete_fraction,trapped_fraction,trapped_fraction_sem,trapped_fraction_ci_low,trapped_fraction_ci_high,trapped_fraction_pooled_wilson_low,trapped_fraction_pooled_wilson_high,minimum_survivors_per_ensemble,median_survivors_per_ensemble,maximum_survivors_per_ensemble,initial_temperature_mean_k,plateau_temperature_x_k,plateau_temperature_y_k,plateau_temperature_z_k,plateau_temperature_mean_k,temperature_sem_k,temperature_ci_low_k,temperature_ci_high_k,final_temperature_mean_k,final_temperature_sem_k,cooling_beam_center_on_resonance_saturation_parameter,cooling_beam_center_effective_saturation_parameter,doppler_temperature_k,plateau_over_doppler,stationarity_pass_count,statistics_pass_count,plateau_max_radius_median_m,plateau_max_radius_p90_m,plateau_max_radius_max_m,valid,quality_status,termination_counts_json,boundedness_counts_json,point_wall_time_s
0,-0.5,-19069467.407290045,-3035000.0,-3.035,0.027,25,25,18,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0006749675022299413,0.000679147895185261,0.000717672788553819,0.0006905960619896738,3.393027640194376e-06,0.0006835931971235125,0.0006975989268558351,0.0006955592277386848,2.329172708356901e-05,25.54112954704834,12.77056477352417,0.0010757182773953639,0.6419859888053717,18,25,0.0004979630588206689,0.0008883031376846786,0.0013217494773959258,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",231.40220860001864
1,-0.75,-28604201.11093507,-4552500.000000001,-4.552500000000001,0.027,25,25,21,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0006059633101237101,0.0006063452042911557,0.0006602484358194384,0.0006241856500781013,4.106956652705001e-06,0.0006157093081499149,0.0006326619920062878,0.0006167166132724318,1.9997565902976465e-05,25.54112954704834,7.858809091399489,0.0005393587026152704,1.1572737160845235,21,25,0.0003355826039794976,0.0005101126481889678,0.0007832789477407245,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",240.73899909999454
2,-1.0,-38138934.81458009,-6070000.0,-6.07,0.027,25,25,20,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.000581416518714292,0.0005779608711149952,0.0006576678926614644,0.0006056817608302506,2.652714985271676e-06,0.0006002068261877394,0.0006111566954727619,0.0005992233971559671,2.2019585556519854e-05,25.54112954704834,5.108225909409668,0.0003680835340258616,1.6455008302210425,20,25,0.00028819037539275076,0.00046242993100548434,0.000797919119796145,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",228.69462500000373
3,-1.25,-47673668.51822511,-7587500.0,-7.5875,0.027,25,25,21,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0005740711277485274,0.0005742675455608568,0.0006404453499876781,0.0005962613410990208,3.7518945188214765e-06,0.0005885178113982451,0.0006040048707997965,0.0006227917757766116,1.8006864188401276e-05,25.54112954704834,3.5229144202825293,0.0003138301377205638,1.8999492701046303,21,25,0.00029633044180395836,0.0004543692522704758,0.0006306149836476543,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",229.10273880002205
4,-1.5,-57208402.22187014,-9105000.000000002,-9.105000000000002,0.027,25,25,22,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0005878798699920973,0.0005850750297907516,0.000666743533505445,0.0006132328110960979,3.711282426571059e-06,0.0006055731006341025,0.0006208925215580932,0.0005981015019342003,1.971378812607351e-05,25.54112954704834,2.554112954704834,0.0003047657953262263,2.012144474545391,22,25,0.00030333272724119973,0.0004445220398521823,0.0007061652337817493,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",226.36719750001794
5,-1.75,-66743135.92551516,-10622500.0,-10.6225,0.027,25,25,20,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0006110209142995514,0.0006028584929645051,0.0006595268410213642,0.0006244687494284736,2.765702543250536e-06,0.0006187606199275678,0.0006301768789293793,0.000635159396457456,2.273637301700479e-05,25.54112954704834,1.9276324186451577,0.0003158184025490334,1.9773032362530545,20,25,0.0003234861267983082,0.0004739218869568045,0.0006692596062938522,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",226.08672780002235
6,-2.0,-76277869.62916018,-12140000.0,-12.14,0.027,25,25,21,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0006311418896001933,0.0006287312385207278,0.0006952034568800323,0.0006516921950003178,3.489715674002607e-06,0.0006444897758402531,0.0006588946141603825,0.0006340508371039777,2.0104075833343934e-05,25.54112954704834,1.5024193851204906,0.000336875925426438,1.9345169714201638,21,25,0.000321221230757618,0.0004826794547709006,0.0006781244058978322,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",225.145666299999
7,-2.25,-85812603.3328052,-13657500.0,-13.6575,0.027,25,25,15,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0006656028323132166,0.0006549345200921827,0.0006970404641458967,0.0006725259388504321,4.058281339965929e-06,0.0006641500578301945,0.0006809018198706697,0.0006468083210618523,2.28143594881917e-05,25.54112954704834,1.2019355080963925,0.00036336468674588344,1.8508291074546779,15,25,0.0003493817997956621,0.0004904772323353965,0.0007659727735609672,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",227.8136688999948
8,-2.5,-95347337.03645022,-15175000.0,-15.175,0.027,25,25,21,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0007103362734968279,0.0007098721074029679,0.0007257676095263634,0.000715325330142053,4.0748899778363765e-06,0.000706915170578004,0.0007237354897061019,0.0007312632079931624,2.3300430927010364e-05,25.54112954704834,0.9823511364249361,0.00039301690530587046,1.8200879414724969,21,25,0.00038079313272650506,0.0005329028120398439,0.0007668871895771736,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",228.0982169000199
9,-2.75,-104882070.74009524,-16692500.0,-16.6925,0.027,25,25,16,625,625,625,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9938912125356713,1.0,25,25.0,25,0.002039414844686413,0.0007303065065683304,0.0007300327687381938,0.0007564365545092739,0.000738925276605266,6.0396552890901e-06,0.0007264600407413839,0.0007513905124691482,0.0007190954338663748,2.0575191010387803e-05,25.54112954704834,0.8173161455055469,0.0004246209036030389,1.7401999532648014,16,25,0.0004015203130500175,0.0005844836202174135,0.0007615685895087095,False,nonstationary,"{""duration"": 625}","{""complete_final_plateau_core"": 625}",226.40004149999004
