point_index,deterministic_evaluation_count,detuning_n,detuning_rad_per_s,detuning_hz,detuning_mhz,linewidth_rad_per_s,model_state_count,cooling_power_w_per_beam,repump_power_w_per_beam,restoring_slope_x_n_per_m,restoring_slope_x_coarse_n_per_m,restoring_slope_x_relative_change,restoring_slope_x_numerical_uncertainty_n_per_m,restoring_slope_x_converged,turnaround_velocity_x_m_per_s,turnaround_velocity_x_coarse_m_per_s,turnaround_velocity_x_absolute_change_m_per_s,turnaround_velocity_x_numerical_uncertainty_m_per_s,turnaround_force_x_n,turnaround_x_interior,turnaround_x_converged,restoring_slope_y_n_per_m,restoring_slope_y_coarse_n_per_m,restoring_slope_y_relative_change,restoring_slope_y_numerical_uncertainty_n_per_m,restoring_slope_y_converged,turnaround_velocity_y_m_per_s,turnaround_velocity_y_coarse_m_per_s,turnaround_velocity_y_absolute_change_m_per_s,turnaround_velocity_y_numerical_uncertainty_m_per_s,turnaround_force_y_n,turnaround_y_interior,turnaround_y_converged,restoring_slope_z_n_per_m,restoring_slope_z_coarse_n_per_m,restoring_slope_z_relative_change,restoring_slope_z_numerical_uncertainty_n_per_m,restoring_slope_z_converged,turnaround_velocity_z_m_per_s,turnaround_velocity_z_coarse_m_per_s,turnaround_velocity_z_absolute_change_m_per_s,turnaround_velocity_z_numerical_uncertainty_m_per_s,turnaround_force_z_n,turnaround_z_interior,turnaround_z_converged,all_converged,point_wall_time_s
0,1,-0.5,-19069467.407290045,-3035000.0,-3.035,38138934.81458009,24,0.027,0.0001,-3.4108084727484663e-19,-3.410835521759969e-19,7.930381233341769e-06,2.704901150280754e-24,True,3.5130196572687495,3.5177183668846825,0.004698709615932994,0.004698709615932994,-8.443900204786884e-21,True,True,-3.4108084727484447e-19,-3.410835521759969e-19,7.930381239694187e-06,2.704901152447425e-24,True,3.5130196572687353,3.517718366884674,0.004698709615938768,0.004698709615938768,-8.443900204786884e-21,True,True,-6.821390178008844e-19,-6.820764296205698e-19,9.175282263781452e-05,6.258818031461754e-23,True,4.270349783982034,4.274949489976493,0.0045997059944582475,0.0045997059944582475,-2.4398753455523874e-21,True,True,True,1.3708451999991667
1,1,-0.55,-20976414.148019053,-3338500.000000001,-3.3385000000000007,38138934.81458009,24,0.027,0.0001,-3.6128914580872137e-19,-3.612929003389691e-19,1.039203721250387e-05,3.754530247717969e-24,True,3.64781790587266,3.649582849727236,0.0017649438545759288,0.0017649438545759288,-9.092216395649423e-21,True,True,-3.6128914580870755e-19,-3.612929003389691e-19,1.0392037250752157e-05,3.7545302615365166e-24,True,3.6478179058726368,3.649582849727226,0.0017649438545892515,0.0017649438545892515,-9.092216395649423e-21,True,True,-7.225548994277047e-19,-7.224922654440296e-19,8.668404812528196e-05,6.263398367514942e-23,True,4.3901466712580035,4.391291682901797,0.0011450116437936586,0.0011450116437936586,-2.6615019312669177e-21,True,True,True,2.1026867000036873
2,1,-0.6,-22883360.888748053,-3642000.0,-3.6420000000000003,38138934.81458009,24,0.027,0.0001,-3.7904307487350164e-19,-3.7904793897156673e-19,1.2832573360478e-05,4.8640980650953655e-24,True,3.7914879557668275,3.7955761850469596,0.004088229280132083,0.004088229280132083,-9.700162583708827e-21,True,True,-3.790430748735009e-19,-3.7904793897156673e-19,1.2832573362383413e-05,4.864098065817589e-24,True,3.7914879557668333,3.795576185046951,0.004088229280117872,0.004088229280117872,-9.700162583708834e-21,True,True,-7.580622538771952e-19,-7.580003290310255e-19,8.168833872540492e-05,6.192484616966422e-23,True,4.517810878808629,4.522104425926713,0.004293547118083829,0.004293547118083829,-2.8778533009363467e-21,True,True,True,2.1683764999907
3,1,-0.65,-24790307.62947706,-3945500.0000000005,-3.945500000000001,38138934.81458009,24,0.027,0.0001,-3.94500594719451e-19,-3.9450660689045737e-19,1.5239954227766027e-05,6.0121710063509094e-24,True,3.9435476518084713,3.947670870486381,0.004123218677909879,0.004123218677909879,-1.026881547105828e-20,True,True,-3.945005947194518e-19,-3.9450660689044952e-19,1.5239954205919295e-05,6.012170997732373e-24,True,3.9435476518084682,3.947670870486372,0.004123218677903662,0.004123218677903662,-1.0268815471058286e-20,True,True,-7.889769766522248e-19,-7.889163980576042e-19,7.678119439891252e-05,6.057859462060073e-23,True,4.652753083031142,4.654697937110539,0.0019448540793973734,0.0019448540793973734,-3.0888395563197296e-21,True,True,True,2.075636899971869
4,1,-0.7,-26697254.37020606,-4249000.0,-4.2490000000000006,38138934.81458009,24,0.027,0.0001,-4.0782485624581993e-19,-4.078320368797301e-19,1.760715120764836e-05,7.180633910157607e-24,True,4.104395013528189,4.105497685834135,0.001102672305946406,0.001102672305946406,-1.0800182730252111e-20,True,True,-4.078248562458201e-19,-4.0783203687973765e-19,1.7607151225711698e-05,7.18063391752429e-24,True,4.104395013528166,4.1054976858341234,0.0011026723059570642,0.0011026723059570642,-1.0800182730252105e-20,True,True,-8.156253465035069e-19,-8.15566645930796e-19,7.197002025812762e-05,5.870057271089975e-23,True,4.794353135874704,4.7982653400088395,0.003912204134135955,0.003912204134135955,-3.2944205061914695e-21,True,True,True,2.1906885000062175
5,1,-0.75,-28604201.11093507,-4552500.000000001,-4.552500000000001,38138934.81458009,24,0.027,0.0001,-4.191780149407268e-19,-4.191863694321589e-19,1.993065269244124e-05,8.35449143209057e-24,True,4.271624358790128,4.275003302013757,0.0033789432236286387,0.0033789432236286387,-1.1296027599941043e-20,True,True,-4.1917801494072294e-19,-4.1918636943215883e-19,1.9930652701515635e-05,8.354491435894282e-24,True,4.27162435879009,4.275003302013752,0.0033789432236615013,0.0033789432236615013,-1.1296027599941053e-20,True,True,-8.383316532553757e-19,-8.382752690526394e-19,6.725763308270208e-05,5.638420273626508e-23,True,4.942283435766381,4.9462423276429615,0.003958891876580495,0.003958891876580495,-3.4945688799952926e-21,True,True,True,2.1932981999998447
6,1,-0.8,-30511147.851664074,-4856000.000000001,-4.856000000000001,38138934.81458009,24,0.027,0.0001,-4.2871731203402544e-19,-4.2872683354006245e-19,2.2209287494918663e-05,9.521506037012423e-24,True,4.444878854277209,4.44823773874987,0.0033588844726608613,0.0033588844726608613,-1.1758263554035404e-20,True,True,-4.2871731203402544e-19,-4.2872683354006255e-19,2.2209287495143276e-05,9.52150603710872e-24,True,4.444878854277228,4.44823773874987,0.0033588844726422096,0.0033588844726422096,-1.1758263554035409e-20,True,True,-8.574103599788057e-19,-8.573566478756697e-19,6.264456979194456e-05,5.371210313602861e-23,True,5.0970510656754024,5.0986043521513835,0.001553286475981075,0.001553286475981075,-3.6893880461177255e-21,True,True,True,2.2001789000059944
7,1,-0.8500000000000001,-32418094.59239308,-5159500.000000001,-5.159500000000001,38138934.81458009,24,0.027,0.0001,-4.365927765229108e-19,-4.366034483094126e-19,2.444334188655944e-05,1.0671786501751752e-23,True,4.625204196565206,4.62521541452888,1.1217963674425846e-05,1.1217963674425846e-05,-1.2189405607213763e-20,True,True,-4.365927765229241e-19,-4.3660344830939805e-19,2.4443341822815803e-05,1.0671786473922064e-23,True,4.625204196565198,4.625215414528884,1.1217963685972165e-05,1.1217963685972165e-05,-1.2189405607213771e-20,True,True,-8.731615069170614e-19,-8.731107496236045e-19,5.813047535285217e-05,5.0757293456901496e-23,True,5.25681565181503,5.260312426093125,0.0034967742780951383,0.0034967742780951383,-3.878921178503103e-21,True,True,True,2.1912951999984216
8,1,-0.9,-34325041.33312208,-5463000.0,-5.463000000000001,38138934.81458009,24,0.027,0.0001,-4.429460244571212e-19,-4.429578218451767e-19,2.6633917913499994e-05,1.1797388055502128e-23,True,4.809692955407951,4.812285484651141,0.002592529243189645,0.002592529243189645,-1.259147141358498e-20,True,True,-4.429460244571212e-19,-4.429578218451783e-19,2.6633917916978396e-05,1.1797388057042872e-23,True,4.809692955407973,4.812285484651141,0.0025925292431674407,0.0025925292431674407,-1.2591471413584965e-20,True,True,-8.858683099566202e-19,-8.85820725670272e-19,5.371485334028582e-05,4.758428634812671e-23,True,5.42103678726695,5.4236244823015385,0.002587695034588222,0.002587695034588222,-4.063258534710552e-21,True,True,True,2.1995776999974623
9,1,-0.95,-36231988.073851086,-5766500.0,-5.766500000000001,38138934.81458009,24,0.027,0.0001,-4.479097665764902e-19,-4.479226585332751e-19,2.8782486444574054e-05,1.2891956784880158e-23,True,5.000366814585659,5.002916457737762,0.0025496431521032648,0.0025496431521032648,-1.2966515875224105e-20,True,True,-4.479097665764906e-19,-4.47922658533246e-19,2.878248637878683e-05,1.289195675541343e-23,True,5.000366814585654,5.00291645773775,0.0025496431520961593,0.0025496431520961593,-1.2966515875224096e-20,True,True,-8.957961758304915e-19,-8.95751925813919e-19,4.939741624971601e-05,4.4250016572402584e-23,True,5.590644087046209,5.592298523440509,0.001654436394300518,0.001654436394300518,-4.2424834046048176e-21,True,True,True,2.234973300015554
