point_index,detuning_n,detuning_rad_per_s,detuning_hz,detuning_mhz,requested_ensemble_count,temperature_ensemble_count,valid_temperature_ensemble_count,requested_atom_count,complete_atom_count,trapped_atom_count,complete_outside_core_count,escaped_atom_count,other_incomplete_atom_count,failed_atom_count,duration_complete_fraction,trapped_fraction,trapped_fraction_sem,trapped_fraction_ci_low,trapped_fraction_ci_high,trapped_fraction_pooled_wilson_low,trapped_fraction_pooled_wilson_high,minimum_survivors_per_ensemble,median_survivors_per_ensemble,maximum_survivors_per_ensemble,initial_temperature_mean_k,plateau_temperature_x_k,plateau_temperature_y_k,plateau_temperature_z_k,plateau_temperature_mean_k,temperature_sem_k,temperature_ci_low_k,temperature_ci_high_k,final_temperature_mean_k,final_temperature_sem_k,doppler_temperature_k,plateau_over_doppler,stationarity_pass_count,statistics_pass_count,plateau_max_radius_median_m,plateau_max_radius_p90_m,plateau_max_radius_max_m,valid,quality_status,termination_counts_json,boundedness_counts_json,point_wall_time_s
0,-10.0,-381389348.1458009,-60700000.0,-60.7,10,10,1,250,250,70,180,0,0,0,1.0,0.28,0.03155242550986462,0.20862345462283585,0.35137654537716423,0.22799436777790152,0.338664284000094,3,8.0,10,0.0021826791497001484,0.0013737277444301039,0.0013142232124030693,0.001210606137972959,0.001299519031602044,7.077188031207641e-05,0.0011394219156151016,0.0014596161475889863,0.001481955447775505,0.0001620385604140724,0.00014565702718741794,8.921773680921989,1,8,0.0024181876785741136,0.003890215343869778,0.0074290967283555595,False,insufficient_survivors,"{""duration"": 250}","{""complete_final_plateau_core"": 70, ""complete_outside_final_plateau_core"": 180}",103.9451364000015
1,-9.0,-343250413.3312208,-54630000.0,-54.63,10,10,0,250,250,98,152,0,0,0,1.0,0.392,0.02719477073916152,0.330481154576263,0.45351884542373705,0.3335554373002608,0.4537133553907552,7,10.0,14,0.0019814916268033724,0.001433555760035806,0.0014222779406016057,0.0015212443272112546,0.0014590260092828887,6.115525329029757e-05,0.0013206832149971627,0.0015973688035686147,0.001699222615250192,0.00016894269262999396,0.00014565702718741794,10.016859724903965,0,10,0.0021240070077334925,0.0029593826093651625,0.004714242238114349,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 98, ""complete_outside_final_plateau_core"": 152}",102.36362899999949
2,-8.0,-305111478.5166407,-48560000.0,-48.56,10,10,0,250,250,183,67,0,0,0,1.0,0.732,0.044241760061432156,0.6319181855733039,0.832081814426696,0.6738894704931712,0.7830886785409424,13,18.0,24,0.0022259217025986044,0.0013569133958442746,0.0015028468048662578,0.001411488254060729,0.0014237494849237537,3.920512094459112e-05,0.0013350613397526655,0.001512437630094842,0.0014958107013304648,0.00013299588427450324,0.00014565702718741794,9.774670761966087,0,10,0.0016215180433548563,0.0025390030813319357,0.003530350073678357,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 183, ""complete_outside_final_plateau_core"": 67}",103.4872443000022
3,-7.0,-266972543.70206064,-42490000.0,-42.49,10,10,1,250,250,232,18,0,0,0,1.0,0.9280000000000002,0.02215099696778153,0.8778909635417419,0.9781090364582584,0.8890714648901645,0.953974430741735,20,23.5,25,0.0021120641870305216,0.0014430413447644452,0.0014455782351839256,0.0013824245313579237,0.0014236813704354315,2.596236976660499e-05,0.0013649504096994514,0.0014824123311714115,0.0015389480937427079,7.341902780369862e-05,0.00014565702718741794,9.774203125837316,1,10,0.0013170173123808852,0.002120272518592645,0.0032313063266552304,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 232, ""complete_outside_final_plateau_core"": 18}",103.6563513000001
4,-6.0,-228833608.88748056,-36420000.00000001,-36.42000000000001,10,10,0,250,250,249,1,0,0,0,1.0,0.9960000000000001,0.0040000000000000036,0.9869513713480002,1.0,0.9776942144345839,0.9992935524659348,24,25.0,25,0.002098150915721203,0.0013770138463594713,0.0013140868219862377,0.0012679623062825406,0.0013196876582094164,3.667993080742762e-05,0.0012367118899950496,0.0014026634264237832,0.0012751651064440079,4.6314927524049174e-05,0.00014565702718741794,9.060240234831683,0,10,0.001041623920279632,0.001467030873970949,0.002129288827766673,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 249, ""complete_outside_final_plateau_core"": 1}",103.74846510000134
5,-5.0,-190694674.07290044,-30350000.0,-30.35,10,10,2,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0010459020759931794,0.0011032323153471403,0.0010519405043301424,0.0010670249652234873,1.7909910949821873e-05,0.0010265099318796556,0.001107539998567319,0.0010277484754391663,4.772097500012e-05,0.00014565702718741794,7.325598948621535,2,10,0.0007756373118316676,0.0011045692765696094,0.0014546076434616465,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.81223359999785
6,-4.0,-152555739.25832036,-24280000.0,-24.28,10,10,4,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0009235261998024782,0.0009570369366738952,0.0008725658871893635,0.0009177096745552456,1.2587067013891664e-05,0.0008892357507486096,0.0009461835983618816,0.0008982701593633708,3.2921187229800835e-05,0.00014565702718741794,6.300483349659622,4,10,0.0006226881997978389,0.0008209788539533791,0.000978634265751082,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.67810730000201
7,-3.0,-114416804.44374028,-18210000.000000004,-18.210000000000004,10,10,8,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0007303973090854009,0.0007223172809060557,0.0007245699083745877,0.0007257614994553481,4.173636707089267e-06,0.0007163200772826463,0.0007352029216280498,0.0006469445991854413,3.662192713992821e-05,0.00014565702718741794,4.982674117888632,8,10,0.000453117150186207,0.0006084858602478695,0.0007519324712974359,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.89167360000283
8,-2.5,-95347337.03645022,-15175000.0,-15.175,10,10,6,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0006486012481190789,0.0006596255784995026,0.000675079342603566,0.0006611020564073825,6.8840980940178215e-06,0.0006455291445932054,0.0006766749682215595,0.000724082271334797,3.9063094560229664e-05,0.00014565702718741794,4.538758405090458,6,10,0.00036732070357144755,0.0004957876928031877,0.0006392322604066601,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.79605559999982
9,-2.25,-85812603.3328052,-13657500.0,-13.6575,10,10,9,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0006052250633075027,0.0006106539415917998,0.0006427858519735219,0.0006195549522909417,2.8609542398139643e-06,0.0006130830241643313,0.000626026880417552,0.0005925694622101662,2.5880634918060835e-05,0.00014565702718741794,4.2535191350140344,9,10,0.0003412527260176826,0.0004535284985137185,0.0007617933709617972,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.71047189999808
10,-2.0,-76277869.62916018,-12140000.0,-12.14,10,10,8,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0005947933449803989,0.0006019510111595478,0.0006044566076324297,0.0006004003212574589,4.199483812394033e-06,0.0005909004288703492,0.0006099002136445685,0.0006247850080759214,3.145243570135975e-05,0.00014565702718741794,4.12201410979588,8,10,0.000325071463922978,0.00045525637936834904,0.0006938349235244719,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",104.02356000000145
11,-1.75,-66743135.92551516,-10622500.0,-10.6225,10,10,8,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0005514114597593726,0.0005599927337304573,0.0006099567162185825,0.0005737869699028043,4.6351961520091426e-06,0.0005633014277256268,0.0005842725120799818,0.0005539992285450701,2.4559353490855602e-05,0.00014565702718741794,3.9393016662663896,8,10,0.00030704824733724767,0.0004301269820346532,0.0005329274853945445,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",104.2078655999976
12,-1.5,-57208402.22187014,-9105000.000000002,-9.105000000000002,10,10,9,250,250,250,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0.9848667005045553,0.9999999999999998,25,25.0,25,0.002089193809865821,0.0005281072535314221,0.0005406279810197723,0.0005866575588169071,0.0005517975977893672,5.514107426951117e-06,0.0005393238201759382,0.0005642713754027962,0.0005548107350594858,3.3123709876637366e-05,0.00014565702718741794,3.788334888088614,9,10,0.0002721377029681651,0.0003906871463165867,0.0005543342796801068,False,nonstationary,"{""duration"": 250}","{""complete_final_plateau_core"": 250}",103.9830112999989
