point_index,deterministic_evaluation_count,detuning_n,detuning_hz,detuning_mhz,linewidth_hz,cooling_power_w_per_beam,cooling_beam_diameter_m,restoring_slope_x_n_per_m,restoring_slope_x_coarse_n_per_m,restoring_slope_x_relative_change,restoring_slope_x_numerical_uncertainty_n_per_m,restoring_slope_x_converged,turnaround_velocity_x_m_per_s,turnaround_velocity_x_coarse_m_per_s,turnaround_velocity_x_absolute_change_m_per_s,turnaround_velocity_x_numerical_uncertainty_m_per_s,turnaround_force_x_n,turnaround_x_interior,turnaround_x_converged,restoring_slope_y_n_per_m,restoring_slope_y_coarse_n_per_m,restoring_slope_y_relative_change,restoring_slope_y_numerical_uncertainty_n_per_m,restoring_slope_y_converged,turnaround_velocity_y_m_per_s,turnaround_velocity_y_coarse_m_per_s,turnaround_velocity_y_absolute_change_m_per_s,turnaround_velocity_y_numerical_uncertainty_m_per_s,turnaround_force_y_n,turnaround_y_interior,turnaround_y_converged,restoring_slope_z_n_per_m,restoring_slope_z_coarse_n_per_m,restoring_slope_z_relative_change,restoring_slope_z_numerical_uncertainty_n_per_m,restoring_slope_z_converged,turnaround_velocity_z_m_per_s,turnaround_velocity_z_coarse_m_per_s,turnaround_velocity_z_absolute_change_m_per_s,turnaround_velocity_z_numerical_uncertainty_m_per_s,turnaround_force_z_n,turnaround_z_interior,turnaround_z_converged,all_converged,point_wall_time_s
0,1,-0.5,-3032500.0,-3.0325,6065000.0,0.027,0.0127,-2.5203946867212966e-21,-2.5216255143841867e-21,0.0004883471899757159,1.2308276628900701e-24,True,17.070663455944622,17.071448748725608,0.0007852927809857135,0.0007852927809857135,-4.440142183104087e-23,True,True,-2.5203946867212966e-21,-2.5216255143841867e-21,0.0004883471899757159,1.2308276628900701e-24,True,17.070663455944622,17.071448748725608,0.0007852927809857135,0.0007852927809857135,-4.440142183104087e-23,True,True,-5.040749066382653e-21,-5.043089699749251e-21,0.00046434236971002737,2.3406333665977293e-24,True,17.070663455944622,17.071448748725608,0.0007852927809857135,0.0007852927809857135,-4.440142183104087e-23,True,True,True,0.0795349000254646
1,1,-0.55,-3335750.0000000005,-3.3357500000000004,6065000.0,0.027,0.0127,-2.764948295428429e-21,-2.7662967775492983e-21,0.00048770608951312545,1.348482120869381e-24,True,17.093827945383676,17.094276157108897,0.000448211725220915,0.000448211725220915,-4.879216156185526e-23,True,True,-2.764948295428429e-21,-2.7662967775492983e-21,0.00048770608951312545,1.348482120869381e-24,True,17.093827945383676,17.094276157108897,0.000448211725220915,0.000448211725220915,-4.879216156185526e-23,True,True,-5.529852487046085e-21,-5.5324170298155984e-21,0.0004637633237994965,2.5645427695134044e-24,True,17.093827945383676,17.094276157108897,0.000448211725220915,0.000448211725220915,-4.879216156185526e-23,True,True,True,0.08232450002105907
2,1,-0.6,-3639000.0,-3.639,6065000.0,0.027,0.0127,-3.0074009794850456e-21,-3.008865601429079e-21,0.00048700587451564007,1.464621944033307e-24,True,17.11911733641791,17.119201447336412,8.411091850035746e-05,8.411091850035746e-05,-5.316895362403899e-23,True,True,-3.0074009794850456e-21,-3.008865601429079e-21,0.00048700587451564007,1.464621944033307e-24,True,17.11911733641791,17.119201447336412,8.411091850035746e-05,8.411091850035746e-05,-5.316895362403899e-23,True,True,-6.014754123230886e-21,-6.017539740842569e-21,0.00046313075391122676,2.78561761168258e-24,True,17.11911733641791,17.119201447336412,8.411091850035746e-05,8.411091850035746e-05,-5.316895362403899e-23,True,True,True,0.07823899999493733
3,1,-0.65,-3942250.0,-3.94225,6065000.0,0.027,0.0127,-3.247578682612251e-21,-3.249157808212153e-21,0.0004862470641147048,1.5791255999017078e-24,True,17.146510957358274,17.146825840801878,0.0003148834436039749,0.0003148834436039749,-5.753060449265353e-23,True,True,-3.247578682612251e-21,-3.249157808212153e-21,0.0004862470641147048,1.5791255999017078e-24,True,17.146510957358274,17.146825840801878,0.0003148834436039749,0.0003148834436039749,-5.753060449265353e-23,True,True,-6.4951058673821704e-21,-6.498109497221378e-21,0.000462445093357414,3.0036298392078353e-24,True,17.146510957358274,17.146825840801878,0.0003148834436039749,0.0003148834436039749,-5.753060449265353e-23,True,True,True,0.07984830002533272
4,1,-0.7,-4245500.0,-4.2455,6065000.0,0.027,0.0127,-3.485311595176585e-21,-3.487003470749949e-21,0.00048543021969839583,1.691875573363936e-24,True,17.175986959811286,17.176728436589233,0.0007414767779465592,0.0007414767779465592,-6.187593912226336e-23,True,True,-3.485311595176585e-21,-3.487003470749949e-21,0.00048543021969839583,1.691875573363936e-24,True,17.175986959811286,17.176728436589233,0.0007414767779465592,0.0007414767779465592,-6.187593912226336e-23,True,True,-6.970568105008344e-21,-6.973786463787229e-21,0.00046170681218544296,3.2183587788849264e-24,True,17.175986959811286,17.176728436589233,0.0007414767779465592,0.0007414767779465592,-6.187593912226336e-23,True,True,True,0.07654649997130036
5,1,-0.75,-4548750.0,-4.54875,6065000.0,0.027,0.0127,-3.720434438764978e-21,-3.7222371973803914e-21,0.0004845559423463136,1.8027586154134424e-24,True,17.207811549498885,17.20871408188928,0.000902532390394839,0.000902532390394839,-6.620379359792298e-23,True,True,-3.720434438764978e-21,-3.7222371973803914e-21,0.0004845559423463136,1.8027586154134424e-24,True,17.207811549498885,17.20871408188928,0.000902532390394839,0.000902532390394839,-6.620379359792298e-23,True,True,-7.440810283839485e-21,-7.444239875430962e-21,0.00046091641375749324,3.429591591477171e-24,True,17.207811549498885,17.20871408188928,0.000902532390394839,0.000902532390394839,-6.620379359792298e-23,True,True,True,0.07618239999283105
6,1,-0.8,-4852000.0,-4.852,6065000.0,0.027,0.0127,-3.9527867353485095e-21,-3.954698401323465e-21,0.0004836248709954027,1.911665974955262e-24,True,17.241861600175074,17.24275740604892,0.0008958058738457453,0.0008958058738457453,-7.051305630025133e-23,True,True,-3.9527867353485095e-21,-3.954698401323465e-21,0.0004836248709954027,1.911665974955262e-24,True,17.241861600175074,17.24275740604892,0.0008958058738457453,0.0008958058738457453,-7.051305630025133e-23,True,True,-7.905511452121002e-21,-7.90914857582059e-21,0.0004600744330857046,3.6371236995871155e-24,True,17.241861600175074,17.24275740604892,0.0008958058738457453,0.0008958058738457453,-7.051305630025133e-23,True,True,True,0.076152199995704
7,1,-0.85,-5155250.0,-5.15525,6065000.0,0.027,0.0127,-4.182213060249731e-21,-4.184231553873292e-21,0.00048263768356172736,2.0184936235605332e-24,True,17.277943507140083,17.278832233312148,0.0008887261720644801,0.0008887261720644801,-7.48026077912927e-23,True,True,-4.182213060249731e-21,-4.184231553873292e-21,0.00048263768356172736,2.0184936235605332e-24,True,17.277943507140083,17.278832233312148,0.0008887261720644801,0.0008887261720644801,-7.48026077912927e-23,True,True,-8.364360764549223e-21,-8.36820152376477e-21,0.0004591814394024407,3.840759215547012e-24,True,17.277943507140083,17.278832233312148,0.0008887261720644801,0.0008887261720644801,-7.48026077912927e-23,True,True,True,0.07748059998266399
8,1,-0.9,-5458500.0,-5.4585,6065000.0,0.027,0.0127,-4.408563278306066e-21,-4.41068642074585e-21,0.00048159509249457875,2.123142439784013e-24,True,17.316080947350443,17.316911746642273,0.0008307992918297202,0.0008307992918297202,-7.907134911016427e-23,True,True,-4.408563278306066e-21,-4.41068642074585e-21,0.00048159509249457875,2.123142439784013e-24,True,17.316080947350443,17.316911746642273,0.0008307992918297202,0.0008307992918297202,-7.907134911016427e-23,True,True,-8.81705795457938e-21,-8.821098265856983e-21,0.000458238031145466,4.040311277601925e-24,True,17.316080947350443,17.316911746642273,0.0008307992918297202,0.0008307992918297202,-7.907134911016427e-23,True,True,True,0.07605839997995645
9,1,-0.95,-5761750.0,-5.76175,6065000.0,0.027,0.0127,-4.631692762586986e-21,-4.633918280992693e-21,0.00048049784814822004,2.2255184057067315e-24,True,17.35671311862294,17.356968654959267,0.00025553633632569017,0.00025553633632569017,-8.331824368175924e-23,True,True,-4.631692762586986e-21,-4.633918280992693e-21,0.00048049784814822004,2.2255184057067315e-24,True,17.35671311862294,17.356968654959267,0.00025553633632569017,0.00025553633632569017,-8.331824368175924e-23,True,True,-9.263313771882549e-21,-9.267549374290283e-21,0.0004572448382986375,4.235602407733978e-24,True,17.35671311862294,17.356968654959267,0.00025553633632569017,0.00025553633632569017,-8.331824368175924e-23,True,True,True,0.07710219995351508
