disc_index,point_index,base_timeout_detected,base_evaluation_timeout_count,base_evaluation_timeout_speeds_m_per_s_json,accepted_max_simulation_time_s,accepted_coarse_time_step_s,accepted_time_step_s,adaptive_audit_level_count,adaptive_audit_evidence_json,adaptive_max_duration_s,adaptive_coarse_time_step_s,adaptive_fine_time_step_s,accepted_trapped_velocity_lower_m_per_s,accepted_untrapped_velocity_upper_m_per_s,accepted_lower_classification,accepted_upper_classification,base_capture_velocity_m_per_s,coarse_capture_velocity_m_per_s,fine_capture_velocity_m_per_s,coarse_trapped_velocity_lower_m_per_s,coarse_untrapped_velocity_upper_m_per_s,fine_trapped_velocity_lower_m_per_s,fine_untrapped_velocity_upper_m_per_s,coarse_lower_classification,coarse_upper_classification,fine_lower_classification,fine_upper_classification,timeout_node_coarse_results_json,timeout_node_fine_results_json,coarse_evaluation_timeout_count,coarse_evaluation_timeout_speeds_m_per_s_json,fine_evaluation_timeout_count,fine_evaluation_timeout_speeds_m_per_s_json,pre_adaptive_coarse_evaluation_timeout_count,pre_adaptive_coarse_evaluation_timeout_speeds_m_per_s_json,pre_adaptive_fine_evaluation_timeout_count,pre_adaptive_fine_evaluation_timeout_speeds_m_per_s_json,complete_boundary_audit_evidence_json,positive_boundary_grid_base_level_index,diagnostic_scalar_boundary_level_index,diagnostic_scalar_boundary_converged,diagnostic_scalar_grid_agreement,timeout_resolution_status,timeout_resolution_reason,zero_threshold_audit_status,zero_threshold_audit_reason,zero_threshold_grid_evidence_json,positive_boundary_grid_audit_status,positive_boundary_grid_audit_reason,positive_boundary_grid_evidence_json,positive_boundary_grid_duration_s,positive_boundary_grid_coarse_time_step_s,positive_boundary_grid_fine_time_step_s,velocity_resolved_override
0,0,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,5.0,5.234375,two_core_entries,escaped,5.0,5.0,5.0,5.0,5.234375,5.0,5.234375,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,1,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,7.578125,7.8125,two_core_entries,escaped,7.578125,7.578125,7.578125,7.578125,7.8125,7.578125,7.8125,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,2,True,1,[8.046875],0.2,5e-06,2.5e-06,0,[],0.0,0.0,0.0,8.046875,8.28125,two_core_entries,escaped,7.8125,8.046875,8.046875,8.046875,8.28125,8.046875,8.28125,two_core_entries,escaped,two_core_entries,escaped,"[{""speed_m_per_s"":8.046875,""trapped"":true,""termination_reason"":""two_core_entries""}]","[{""speed_m_per_s"":8.046875,""trapped"":true,""termination_reason"":""two_core_entries""}]",0,[],0,[],0,[],0,[],"[{""level_index"":0,""duration_s"":0.2,""coarse_time_step_s"":5e-06,""fine_time_step_s"":2.5e-06,""coarse_sample"":{""capture_velocity_m_per_s"":8.046875,""velocity_resolution_m_per_s"":0.234375,""trapped_velocity_lower_m_per_s"":8.046875,""untrapped_velocity_upper_m_per_s"":8.28125,""lower_classification"":""two_core_entries"",""upper_classification"":""escaped"",""lower_entered_trap_core"":true,""upper_entered_trap_core"":false,""lower_core_entry_count"":2,""upper_core_entry_count"":0},""fine_sample"":{""capture_velocity_m_per_s"":8.046875,""velocity_resolution_m_per_s"":0.234375,""trapped_velocity_lower_m_per_s"":8.046875,""untrapped_velocity_upper_m_per_s"":8.28125,""lower_classification"":""two_core_entries"",""upper_classification"":""escaped"",""lower_entered_trap_core"":true,""upper_entered_trap_core"":false,""lower_core_entry_count"":2,""upper_core_entry_count"":0},""coarse_timeout_speeds_m_per_s"":[],""fine_timeout_speeds_m_per_s"":[],""coarse_evaluations"":[{""speed_m_per_s"":0.0,""classification"":{""trapped"":true,""termination_reason"":""bounded_core_residence"",""entered_trap_core"":true,""core_entry_count"":1,""elapsed_time_s"":0.03128000000000422,""minimum_radius_m"":0.0011048867436006043,""final_radius_m"":0.0011048867436006043,""final_position_m"":[0.0010299154627977725,-0.00039668650036091903,5.1852445514211105e-05],""final_velocity_m_per_s"":[0.10778089953968484,0.3777157009046556,-0.03343687700872401]}},{""speed_m_per_s"":5.0,""classification"":{""trapped"":true,""termination_reason"":""two_core_entries"",""entered_trap_core"":true,""core_entry_count"":2,""elapsed_time_s"":0.027950000000003222,""minimum_radius_m"":0.0015830221617817617,""final_radius_m"":0.0019987514502407475,""final_position_m"":[0.0013996093160447973,-0.0012011554373596047,-0.0007702770524827819],""final_velocity_m_per_s"":[0.019876520616823445,0.384623958753457,0.4025800213598291]}},{""speed_m_per_s"":6.875,""classification"":{""trapped"":true,""termination_reason"":""two_core_entries"",""entered_trap_core"":true,""core_entry_count"":2,""elapsed_time_s"":0.019505000000000636,""minimum_radius_m"":0.0018466916852133588,""final_radius_m"":0.001999567524450812,""final_position_m"":[-0.0015986932877412256,0.0005118373678125504,-0.0010864955432399247],""final_velocity_m_per_s"":[0.769506648000606,-0.7920232932833057,-1.0601722680680417]}},{""speed_m_per_s"":7.8125,""classification"":{""trapped"":true,""termination_reason"":""two_core_entries"",""entered_trap_core"":true,""core_entry_count"":2,""elapsed_time_s"":0.032510000000003744,""minimum_radius_m"":0.0007950398326436236,""final_radius_m"":0.0019979688309466797,""final_position_m"":[0.0014150212593638475,-0.0011281543237967177,0.0008466770970574103],""final_velocity_m_per_s"":[-0.3356960542251117,0.19653504506504982,-0.6477950839932342]}},{""speed_m_per_s"":8.046875,""classification"":{""trapped"":true,""termination_reason"":""two_core_entries"",""entered_trap_core"":true,""core_entry_count"":2,""elapsed_time_s"":0.052884999999995845,""minimum_radius_m"":0.001430670974159368,""final_radius_m"":0.0019994955139623345,""final_position_m"":[-0.0013022737119207817,0.0005708109557346462,0.001405788157016863],""final_velocity_m_per_s"":[0.08375719289506338,-0.2611488060236793,-0.29349308982002664]}},{""speed_m_per_s"":8.28125,""classification"":{""trapped"":false,""termination_reason"":""escaped"",""entered_trap_core"":false,""core_entry_count"":0,""elapsed_time_s"":0.01484999999999948,""minimum_radius_m"":0.007012804647336515,""final_radius_m"":0.030010024383026516,""final_position_m"":[0.013928624452298888,-0.006531040445985837,-0.025767042807228864],""final_velocity_m_per_s"":[0.4678901655380489,0.40481917297647,-2.7848064888115274]}},{""speed_m_per_s"":8.75,""classification"":{""trapped"":false,""termination_reason"":""escaped"",""entered_trap_core"":false,""core_entry_count"":0,""elapsed_time_s"":0.012334999999999582,""minimum_radius_m"":0.007204596660680083,""final_radius_m"":0.03001373436928527,""final_position_m"":[0.018460427274575916,-0.013684257209182175,-0.01930745918713944],""final_velocity_m_per_s"":[1.2647398772759615,-0.38006753524783826,-2.834416069772694]}},{""speed_m_per_s"":10.0,""classification"":{""trapped"":false,""termination_reason"":""escaped"",""entered_trap_core"":false,""core_entry_count"":0,""elapsed_time_s"":0.008149999999999753,""minimum_radius_m"":0.007588587124676106,""final_radius_m"":0.030003903059699952,""final_position_m"":[0.0191875557302786,-0.021878056081663752,-0.00730907422324473],""final_velocity_m_per_s"":[2.489321612618589,-2.7445413493489736,-2.755425900770203]}},{""speed_m_per_s"":12.5,""classification"":{""trapped"":false,""termination_reason"":""escaped"",""entered_trap_core"":false,""core_entry_count"":0,""elapsed_time_s"":0.005234999999999871,""minimum_radius_m"":0.007998763913631444,""final_radius_m"":0.030001360944780998,""final_position_m"":[0.018822176953203335,-0.023218990872345323,0.0025856867852229377],""final_velocity_m_per_s"":[4.449670607582556,-6.790295416436922,-2.1759943276039126]}},{""speed_m_per_s"":20.0,""classification"":{""trapped"":false,""termination_reason"":""escaped"",""entered_trap_core"":false,""core_entry_count"":0,""elapsed_time_s"":0.0027149999999999735,""minimum_radius_m"":0.008301572169708634,""final_radius_m"":0.030070980504659235,""final_position_m"":[0.016469180251969234,-0.017396464141847704,0.0181767160318125],""final_velocity_m_per_s"":[8.489193326622985,-11.541551518452165,5.141266923902479]}}],""fine_evaluations"":[{""speed_m_per_s"":0.0,""classification"":{""trapped"":true,""termination_reason"":""bounded_core_residence"",""entered_trap_core"":true,""core_entry_count"":1,""elapsed_time_s"":0.03127999999999609,""minimum_radius_m"":0.0011048867436016748,""final_radius_m"":0.0011048867436016748,""final_position_m"":[0.0010299154627972803,-0.0003966865003652061,5.185244551400036e-05],""final_velocity_m_per_s"":[0.10778089953927285,0.3777157009039167,-0.03343687700872883]}},{""speed_m_per_s"":5.0,""classification"":{""trapped"":true,""termination_reason"":""two_core_entries"",""entered_trap_core"":true,""core_entry_count"":2,""elapsed_time_s"":0.02794749999999734,""minimum_radius_m"":0.0015830209174168676,""final_radius_m"":0.0019996822852509544,""final_position_m"":[0.0013995592935243757,-0.0012021168853761184,-0.0007712833589217717],""final_velocity_m_per_s"":[0.020141508826881004,0.38453441631228064,0.40246506256046793]}},{""speed_m_per_s"":6.875,""classification"":{""trapped"":true,""termination_reason"":""two_core_entries"",""entered_trap_core"":true,""core_entry_count"":2,""elapsed_time_s"":0.019505000000000612,""minimum_radius_m"":0.0018466916852044745,""final_radius_m"":0.0019995675244125154,""final_position_m"":[-0.001598693287712795,0.0005118373678073777,-0.0010864955432137145],""final_velocity_m_per_s"":[0.7695066480007843,-0.7920232932807155,-1.0601722680606147]}},{""speed_m_per_s"":7.8125,""classification"":{""trapped"":true,""termination_reason"":""two_core_entries"",""entered_trap_core"":true,""core_entry_count"":2,""elapsed_time_s"":0.032507499999997316,""minimum_radius_m"":0.0007950398326426855,""final_radius_m"":0.0019995269257562526,""final_position_m"":[0.0014158603143402484,-0.0011286454900120435,0.0008482964428642019],""final_velocity_m_per_s"":[-0.3355479317345678,0.19639792570104347,-0.6476815196714008]}},{""speed_m_per_s"":8.046875,""classification"":{""trapped"":true,""termination_reason"":""two_core_entries"",""entered_trap_core"":true,""core_entry_count"":2,""elapsed_time_s"":0.052885000000017696,""minimum_radius_m"":0.0014306703690594638,""final_radius_m"":0.001999495511723413,""final_position_m"":[-0.001302273711364981,0.0005708109547059025,0.0014057881547649659],""final_velocity_m_per_s"":[0.08375719353865335,-0.26114880589314887,-0.29349309126236434]}},{""speed_m_per_s"":8.28125,""classification"":{""trapped"":false,""termination_reason"":""escaped"",""entered_trap_core"":false,""core_entry_count"":0,""elapsed_time_s"":0.014847500000001878,""minimum_radius_m"":0.007012804647324489,""final_radius_m"":0.0300037242496364,""final_position_m"":[0.01392745472643201,-0.006532052493608399,-0.025760080821149424],""final_velocity_m_per_s"":[0.4678901654863847,0.40481917300459896,-2.784782280226814]}},{""speed_m_per_s"":8.75,""classification"":{""trapped"":false,""termination_reason"":""escaped"",""entered_trap_core"":false,""core_entry_count"":0,""elapsed_time_s"":0.012332500000001108,""minimum_radius_m"":0.007204596660671577,""final_radius_m"":0.03000679828473518,""final_position_m"":[0.018457265424619645,-0.013683307040023246,-0.019300373177593654],""final_velocity_m_per_s"":[1.2647398772386356,-0.3800675352098802,-2.8343915531391852]}},{""speed_m_per_s"":10.0,""classification"":{""trapped"":false,""termination_reason"":""escaped"",""entered_trap_core"":false,""core_entry_count"":0,""elapsed_time_s"":0.008149999999999828,""minimum_radius_m"":0.007588587124677744,""final_radius_m"":0.03000390305936364,""final_position_m"":[0.0191875557301416,-0.021878056081298107,-0.007309074223318303],""final_velocity_m_per_s"":[2.4893216125886592,-2.7445413492521467,-2.755425900770126]}},{""speed_m_per_s"":12.5,""classification"":{""trapped"":false,""termination_reason"":""escaped"",""entered_trap_core"":false,""core_entry_count"":0,""elapsed_time_s"":0.005234999999999829,""minimum_radius_m"":0.007998763913643535,""final_radius_m"":0.03000136094473055,""final_position_m"":[0.018822176953129204,-0.023218990872360717,0.0025856867850389802],""final_velocity_m_per_s"":[4.449670607547175,-6.790295416420399,-2.1759943276366354]}},{""speed_m_per_s"":20.0,""classification"":{""trapped"":false,""termination_reason"":""escaped"",""entered_trap_core"":false,""core_entry_count"":0,""elapsed_time_s"":0.0027124999999999315,""minimum_radius_m"":0.008301572169676363,""final_radius_m"":0.030034897995917718,""final_position_m"":[0.016447957268651264,-0.017367610263549903,0.018163862833858888],""final_velocity_m_per_s"":[8.489193326625129,-11.5415515186392,5.14129144058827]}}],""compatible_definitive_brackets"":true,""timeout_free"":true}]",0,-1,False,not_applicable,dual_step_research_recovered_boundary,"targeted timeout-node or endpoint evidence changed or remained non-definitive; complete 200 ms coarse/fine searches recovered compatible, timeout-free definitive brackets",not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,3,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,7.8125,8.046875,bounded_core_residence,escaped,7.8125,7.8125,7.8125,7.8125,8.046875,7.8125,8.046875,bounded_core_residence,escaped,bounded_core_residence,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,4,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,7.34375,7.578125,bounded_core_residence,escaped,7.34375,7.34375,7.34375,7.34375,7.578125,7.34375,7.578125,bounded_core_residence,escaped,bounded_core_residence,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,5,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,8.046875,8.28125,two_core_entries,escaped,8.046875,8.046875,8.046875,8.046875,8.28125,8.046875,8.28125,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,6,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,8.046875,8.28125,two_core_entries,escaped,8.046875,8.046875,8.046875,8.046875,8.28125,8.046875,8.28125,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,7,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,6.640625,6.875,two_core_entries,escaped,6.640625,6.640625,6.640625,6.640625,6.875,6.640625,6.875,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
