velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2,capture_cross_section_sample_std_m2,capture_cross_section_disc_cluster_sem_m2,capture_cross_section_t95_lower_m2,capture_cross_section_t95_upper_m2,disc_count,student_t_critical_95
0.0,542,625,0.8672,0.0006129875585684404,5.755291420119051e-05,1.1510582840238102e-05,0.0005892308832009727,0.000636744233935908,25,2.0638985616280245
0.25,598,625,0.9568000000000001,0.0006763220664648107,2.933816967397596e-05,5.867633934795192e-06,0.000664211865226627,0.0006884322677029943,25,2.0638985616280245
0.5,590,625,0.944,0.000667274279622472,3.9144042755815635e-05,7.828808551163126e-06,0.0006511164129144653,0.0006834321463304788,25,2.0638985616280245
0.75,577,625,0.9231999999999999,0.0006525716260036718,4.389356986093354e-05,8.778713972186709e-06,0.0006344532508635318,0.0006706900011438118,25,2.0638985616280245
1.0,565,625,0.904,0.0006389999457401639,4.395423826564671e-05,8.79084765312934e-06,0.0006208565279133792,0.0006571433635669487,25,2.0638985616280245
1.25,563,625,0.9007999999999999,0.0006367379990295792,4.00857866648686e-05,8.017157332973721e-06,0.0006201913995417092,0.0006532845985174492,25,2.0638985616280245
1.5,555,625,0.888,0.0006276902121872406,4.081048569526989e-05,8.162097139053978e-06,0.0006108444716420789,0.0006445359527324023,25,2.0638985616280245
1.75,524,625,0.8383999999999999,0.0005926300381731785,5.4435742168019244e-05,1.0887148433603849e-05,0.0005701600681808327,0.0006151000081655243,25,2.0638985616280245
2.0,499,625,0.7983999999999999,0.0005643557042908703,7.546299121678484e-05,1.5092598243356968e-05,0.0005332061124851762,0.0005955052960965644,25,2.0638985616280245
2.25,488,625,0.7807999999999999,0.0005519149973826548,7.305874866265596e-05,1.4611749732531193e-05,0.000521757828126815,0.0005820721666384946,25,2.0638985616280245
2.5,457,625,0.7312000000000001,0.0005168548233685928,6.902644580644361e-05,1.3805289161288722e-05,0.00048836210692575,0.0005453475398114355,25,2.0638985616280245
2.75,443,625,0.7088,0.0005010211963945002,8.734588083067275e-05,1.746917616613455e-05,0.00046496658883238854,0.0005370758039566118,25,2.0638985616280245
3.0,412,625,0.6592,0.0004659610223804381,7.121166644113677e-05,1.4242333288227353e-05,0.00043656629119263873,0.0004953557535682375,25,2.0638985616280245
3.25,366,625,0.5856,0.0004139362480369911,8.278797062552321e-05,1.655759412510464e-05,0.00037976305333816703,0.0004481094427358152,25,2.0638985616280245
3.5,336,625,0.5376,0.0003800070473782213,0.00010675823371681445,2.135164674336289e-05,0.00033593941437620495,0.0004240746803802377,25,2.0638985616280245
3.75,287,625,0.45920000000000005,0.00032458935296889746,0.00011401254831157292,2.2802509662314586e-05,0.00027752728607533726,0.00037165141986245765,25,2.0638985616280245
4.0,238,625,0.3808,0.0002691716585595735,0.00012830858239915643,2.5661716479831285e-05,0.0002162084788279435,0.00032213483829120345,25,2.0638985616280245
4.25,191,625,0.3056,0.00021601591086083417,0.0001406346153815589,2.8126923076311783e-05,0.0001579647947806122,0.0002740670269410562,25,2.0638985616280245
4.5,141,625,0.22560000000000002,0.0001594672430962179,0.00013458305725772164,2.691661145154433e-05,0.00010391408743747516,0.00021502039875496065,25,2.0638985616280245
4.75,102,625,0.16319999999999998,0.00011535928223981719,0.00012536726137456604,2.5073452274913208e-05,6.36102201545749e-05,0.00016710834432505947,25,2.0638985616280245
5.0,84,625,0.1344,9.500176184455533e-05,0.0001190883258262595,2.3817665165251898e-05,4.584451696865403e-05,0.00014415900672045664,25,2.0638985616280245
5.25,62,625,0.09920000000000001,7.012034802812418e-05,0.0001098461813473541,2.196923626947082e-05,2.4778072891497124e-05,0.00011546262316475123,25,2.0638985616280245
5.5,54,625,0.08639999999999999,6.107256118578557e-05,0.00010183994839374547,2.0367989678749092e-05,1.9035096584560875e-05,0.00010311002578701027,25,2.0638985616280245
5.75,50,625,0.08,5.6548667764616275e-05,9.760448579932943e-05,1.9520897159865885e-05,1.6259516194680487e-05,9.683781933455206e-05,25,2.0638985616280245
6.0,41,625,0.06559999999999999,4.636990756698534e-05,9.157567451873677e-05,1.8315134903747353e-05,8.569326983117949e-06,8.417048815085272e-05,25,2.0638985616280245
