velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2,capture_cross_section_sample_std_m2,capture_cross_section_disc_cluster_sem_m2,capture_cross_section_t95_lower_m2,capture_cross_section_t95_upper_m2,disc_count,student_t_critical_95
0.0,465,625,0.744,0.0005259026102109313,9.622970606482224e-05,1.924594121296445e-05,0.00048618093982431647,0.0005656242805975462,25,2.0638985616280245
0.25,600,625,0.9600000000000001,0.0006785840131753953,3.2648388556215906e-05,6.529677711243181e-06,0.000665107420739266,0.0006920606056115247,25,2.0638985616280245
0.5,620,625,0.992,0.0007012034802812418,1.1542948471456803e-05,2.3085896942913606e-06,0.0006964387853318046,0.000705968175230679,25,2.0638985616280245
0.75,620,625,0.992,0.0007012034802812418,1.1542948471456804e-05,2.308589694291361e-06,0.0006964387853318046,0.000705968175230679,25,2.0638985616280245
1.0,612,625,0.9792000000000001,0.0006921556934389033,2.3258396703636046e-05,4.651679340727209e-06,0.0006825550991384216,0.0007017562877393849,25,2.0638985616280245
1.25,591,625,0.9456000000000001,0.0006684052529777645,4.6802350376639964e-05,9.360470075327993e-06,0.0006490861922531328,0.0006877243137023961,25,2.0638985616280245
1.5,535,625,0.8559999999999999,0.000605070745081394,6.374801653501496e-05,1.2749603307002993e-05,0.0005787568571547426,0.0006313846330080454,25,2.0638985616280245
1.75,439,625,0.7024,0.0004964973029733309,8.366846302908084e-05,1.673369260581617e-05,0.0004619606588734614,0.0005310339470732004,25,2.0638985616280245
2.0,323,625,0.5167999999999999,0.00036530439375942106,0.00013334978419737582,2.6669956839475164e-05,0.0003102603081997468,0.00042034847931909534,25,2.0638985616280245
2.25,256,625,0.4096,0.00028952917895483534,0.00012835011293346917,2.5670022586693834e-05,0.00023654885626119904,0.00034250950164847163,25,2.0638985616280245
2.5,189,625,0.3024,0.00021375396415024953,0.00014918563170973452,2.9837126341946903e-05,0.00015217316200999168,0.0002753347662905074,25,2.0638985616280245
2.75,147,625,0.23519999999999996,0.00016625308322797182,0.00014721672119836162,2.9443344239672323e-05,0.00010548500740219333,0.0002270211590537503,25,2.0638985616280245
3.0,114,625,0.1824,0.00012893096250332512,0.0001416259098056916,2.832518196113832e-05,7.047066019587968e-05,0.00018739126481077056,25,2.0638985616280245
3.25,96,625,0.1536,0.00010857344210806323,0.0001260984573837089,2.5219691476741778e-05,5.6522557144513323e-05,0.00016062432707161315,25,2.0638985616280245
3.5,81,625,0.12959999999999997,9.160884177867835e-05,0.00012599274988136464,2.519854997627293e-05,3.9601590727536754e-05,0.00014361609282981995,25,2.0638985616280245
3.75,69,625,0.11040000000000003,7.803716151517047e-05,0.00011110050426608511,2.222010085321702e-05,3.217712732498622e-05,0.00012389719570535474,25,2.0638985616280245
4.0,63,625,0.1008,7.12513213834165e-05,0.0001095425201777303,2.1908504035546063e-05,2.6034391417031215e-05,0.00011646825134980178,25,2.0638985616280245
4.25,49,625,0.0784,5.541769440932395e-05,8.656441789490116e-05,1.731288357898023e-05,1.9685658893033205e-05,9.114972992561469e-05,25,2.0638985616280245
4.5,42,625,0.0672,4.7500880922277665e-05,7.241762903163041e-05,1.4483525806326082e-05,1.760835284329889e-05,7.739340900125644e-05,25,2.0638985616280245
4.75,34,625,0.0544,3.845309407993906e-05,6.724696305808265e-05,1.344939261161653e-05,1.0694912014053128e-05,6.6211276145825e-05,25,2.0638985616280245
5.0,29,625,0.0464,3.279822730347744e-05,6.564274967939417e-05,1.3128549935878835e-05,5.702231974555417e-06,5.989422263239946e-05,25,2.0638985616280245
5.25,20,625,0.032,2.261946710584651e-05,4.688767834242441e-05,9.377535668484882e-06,3.2651847280450657e-06,4.1973749483647954e-05,25,2.0638985616280245
5.5,16,625,0.0256,1.809557368467721e-05,4.680235037663998e-05,9.360470075327996e-06,0.0,3.741463440930882e-05,25,2.0638985616280245
5.75,16,625,0.0256,1.809557368467721e-05,4.680235037663998e-05,9.360470075327996e-06,0.0,3.741463440930882e-05,25,2.0638985616280245
6.0,15,625,0.024,1.6964600329384882e-05,4.68876783424244e-05,9.37753566848488e-06,0.0,3.631888270718632e-05,25,2.0638985616280245
6.25,12,625,0.0192,1.3571680263507904e-05,4.09083136079784e-05,8.18166272159568e-06,0.0,3.0457802186334855e-05,25,2.0638985616280245
6.5,11,625,0.0176,1.2440706908215581e-05,4.0052534243828615e-05,8.010506848765723e-06,0.0,2.8973580471294595e-05,25,2.0638985616280245
6.75,10,625,0.016,1.1309733552923255e-05,3.5577756596498745e-05,7.115551319299749e-06,0.0,2.59955096860164e-05,25,2.0638985616280245
7.0,10,625,0.016,1.1309733552923255e-05,3.5577756596498745e-05,7.115551319299749e-06,0.0,2.59955096860164e-05,25,2.0638985616280245
7.25,9,625,0.0144,1.0178760197630929e-05,3.5465227827758666e-05,7.093045565551733e-06,0.0,2.481808673793519e-05,25,2.0638985616280245
7.5,9,625,0.0144,1.0178760197630929e-05,3.5465227827758666e-05,7.093045565551733e-06,0.0,2.481808673793519e-05,25,2.0638985616280245
7.75,8,625,0.0128,9.047786842338604e-06,3.1315234204652506e-05,6.263046840930501e-06,0.0,2.1974080208744008e-05,25,2.0638985616280245
8.0,8,625,0.0128,9.047786842338604e-06,3.1315234204652506e-05,6.263046840930501e-06,0.0,2.1974080208744008e-05,25,2.0638985616280245
8.25,8,625,0.0128,9.047786842338604e-06,3.1315234204652506e-05,6.263046840930501e-06,0.0,2.1974080208744008e-05,25,2.0638985616280245
8.5,7,625,0.0112,7.916813487046278e-06,2.770307633149626e-05,5.5406152662992526e-06,0.0,1.935208136569558e-05,25,2.0638985616280245
8.75,7,625,0.0112,7.916813487046278e-06,2.770307633149626e-05,5.5406152662992526e-06,0.0,1.935208136569558e-05,25,2.0638985616280245
9.0,5,625,0.008,5.6548667764616275e-06,1.9992973221712645e-05,3.998594644342529e-06,0.0,1.3907560511453695e-05,25,2.0638985616280245
9.25,5,625,0.008,5.6548667764616275e-06,1.9992973221712645e-05,3.998594644342529e-06,0.0,1.3907560511453695e-05,25,2.0638985616280245
9.5,4,625,0.0063999999999999994,4.523893421169301e-06,1.765731585010623e-05,3.5314631700212457e-06,0.0,1.1812475178218494e-05,25,2.0638985616280245
9.75,4,625,0.0063999999999999994,4.523893421169301e-06,1.765731585010623e-05,3.5314631700212457e-06,0.0,1.1812475178218494e-05,25,2.0638985616280245
10.0,3,625,0.0048,3.392920065876976e-06,1.6964600329384882e-05,3.3929200658769764e-06,0.0,1.0395562909559329e-05,25,2.0638985616280245
10.25,3,625,0.0048,3.392920065876976e-06,1.6964600329384882e-05,3.3929200658769764e-06,0.0,1.0395562909559329e-05,25,2.0638985616280245
10.5,3,625,0.0048,3.392920065876976e-06,1.6964600329384882e-05,3.3929200658769764e-06,0.0,1.0395562909559329e-05,25,2.0638985616280245
