velocity_m_per_s,captured_count,launched_count,capture_fraction,capture_cross_section_m2,capture_cross_section_sample_std_m2,capture_cross_section_disc_cluster_sem_m2,capture_cross_section_t95_lower_m2,capture_cross_section_t95_upper_m2,disc_count,student_t_critical_95
0.0,615,625,0.9840000000000002,0.0006955486135047803,2.4486291417161956e-05,4.897258283432391e-06,0.0006854411691776833,0.0007056560578318773,25,2.0638985616280245
0.25,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
0.5,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
0.75,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
1.0,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
1.25,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
1.5,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
1.75,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
2.0,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
2.25,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
2.5,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
2.75,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
3.0,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
3.25,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
3.5,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
3.75,625,625,1.0,0.0007068583470577034,1.1065592085860339e-19,2.2131184171720676e-20,0.0007068583470577034,0.0007068583470577034,25,2.0638985616280245
4.0,623,625,0.9968,0.0007045964003471188,7.828808551163145e-06,1.565761710232629e-06,0.0007013648270055175,0.0007068583470577034,25,2.0638985616280245
4.25,622,625,0.9952000000000002,0.0007034654269918266,9.3775356684849e-06,1.8755071336969802e-06,0.0006995945705162663,0.0007068583470577034,25,2.0638985616280245
4.5,614,625,0.9824,0.0006944176401494879,1.6486628072653355e-05,3.297325614530671e-06,0.0006876122945564388,0.000701222985742537,25,2.0638985616280245
4.75,598,625,0.9568000000000001,0.0006763220664648107,2.5707366856544122e-05,5.141473371308825e-06,0.0006657105869691176,0.0006869335459605037,25,2.0638985616280245
5.0,587,625,0.9391999999999998,0.000663881359556595,3.4744083155225705e-05,6.948816631045141e-06,0.000649539706906764,0.0006782230122064259,25,2.0638985616280245
5.25,561,625,0.8976000000000001,0.0006344760523189947,4.7648754405824664e-05,9.529750881164932e-06,0.000614807613182685,0.0006541444914553044,25,2.0638985616280245
5.5,543,625,0.8687999999999999,0.0006141185319237327,5.506845420273493e-05,1.1013690840546986e-05,0.000591387391239712,0.0006368496726077533,25,2.0638985616280245
5.75,527,625,0.8432000000000001,0.0005960229582390556,6.626899104640658e-05,1.3253798209281317e-05,0.0005686684631788117,0.0006233774532992994,25,2.0638985616280245
6.0,507,625,0.8111999999999999,0.000573403491133209,7.7655823896921e-05,1.55311647793842e-05,0.0005413487424846301,0.0006054582397817879,25,2.0638985616280245
6.25,493,625,0.7888000000000001,0.0005575698641591165,8.264299693015641e-05,1.652859938603128e-05,0.0005234565116605607,0.0005916832166576723,25,2.0638985616280245
6.5,473,625,0.7567999999999999,0.0005349503970532699,9.410158215833238e-05,1.8820316431666476e-05,0.0004961071730405691,0.0005737936210659706,25,2.0638985616280245
6.75,457,625,0.7312000000000001,0.0005168548233685928,0.00010013798863343916,2.002759772668783e-05,0.0004755198932276171,0.0005581897535095685,25,2.0638985616280245
7.0,443,625,0.7088,0.0005010211963945002,0.00010844229958803888,2.1688459917607775e-05,0.00045625841516662246,0.000545783977622378,25,2.0638985616280245
7.25,430,625,0.688,0.0004863185427756999,0.00011856130932244092,2.3712261864488182e-05,0.0004373788396206357,0.0005352582459307641,25,2.0638985616280245
7.5,407,625,0.6512,0.0004603061556039765,0.00013791770654286373,2.7583541308572744e-05,0.000403376524372606,0.000517235786835347,25,2.0638985616280245
7.75,386,625,0.6175999999999999,0.00043655571514283756,0.00015336925856595986,3.0673851713191974e-05,0.0003732479967123893,0.0004998634335732858,25,2.0638985616280245
8.0,360,625,0.576,0.00040715040790523715,0.00017179227153849922,3.435845430769984e-05,0.00033623804347981327,0.00047806277233066103,25,2.0638985616280245
8.25,333,625,0.5327999999999999,0.0003766141273123443,0.0001776489395661211,3.552978791322422e-05,0.00030328424914329206,0.00044994400548139656,25,2.0638985616280245
8.5,313,625,0.5008,0.00035399466020649787,0.00018470881730369478,3.6941763460738955e-05,0.00027775060773587606,0.0004302387126771197,25,2.0638985616280245
8.75,289,625,0.46240000000000003,0.0003268512996794821,0.00019742829069102074,3.948565813820415e-05,0.00024535690664310663,0.00040834569271585756,25,2.0638985616280245
9.0,268,625,0.4288,0.0003031008592183432,0.00019783953687183998,3.9567907374367994e-05,0.00022143671210175423,0.0003847650063349322,25,2.0638985616280245
9.25,244,625,0.39039999999999997,0.0002759574986913274,0.00020507502553372486,4.101500510674497e-05,0.00019130668864635037,0.0003606083087363044,25,2.0638985616280245
9.5,225,625,0.36,0.0002544690049407732,0.00020109260710519263,4.021852142103853e-05,0.0001714620564290859,0.00033747595345246054,25,2.0638985616280245
9.75,207,625,0.3312,0.00023411148454551136,0.00019597873410878854,3.919574682175771e-05,0.00015321543905814943,0.0003150075300328733,25,2.0638985616280245
10.0,193,625,0.3088,0.00021827785757141884,0.00019254939010221814,3.850987802044363e-05,0.00013879737571655457,0.0002977583394262831,25,2.0638985616280245
10.25,168,625,0.26880000000000004,0.0001900035236891107,0.000184961117403956,3.69922234807912e-05,0.0001136553268556833,0.0002663517205225381,25,2.0638985616280245
10.5,146,625,0.23359999999999997,0.0001651221098726795,0.00016938662361108347,3.3877324722216694e-05,9.520274810669095e-05,0.00023504147163866805,25,2.0638985616280245
10.75,128,625,0.20479999999999998,0.00014476458947741764,0.00016513276081932924,3.302655216386585e-05,7.6601135970882e-05,0.0002129280429839533,25,2.0638985616280245
11.0,115,625,0.184,0.00013006193585861744,0.00016035976511281848,3.2071953022563696e-05,6.386867814674665e-05,0.00019625519357048822,25,2.0638985616280245
11.25,103,625,0.1648,0.00011649025559510952,0.00015643144136683314,3.128628827336663e-05,5.191853022902841e-05,0.00018106198096119063,25,2.0638985616280245
11.5,95,625,0.152,0.00010744246875277091,0.00014939090652366799,2.9878181304733597e-05,4.577693333386991e-05,0.0001691080041716719,25,2.0638985616280245
11.75,82,625,0.13119999999999998,9.273981513397068e-05,0.00013498835439235208,2.6997670878470418e-05,3.7019361040588775e-05,0.0001484602692273526,25,2.0638985616280245
12.0,74,625,0.11840000000000002,8.36920282916321e-05,0.0001273601041815935,2.54720208363187e-05,3.112036112579486e-05,0.00013626369545746933,25,2.0638985616280245
12.25,64,625,0.1024,7.238229473870883e-05,0.00012190796369030346,2.438159273806069e-05,2.2061160556425086e-05,0.00012270342892099258,25,2.0638985616280245
12.5,62,625,0.09920000000000001,7.012034802812418e-05,0.00011887555794831734,2.377511158966347e-05,2.105092941567197e-05,0.0001191897666405764,25,2.0638985616280245
12.75,56,625,0.0896,6.333450789637023e-05,0.00011288507884757186,2.2577015769514374e-05,1.6737837523816283e-05,0.00010993117826892416,25,2.0638985616280245
13.0,54,625,0.08639999999999999,6.107256118578557e-05,0.0001103182237481155,2.20636447496231e-05,1.5535436522766738e-05,0.00010660968584880441,25,2.0638985616280245
13.25,51,625,0.08159999999999999,5.7679641119908594e-05,0.00010499642574855967,2.0999285149711935e-05,1.4339246704201399e-05,0.0001010200355356158,25,2.0638985616280245
13.5,45,625,0.07200000000000002,5.089380098815466e-05,9.691953357676045e-05,1.938390671535209e-05,1.0887383799607674e-05,9.090021817670164e-05,25,2.0638985616280245
13.75,39,625,0.0624,4.4107960856400694e-05,9.201112953991186e-05,1.840222590798237e-05,6.127633274161908e-06,8.208828843863947e-05,25,2.0638985616280245
14.0,33,625,0.05280000000000001,3.7322120724646743e-05,8.893315570054268e-05,1.7786631140108535e-05,6.123182983685111e-07,7.403192315092498e-05,25,2.0638985616280245
14.25,31,625,0.049600000000000005,3.506017401406209e-05,8.725430728025017e-05,1.7450861456050033e-05,0.0,7.107698187237368e-05,25,2.0638985616280245
14.5,28,625,0.0448,3.166725394818511e-05,8.134298670773232e-05,1.6268597341546463e-05,0.0,6.524398860110836e-05,25,2.0638985616280245
14.75,27,625,0.043199999999999995,3.0536280592892786e-05,8.117902164137835e-05,1.623580432827567e-05,0.0,6.4045333792895e-05,25,2.0638985616280245
15.0,24,625,0.0384,2.7143360527015808e-05,7.634070148223197e-05,1.5268140296446393e-05,0.0,5.86552533235864e-05,25,2.0638985616280245
15.25,23,625,0.0368,2.6012387171723485e-05,7.521539695267471e-05,1.5043079390534943e-05,0.0,5.705977708830474e-05,25,2.0638985616280245
15.5,20,625,0.032,2.261946710584651e-05,6.828900408934605e-05,1.365780081786921e-05,0.0,5.080778256884883e-05,25,2.0638985616280245
15.75,19,625,0.030400000000000003,2.1488493750554187e-05,6.337068198117524e-05,1.2674136396235048e-05,0.0,4.76466256286211e-05,25,2.0638985616280245
16.0,18,625,0.0288,2.0357520395261858e-05,6.13624704119676e-05,1.2272494082393519e-05,0.0,4.5686703279502284e-05,25,2.0638985616280245
16.25,17,625,0.027200000000000002,1.9226547039969535e-05,6.0377455077092845e-05,1.207549101541857e-05,0.0,4.4149135577644055e-05,25,2.0638985616280245
16.5,17,625,0.027200000000000002,1.9226547039969535e-05,6.0377455077092845e-05,1.207549101541857e-05,0.0,4.4149135577644055e-05,25,2.0638985616280245
16.75,12,625,0.019200000000000002,1.3571680263507907e-05,4.972854390324483e-05,9.945708780648967e-06,0.0,3.409861431026052e-05,25,2.0638985616280245
17.0,10,625,0.016,1.1309733552923255e-05,3.998594644342529e-05,7.997189288685058e-06,0.0,2.781512102290739e-05,25,2.0638985616280245
17.25,7,625,0.0112,7.916813487046278e-06,3.0011666025787616e-05,6.002333205157523e-06,0.0,2.030502035558302e-05,25,2.0638985616280245
17.5,5,625,0.008,5.6548667764616275e-06,2.3085896942913554e-05,4.617179388582711e-06,0.0,1.5184256675336046e-05,25,2.0638985616280245
17.75,4,625,0.0063999999999999994,4.523893421169301e-06,1.765731585010623e-05,3.5314631700212457e-06,0.0,1.1812475178218494e-05,25,2.0638985616280245
18.0,3,625,0.0048,3.392920065876976e-06,1.6964600329384882e-05,3.3929200658769764e-06,0.0,1.0395562909559329e-05,25,2.0638985616280245
18.25,1,625,0.0016,1.1309733552923255e-06,5.6548667764616275e-06,1.1309733552923255e-06,0.0,3.4651876365197766e-06,25,2.0638985616280245
18.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
18.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
19.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
19.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
19.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
19.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
20.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
20.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
20.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
20.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
21.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
21.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
21.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
21.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
22.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
22.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
22.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
22.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
23.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
23.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
23.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
23.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
24.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
24.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
24.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
24.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
25.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
25.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
25.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
25.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
26.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
26.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
26.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
26.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
27.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
27.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
27.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
27.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
28.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
28.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
28.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
28.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
29.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
29.25,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
29.5,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
29.75,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
30.0,0,625,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0638985616280245
