scan_type,configuration_role,combined_code,axis,coordinate_m,velocity_m_per_s,same_axis_force_proxy_n,reference_scalar_transition_shift_hz,reference_vector_transition_shift_hz,reference_tensor_transition_shift_hz,reference_total_transition_shift_hz,same_axis_effective_field_proxy_g,effective_field_proxy_magnitude_g
position,current,++-++-,x,-0.002,,2.668994086825419e-21,-8167581.884232363,6074662.775843834,5135586.973752744,3042667.8653642135,-4.340276519499165,4.340276519499165
position,current,++-++-,x,-0.0019500000000000001,,2.5978795688382583e-21,-8306039.154148558,5898501.449739689,5011106.344855775,2603568.6404469074,-4.214411282934252,4.214411282934252
position,current,++-++-,x,-0.0019,,2.5240041373679066e-21,-8455850.858955005,5724325.182600316,4882708.236137204,2151182.559782513,-4.089964348114233,4.089964348114233
position,current,++-++-,x,-0.00185,,2.4473779415287693e-21,-8617043.12529846,5552064.1115726475,4750348.96822556,1685369.954499749,-3.9668857988360284,3.9668857988360284
position,current,++-++-,x,-0.0018,,2.367918005082756e-21,-8789579.574527068,5381650.047781135,4614017.306939801,1206087.7801938674,-3.8451269149341996,3.8451269149341996
position,current,++-++-,x,-0.00175,,2.2854313912622113e-21,-8973356.248189006,5213016.404210675,4473736.963934015,713397.1199556829,-3.7246401207541235,3.7246401207541235
position,current,++-++-,x,-0.0017000000000000001,,2.199610834967733e-21,-9168196.87277359,5046098.126280818,4329568.929459489,207470.18296671676,-3.6053789355480768,3.6053789355480768
position,current,++-++-,x,-0.00165,,2.1100526424954123e-21,-9373848.552351821,4880831.624971054,4181613.5928400075,-311403.3345407603,-3.4872979256940106,3.4872979256940106
position,current,++-++-,x,-0.0016,,2.016304014354426e-21,-9589977.978235034,4717154.712363971,4030012.606029761,-842810.6598413019,-3.370352658641889,3.370352658641889
position,current,++-++-,x,-0.00155,,1.917939071662166e-21,-9816168.243713103,4555006.539479851,3874950.446156029,-1386211.2580772226,-3.254499658497222,3.254499658497222
position,current,++-++-,x,-0.0015,,1.8146517727856063e-21,-10051916.349261452,4394327.536282286,3716655.634288652,-1940933.1786905131,-3.139696363155771,3.139696363155771
position,current,++-++-,x,-0.00145,,1.706344754777662e-21,-10296631.479252435,4235059.353740232,3555401.5698587503,-2506170.555653453,-3.02590108290755,3.02590108290755
position,current,++-++-,x,-0.0014,,1.5931904981624196e-21,-10549634.125135431,4077144.807837547,3391506.9431882408,-3080982.374109643,-2.913072960432292,2.913072960432292
position,current,++-++-,x,-0.00135,,1.4756477852820023e-21,-10810156.122260742,3920527.825425953,3225335.692489584,-3664292.604345205,-2.801171932112012,2.801171932112012
position,current,++-++-,x,-0.0013,,1.3544373516559231e-21,-11077341.658050925,3765153.3918222645,3057296.4764337116,-4254891.789794948,-2.690158690589828,2.690158690589828
position,current,++-++-,x,-0.00125,,1.2305028561013835e-21,-11350249.298145596,3610967.500055239,2887841.638926063,-4851440.159164293,-2.5799946485074257,2.5799946485074257
position,current,++-++-,x,-0.0012000000000000001,,1.1049725964336844e-21,-11627855.064575905,3457917.1016716184,2717465.6490180665,-5452472.313886219,-2.47064190335654,2.47064190335654
position,current,++-++-,x,-0.00115,,9.791185215031014e-22,-11909056.586117495,3305950.059014849,2546703.00583766,-6056403.521264986,-2.3620632033826503,2.3620632033826503
position,current,++-++-,x,-0.0010999999999999998,,8.543136278743687e-22,-12192678.325917896,3155015.0988936606,2376125.6059514033,-6661537.6210728325,-2.254221914481714,2.254221914481714
position,current,++-++-,x,-0.0010500000000000002,,7.319914230539975e-22,-12477477.875523645,3005061.767561301,2206339.5785582066,-7266076.529404138,-2.147081988033351,2.147081988033351
position,current,++-++-,x,-0.001,,6.136060067811828e-22,-12762153.2878046,2856040.386929212,2037981.6022309042,-7868131.298644483,-2.0406079296160167,2.0406079296160167
position,current,++-++-,x,-0.0009499999999999999,,5.00589225328913e-22,-13045351.404275335,2707902.011942276,1871714.7254226105,-8465734.666910449,-1.9347647685521094,1.9347647685521094
position,current,++-++-,x,-0.0009,,3.9430311185519492e-22,-13325677.115258075,2560598.3890452352,1708223.7214846273,-9056855.004728213,-1.8295180282327053,1.8295180282327053
position,current,++-++-,x,-0.0008500000000000001,,2.9598873603823017e-22,-13601703.474543544,2414081.915672945,1548210.0173384657,-9639411.541532133,-1.7248336971738112,1.7248336971738112
position,current,++-++-,x,-0.0007999999999999999,,2.0671512344186457e-22,-13871982.574023364,2268305.600699244,1392386.243037707,-10211290.730286412,-1.6206782007575384,1.6206782007575384
position,current,++-++-,x,-0.00075,,1.2733341322114967e-22,-14135057.068527354,2123223.025781634,1241470.4570773824,-10770363.585668337,-1.5170183736133211,1.5170183736133211
position,current,++-++-,x,-0.0006999999999999999,,5.844162959750623e-23,-14389472.227133665,1978788.3075412204,1096180.10929276,-11314503.810299685,-1.4138214325959224,1.4138214325959224
position,current,++-++-,x,-0.00065,,3.643697277909683e-25,-14633788.374847189,1834956.0605190974,957225.8093774089,-11841606.504950684,-1.3110549503181954,1.3110549503181954
position,current,++-++-,x,-0.0006000000000000001,,-4.6850330782666165e-23,-14866593.578057861,1691681.360852444,825304.9742937254,-12349607.242911693,-1.2086868291980746,1.2086868291980746
position,current,++-++-,x,-0.0005499999999999999,,-8.341717266146355e-23,-15086516.418861585,1548919.710614992,701095.432015183,-12836501.276231408,-1.1066852759802512,1.1066852759802512
position,current,++-++-,x,-0.0005,,-1.0978534430217252e-22,-15292238.697380858,1406627.0027684332,585249.0620137136,-13300362.632598711,-1.0050187766943572,1.0050187766943572
position,current,++-++-,x,-0.0004499999999999999,,-1.2660005460567234e-22,-15482507.897845797,1264759.4866723674,478385.5545953308,-13739362.856578099,-0.9036560720122209,0.9036560720122209
position,current,++-++-,x,-0.00039999999999999996,,-1.346588192160603e-22,-15656149.253524056,1123273.7341019872,381086.37152457854,-14151789.147897488,-0.8025661329678948,0.8025661329678948
position,current,++-++-,x,-0.00035000000000000005,,-1.348673495191698e-22,-15812077.247702751,982126.6057237363,293888.9893224499,-14536061.652656564,-0.7017181370048995,0.7017181370048995
position,current,++-++-,x,-0.0002999999999999999,,-1.2819909396082213e-22,-15949306.392851636,841275.217980085,217281.50416069382,-14890749.670710858,-0.601081444315778,0.601081444315778
position,current,++-++-,x,-0.00025,,-1.1566130555032908e-22,-16066961.137799608,700676.9103358922,151697.67342538407,-15214586.554038333,-0.5006255744399984,0.5006255744399984
position,current,++-++-,x,-0.00019999999999999987,,-9.826924505549713e-23,-16164284.76314334,560289.212839188,97512.46383055062,-15506483.086473601,-0.40032018308650796,0.40032018308650796
position,current,++-++-,x,-0.00014999999999999996,,-7.702898554178618e-23,-16240647.13802407,420069.8139502334,55038.169505430575,-15765539.154568408,-0.30013503914796597,0.30013503914796597
position,current,++-++-,x,-0.00010000000000000005,,-5.292837268765379e-23,-16295551.226648964,279976.5285932679,24521.155859957365,-15991053.54219574,-0.20004000187408702,0.20004000187408702
position,current,++-++-,x,-4.9999999999999914e-05,,-2.693504492482445e-23,-16328638.250236226,139967.26638566868,6139.276383033791,-16182531.707467524,-0.10000499817174047,0.10000499817174047
position,current,++-++-,x,0.0,,0.0,-16339691.429122167,0.0,4.331163404506403e-09,-16339691.429122163,0.0,0.0
position,current,++-++-,x,5.000000000000013e-05,,2.693504492482445e-23,-16328638.250236226,139967.26638566868,6139.276383033791,-16182531.707467524,0.10000499817174047,0.10000499817174047
position,current,++-++-,x,0.00010000000000000026,,5.2928372687654546e-23,-16295551.226648964,279976.5285932722,24521.15585995845,-15991053.542195735,0.20004000187409016,0.20004000187409016
position,current,++-++-,x,0.00014999999999999996,,7.702898554178618e-23,-16240647.13802407,420069.8139502334,55038.169505430575,-15765539.154568408,0.30013503914796597,0.30013503914796597
position,current,++-++-,x,0.0002000000000000001,,9.826924505549713e-23,-16164284.76314334,560289.212839188,97512.46383055062,-15506483.086473601,0.40032018308650796,0.40032018308650796
position,current,++-++-,x,0.0002500000000000002,,1.1566130555032908e-22,-16066961.137799608,700676.9103358922,151697.67342538407,-15214586.554038333,0.5006255744399984,0.5006255744399984
position,current,++-++-,x,0.0002999999999999999,,1.2819909396082213e-22,-15949306.392851636,841275.217980085,217281.50416069382,-14890749.670710858,0.601081444315778,0.601081444315778
position,current,++-++-,x,0.00035000000000000005,,1.348673495191698e-22,-15812077.247702751,982126.6057237363,293888.9893224499,-14536061.652656564,0.7017181370048995,0.7017181370048995
position,current,++-++-,x,0.0004000000000000002,,1.346588192160603e-22,-15656149.253524056,1123273.7341019872,381086.3715245802,-14151789.147897488,0.8025661329678948,0.8025661329678948
position,current,++-++-,x,0.0004499999999999999,,1.2660005460567234e-22,-15482507.897845797,1264759.4866723674,478385.5545953308,-13739362.856578099,0.9036560720122209,0.9036560720122209
position,current,++-++-,x,0.0005,,1.0978534430217255e-22,-15292238.697380858,1406627.0027684332,585249.0620137136,-13300362.632598711,1.0050187766943572,1.0050187766943572
position,current,++-++-,x,0.0005500000000000001,,8.341717266146355e-23,-15086516.418861585,1548919.710614992,701095.432015183,-12836501.276231408,1.1066852759802512,1.1066852759802512
