scan_type,configuration_role,combined_code,axis,coordinate_m,velocity_m_per_s,same_axis_780_force_proxy_n,applied_reference_vector_transition_shift_hz,same_axis_effective_field_proxy_g
position,current_matched,++-++-,x,-0.0005,,6.572274199720748e-22,1406627.0027684332,-1.0050187766943572
position,current_matched,++-++-,x,-0.00048750000000000003,,6.407074667931645e-22,1371121.9636835197,-0.9796508356002537
position,current_matched,++-++-,x,-0.000475,,6.241952710920155e-22,1335642.817177273,-0.954301394455096
position,current_matched,++-++-,x,-0.0004625,,6.076905424560509e-22,1300188.8841442154,-0.9289699680458497
position,current_matched,++-++-,x,-0.00045,,5.911929932029478e-22,1264759.4866723674,-0.9036560720122209
position,current_matched,++-++-,x,-0.0004375,,5.747023385909931e-22,1229353.9480105254,-0.8783592228232772
position,current_matched,++-++-,x,-0.00042500000000000003,,5.582182970370315e-22,1193971.592535754,-0.8530789377542196
position,current_matched,++-++-,x,-0.0004125,,5.417405903413915e-22,1158611.745720845,-0.8278147348631353
position,current_matched,++-++-,x,-0.0004,,5.252689439190433e-22,1123273.7341019872,-0.8025661329678948
position,current_matched,++-++-,x,-0.0003875,,5.088030870358208e-22,1087956.8852464696,-0.7773326516230786
position,current_matched,++-++-,x,-0.000375,,4.923427530485993e-22,1052660.5277204611,-0.7521138110969559
position,current_matched,++-++-,x,-0.0003625,,4.758876796479056e-22,1017383.9910569639,-0.7269091323485851
position,current_matched,++-++-,x,-0.00035,,4.594376091010946e-22,982126.6057237363,-0.7017181370048995
position,current_matched,++-++-,x,-0.0003375,,4.429922884943998e-22,946887.7030913932,-0.6765403473379119
position,current_matched,++-++-,x,-0.000325,,4.265514699712174e-22,911666.6154015481,-0.6513752862419532
position,current_matched,++-++-,x,-0.0003125,,4.101149109644693e-22,876462.6757350093,-0.6262224772109499
position,current_matched,++-++-,x,-0.00030000000000000003,,3.9368237442016156e-22,841275.217980085,-0.601081444315778
position,current_matched,++-++-,x,-0.0002875,,3.7725362900920546e-22,806103.5768009621,-0.5759517121816693
position,current_matched,++-++-,x,-0.00027499999999999996,,3.608284493243769e-22,770947.0876061418,-0.5508328059656599
