combined_code,incident_code_xyz,retro_code_xyz,mismatched_path_count,pair_centered,origin_effective_field_zero,origin_force_equilibrium,centered_origin_equilibrium,origin_force_norm_n,origin_effective_field_proxy_magnitude_g,position_classification,velocity_classification,combined_classification,origin_force_x_n,origin_effective_field_proxy_x_t,origin_force_y_n,origin_effective_field_proxy_y_t,origin_force_z_n,origin_effective_field_proxy_z_t,dFx_dx_n_per_m,dFx_dvx_n_s_per_m,dFx_dy_n_per_m,dFx_dvy_n_s_per_m,dFx_dz_n_per_m,dFx_dvz_n_s_per_m,dFy_dx_n_per_m,dFy_dvx_n_s_per_m,dFy_dy_n_per_m,dFy_dvy_n_s_per_m,dFy_dz_n_per_m,dFy_dvz_n_s_per_m,dFz_dx_n_per_m,dFz_dvx_n_s_per_m,dFz_dy_n_per_m,dFz_dvy_n_s_per_m,dFz_dz_n_per_m,dFz_dvz_n_s_per_m
++++++,+++,+++,0,True,True,True,True,1.181371822576399e-36,0.0,saddle,damping,saddle_and_damping,0.0,0.0,0.0,0.0,1.181371822576399e-36,0.0,-1.311295384095848e-18,-7.144316206324645e-22,0.0,0.0,0.0,0.0,0.0,0.0,-1.3112953840961728e-18,-7.144316206327275e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.3112953840963401e-18,-7.085676860586915e-22
+++++-,+++,++-,1,False,False,False,False,4.788230567636823e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,0.0,0.0,-4.788230567636823e-21,-0.0010000010304571042,,,,,,,,,,,,,,,,,,
++++-+,+++,+-+,1,False,False,False,False,4.788230567636831e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,4.788230567636831e-21,-0.0010000010304571042,0.0,0.0,,,,,,,,,,,,,,,,,,
++++--,+++,+--,2,False,False,False,False,5.133527098579564e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,3.629951822810512e-21,-0.0010000010304571042,-3.629951822810512e-21,-0.0010000010304571042,,,,,,,,,,,,,,,,,,
+++-++,+++,-++,1,False,False,False,False,4.788230567636831e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,4.788230567636831e-21,-0.0010000010304571042,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
+++-+-,+++,-+-,2,False,False,False,False,5.133527098579558e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,3.6299518228105075e-21,-0.0010000010304571042,0.0,0.0,-3.6299518228105075e-21,-0.0010000010304571042,,,,,,,,,,,,,,,,,,
+++--+,+++,--+,2,False,False,False,False,5.13352709857956e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,3.629951822810509e-21,-0.0010000010304571042,3.629951822810509e-21,-0.0010000010304571042,0.0,0.0,,,,,,,,,,,,,,,,,,
+++---,+++,---,3,False,False,False,False,4.614263105792614e-21,17.32052592372937,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,2.6640460462411243e-21,-0.0010000010304571042,2.6640460462411243e-21,-0.0010000010304571042,-2.6640460462411243e-21,-0.0010000010304571042,,,,,,,,,,,,,,,,,,
++-+++,++-,+++,1,False,False,False,False,4.788230567636823e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,0.0,0.0,4.788230567636823e-21,0.0010000010304571042,,,,,,,,,,,,,,,,,,
++-++-,++-,++-,0,True,True,True,True,1.181371822576399e-36,0.0,restoring,damping,restoring_and_damping,0.0,0.0,0.0,0.0,1.181371822576399e-36,0.0,-1.311295384095848e-18,-7.144316206324645e-22,0.0,0.0,0.0,0.0,0.0,0.0,-1.3112953840961728e-18,-7.144316206327275e-22,0.0,0.0,0.0,0.0,0.0,0.0,-1.3112953840963401e-18,-7.1443162063117295e-22
++-+-+,++-,+-+,2,False,False,False,False,5.133527098579564e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,3.629951822810512e-21,-0.0010000010304571042,3.629951822810512e-21,0.0010000010304571042,,,,,,,,,,,,,,,,,,
++-+--,++-,+--,1,False,False,False,False,4.788230567636831e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,4.788230567636831e-21,-0.0010000010304571042,0.0,0.0,,,,,,,,,,,,,,,,,,
++--++,++-,-++,2,False,False,False,False,5.133527098579558e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,3.6299518228105075e-21,-0.0010000010304571042,0.0,0.0,3.6299518228105075e-21,0.0010000010304571042,,,,,,,,,,,,,,,,,,
++--+-,++-,-+-,1,False,False,False,False,4.788230567636831e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,4.788230567636831e-21,-0.0010000010304571042,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
++---+,++-,--+,3,False,False,False,False,4.614263105792615e-21,17.32052592372937,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,2.6640460462411247e-21,-0.0010000010304571042,2.6640460462411247e-21,-0.0010000010304571042,2.664046046241125e-21,0.0010000010304571042,,,,,,,,,,,,,,,,,,
++----,++-,---,2,False,False,False,False,5.13352709857956e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,3.629951822810509e-21,-0.0010000010304571042,3.629951822810509e-21,-0.0010000010304571042,0.0,0.0,,,,,,,,,,,,,,,,,,
+-++++,+-+,+++,1,False,False,False,False,4.788230567636831e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,-4.788230567636831e-21,0.0010000010304571042,0.0,0.0,,,,,,,,,,,,,,,,,,
+-+++-,+-+,++-,2,False,False,False,False,5.1335270985795624e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,-3.6299518228105105e-21,0.0010000010304571042,-3.6299518228105105e-21,-0.0010000010304571042,,,,,,,,,,,,,,,,,,
+-++-+,+-+,+-+,0,True,True,True,True,1.181371822576399e-36,0.0,saddle,damping,saddle_and_damping,0.0,0.0,0.0,0.0,1.181371822576399e-36,0.0,-1.311295384095848e-18,-7.144316206324645e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.3112953840961728e-18,-7.085676860587385e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.3112953840963401e-18,-7.085676860586915e-22
+-++--,+-+,+--,1,False,False,False,False,4.788230567636823e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,0.0,0.0,-4.788230567636823e-21,-0.0010000010304571042,,,,,,,,,,,,,,,,,,
+-+-++,+-+,-++,2,False,False,False,False,5.133527098579558e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,3.6299518228105075e-21,-0.0010000010304571042,-3.6299518228105075e-21,0.0010000010304571042,0.0,0.0,,,,,,,,,,,,,,,,,,
+-+-+-,+-+,-+-,3,False,False,False,False,4.614263105792614e-21,17.32052592372937,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,2.6640460462411243e-21,-0.0010000010304571042,-2.6640460462411243e-21,0.0010000010304571042,-2.6640460462411243e-21,-0.0010000010304571042,,,,,,,,,,,,,,,,,,
+-+--+,+-+,--+,1,False,False,False,False,4.788230567636831e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,4.788230567636831e-21,-0.0010000010304571042,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
+-+---,+-+,---,2,False,False,False,False,5.133527098579558e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,3.6299518228105075e-21,-0.0010000010304571042,0.0,0.0,-3.6299518228105075e-21,-0.0010000010304571042,,,,,,,,,,,,,,,,,,
+--+++,+--,+++,2,False,False,False,False,5.1335270985795564e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,-3.629951822810507e-21,0.0010000010304571042,3.629951822810507e-21,0.0010000010304571042,,,,,,,,,,,,,,,,,,
+--++-,+--,++-,1,False,False,False,False,4.788230567636831e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,-4.788230567636831e-21,0.0010000010304571042,0.0,0.0,,,,,,,,,,,,,,,,,,
+--+-+,+--,+-+,1,False,False,False,False,4.788230567636823e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,0.0,0.0,0.0,0.0,4.788230567636823e-21,0.0010000010304571042,,,,,,,,,,,,,,,,,,
+--+--,+--,+--,0,True,True,True,True,1.181371822576399e-36,0.0,saddle,damping,saddle_and_damping,0.0,0.0,0.0,0.0,1.181371822576399e-36,0.0,-1.311295384095848e-18,-7.144316206324645e-22,0.0,0.0,0.0,0.0,0.0,0.0,1.3112953840961728e-18,-7.085676860587385e-22,0.0,0.0,0.0,0.0,0.0,0.0,-1.3112953840963401e-18,-7.1443162063117295e-22
+---++,+--,-++,3,False,False,False,False,4.614263105792615e-21,17.32052592372937,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,2.664046046241125e-21,-0.0010000010304571042,-2.664046046241125e-21,0.0010000010304571042,2.6640460462411255e-21,0.0010000010304571042,,,,,,,,,,,,,,,,,,
+---+-,+--,-+-,2,False,False,False,False,5.133527098579558e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,3.6299518228105075e-21,-0.0010000010304571042,-3.6299518228105075e-21,0.0010000010304571042,0.0,0.0,,,,,,,,,,,,,,,,,,
+----+,+--,--+,2,False,False,False,False,5.133527098579558e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,3.6299518228105075e-21,-0.0010000010304571042,0.0,0.0,3.6299518228105075e-21,0.0010000010304571042,,,,,,,,,,,,,,,,,,
+-----,+--,---,1,False,False,False,False,4.788230567636831e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,4.788230567636831e-21,-0.0010000010304571042,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
-+++++,-++,+++,1,False,False,False,False,4.788230567636831e-21,10.000010304571042,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,-4.788230567636831e-21,0.0010000010304571042,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
-++++-,-++,++-,2,False,False,False,False,5.133527098579558e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,-3.6299518228105075e-21,0.0010000010304571042,0.0,0.0,-3.6299518228105075e-21,-0.0010000010304571042,,,,,,,,,,,,,,,,,,
-+++-+,-++,+-+,2,False,False,False,False,5.13352709857956e-21,14.142150196595072,not_classified_origin_biased,not_classified_origin_biased,not_classified_origin_biased,-3.629951822810509e-21,0.0010000010304571042,3.629951822810509e-21,-0.0010000010304571042,0.0,0.0,,,,,,,,,,,,,,,,,,
