coordinate_m,force_x_n,reference_shift_x_hz,force_y_n,reference_shift_y_hz,force_z_n,reference_shift_z_hz
-0.002,2.668994086825419e-21,3042667.8653642135,2.6689940868254198e-21,3042667.8653642135,2.668994086825419e-21,3042667.8653642135
-0.0019500000000000001,2.5978795688382583e-21,2603568.6404469074,2.597879568838259e-21,2603568.6404469074,2.5978795688382587e-21,2603568.640446906
-0.0019,2.5240041373679066e-21,2151182.559782513,2.5240041373679066e-21,2151182.559782513,2.5240041373679074e-21,2151182.559782513
-0.00185,2.4473779415287693e-21,1685369.954499749,2.44737794152877e-21,1685369.95449975,2.44737794152877e-21,1685369.9544997495
-0.0018,2.367918005082756e-21,1206087.7801938674,2.3679180050827553e-21,1206087.7801938665,2.3679180050827575e-21,1206087.7801938665
-0.00175,2.2854313912622113e-21,713397.1199556829,2.285431391262212e-21,713397.119955685,2.2854313912622135e-21,713397.1199556856
-0.0017000000000000001,2.199610834967733e-21,207470.18296671676,2.1996108349677337e-21,207470.18296671892,2.1996108349677344e-21,207470.18296671892
-0.00165,2.1100526424954123e-21,-311403.3345407603,2.1100526424954115e-21,-311403.3345407592,2.1100526424954115e-21,-311403.33454076084
-0.0016,2.016304014354426e-21,-842810.6598413019,2.016304014354426e-21,-842810.6598413019,2.016304014354427e-21,-842810.6598413019
-0.00155,1.917939071662166e-21,-1386211.2580772226,1.9179390716621667e-21,-1386211.2580772198,1.9179390716621675e-21,-1386211.2580772205
-0.0015,1.8146517727856063e-21,-1940933.1786905131,1.8146517727856048e-21,-1940933.178690512,1.814651772785604e-21,-1940933.1786905124
-0.00145,1.706344754777662e-21,-2506170.555653453,1.7063447547776606e-21,-2506170.555653452,1.7063447547776613e-21,-2506170.5556534515
-0.0014,1.5931904981624196e-21,-3080982.374109643,1.5931904981624181e-21,-3080982.3741096426,1.5931904981624181e-21,-3080982.3741096426
-0.00135,1.4756477852820023e-21,-3664292.604345205,1.475647785282003e-21,-3664292.604345202,1.4756477852820047e-21,-3664292.6043452015
-0.0013,1.3544373516559231e-21,-4254891.789794948,1.3544373516559239e-21,-4254891.789794948,1.3544373516559246e-21,-4254891.789794948
-0.00125,1.2305028561013835e-21,-4851440.159164293,1.2305028561013843e-21,-4851440.159164293,1.2305028561013835e-21,-4851440.159164292
-0.0012000000000000001,1.1049725964336844e-21,-5452472.313886219,1.1049725964336844e-21,-5452472.313886219,1.1049725964336837e-21,-5452472.313886219
-0.00115,9.791185215031014e-22,-6056403.521264986,9.791185215031014e-22,-6056403.521264987,9.791185215031014e-22,-6056403.521264986
-0.0010999999999999998,8.543136278743687e-22,-6661537.6210728325,8.543136278743657e-22,-6661537.621072832,8.54313627874368e-22,-6661537.621072829
-0.0010500000000000002,7.319914230539975e-22,-7266076.529404138,7.319914230539975e-22,-7266076.529404139,7.3199142305399595e-22,-7266076.529404142
-0.001,6.136060067811828e-22,-7868131.298644483,6.136060067811798e-22,-7868131.298644486,6.136060067811806e-22,-7868131.298644486
-0.0009499999999999999,5.00589225328913e-22,-8465734.666910449,5.00589225328913e-22,-8465734.666910449,5.005892253289122e-22,-8465734.666910449
-0.0009,3.9430311185519492e-22,-9056855.004728213,3.9430311185519568e-22,-9056855.004728213,3.9430311185519643e-22,-9056855.004728213
-0.0008500000000000001,2.9598873603823017e-22,-9639411.541532133,2.959887360382309e-22,-9639411.541532133,2.9598873603822866e-22,-9639411.541532133
-0.0007999999999999999,2.0671512344186457e-22,-10211290.730286412,2.0671512344186532e-22,-10211290.730286412,2.0671512344186457e-22,-10211290.730286412
-0.00075,1.2733341322114967e-22,-10770363.585668337,1.2733341322114967e-22,-10770363.585668337,1.2733341322114967e-22,-10770363.585668338
-0.0006999999999999999,5.844162959750623e-23,-11314503.810299685,5.844162959750623e-23,-11314503.810299685,5.844162959750623e-23,-11314503.810299687
-0.00065,3.643697277909683e-25,-11841606.504950684,3.643697277909683e-25,-11841606.504950684,3.6436972779097934e-25,-11841606.504950684
-0.0006000000000000001,-4.6850330782666165e-23,-12349607.242911693,-4.685033078266691e-23,-12349607.242911693,-4.6850330782667664e-23,-12349607.242911693
-0.0005499999999999999,-8.341717266146355e-23,-12836501.276231408,-8.34171726614628e-23,-12836501.276231406,-8.341717266146278e-23,-12836501.276231406
-0.0005,-1.0978534430217252e-22,-13300362.632598711,-1.0978534430217102e-22,-13300362.63259871,-1.0978534430217102e-22,-13300362.63259871
-0.0004499999999999999,-1.2660005460567234e-22,-13739362.856578099,-1.2660005460567234e-22,-13739362.856578099,-1.2660005460567083e-22,-13739362.8565781
-0.00039999999999999996,-1.346588192160603e-22,-14151789.147897488,-1.3465881921605955e-22,-14151789.147897493,-1.3465881921606106e-22,-14151789.147897493
-0.00035000000000000005,-1.348673495191698e-22,-14536061.652656564,-1.348673495191713e-22,-14536061.652656566,-1.348673495191728e-22,-14536061.652656566
-0.0002999999999999999,-1.2819909396082213e-22,-14890749.670710858,-1.2819909396082213e-22,-14890749.670710858,-1.281990939608244e-22,-14890749.670710852
-0.00025,-1.1566130555032908e-22,-15214586.554038333,-1.1566130555032908e-22,-15214586.554038333,-1.1566130555032908e-22,-15214586.554038333
-0.00019999999999999987,-9.826924505549713e-23,-15506483.086473601,-9.826924505549713e-23,-15506483.0864736,-9.826924505549713e-23,-15506483.0864736
-0.00014999999999999996,-7.702898554178618e-23,-15765539.154568408,-7.702898554178543e-23,-15765539.154568408,-7.702898554178618e-23,-15765539.154568408
-0.00010000000000000005,-5.292837268765379e-23,-15991053.54219574,-5.292837268765379e-23,-15991053.54219574,-5.292837268765153e-23,-15991053.542195735
-4.9999999999999914e-05,-2.693504492482445e-23,-16182531.707467524,-2.693504492482445e-23,-16182531.707467524,-2.6935044924826704e-23,-16182531.707467528
0.0,0.0,-16339691.429122163,0.0,-16339691.429122163,-1.503898085083264e-36,-16339691.429122163
5.000000000000013e-05,2.693504492482445e-23,-16182531.707467524,2.693504492482595e-23,-16182531.707467524,2.6935044924826704e-23,-16182531.707467528
0.00010000000000000026,5.2928372687654546e-23,-15991053.542195735,5.2928372687654546e-23,-15991053.542195735,5.2928372687653793e-23,-15991053.54219573
0.00014999999999999996,7.702898554178618e-23,-15765539.154568408,7.702898554178543e-23,-15765539.154568408,7.702898554178618e-23,-15765539.154568408
0.0002000000000000001,9.826924505549713e-23,-15506483.086473601,9.826924505549713e-23,-15506483.0864736,9.826924505549713e-23,-15506483.0864736
0.0002500000000000002,1.1566130555032908e-22,-15214586.554038333,1.1566130555032908e-22,-15214586.554038333,1.1566130555032908e-22,-15214586.554038333
0.0002999999999999999,1.2819909396082213e-22,-14890749.670710858,1.2819909396082213e-22,-14890749.670710858,1.281990939608244e-22,-14890749.670710852
0.00035000000000000005,1.348673495191698e-22,-14536061.652656564,1.348673495191683e-22,-14536061.652656564,1.348673495191728e-22,-14536061.652656566
0.0004000000000000002,1.346588192160603e-22,-14151789.147897488,1.346588192160603e-22,-14151789.147897488,1.346588192160603e-22,-14151789.147897488
0.0004499999999999999,1.2660005460567234e-22,-13739362.856578099,1.2660005460567234e-22,-13739362.856578099,1.2660005460567234e-22,-13739362.856578099
0.0005,1.0978534430217255e-22,-13300362.632598711,1.0978534430217102e-22,-13300362.63259871,1.0978534430217104e-22,-13300362.632598706
0.0005500000000000001,8.341717266146355e-23,-12836501.276231408,8.34171726614628e-23,-12836501.276231406,8.341717266146278e-23,-12836501.276231406
0.0006000000000000003,4.6850330782666165e-23,-12349607.242911693,4.685033078266691e-23,-12349607.242911693,4.6850330782667664e-23,-12349607.242911693
0.00065,-3.643697277909683e-25,-11841606.504950684,-3.643697277909683e-25,-11841606.504950684,-3.6436972779097934e-25,-11841606.504950684
0.0007000000000000001,-5.844162959750698e-23,-11314503.81029968,-5.844162959750622e-23,-11314503.81029968,-5.844162959750549e-23,-11314503.810299681
0.0007500000000000002,-1.2733341322114816e-22,-10770363.585668337,-1.2733341322114816e-22,-10770363.585668337,-1.2733341322114892e-22,-10770363.585668337
0.0007999999999999999,-2.0671512344186455e-22,-10211290.730286412,-2.067151234418653e-22,-10211290.730286412,-2.0671512344186455e-22,-10211290.730286412
0.0008500000000000001,-2.9598873603823017e-22,-9639411.541532133,-2.959887360382309e-22,-9639411.541532133,-2.9598873603822866e-22,-9639411.541532136
0.0009000000000000002,-3.9430311185519643e-22,-9056855.004728211,-3.9430311185519568e-22,-9056855.004728211,-3.9430311185519643e-22,-9056855.004728213
0.0009499999999999999,-5.00589225328913e-22,-8465734.666910449,-5.00589225328913e-22,-8465734.666910449,-5.005892253289122e-22,-8465734.666910449
