time_s,x_m,y_m,z_m,vx_m_per_s,vy_m_per_s,vz_m_per_s,fx_n,fy_n,fz_n,kernel_ground_weighted_absorption_rate_per_s,beff_x_t,beff_y_t,beff_z_t,quantization_x,quantization_y,quantization_z,reference_scalar_shift_hz,reference_vector_shift_hz,reference_tensor_shift_hz,reference_total_shift_hz,trap_component_00_atom_frame_frequency_hz,trap_component_00_atom_frame_wavelength_nm,trap_component_01_atom_frame_frequency_hz,trap_component_01_atom_frame_wavelength_nm,trap_component_02_atom_frame_frequency_hz,trap_component_02_atom_frame_wavelength_nm,trap_component_03_atom_frame_frequency_hz,trap_component_03_atom_frame_wavelength_nm,trap_component_04_atom_frame_frequency_hz,trap_component_04_atom_frame_wavelength_nm,trap_component_05_atom_frame_frequency_hz,trap_component_05_atom_frame_wavelength_nm
0.0,0.001,0.0,0.0,0.0,0.0,0.0,-6.136060067811828e-22,0.0,0.0,70794573.15175885,0.00020406079296160165,0.0,0.0,1.0,0.0,0.0,-12762153.2878046,2856040.386929212,2037981.6022309042,-7868131.298644483,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881
4.9999999999999996e-06,0.0009998937045050155,0.0,-2.4516625e-10,-0.02125909899689321,0.0,-4.903325e-05,-6.054187064891018e-22,0.0,7.569432838291474e-26,70801679.04928665,0.00020402842930117385,0.0,3.3039394426838944e-11,0.9999999999999869,0.0,1.6193524863178673e-07,-12762711.067916373,2855587.4242610703,2037609.6275789768,-7869514.016076325,196036460131996.3,1529.2688808915552,196036460104193.34,1529.2688811084445,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118126.9,1529.2688809997496,196036460118062.75,1529.2688810002503
9.999999999999999e-06,0.0009996825318081002,0.0,-7.223861565539454e-10,-0.04223453938304418,0.0,-9.544398131078908e-05,-5.970522765995717e-22,0.0,1.4717857172371472e-25,70809695.83671874,0.00020397393155551763,0.0,8.295023298431372e-11,0.9999999999999173,0.0,4.066707561683168e-07,-12763865.513466403,2854824.672336552,2036886.725390736,-7872154.115739116,196036460145712.28,1529.2688807845577,196036460090477.34,1529.2688812154424,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118157.22,1529.2688809995132,196036460118032.4,1529.2688810004868
1.4999999999999999e-05,0.0009993679312330817,0.0,-1.419276442859577e-09,-0.06292011500368364,0.0,-0.00013937805726112632,-5.88522283504364e-22,0.0,2.146407517473351e-25,70818605.7057776,0.0002038976121400413,0.0,1.4894296910483894e-10,0.9999999999997332,0.0,7.304792221034052e-07,-12765608.377811806,2853756.503730342,2035817.813842749,-7876034.060238716,196036460159238.75,1529.2688806790386,196036460076950.9,1529.2688813209613,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118185.97,1529.268880999289,196036460118003.66,1529.2688810007112
1.9999999999999998e-05,0.000998951380437982,0.0,-2.324150577593711e-09,-0.08331015901992259,0.0,-0.00018097482694682683,-5.798439864824005e-22,0.0,2.782641219754563e-25,70828389.93776327,0.00020379978994629266,0.0,2.3019697664027967e-10,0.9999999999993621,0.0,1.1295250927432095e-06,-12767931.230266437,2852387.381657387,2034407.9301217906,-7881135.918487259,196036460172571.94,1529.2688805750272,196036460063617.7,1529.268881424973,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118213.16,1529.268880999077,196036460117976.47,1529.2688810009233
2.4999999999999998e-05,0.0009984343827716396,0.0,-3.425987029747461e-09,-0.1033995332684678,0.0,-0.00022036729043074996,-5.710323084223863e-22,0.0,3.382259615587462e-25,70839028.9649394,0.00020368078983818447,0.0,3.260389368336998e-10,0.9999999999987188,0.0,1.6007348414757516e-06,-12770825.475907719,2850721.8529220563,2032662.222208919,-7887441.400776742,196036460185708.5,1529.2688804725497,196036460050481.1,1529.2688815274507,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118238.9,1529.268880998876,196036460117950.72,1529.2688810011243
2.9999999999999997e-05,0.0009978184646886046,0.0,-4.714398558406873e-09,-0.12318361660698875,0.0,-0.00025768230573188243,-5.621018120646957e-22,0.0,3.9469805077849563e-25,70850502.42586829,0.0002035409420044491,0.0,4.358139521078197e-10,0.9999999999977077,0.0,2.141161123727601e-06,-12774282.368216917,2848764.5388550633,2030585.9385135423,-7894931.890848312,196036460198645.44,1529.2688803716294,196036460037544.16,1529.268881628371,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118263.3,1529.2688809986855,196036460117926.3,1529.2688810013146
3.5e-05,0.0009971051732264229,0.0,-6.179602455107425e-09,-0.1426582924363566,0.0,-0.00029304077934011035,-5.530666781210233e-22,0.0,4.478462935672124e-25,70862789.22144948,0.00020338058137307131,0.0,5.589270745647894e-10,0.9999999999962237,0.0,2.7481830899942724e-06,-12778293.02360344,2846520.1271178527,2028184.41858791,-7903588.477897675,196036460211380.12,1529.2688802722869,196036460024809.53,1529.268881727713,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118286.44,1529.2688809985052,196036460117903.2,1529.268881001495
3.9999999999999996e-05,0.0009962960735490987,0.0,-7.812391804153462e-09,-0.16181993546481316,0.0,-0.0003265578698092075,-5.439406866679597e-22,0.0,4.9783049835818555e-25,70875867.5659921,0.00020320004716713384,0.0,6.948655412961972e-10,0.9999999999941531,0.0,3.419613090545207e-06,-12782848.43526413,2843993.3654862004,2025463.0834811896,-7913391.9862967385,196036460223910.03,1529.268880174542,196036460012279.6,1529.2688818254585,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118308.38,1529.268880998334,196036460117881.28,1529.268881001666
4.4999999999999996e-05,0.0009953927465599613,0.0,-9.604107798866198e-09,-0.18066539782749816,0.0,-0.00035834319894254707,-5.347371992151685e-22,0.0,5.448047782737721e-25,70889715.0478498,0.00020299968221180876,0.0,8.431097542702739e-10,0.9999999999913752,0.0,4.153256522753106e-06,-12787939.489331702,2841189.0521508404,2022427.4285557452,-7924323.008625114,196036460236233.22,1529.2688800784092,196036459999956.4,1529.268881921591,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118329.12,1529.2688809981723,196036460117860.5,1529.2688810018278
4.9999999999999996e-05,0.0009943967865870377,0.0,-1.1546613044435305e-08,-0.1991919945847079,0.0,-0.00038850104911382143,-5.254691468923763e-22,0.0,5.889167528264274e-25,70904308.6730357,0.00020277983252510752,0.0,1.0032806930157107e-09,0.9999999999877606,0.0,4.947635474939098e-06,-12793556.974327942,2838112.029989594,2019083.0128133025,-7936361.931525047,196036460248347.9,1529.2688799839034,196036459987841.72,1529.268882016097,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118348.84,1529.2688809980184,196036460117840.78,1529.2688810019818
5.4999999999999995e-05,0.0009933097991429833,0.0,-1.363226598566413e-08,-0.2173974888108779,0.0,-0.00041713058824576496,-5.161489912889674e-22,0.0,6.303084442163658e-25,70919624.9328607,0.00020254085164779704,0.0,1.1749594199021087e-09,0.9999999999831737,0.0,5.801098446675353e-06,-12799691.699906047,2834767.247168986,2015435.4879220175,-7949488.964815045,196036460260252.6,1529.2688798910356,196036459975937.03,1529.2688821089646,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118367.56,1529.2688809978724,196036460117822.03,1529.268881002128
5.9999999999999995e-05,0.0009921333987663492,0.0,-1.5853896304342105e-08,-0.23528007532680775,0.0,-0.00044432606373559475,-5.06788777208805e-22,0.0,6.6911579432846155e-25,70935639.82261851,0.00020228308928741805,0.0,1.3578087368256854e-09,0.9999999999774717,0.0,6.712418430914045e-06,-12806334.278491667,2831159.598205623,2011490.510481961,-7963684.16980408,196036460271946.16,1529.2688797998148,196036459964243.47,1529.2688822001853,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118385.38,1529.2688809977333,196036460117804.25,1529.2688810022667
6.5e-05,0.000990869206935051,0.0,-1.8204781369915398e-08,-0.2528383662596384,0.0,-0.0004701770131146585,-4.974001060081286e-22,0.0,7.054692048757091e-25,70952328.89839976,0.0002020068938998236,0.0,1.5514782323486605e-09,0.9999999999705063,0.0,7.68032319269405e-06,-12813475.199528927,2827293.9600974694,2007253.757135066,-7978927.48229639,196036460283427.66,1529.2688797102483,196036459952761.97,1529.268882289752,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118402.25,1529.2688809976019,196036460117787.38,1529.2688810023983
7e-05,0.0009895188500566555,0.0,-2.0678623649886302e-08,-0.2700713756790897,0.0,-0.0004947684559941808,-4.879940933863479e-22,0.0,7.394927013322415e-25,70969667.3417399,0.0002017126191672331,0.0,1.7557596915160841e-09,0.9999999999621179,0.0,8.70426301883439e-06,-12821104.990070175,2823175.28299088,2002730.9667554079,-7995198.740323887,196036460294696.44,1529.268879622341,196036459941493.2,1529.268882377659,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118418.38,1529.2688809974761,196036460117771.28,1529.268881002524
7.5e-05,0.000988083957542799,0.0,-2.326952922477394e-08,-0.28697850277131043,0.0,-0.0005181811149775281,-4.785813900761795e-22,0.0,7.71305319979621e-25,70987629.99213473,0.0002014006195352187,0.0,1.970353983219426e-09,0.9999999999521441,0.0,9.783256812576882e-06,-12829214.138505094,2818808.52771612,1997927.904856205,-8012477.705932768,196036460305752.12,1529.2688795360964,196036459930437.5,1529.2688824639038,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118433.66,1529.2688809973567,196036460117755.97,1529.2688810026434
7.999999999999999e-05,0.0009865661599641512,0.0,-2.5971987167357096e-08,-0.3035595157295628,0.0,-0.0005404915885166312,-4.691721808318292e-22,0.0,8.010201404922419e-25,71006191.39154728,0.00020107124974236789,0.0,2.1950730631190974e-09,0.9999999999404107,0.0,1.0916891727687756e-05,-12837793.105310684,2814198.659204531,1992850.3566295432,-8030744.0894766105,196036460316594.6,1529.268879451515,196036459919595.03,1529.2688825484852,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118448.22,1529.268880997243,196036460117741.38,1529.2688810027573
8.499999999999999e-05,0.000984967087286102,0.0,-2.8780849953785187e-08,-0.3198145356098506,0.0,-0.0005617725572856187,-4.597761854253859e-22,0.0,8.287449919484672e-25,71025325.82338904,0.00020072486457319507,0.0,2.429732330083406e-09,0.999999999926737,0.0,1.210478998240592e-05,-12846832.334141372,2809350.6430302677,1987504.1206371735,-8049977.570473931,196036460327223.84,1529.2688793685968,196036459908965.78,1529.2688826314034,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118462.16,1529.2688809971344,196036460117727.47,1529.2688810028658
8.999999999999999e-05,0.0009832883671849965,0.0,-3.169131478425453e-08,-0.3357440202210693,0.0,-0.0005820929660938687,-4.504026614009637e-22,0.0,8.545825275021431e-25,71045007.35495114,0.0002003618182724763,0.0,2.6741617248119793e-09,0.9999999999109331,0.0,1.3346663289595178e-05,-12856322.258828666,2804269.4372133045,1981895.002681776,-8070157.818933585,196036460337640.25,1529.268879287339,196036459898549.38,1529.268882712661,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118475.44,1529.268880997031,196036460117714.2,1529.2688810029692
