time_s,x_m,y_m,z_m,vx_m_per_s,vy_m_per_s,vz_m_per_s,fx_n,fy_n,fz_n,kernel_ground_weighted_absorption_rate_per_s,beff_x_t,beff_y_t,beff_z_t,quantization_x,quantization_y,quantization_z,reference_scalar_shift_hz,reference_vector_shift_hz,reference_tensor_shift_hz,reference_total_shift_hz,trap_component_00_atom_frame_frequency_hz,trap_component_00_atom_frame_wavelength_nm,trap_component_01_atom_frame_frequency_hz,trap_component_01_atom_frame_wavelength_nm,trap_component_02_atom_frame_frequency_hz,trap_component_02_atom_frame_wavelength_nm,trap_component_03_atom_frame_frequency_hz,trap_component_03_atom_frame_wavelength_nm,trap_component_04_atom_frame_frequency_hz,trap_component_04_atom_frame_wavelength_nm,trap_component_05_atom_frame_frequency_hz,trap_component_05_atom_frame_wavelength_nm
0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-6.136060067811806e-22,70794573.15175882,0.0,0.0,-0.00020406079296160165,0.0,0.0,-1.0,-12762153.287804602,2856040.386929212,2037981.6022309032,-7868131.298644486,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881
4.9999999999999996e-06,0.0,0.0,0.0009998934593387656,0.0,0.0,-0.021308132246893135,0.0,0.0,-6.053997675034372e-22,70801695.34182577,0.0,0.0,-0.00020402835466551216,0.0,0.0,-1.0,-12762712.354225827,2855586.3796582897,2037608.7695831803,-7869517.204984357,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460132028.34,1529.2688808913053,196036460104161.28,1529.2688811086946
9.999999999999999e-06,0.0,0.0,0.0009996817995901672,0.0,0.0,-0.042331949719697115,0.0,0.0,-5.970138920602305e-22,70809730.32692759,0.0,0.0,-0.00020397373122795092,0.0,0.0,-1.0,-12763869.46263665,2854821.8685462647,2036884.2002716945,-7872163.3938186895,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460145775.97,1529.268880784061,196036460090413.66,1529.2688812159392
1.4999999999999999e-05,0.0,0.0,0.0009993664734466022,0.0,0.0,-0.06306522871300033,0.0,0.0,-5.884640095523645e-22,70818660.2500188,0.0,0.0,-0.00020389723579221385,0.0,0.0,-1.0,-12765616.346606858,2853751.2363551906,2035812.8237658043,-7876052.286485863,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460159333.66,1529.2688806782983,196036460076856.0,1529.2688813217017
1.9999999999999998e-05,0.0,0.0,0.0009989489620115528,0.0,0.0,-0.08350228700989933,0.0,0.0,-5.797654404276861e-22,70828466.34013094,0.0,0.0,-0.00020379918804681874,0.0,0.0,-1.0,-12767944.555999124,2852378.957454223,2034399.6893830493,-7881165.90916185,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460172697.56,1529.2688805740472,196036460063492.06,1529.268881425953
2.4999999999999998e-05,0.0,0.0,0.0009984307721456111,0.0,0.0,-0.10363797318835553,0.0,0.0,-5.709331672624836e-22,70839128.9758148,0.0,0.0,-0.00020367991356736947,0.0,0.0,-1.0,-12770845.475488145,2850709.5886083366,2032649.9574039986,-7887485.929475809,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460185864.44,1529.2688804713332,196036460050325.2,1529.268881528667
2.9999999999999997e-05,0.0,0.0,0.000997813433871035,0.0,0.0,-0.1234676549152393,0.0,0.0,-5.6198181129528e-22,70850627.73638853,0.0,0.0,-0.00020353974334334665,0.0,0.0,-1.0,-12774310.337308206,2848747.762355268,2030568.8886034263,-7894993.686349509,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460198831.2,1529.2688803701803,196036460037358.4,1529.26888162982
3.5e-05,0.0,0.0,0.0009970984978388982,0.0,0.0,-0.14298720642735957,0.0,0.0,-5.529256094054447e-22,70862941.46242645,0.0,0.0,-0.0002033790131160315,0.0,0.0,-1.0,-12778330.237761218,2846498.1777390856,2028161.8355135,-7903670.224508632,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460211595.2,1529.268880270609,196036460024594.44,1529.268881729391
3.9999999999999996e-05,0.0,0.0,0.0009962875328628237,0.0,0.0,-0.1621929952148908,0.0,0.0,-5.43778395933048e-22,70876048.30599551,0.0,0.0,-0.00020319806290745792,0.0,0.0,-1.0,-12782896.149602748,2843965.5937173883,2025434.2327013125,-7913496.323184048,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460224154.0,1529.2688801726385,196036460012035.66,1529.2688818273612
4.4999999999999996e-05,0.0,0.0,0.0009953821235224492,0.0,0.0,-0.18108186807492732,0.0,0.0,-5.3455358605650655e-22,70889925.78709248,0.0,0.0,-0.0002029972363052333,0.0,0.0,-1.0,-12787998.934843194,2841154.819151638,2022391.5876413258,-7924452.52805023,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460236505.56,1529.2688800762846,196036459999684.06,1529.2688819237155
4.9999999999999996e-05,0.0,0.0,0.0009943838678395035,0.0,0.0,-0.1996511365891367,0.0,0.0,-5.252641606673756e-22,70904550.8450873,0.0,0.0,-0.0002027768802265866,0.0,0.0,-1.0,-12793629.363017013,2838070.7095047706,2019039.4739404488,-7936519.179571794,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460248648.16,1529.2688799815612,196036459987541.5,1529.2688820184387
5.4999999999999995e-05,0.0,0.0,0.0009932943750291167,0.0,0.0,-0.21789856207738265,0.0,0.0,-5.159226293095151e-22,70919899.90107323,0.0,0.0,-0.00020253734916344306,0.0,0.0,-1.0,-12799778.224716937,2834718.2262553754,2015383.5575974404,-7949676.4408641225,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460260580.25,1529.2688798884794,196036459975609.38,1529.2688821115207
5.9999999999999995e-05,0.0,0.0,0.00099211526333278,0.0,0.0,-0.23582233926733193,0.0,0.0,-5.0654108568069655e-22,70935948.87587573,0.0,0.0,-0.0002022789932762353,0.0,0.0,-1.0,-12806436.101474715,2831102.270258355,2011429.5061276087,-7963904.325088754,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460272300.72,1529.2688797970488,196036459963888.88,1529.2688822029515
6.5e-05,0.0,0.0,0.000990848157923345,0.0,0.0,-0.2534210818869794,0.0,0.0,-4.97131173653892e-22,70952673.2545162,0.0,0.0,-0.00020200216200670418,0.0,0.0,-1.0,-12813593.466542307,2827227.732309781,2007183.0113947191,-7979182.722837807,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460283808.72,1529.2688797072756,196036459952380.94,1529.2688822927244
7e-05,0.0,0.0,0.0009894946888879454,0.0,0.0,-0.2706938070799409,0.0,0.0,-4.877040519160218e-22,70970048.13948366,0.0,0.0,-0.00020170720989198189,0.0,0.0,-1.0,-12821240.82276694,2823099.5745209623,2002649.825604356,-7995491.422641621,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460295103.44,1529.2688796191662,196036459941086.16,1529.2688823808342
7.5e-05,0.0,0.0,0.0009880564892949674,0.0,0.0,-0.2876399185956138,0.0,0.0,-4.782704105838587e-22,70988048.29582606,0.0,0.0,-0.00020139449213009647,0.0,0.0,-1.0,-12829368.637495425,2818722.7682531215,1997835.7282986161,-8012810.140943688,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460306184.62,1529.2688795327226,196036459930004.97,1529.268882467278
7.999999999999999e-05,0.0,0.0,0.0009865351933421923,0.0,0.0,-0.30425919055501555,0.0,0.0,-4.68840471870881e-22,71006648.186983,0.0,0.0,-0.00020106436433824248,0.0,0.0,-1.0,-12837967.35058441,2814102.2907341486,1992746.5188191878,-8031118.541031073,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460317052.12,1529.2688794479457,196036459919137.53,1529.268882552054
8.499999999999999e-05,0.0,0.0,0.0009849324345859937,0.0,0.0,-0.3205517512397259,0.0,0.0,-4.594239921177213e-22,71025822.01446757,0.0,0.0,-0.00020071718203021354,0.0,0.0,-1.0,-12847027.380315332,2809243.117744732,1987388.0085002703,-8050396.254070328,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460327705.94,1529.268879364836,196036459908483.7,1529.2688826351641
8.999999999999999e-05,0.0,0.0,0.0009832498442512378,0.0,0.0,-0.3365180669511759,0.0,0.0,-4.50030261652964e-22,71045543.7660601,0.0,0.0,-0.00020035330031036898,0.0,0.0,-1.0,-12856539.141088253,2804150.2193351057,1981766.017390727,-8070622.9043624215,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460338146.4,1529.2688792833906,196036459898043.22,1529.2688827166096
9.499999999999999e-05,0.0,0.0,0.0009814890496219122,0.0,0.0,-0.35215892586511516,0.0,0.0,-4.40668111212416e-22,71065787.24720226,0.0,0.0,-0.00019997307342950964,0.0,0.0,-1.0,-12866493.045099081,2798828.553609075,1975886.3658715868,-8091778.1256184215,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460348374.06,1529.2688792036054,196036459887815.56,1529.2688827963948
9.999999999999999e-05,0.0,0.0,0.0009796516725113697,0.0,0.0,-0.367475422108481,0.0,0.0,-4.313459162908325e-22,71086526.1216868,0.0,0.0,-0.00019957685441002537,0.0,0.0,-1.0,-12876879.513481408,2793283.061477573,1969754.8699859849,-8113841.582017849,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460358389.66,1529.268879125474,196036459877799.97,1529.268882874526
0.00010499999999999999,0.0,0.0,0.0009777393278114345,0.0,0.0,-0.3824689399870393,0.0,0.0,-4.220716041782232e-22,71107733.941872,0.0,0.0,-0.0001991649949480953,0.0,0.0,-1.0,-12887688.98492071,2787518.6652898523,1963377.3363191294,-8136792.983311729,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460368194.03,1529.2688790489908,196036459867995.6,1529.2688829510093
0.00010999999999999999,0.0,0.0,0.0009757536221191505,0.0,0.0,-0.39714113845680576,0.0,0.0,-4.128526611585897e-22,71129384.18866108,0.0,0.0,-0.00019873784477609152,0.0,0.0,-1.0,-12898911.921984997,2781540.2599096666,1956759.5565027532,-8160612.1055725785,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460377788.3,1529.2688789741464,196036459858401.34,1529.2688830258535
0.00011499999999999999,0.0,0.0,0.000973696152439926,0.0,0.0,-0.41149393584487615,0.0,0.0,-4.036961417224004e-22,71151450.29855743,0.0,0.0,-0.00019829575156365107,0.0,0.0,-1.0,-12910538.818049386,2775352.711330676,1949907.302331227,-8185278.804387482,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460387173.7,1529.2688789009317,196036459849015.94,1529.2688830990685
0.00011999999999999999,0.0,0.0,0.0009715685049654788,0.0,0.0,-0.4255294948894335,0.0,0.0,-3.946086771307755e-22,71173905.69827943,0.0,0.0,-0.00019783906058066237,0.0,0.0,-1.0,-12922560.206421368,2768960.8519595936,1942826.322034606,-8210773.032427168,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460396351.66,1529.2688788293349,196036459839838.0,1529.268883170665
0.000125,0.0,0.0,0.0009693722539250965,0.0,0.0,-0.43925020807647136,0.0,0.0,-3.855964867511326e-22,71196723.82959458,0.0,0.0,-0.00019736811443679087,0.0,0.0,-1.0,-12934966.663001245,2762369.476970579,1935522.3346965278,-8237074.85133414,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460405323.72,1529.2688787593445,196036459830865.9,1529.268883240656
0.00013000000000000002,0.0,0.0,0.0009671089605082502,0.0,0.0,-0.4526586833692541,0.0,0.0,-3.766653874373967e-22,71219878.18197191,0.0,0.0,-0.00019688325284689123,0.0,0.0,-1.0,-12947748.817104358,2755583.3410219424,1928001.0278715082,-8264164.448210908,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460414091.62,1529.2688786909464,196036459822098.0,1529.2688833090538
0.00013500000000000003,0.0,0.0,0.0009647801718569364,0.0,0.0,-0.46575773026276507,0.0,0.0,-3.678208063607649e-22,71243342.3129177,0.0,0.0,-0.00019638481242437294,0.0,0.0,-1.0,-12960897.352320436,2748607.155364082,1920268.052112549,-8292022.144843806,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460422657.16,1529.2688786241272,196036459813532.47,1529.268883375873
0.00014000000000000004,0.0,0.0,0.0009623874201255229,0.0,0.0,-0.4785503462826924,0.0,0.0,-3.590677914076477e-22,71267089.8796454,0.0,0.0,-0.00019587312633953302,0.0,0.0,-1.0,-12974403.01530326,2741445.5830575023,1912329.0185946107,-8320628.413651148,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460431022.38,1529.2688785588705,196036459805167.28,1529.2688834411292
0.00014500000000000006,0.0,0.0,0.0009599322216062995,0.0,0.0,-0.4910397038446628,0.0,0.0,-3.50411024558016e-22,71291094.65495235,0.0,0.0,-0.00019534852431979217,0.0,0.0,-1.0,-12988256.618176708,2734103.2389761168,1904189.4948647094,-8349963.88433588,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460439189.25,1529.2688784951613,196036459797000.4,1529.2688835048386
0.00015000000000000007,0.0,0.0,0.0009574160759184146,0.0,0.0,-0.5032291375769843,0.0,0.0,-3.4185483295687643e-22,71315330.55684727,0.0,0.0,-0.00019481133228493823,0.0,0.0,-1.0,-13002449.046204092,2726584.6847021054,1895855.0027403755,-8380009.358761612,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460447160.0,1529.2688784329819,196036459789029.62,1529.2688835670183
0.00015500000000000008,0.0,0.0,0.0009548404652582797,0.0,0.0,-0.5151221320269734,0.0,0.0,-3.3340320234239276e-22,71339771.66427976,0.0,0.0,-0.0001942618723147091,0.0,0.0,-1.0,-13016971.26046931,2718894.428072207,1887331.0147945788,-8410745.817602523,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460454936.9,1529.2688783723147,196036459781252.72,1529.2688836276855
0.0001600000000000001,0.0,0.0,0.0009522068537091171,0.0,0.0,-0.5267223098325151,0.0,0.0,-3.250597894779323e-22,71364392.23983245,0.0,0.0,-0.00019370046235492352,0.0,0.0,-1.0,-13031814.301612984,2711036.919064714,1878622.9515080152,-8442154.431040255,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460118094.8,1529.268881,196036460462522.38,1529.268878313141,196036459773667.28,1529.268883686859
