coordinate_m,force_x_n,reference_shift_x_hz,force_y_n,reference_shift_y_hz,force_z_n,reference_shift_z_hz
-0.002,2.6689938142609172e-21,3042667.8653642135,2.668993814260918e-21,3042667.8653642135,2.6689938142609157e-21,3042667.8653642135
-0.0019500000000000001,2.5978792504435684e-21,2603568.6404469074,2.5978792504435684e-21,2603568.6404469074,2.597879250443569e-21,2603568.640446906
-0.0019,2.524003762898874e-21,2151182.559782513,2.524003762898874e-21,2151182.559782513,2.5240037628988734e-21,2151182.559782513
-0.00185,2.4473775009872046e-21,1685369.954499749,2.447377500987204e-21,1685369.95449975,2.447377500987204e-21,1685369.9544997495
-0.0018,2.3679174894967725e-21,1206087.7801938674,2.3679174894967702e-21,1206087.7801938665,2.367917489496771e-21,1206087.7801938665
-0.00175,2.2854307936362957e-21,713397.1199556829,2.285430793636295e-21,713397.119955685,2.2854307936362965e-21,713397.1199556856
-0.0017000000000000001,2.1996101512890455e-21,207470.18296671676,2.1996101512890462e-21,207470.18296671892,2.1996101512890462e-21,207470.18296671892
-0.00165,2.1100518726106038e-21,-311403.3345407603,2.1100518726106038e-21,-311403.3345407592,2.110051872610606e-21,-311403.33454076084
-0.0016,2.016303162510763e-21,-842810.6598413019,2.016303162510763e-21,-842810.6598413019,2.016303162510763e-21,-842810.6598413019
-0.00155,1.917938146608954e-21,-1386211.2580772226,1.9179381466089555e-21,-1386211.2580772198,1.9179381466089555e-21,-1386211.2580772205
-0.0015,1.814650787591363e-21,-1940933.1786905131,1.8146507875913637e-21,-1940933.178690512,1.814650787591363e-21,-1940933.1786905124
-0.00145,1.7063437267441837e-21,-2506170.555653453,1.706343726744186e-21,-2506170.555653452,1.7063437267441852e-21,-2506170.5556534515
-0.0014,1.5931894487177441e-21,-3080982.374109643,1.5931894487177441e-21,-3080982.3741096426,1.5931894487177441e-21,-3080982.3741096426
-0.00135,1.4756467382674283e-21,-3664292.604345205,1.4756467382674275e-21,-3664292.604345202,1.4756467382674283e-21,-3664292.6043452015
-0.0013,1.3544363289951062e-21,-4254891.789794948,1.3544363289951062e-21,-4254891.789794948,1.354436328995107e-21,-4254891.789794948
-0.00125,1.23050187389946e-21,-4851440.159164293,1.2305018738994623e-21,-4851440.159164293,1.23050187389946e-21,-4851440.159164292
-0.0012000000000000001,1.1049716645410648e-21,-5452472.313886219,1.1049716645410648e-21,-5452472.313886219,1.104971664541064e-21,-5452472.313886219
-0.00115,9.791176452043585e-22,-6056403.521264986,9.791176452043577e-22,-6056403.521264987,9.791176452043577e-22,-6056403.521264986
-0.0010999999999999998,8.543128095250626e-22,-6661537.6210728325,8.54312809525061e-22,-6661537.621072832,8.543128095250626e-22,-6661537.621072829
-0.0010500000000000002,7.319906631012972e-22,-7266076.529404138,7.319906631012965e-22,-7266076.529404139,7.31990663101295e-22,-7266076.529404142
-0.001,6.1360530437489165e-22,-7868131.298644483,6.136053043748909e-22,-7868131.298644486,6.136053043748894e-22,-7868131.298644486
-0.0009499999999999999,5.005885787335992e-22,-8465734.666910449,5.005885787335992e-22,-8465734.666910449,5.0058857873359995e-22,-8465734.666910449
-0.0009,3.943025187583672e-22,-9056855.004728213,3.9430251875836795e-22,-9056855.004728213,3.943025187583687e-22,-9056855.004728213
-0.0008500000000000001,2.959881937881949e-22,-9639411.541532133,2.9598819378819412e-22,-9639411.541532133,2.9598819378819337e-22,-9639411.541532133
