time_s,x_m,y_m,z_m,vx_m_per_s,vy_m_per_s,vz_m_per_s,fx_n,fy_n,fz_n,scattering_rate_per_s,beff_x_t,beff_y_t,beff_z_t,quantization_x,quantization_y,quantization_z,reference_scalar_shift_hz,reference_vector_shift_hz,reference_tensor_shift_hz,reference_total_shift_hz,trap_component_00_atom_frame_wavelength_nm,trap_component_01_atom_frame_wavelength_nm,trap_component_02_atom_frame_wavelength_nm,trap_component_03_atom_frame_wavelength_nm,trap_component_04_atom_frame_wavelength_nm,trap_component_05_atom_frame_wavelength_nm
0.0,0.001,0.0,0.0,0.0,0.0,0.0,-6.1360530437489165e-22,0.0,0.0,70794573.15175897,0.00020406079296160165,0.0,0.0,1.0,0.0,0.0,-12762153.2878046,2856040.386929212,2037981.6022309042,-7868131.298644483,1529.268881,1529.268881,1529.268881,1529.268881,1529.268881,1529.268881
4.9999999999999996e-06,0.000999893704626694,0.0,-2.4516625e-10,-0.021259074661204327,0.0,-4.903325e-05,-6.054180255727657e-22,0.0,7.569431321108833e-26,70801677.7282955,0.00020402842935578382,0.0,3.30328527457326e-11,0.9999999999999869,0.0,1.6190318599242676e-07,-12762711.067281488,2855587.425025393,2037609.6279248379,-7869514.014331257,1529.2688808915557,1529.2688811084442,1529.268881,1529.268881,1529.2688809997496,1529.26888100025
9.999999999999999e-06,0.000999682532169413,0.0,-7.223861591821738e-10,-0.04223449145621108,0.0,-9.544398183643479e-05,-5.970516177005187e-22,0.0,1.4717847522568707e-25,70809693.26819088,0.00020397393166506636,0.0,8.295023329377035e-11,0.9999999999999173,0.0,4.066707574670434e-07,-12763865.511803944,2854824.673869799,2036886.7267359234,-7872154.1111982195,1529.268880784558,1529.268881215442,1529.268881,1529.268881,1529.2688809995132,1529.2688810004868
1.4999999999999999e-05,0.0009993679319481702,0.0,-1.41927646483247e-09,-0.06292004424852089,0.0,-0.00013937806113005925,-5.8852164743173585e-22,0.0,2.146406119545369e-25,70818601.95952803,0.00020389761232468843,0.0,1.4894297053607585e-10,0.9999999999997332,0.0,7.304792284612827e-07,-12765608.374138804,2853756.506314668,2035817.816372228,-7876034.0514519075,1529.2688806790388,1529.2688813209609,1529.268881,1529.268881,1529.268880999289,1529.2688810007112
1.9999999999999998e-05,0.0009989513816170339,0.0,-2.3241506431276953e-09,-0.08331006622727843,0.0,-0.00018097483565904503,-5.798433738067653e-22,0.0,2.782639416854664e-25,70828385.08126594,0.000203799790258196,0.0,2.3019698132081125e-10,0.9999999999993621,0.0,1.1295251139808609e-06,-12767931.224169873,2852387.386022795,2034407.9341154143,-7881135.904031662,1529.2688805750279,1529.2688814249723,1529.268881,1529.268881,1529.2688809990768,1529.268881000923
2.4999999999999998e-05,0.000998434384520789,0.0,-3.4259871700743256e-09,-0.10339941924895849,0.0,-0.0002203673053893261,-5.710317195044275e-22,0.0,3.3822574377718166e-25,70839023.06516692,0.00020368079025460253,0.0,3.2603894623344494e-10,0.9999999999987188,0.0,1.6007348843525013e-06,-12770825.46665249,2850721.858750255,2032662.2283006348,-7887441.379601601,1529.2688804725499,1529.26888152745,1529.268881,1529.268881,1529.268880998876,1529.2688810011243
2.9999999999999997e-05,0.0009978184671098705,0.0,-4.7143988112531055e-09,-0.12318348218372678,0.0,-0.00025768232823575603,-5.621012474476364e-22,0.0,3.946978321289784e-25,70850495.54546946,0.00020354094257173013,0.0,4.358074160742969e-10,0.9999999999977078,0.0,2.1411290061198104e-06,-12774282.355102673,2848764.546794744,2030585.9467582605,-7894931.86154967,1529.2688803716298,1529.2688816283703,1529.268881,1529.268881,1529.2688809986855,1529.2688810013144
3.5e-05,0.000997105176417614,0.0,-6.1796028583498685e-09,-0.14265813845127512,0.0,-0.0002930408094193527,-5.530661383663649e-22,0.0,4.478460419543055e-25,70862781.42073652,0.00020338058212842703,0.0,5.589205449138096e-10,0.9999999999962237,0.0,2.748150974210321e-06,-12778293.00552495,2846520.137689831,2028184.4292026192,-7903588.438632499,1529.268880272288,1529.2688817277124,1529.268881,1529.268881,1529.2688809985052,1529.2688810014947
3.9999999999999996e-05,0.0009962960776037175,0.0,-7.812392401379238e-09,-0.16181976277929913,0.0,-0.00032655790860587386,-5.439401713875876e-22,0.0,4.978302164945208e-25,70875858.90645376,0.00020320004810145837,0.0,6.948590196137257e-10,0.9999999999941531,0.0,3.419580979935191e-06,-12782848.412968753,2843993.3785630316,2025463.0972200031,-7913391.937185719,1529.2688801745426,1529.2688818254576,1529.268881,1529.268881,1529.268880998334,1529.2688810016657
4.4999999999999996e-05,0.0009953927515672701,0.0,-9.604108638902788e-09,-0.18066520728949198,0.0,-0.00035834324750471026,-5.347367089722288e-22,0.0,5.448044019053346e-25,70889705.58460334,0.0002029996833769578,0.0,8.431163763714225e-10,0.9999999999913752,0.0,4.1532891201536315e-06,-12787939.461525925,2841189.0684582978,2022427.4454427264,-7924322.9476249,1529.2688800784103,1529.2688819215898,1529.268881,1529.268881,1529.268880998172,1529.2688810018278
4.9999999999999996e-05,0.0009943967926319618,0.0,-1.1546614192481339e-08,-0.19919178706166074,0.0,-0.00038850111071571,-5.2546868145666945e-22,0.0,5.88916423416938e-25,70904298.46217412,0.00020277983391430617,0.0,1.0032741966700011e-09,0.9999999999877606,0.0,4.947603404595452e-06,-12793556.941121267,2838112.0494328546,2019083.0333349528,-7936361.858353459,1529.2688799839043,1529.2688820160956,1529.268881,1529.268881,1529.2688809980184,1529.2688810019815
5e-05,0.0009943967926319618,0.0,-1.1546614192481342e-08,-0.19919178706166077,0.0,-0.00038850111071571,-5.2546868145666945e-22,0.0,5.88916423416938e-25,70904298.46217412,0.00020277983391430617,0.0,1.0032741966700011e-09,0.9999999999877606,0.0,4.947603404595452e-06,-12793556.941121267,2838112.0494328546,2019083.0333349528,-7936361.858353459,1529.2688799839043,1529.2688820160956,1529.268881,1529.268881,1529.2688809980184,1529.2688810019815
