time_s,x_m,vx_m_per_s,Fx_n,effective_field_proxy_x_t,quantization_axis_x,y_m,vy_m_per_s,Fy_n,effective_field_proxy_y_t,quantization_axis_y,z_m,vz_m_per_s,Fz_n,effective_field_proxy_z_t,quantization_axis_z,radius_m,speed_m_per_s,total_780_scattering_rate_per_s,reference_vector_shift_hz,applied_reference_transition_shift_hz,total_trapping_intensity_w_per_m2
0.0,0.015,-17.0,2.2328087204127355e-21,0.0019044119701655876,1.0,0.0,-0.0,0.0,0.0,0.0,9.184850993605148e-19,-1.0409497792752501e-15,1.7207945141908754e-41,1.0079900713018464e-58,5.292920266691047e-56,0.015,17.0,3609063.029453865,26654201.530853726,26654201.547185265,21353.19843464948
4.9999999999999996e-06,0.014915386791370226,-16.922641725954765,1.892895016261751e-21,0.0019728639996616213,1.0,0.0,0.0,0.0,0.0,0.0,-2.451662490867196e-10,-4.903325000104095e-05,5.064469896100002e-31,-9.333558581706957e-50,-4.730969080133154e-47,0.014915386791370227,16.9226417260258,3294767.403352355,27612257.990257617,27612258.00717618,22071.73771155526
9.999999999999999e-06,0.014831101490568085,-16.857060160427842,1.5714750213461012e-21,0.002044671019589045,1.0,0.0,0.0,0.0,0.0,0.0,-7.354986613596777e-10,-9.806648245459164e-05,1.0746819093033879e-30,-7.968884486073934e-49,-3.897392005720112e-46,0.014831101490568103,16.857060160713097,3020380.7063830043,28617270.98663631,28617271.004170664,22825.116413785567
1.4999999999999999e-05,0.014747088417732106,-16.80261456719581,1.265979612451424e-21,0.002120100073188404,1.0,0.0,0.0,0.0,0.0,0.0,-1.4709971374645666e-09,-0.0001470996952209778,1.3824390650692392e-30,-4.4898565118166786e-48,-2.117756877893228e-45,0.01474708841773218,16.802614567839708,2786857.9725123574,29672978.064419523,29672978.082600728,23616.105765616434
1.9999999999999998e-05,0.014663294651630512,-16.758753220318955,9.736170180970064e-22,0.0021994439810256007,1.0,0.0,0.0,0.0,0.0,0.0,-2.4516616240883505e-09,-0.00019613289732475675,1.300486105691623e-30,-2.089177201347558e-47,-9.498660658651442e-45,0.014663294651630717,16.75875322146666,2595067.874563139,30783477.548181035,30783477.567042664,24447.74575178513
2.4999999999999998e-05,0.014579669546040255,-16.725021118051313,6.916606658225394e-22,0.002283024979022606,1.0,0.0,0.0,0.0,0.0,0.0,-3.67749213542781e-09,-0.00024516610226789197,1.3665013258251973e-30,-8.677712031320177e-47,-3.800971128679995e-44,0.014579669546040718,16.725021119848215,2445553.946700686,31953279.460615117,31953279.480193503,25323.380868498916
2.9999999999999997e-05,0.014496164257420533,-16.70105772394422,4.1791147625384337e-22,0.0023711986347992515,1.0,0.0,0.0,0.0,0.0,0.0,-5.1484886600470725e-09,-0.00029419930492385253,2.7036520594610975e-30,-3.3390075088188447e-46,-1.4081517506868542e-43,0.014496164257421448,16.70105772653547,2338049.082218762,33187360.335762355,33187360.35609689,26246.70171806263
3.5e-05,0.014412731363964381,-16.68657869123034,1.5138717987212294e-22,0.0024643584394919054,1.0,0.0,0.0,0.0,0.0,0.0,-6.864650966310369e-09,-0.0003432324612526594,6.434090831555143e-30,-1.2152296102889912e-45,-4.931221005900197e-43,0.014412731363966017,16.686578694760378,2270681.304324061,34491227.486228265,34491227.5073617,27221.79257176477
3.9999999999999996e-05,0.014329324695439278,-16.681333705020634,-1.067822170184098e-22,0.002562940951512873,1.0,0.0,0.0,0.0,0.0,0.0,-8.82597840799059e-09,-0.00039226548833604444,1.3428633105110865e-29,-4.238152313259055e-45,-1.6536285437076985e-42,0.014329324695441997,16.681333709632742,2238899.945895152,35870990.99537918,35870991.01735803,28253.18430977179
4.4999999999999996e-05,0.014245899528939109,-16.685033300033748,-3.524486315766572e-22,0.0026674313527428424,1.0,0.0,0.0,0.0,0.0,0.0,-1.1032469773417178e-08,-0.00044129827308531767,2.4417651734842127e-29,-1.4287925325706266e-44,-5.35643600012964e-42,0.014245899528943382,16.68503330586964,2234363.911398152,37333441.4819623,37333441.504837215,29345.911105265688
4.9999999999999996e-05,0.014162413307460117,-16.697244295798463,-5.779238761643566e-22,0.0027783691744978343,1.0,0.0,0.0,0.0,0.0,0.0,-1.3484123158953008e-08,-0.000490330677107166,3.948457421540661e-29,-4.685215449212978e-44,-1.6863185397454564e-41,0.014162413307466537,16.69724430299798,2244280.1808253676,38886130.24089421,38886130.26472049,30505.568161163457
